col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ACRO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ACRO
1,21-11-2025,93,93,90,90,8.069.100,726.219.000,1.09%,1.09%,-2.17%,-2.17%,0.00%,2.15%,ACRO
2,20-11-2025,93,94,91,92,10.370.200,954.058.400,1.09%,2.17%,-1.09%,0.00%,1.08%,4.26%,ACRO
3,19-11-2025,92,96,90,92,45.023.400,4.142.152.800,0.00%,4.35%,-2.17%,0.00%,4.35%,7.29%,ACRO
4,18-11-2025,91,94,89,92,22.356.800,2.056.825.600,1.11%,4.44%,-1.11%,2.22%,3.30%,6.38%,ACRO
5,17-11-2025,88,93,88,90,31.165.100,2.804.859.000,0.00%,5.68%,0.00%,2.27%,5.68%,5.38%,ACRO
6,14-11-2025,90,90,88,88,4.479.600,394.204.800,1.12%,1.12%,-1.12%,-1.12%,0.00%,1.11%,ACRO
7,13-11-2025,91,92,89,89,9.586.100,853.162.900,1.11%,2.22%,-1.11%,-1.11%,1.10%,5.43%,ACRO
8,12-11-2025,87,91,87,90,27.017.600,2.431.584.000,0.00%,4.60%,0.00%,3.45%,4.60%,4.40%,ACRO
9,11-11-2025,87,89,87,87,4.765.000,414.555.000,0.00%,2.30%,0.00%,0.00%,2.30%,2.25%,ACRO
10,10-11-2025,88,89,87,87,6.269.700,545.463.900,0.00%,1.14%,-1.14%,-1.14%,1.14%,2.25%,ACRO
11,07-11-2025,89,89,87,88,5.157.400,453.851.200,1.14%,1.14%,-1.14%,0.00%,0.00%,2.25%,ACRO
12,06-11-2025,88,89,87,88,4.724.900,415.791.200,1.15%,2.30%,0.00%,1.15%,1.14%,2.25%,ACRO
13,05-11-2025,87,91,87,87,26.529.000,2.308.023.000,0.00%,4.60%,0.00%,0.00%,4.60%,4.40%,ACRO
14,04-11-2025,89,90,87,87,4.389.500,381.886.500,1.14%,2.27%,-1.14%,-1.14%,1.12%,3.33%,ACRO
15,03-11-2025,88,91,87,88,9.854.300,867.178.400,1.15%,4.60%,0.00%,1.15%,3.41%,4.40%,ACRO
16,31-10-2025,90,92,87,87,32.667.800,2.842.098.600,1.12%,3.37%,-2.25%,-2.25%,2.22%,4.35%,ACRO
17,30-10-2025,90,91,88,89,10.458.700,930.824.300,1.12%,2.25%,-1.12%,0.00%,1.11%,5.49%,ACRO
18,29-10-2025,87,92,86,89,32.579.300,2.899.557.700,1.16%,6.98%,0.00%,3.49%,5.75%,8.70%,ACRO
19,28-10-2025,86,88,84,86,8.058.100,692.996.600,1.18%,3.53%,-1.18%,1.18%,2.33%,4.55%,ACRO
20,27-10-2025,86,87,84,85,6.544.400,556.274.000,0.00%,1.16%,-2.33%,-1.16%,1.16%,2.30%,ACRO
21,24-10-2025,90,90,85,86,13.504.300,1.161.369.800,1.12%,1.12%,-4.49%,-3.37%,0.00%,4.44%,ACRO
22,23-10-2025,86,97,86,89,97.416.600,8.670.077.400,0.00%,12.79%,0.00%,3.49%,12.79%,13.40%,ACRO
23,22-10-2025,86,87,84,86,7.231.500,621.909.000,1.18%,2.35%,-1.18%,1.18%,1.16%,4.60%,ACRO
24,21-10-2025,83,90,83,85,24.398.000,2.073.830.000,-1.19%,7.14%,-1.19%,1.19%,8.43%,8.89%,ACRO
25,20-10-2025,83,85,82,84,4.917.100,413.036.400,0.00%,2.41%,-1.20%,1.20%,2.41%,4.71%,ACRO
26,17-10-2025,84,85,81,83,6.072.700,504.034.100,0.00%,1.19%,-3.57%,-1.19%,1.19%,2.35%,ACRO
27,16-10-2025,84,85,83,84,3.100.400,260.433.600,1.20%,2.41%,0.00%,1.20%,1.19%,4.71%,ACRO
28,15-10-2025,83,86,81,83,8.626.600,716.007.800,0.00%,3.61%,-2.41%,0.00%,3.61%,6.98%,ACRO
29,14-10-2025,87,88,80,83,15.456.200,1.282.864.600,0.00%,1.15%,-8.05%,-4.60%,1.15%,2.27%,ACRO
30,13-10-2025,87,89,86,87,8.046.200,700.019.400,0.00%,2.30%,-1.15%,0.00%,2.30%,3.37%,ACRO
31,10-10-2025,89,90,86,87,8.192.300,712.730.100,1.14%,2.27%,-2.27%,-1.14%,1.12%,4.44%,ACRO
32,09-10-2025,87,95,86,88,45.602.400,4.013.011.200,0.00%,9.20%,-1.15%,1.15%,9.20%,11.58%,ACRO
33,08-10-2025,92,94,84,87,34.821.100,3.029.435.700,1.10%,3.30%,-7.69%,-4.40%,2.17%,5.32%,ACRO
34,07-10-2025,89,96,89,91,98.738.700,8.985.221.700,0.00%,7.87%,0.00%,2.25%,7.87%,10.42%,ACRO
35,06-10-2025,90,91,86,89,19.078.700,1.698.004.300,1.12%,2.25%,-3.37%,0.00%,1.11%,7.69%,ACRO
36,03-10-2025,84,94,84,89,61.124.400,5.440.071.600,-1.18%,10.59%,-1.18%,4.71%,11.90%,12.77%,ACRO
37,02-10-2025,84,87,82,85,8.701.000,739.585.000,0.00%,3.57%,-2.38%,1.19%,3.57%,3.45%,ACRO
38,01-10-2025,86,86,84,84,6.770.300,568.705.200,2.38%,2.38%,0.00%,0.00%,0.00%,3.49%,ACRO
39,30-09-2025,84,86,83,84,6.257.800,525.655.200,1.20%,3.61%,0.00%,1.20%,2.38%,5.81%,ACRO
40,29-09-2025,82,86,81,83,18.404.600,1.527.581.800,0.00%,4.88%,-1.22%,1.22%,4.88%,6.98%,ACRO
41,26-09-2025,82,85,80,82,6.321.200,518.338.400,0.00%,3.66%,-2.44%,0.00%,3.66%,4.71%,ACRO
42,25-09-2025,85,85,81,82,7.592.200,622.560.400,0.00%,0.00%,-4.71%,-3.53%,0.00%,1.18%,ACRO
43,24-09-2025,87,87,84,85,5.339.900,453.891.500,1.16%,1.16%,-2.33%,-1.16%,0.00%,3.45%,ACRO
44,23-09-2025,85,87,84,86,12.061.600,1.037.297.600,0.00%,2.35%,-1.18%,1.18%,2.35%,3.45%,ACRO
45,22-09-2025,85,86,84,85,3.782.000,321.470.000,0.00%,1.18%,-1.18%,0.00%,1.18%,3.49%,ACRO
46,19-09-2025,85,86,83,85,4.921.200,418.302.000,0.00%,1.18%,-2.35%,0.00%,1.18%,2.33%,ACRO
47,18-09-2025,86,91,84,85,38.869.800,3.303.933.000,1.18%,7.06%,-1.18%,0.00%,5.81%,6.59%,ACRO
48,17-09-2025,87,87,85,85,5.674.600,482.341.000,1.16%,1.16%,-1.16%,-1.16%,0.00%,2.30%,ACRO
49,16-09-2025,86,87,85,86,7.772.100,668.400.600,1.18%,2.35%,0.00%,1.18%,1.16%,3.45%,ACRO
50,15-09-2025,85,90,84,85,30.488.000,2.591.480.000,0.00%,5.88%,-1.18%,0.00%,5.88%,6.67%,ACRO
51,12-09-2025,85,87,84,85,11.671.700,992.094.500,0.00%,2.35%,-1.18%,0.00%,2.35%,4.60%,ACRO
52,11-09-2025,87,87,83,85,11.184.900,950.716.500,3.57%,3.57%,-1.19%,1.19%,0.00%,8.05%,ACRO
53,10-09-2025,80,89,80,84,46.672.100,3.920.456.400,0.00%,11.25%,0.00%,5.00%,11.25%,11.24%,ACRO
54,09-09-2025,83,85,79,80,10.244.900,819.592.000,0.00%,2.41%,-4.82%,-3.61%,2.41%,2.35%,ACRO
55,08-09-2025,86,88,83,83,10.685.600,886.904.800,1.18%,3.53%,-2.35%,-2.35%,2.33%,5.68%,ACRO
56,04-09-2025,83,92,83,85,49.378.000,4.197.130.000,-1.19%,9.52%,-1.19%,1.19%,10.84%,9.78%,ACRO
57,03-09-2025,86,88,83,84,10.604.400,890.769.600,0.00%,2.33%,-3.49%,-2.33%,2.33%,4.55%,ACRO
58,02-09-2025,85,89,84,86,13.689.700,1.177.314.200,2.41%,7.23%,1.20%,3.61%,4.71%,12.36%,ACRO
59,01-09-2025,80,86,78,83,14.217.200,1.180.027.600,-4.76%,2.38%,-7.14%,-1.19%,7.50%,6.98%,ACRO
60,29-08-2025,89,89,80,84,23.266.200,1.954.360.800,0.00%,0.00%,-10.11%,-5.62%,0.00%,2.25%,ACRO
61,28-08-2025,89,91,87,89,13.237.700,1.178.155.300,0.00%,2.25%,-2.25%,0.00%,2.25%,6.59%,ACRO
62,27-08-2025,90,90,85,89,15.736.100,1.400.512.900,0.00%,0.00%,-5.56%,-1.11%,0.00%,3.33%,ACRO
63,26-08-2025,94,95,87,90,40.445.900,3.640.131.000,0.00%,1.06%,-7.45%,-4.26%,1.06%,4.21%,ACRO
64,25-08-2025,95,97,91,94,37.898.900,3.562.496.600,0.00%,2.11%,-4.21%,-1.05%,2.11%,4.12%,ACRO
65,22-08-2025,115,115,93,95,373.431.900,35.476.030.500,16.16%,16.16%,-6.06%,-4.04%,0.00%,36.52%,ACRO
66,21-08-2025,75,99,73,99,352.293.600,34.877.066.400,1.35%,33.78%,-1.35%,33.78%,32.00%,27.27%,ACRO
67,20-08-2025,74,75,72,74,9.258.900,685.158.600,1.37%,2.74%,-1.37%,1.37%,1.35%,4.00%,ACRO
68,19-08-2025,73,77,72,73,28.219.400,2.060.016.200,0.00%,5.48%,-1.37%,0.00%,5.48%,5.19%,ACRO
69,15-08-2025,74,78,73,73,34.950.500,2.551.386.500,0.00%,5.41%,-1.35%,-1.35%,5.41%,6.41%,ACRO
70,14-08-2025,78,78,73,74,20.528.300,1.519.094.200,2.63%,2.63%,-3.95%,-2.63%,0.00%,8.97%,ACRO
