col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ACST
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ACST
1,21-11-2025,138,138,134,135,7.017.100,947.308.500,-0.72%,-0.72%,-3.60%,-2.88%,0.00%,1.45%,ACST
2,20-11-2025,146,146,136,139,20.841.900,2.897.024.100,2.10%,2.10%,-4.90%,-2.80%,0.00%,10.96%,ACST
3,19-11-2025,132,153,130,143,138.234.600,19.767.547.800,0.76%,16.79%,-0.76%,9.16%,15.91%,15.03%,ACST
4,18-11-2025,135,136,130,131,3.144.700,411.955.700,0.75%,1.49%,-2.99%,-2.24%,0.74%,3.68%,ACST
5,17-11-2025,132,135,131,134,4.209.100,564.019.400,0.00%,2.27%,-0.76%,1.52%,2.27%,2.96%,ACST
6,14-11-2025,131,134,131,132,2.471.000,326.172.000,0.00%,2.29%,0.00%,0.76%,2.29%,3.73%,ACST
7,13-11-2025,131,131,129,131,2.467.000,323.177.000,0.77%,0.77%,-0.77%,0.77%,0.00%,1.53%,ACST
8,12-11-2025,130,131,129,130,1.820.300,236.639.000,0.00%,0.77%,-0.77%,0.00%,0.77%,1.53%,ACST
9,11-11-2025,131,131,129,130,2.449.700,318.461.000,0.77%,0.77%,-0.77%,0.00%,0.00%,1.53%,ACST
10,10-11-2025,130,132,129,130,2.179.000,283.270.000,0.00%,1.54%,-0.77%,0.00%,1.54%,1.52%,ACST
11,07-11-2025,131,132,130,130,1.298.300,168.779.000,0.77%,1.54%,0.00%,0.00%,0.76%,2.27%,ACST
12,06-11-2025,132,132,129,130,1.977.700,257.101.000,0.76%,0.76%,-1.53%,-0.76%,0.00%,1.52%,ACST
13,05-11-2025,131,133,130,131,3.276.300,429.195.300,0.00%,1.53%,-0.76%,0.00%,1.53%,1.50%,ACST
14,04-11-2025,136,136,131,131,3.681.500,482.276.500,3.03%,3.03%,-0.76%,-0.76%,0.00%,4.41%,ACST
15,03-11-2025,131,139,130,132,5.627.400,742.816.800,0.77%,6.92%,0.00%,1.54%,6.11%,6.47%,ACST
16,31-10-2025,132,133,130,130,3.323.100,432.003.000,0.00%,0.76%,-1.52%,-1.52%,0.76%,1.50%,ACST
17,30-10-2025,133,134,131,132,6.361.400,839.704.800,-2.21%,-1.47%,-3.68%,-2.94%,0.75%,0.00%,ACST
18,29-10-2025,135,137,134,136,2.075.500,282.268.000,0.00%,1.48%,-0.74%,0.74%,1.48%,1.46%,ACST
19,28-10-2025,138,139,135,135,2.620.100,353.713.500,2.22%,2.96%,0.00%,0.00%,0.72%,4.32%,ACST
20,27-10-2025,136,142,133,135,7.139.400,963.819.000,0.00%,4.41%,-2.21%,-0.74%,4.41%,4.93%,ACST
21,24-10-2025,141,142,135,136,5.065.000,688.840.000,1.44%,2.16%,-2.88%,-2.16%,0.71%,6.34%,ACST
22,23-10-2025,133,144,133,139,22.969.000,3.192.691.000,0.00%,8.27%,0.00%,4.51%,8.27%,11.11%,ACST
23,22-10-2025,137,138,128,133,19.001.600,2.527.212.800,0.74%,1.47%,-5.88%,-2.21%,0.73%,3.62%,ACST
24,21-10-2025,135,137,133,136,2.726.600,370.817.600,1.50%,3.01%,0.00%,2.26%,1.48%,5.11%,ACST
