col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ADHI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ADHI
1,21-11-2025,260,264,258,258,12.651.600,3.264.112.800,0.00%,1.54%,-0.77%,-0.77%,1.54%,3.03%,ADHI
2,20-11-2025,256,274,256,260,122.531.600,31.858.216.000,0.00%,7.03%,0.00%,1.56%,7.03%,6.57%,ADHI
3,19-11-2025,258,260,256,256,4.647.900,1.189.862.400,0.00%,0.78%,-0.78%,-0.78%,0.78%,1.54%,ADHI
4,18-11-2025,260,260,256,258,6.037.700,1.557.726.600,0.00%,0.00%,-1.54%,-0.77%,0.00%,1.54%,ADHI
5,17-11-2025,260,260,256,260,10.697.600,2.781.376.000,0.78%,0.78%,-0.78%,0.78%,0.00%,0.77%,ADHI
6,14-11-2025,258,262,258,258,6.921.900,1.785.850.200,0.00%,1.55%,0.00%,0.00%,1.55%,2.29%,ADHI
7,13-11-2025,260,264,256,258,7.911.500,2.041.167.000,0.00%,1.54%,-1.54%,-0.77%,1.54%,1.52%,ADHI
8,12-11-2025,264,266,260,260,7.620.000,1.981.200.000,0.00%,0.76%,-1.52%,-1.52%,0.76%,1.50%,ADHI
9,11-11-2025,266,268,262,264,10.325.200,2.725.852.800,0.00%,0.75%,-1.50%,-0.75%,0.75%,1.49%,ADHI
10,10-11-2025,268,270,264,266,13.897.000,3.696.602.000,0.00%,0.75%,-1.49%,-0.75%,0.75%,2.22%,ADHI
11,07-11-2025,268,270,264,268,6.951.800,1.863.082.400,0.00%,0.75%,-1.49%,0.00%,0.75%,2.22%,ADHI
12,06-11-2025,266,268,264,268,5.559.100,1.489.838.800,0.00%,0.75%,-0.75%,0.75%,0.75%,1.49%,ADHI
13,05-11-2025,266,268,264,266,8.215.400,2.185.296.400,-0.75%,0.00%,-1.49%,-0.75%,0.75%,1.49%,ADHI
14,04-11-2025,266,272,264,268,18.951.300,5.078.948.400,0.76%,3.03%,0.00%,1.52%,2.26%,3.68%,ADHI
15,03-11-2025,262,268,262,264,9.094.800,2.401.027.200,0.00%,2.29%,0.00%,0.76%,2.29%,2.24%,ADHI
16,31-10-2025,268,268,262,262,4.612.800,1.208.553.600,0.00%,0.00%,-2.24%,-2.24%,0.00%,1.49%,ADHI
17,30-10-2025,266,270,264,268,15.326.100,4.107.394.800,0.00%,1.50%,-0.75%,0.75%,1.50%,2.96%,ADHI
18,29-10-2025,270,270,262,266,10.383.700,2.762.064.200,0.75%,0.75%,-2.24%,-0.75%,0.00%,2.96%,ADHI
19,28-10-2025,264,278,262,268,69.475.900,18.619.541.200,0.00%,5.30%,-0.76%,1.52%,5.30%,6.47%,ADHI
20,27-10-2025,268,272,260,264,20.311.200,5.362.156.800,0.00%,1.49%,-2.99%,-1.49%,1.49%,2.94%,ADHI
21,24-10-2025,268,274,264,268,17.060.600,4.572.240.800,-0.74%,1.48%,-2.22%,-0.74%,2.24%,2.19%,ADHI
22,23-10-2025,272,276,268,270,27.467.600,7.416.252.000,-2.16%,-0.72%,-3.60%,-2.88%,1.47%,5.07%,ADHI
23,22-10-2025,268,282,262,278,52.258.600,14.527.890.800,0.75%,6.02%,-1.50%,4.51%,5.22%,7.80%,ADHI
24,21-10-2025,260,272,260,266,15.489.400,4.120.180.400,0.78%,5.43%,0.78%,3.10%,4.62%,8.82%,ADHI
25,20-10-2025,248,262,248,258,6.192.100,1.597.561.800,0.00%,5.65%,0.00%,4.03%,5.65%,6.11%,ADHI
26,17-10-2025,260,260,246,248,21.739.000,5.391.272.000,0.78%,0.78%,-4.65%,-3.88%,0.00%,1.54%,ADHI
27,16-10-2025,258,260,256,258,3.551.800,916.364.400,0.78%,1.56%,0.00%,0.78%,0.78%,1.54%,ADHI
28,15-10-2025,262,262,256,256,7.821.100,2.002.201.600,0.00%,0.00%,-2.29%,-2.29%,0.00%,2.29%,ADHI
