col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ADMF
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ADMF
1,21-11-2025,8.850,8.850,8.775,8.775,34.200,300.105.000,0.57%,0.57%,-0.28%,-0.28%,0.00%,1.69%,ADMF
2,20-11-2025,8.725,8.800,8.700,8.800,38.800,341.440.000,0.00%,0.86%,-0.29%,0.86%,0.86%,0.85%,ADMF
3,19-11-2025,8.825,8.850,8.725,8.725,131.200,1.144.720.000,0.00%,0.28%,-1.13%,-1.13%,0.28%,0.56%,ADMF
4,18-11-2025,8.875,8.900,8.800,8.825,39.000,344.175.000,0.00%,0.28%,-0.85%,-0.56%,0.28%,1.12%,ADMF
5,17-11-2025,8.825,8.900,8.800,8.875,50.400,447.300.000,-0.28%,0.56%,-0.56%,0.28%,0.85%,1.40%,ADMF
6,14-11-2025,8.875,8.875,8.775,8.850,61.100,540.735.000,0.00%,0.00%,-1.13%,-0.28%,0.00%,0.28%,ADMF
7,13-11-2025,8.850,8.925,8.850,8.875,21.300,189.037.500,0.00%,0.85%,0.00%,0.28%,0.85%,1.12%,ADMF
8,12-11-2025,8.875,8.900,8.825,8.850,21.300,188.505.000,0.57%,0.85%,0.00%,0.28%,0.28%,1.12%,ADMF
9,11-11-2025,8.850,8.875,8.800,8.825,56.800,501.260.000,0.28%,0.57%,-0.28%,0.00%,0.28%,0.85%,ADMF
10,10-11-2025,8.800,8.875,8.800,8.825,85.600,755.420.000,-0.28%,0.57%,-0.28%,0.00%,0.85%,0.56%,ADMF
11,07-11-2025,8.850,8.900,8.825,8.825,69.400,612.455.000,-0.28%,0.28%,-0.56%,-0.56%,0.56%,0.84%,ADMF
12,06-11-2025,8.875,8.900,8.825,8.875,33.000,292.875.000,0.00%,0.28%,-0.56%,0.00%,0.28%,1.12%,ADMF
13,05-11-2025,8.875,8.925,8.800,8.875,49.300,437.537.500,-0.28%,0.28%,-1.12%,-0.28%,0.56%,0.56%,ADMF
14,04-11-2025,8.950,8.975,8.875,8.900,42.800,380.920.000,0.28%,0.56%,-0.56%,-0.28%,0.28%,0.84%,ADMF
15,03-11-2025,8.950,9.025,8.900,8.925,89.400,797.895.000,0.00%,0.84%,-0.56%,-0.28%,0.84%,1.94%,ADMF
16,31-10-2025,8.850,9.075,8.850,8.950,200.900,1.798.055.000,0.00%,2.54%,0.00%,1.13%,2.54%,3.86%,ADMF
17,30-10-2025,8.725,8.850,8.725,8.850,78.100,691.185.000,0.29%,1.72%,0.29%,1.72%,1.43%,1.98%,ADMF
18,29-10-2025,8.675,8.725,8.675,8.700,57.900,503.730.000,-0.57%,0.00%,-0.57%,-0.29%,0.58%,0.86%,ADMF
19,28-10-2025,8.650,8.725,8.650,8.725,59.000,514.775.000,0.29%,1.16%,0.29%,1.16%,0.87%,1.15%,ADMF
20,27-10-2025,8.750,8.750,8.625,8.625,87.800,757.275.000,0.00%,0.00%,-1.43%,-1.43%,0.00%,0.86%,ADMF
21,24-10-2025,8.775,8.775,8.675,8.750,44.300,387.625.000,0.57%,0.57%,-0.57%,0.29%,0.00%,0.85%,ADMF
22,23-10-2025,8.725,8.775,8.700,8.725,54.100,472.022.500,0.29%,0.86%,0.00%,0.29%,0.57%,0.85%,ADMF
23,22-10-2025,8.700,8.750,8.700,8.700,31.000,269.700.000,0.00%,0.57%,0.00%,0.00%,0.57%,1.71%,ADMF
24,21-10-2025,8.700,8.725,8.600,8.700,62.200,541.140.000,0.00%,0.29%,-1.15%,0.00%,0.29%,2.01%,ADMF
25,20-10-2025,8.575,8.700,8.550,8.700,36.800,320.160.000,0.00%,1.46%,-0.29%,1.46%,1.46%,1.72%,ADMF
26,17-10-2025,8.675,8.675,8.550,8.575,81.600,699.720.000,0.00%,0.00%,-1.44%,-1.15%,0.00%,1.15%,ADMF
27,16-10-2025,8.600,8.725,8.575,8.675,42.900,372.157.500,0.00%,1.45%,-0.29%,0.87%,1.45%,1.72%,ADMF
28,15-10-2025,8.650,8.650,8.575,8.600,94.200,810.120.000,0.00%,0.00%,-0.87%,-0.58%,0.00%,0.29%,ADMF
29,14-10-2025,8.650,8.800,8.625,8.650,109.400,946.310.000,0.00%,1.73%,-0.29%,0.00%,1.73%,2.27%,ADMF
30,13-10-2025,8.775,8.800,8.600,8.650,147.500,1.275.875.000,-0.28%,0.00%,-2.27%,-1.70%,0.28%,0.57%,ADMF
31,10-10-2025,8.800,8.925,8.750,8.800,25.100,220.880.000,0.00%,1.42%,-0.57%,0.00%,1.42%,2.52%,ADMF
32,09-10-2025,8.700,8.825,8.700,8.800,91.400,804.320.000,-0.29%,1.15%,-0.29%,0.86%,1.44%,1.70%,ADMF
33,08-10-2025,8.750,8.750,8.675,8.725,82.600,720.685.000,0.00%,0.00%,-0.86%,-0.29%,0.00%,0.29%,ADMF
34,07-10-2025,8.775,8.800,8.725,8.750,67.100,587.125.000,0.29%,0.57%,-0.29%,0.00%,0.28%,1.14%,ADMF
35,06-10-2025,8.775,8.800,8.700,8.750,89.200,780.500.000,0.00%,0.28%,-0.85%,-0.28%,0.28%,0.57%,ADMF
36,03-10-2025,8.825,8.875,8.750,8.775,46.800,410.670.000,0.00%,0.57%,-0.85%,-0.57%,0.57%,1.69%,ADMF
37,02-10-2025,9.000,9.000,8.725,8.825,236.400,2.086.230.000,0.56%,0.56%,-2.51%,-1.40%,0.00%,1.39%,ADMF
38,01-10-2025,8.900,9.000,8.875,8.950,26.800,239.860.000,-0.28%,0.84%,-0.56%,0.28%,1.12%,1.39%,ADMF
39,30-09-2025,9.000,9.025,8.875,8.925,71.100,634.567.500,0.00%,0.28%,-1.39%,-0.83%,0.28%,1.11%,ADMF
40,29-09-2025,8.925,9.000,8.925,9.000,78.900,710.100.000,0.28%,1.12%,0.28%,1.12%,0.84%,1.11%,ADMF
41,26-09-2025,8.925,8.950,8.900,8.900,55.800,496.620.000,0.00%,0.28%,-0.28%,-0.28%,0.28%,0.56%,ADMF
42,25-09-2025,8.950,8.975,8.900,8.925,89.300,797.002.500,0.00%,0.28%,-0.56%,-0.28%,0.28%,0.56%,ADMF
43,24-09-2025,8.975,8.975,8.925,8.950,21.500,192.425.000,0.28%,0.28%,-0.28%,0.00%,0.00%,0.84%,ADMF
44,23-09-2025,8.925,8.975,8.900,8.950,39.600,354.420.000,0.00%,0.56%,-0.28%,0.28%,0.56%,0.56%,ADMF
45,22-09-2025,8.950,9.000,8.925,8.925,38.700,345.397.500,0.00%,0.56%,-0.28%,-0.28%,0.56%,0.83%,ADMF
46,19-09-2025,8.975,9.000,8.925,8.950,22.900,204.955.000,0.00%,0.28%,-0.56%,-0.28%,0.28%,0.56%,ADMF
47,18-09-2025,9.025,9.075,8.950,8.975,149.800,1.344.455.000,0.28%,0.83%,-0.56%,-0.28%,0.55%,1.38%,ADMF
48,17-09-2025,8.975,9.000,8.950,9.000,32.800,295.200.000,0.28%,0.56%,0.00%,0.56%,0.28%,0.83%,ADMF
49,16-09-2025,8.975,8.975,8.925,8.950,33.500,299.825.000,0.56%,0.56%,0.00%,0.28%,0.00%,0.56%,ADMF
50,15-09-2025,8.975,8.975,8.925,8.925,44.700,398.947.500,0.00%,0.00%,-0.56%,-0.56%,0.00%,0.56%,ADMF
51,12-09-2025,8.975,9.000,8.925,8.975,27.100,243.222.500,0.28%,0.56%,-0.28%,0.28%,0.28%,0.83%,ADMF
52,11-09-2025,8.950,9.000,8.925,8.950,41.800,374.110.000,0.00%,0.56%,-0.28%,0.00%,0.56%,1.11%,ADMF
53,10-09-2025,8.900,8.950,8.900,8.950,25.600,229.120.000,0.28%,0.85%,0.28%,0.85%,0.56%,1.12%,ADMF
54,09-09-2025,8.900,8.950,8.850,8.875,94.300,836.912.500,-0.84%,-0.28%,-1.39%,-1.11%,0.56%,-0.28%,ADMF
55,08-09-2025,8.975,9.050,8.975,8.975,50.600,454.135.000,0.00%,0.84%,0.00%,0.00%,0.84%,1.66%,ADMF
56,04-09-2025,9.000,9.025,8.900,8.975,25.000,224.375.000,0.00%,0.28%,-1.11%,-0.28%,0.28%,0.55%,ADMF
57,03-09-2025,9.000,9.000,8.975,9.000,31.400,282.600.000,0.00%,0.00%,-0.28%,0.00%,0.00%,0.83%,ADMF
58,02-09-2025,8.925,9.000,8.925,9.000,27.800,250.200.000,0.00%,0.84%,0.00%,0.84%,0.84%,2.50%,ADMF
59,01-09-2025,8.950,8.950,8.775,8.925,218.000,1.945.650.000,-0.28%,-0.28%,-2.23%,-0.56%,0.00%,0.28%,ADMF
60,29-08-2025,9.050,9.075,8.925,8.975,206.700,1.855.132.500,0.00%,0.28%,-1.38%,-0.83%,0.28%,0.55%,ADMF
61,28-08-2025,9.050,9.075,9.025,9.050,26.500,239.825.000,0.00%,0.28%,-0.28%,0.00%,0.28%,0.28%,ADMF
62,27-08-2025,9.100,9.150,9.050,9.050,23.100,209.055.000,0.55%,1.10%,0.00%,0.00%,0.55%,1.09%,ADMF
63,26-08-2025,9.075,9.100,9.050,9.050,53.500,484.175.000,0.00%,0.28%,-0.28%,-0.28%,0.28%,0.55%,ADMF
64,25-08-2025,9.125,9.150,9.050,9.075,90.000,816.750.000,0.00%,0.27%,-0.82%,-0.55%,0.27%,0.55%,ADMF
65,22-08-2025,9.150,9.150,9.100,9.125,56.700,517.387.500,0.27%,0.27%,-0.27%,0.00%,0.00%,0.55%,ADMF
66,21-08-2025,9.150,9.150,9.100,9.125,19.600,178.850.000,0.00%,0.00%,-0.55%,-0.27%,0.00%,0.82%,ADMF
67,20-08-2025,9.075,9.150,9.075,9.150,107.500,983.625.000,0.00%,0.83%,0.00%,0.83%,0.83%,1.37%,ADMF
68,19-08-2025,9.050,9.125,9.025,9.075,112.100,1.017.307.500,0.00%,0.83%,-0.28%,0.28%,0.83%,0.82%,ADMF
69,15-08-2025,9.125,9.125,9.050,9.050,33.600,304.080.000,0.00%,0.00%,-0.82%,-0.82%,0.00%,0.27%,ADMF
70,14-08-2025,9.100,9.150,9.100,9.125,21.000,191.625.000,0.00%,0.55%,0.00%,0.27%,0.55%,0.82%,ADMF
71,13-08-2025,9.075,9.175,9.075,9.100,65.100,592.410.000,0.28%,1.38%,0.28%,0.55%,1.10%,1.63%,ADMF
72,12-08-2025,9.050,9.075,9.025,9.050,80.000,724.000.000,0.00%,0.28%,-0.28%,0.00%,0.28%,0.55%,ADMF
73,11-08-2025,9.050,9.050,9.025,9.050,69.500,628.975.000,0.00%,0.00%,-0.28%,0.00%,0.00%,0.55%,ADMF
74,08-08-2025,9.025,9.075,9.000,9.050,20.200,182.810.000,0.00%,0.55%,-0.28%,0.28%,0.55%,0.83%,ADMF
75,07-08-2025,9.050,9.075,9.000,9.025,51.800,467.495.000,0.00%,0.28%,-0.55%,-0.28%,0.28%,0.55%,ADMF
76,06-08-2025,9.050,9.075,9.025,9.050,40.700,368.335.000,0.00%,0.28%,-0.28%,0.00%,0.28%,0.83%,ADMF
77,05-08-2025,9.050,9.125,9.000,9.050,42.500,384.625.000,0.56%,1.39%,0.00%,0.56%,0.83%,1.64%,ADMF
78,04-08-2025,9.100,9.100,8.975,9.000,107.200,964.800.000,0.00%,0.00%,-1.37%,-1.10%,0.00%,0.27%,ADMF
79,01-08-2025,9.075,9.125,9.075,9.100,68.500,623.350.000,0.00%,0.55%,0.00%,0.28%,0.55%,0.82%,ADMF
80,31-07-2025,9.175,9.200,9.050,9.075,108.600,985.545.000,0.00%,0.27%,-1.36%,-1.09%,0.27%,1.09%,ADMF
81,30-07-2025,9.150,9.175,9.100,9.175,59.300,544.077.500,0.00%,0.27%,-0.55%,0.27%,0.27%,0.82%,ADMF
82,29-07-2025,9.100,9.200,9.100,9.150,47.600,435.540.000,-0.27%,0.82%,-0.27%,0.27%,1.10%,1.63%,ADMF
83,28-07-2025,9.100,9.150,9.050,9.125,42.000,383.250.000,0.00%,0.55%,-0.55%,0.27%,0.55%,1.09%,ADMF
84,25-07-2025,9.100,9.100,9.050,9.100,85.800,780.780.000,0.00%,0.00%,-0.55%,0.00%,0.00%,0.00%,ADMF
85,24-07-2025,9.150,9.200,9.100,9.100,92.600,842.660.000,0.27%,0.82%,-0.27%,-0.27%,0.55%,1.63%,ADMF
86,23-07-2025,9.150,9.150,9.050,9.125,26.000,237.250.000,0.55%,0.55%,-0.55%,0.27%,0.00%,1.09%,ADMF
87,22-07-2025,9.125,9.175,9.050,9.100,58.900,535.990.000,0.00%,0.55%,-0.82%,-0.27%,0.55%,0.54%,ADMF
88,21-07-2025,9.225,9.300,9.125,9.125,36.900,336.712.500,0.00%,0.81%,-1.08%,-1.08%,0.81%,1.08%,ADMF
89,18-07-2025,9.350,9.350,9.200,9.225,48.200,444.645.000,0.54%,0.54%,-1.08%,-0.81%,0.00%,1.07%,ADMF
90,17-07-2025,9.325,9.350,9.250,9.300,69.200,643.560.000,0.27%,0.54%,-0.54%,0.00%,0.27%,1.60%,ADMF
91,16-07-2025,9.200,9.325,9.200,9.300,202.100,1.879.530.000,0.27%,1.63%,0.27%,1.36%,1.36%,3.22%,ADMF
92,15-07-2025,9.125,9.200,9.025,9.175,79.400,728.495.000,0.00%,0.82%,-1.10%,0.55%,0.82%,1.09%,ADMF
93,14-07-2025,9.125,9.175,9.100,9.125,49.900,455.337.500,0.00%,0.55%,-0.27%,0.00%,0.55%,1.09%,ADMF
94,11-07-2025,9.100,9.200,9.075,9.125,104.300,951.737.500,0.00%,1.10%,-0.27%,0.27%,1.10%,1.63%,ADMF
95,10-07-2025,9.150,9.150,9.050,9.100,18.300,166.530.000,0.55%,0.55%,-0.55%,0.00%,0.00%,1.09%,ADMF
96,09-07-2025,9.050,9.200,9.050,9.100,77.000,700.700.000,0.00%,1.66%,0.00%,0.55%,1.66%,2.45%,ADMF
97,08-07-2025,9.075,9.075,8.975,9.050,14.200,128.510.000,0.00%,0.00%,-1.10%,-0.28%,0.00%,1.10%,ADMF
98,07-07-2025,9.150,9.200,8.975,9.075,71.900,652.492.500,0.27%,0.82%,-1.64%,-0.55%,0.55%,2.72%,ADMF
99,04-07-2025,9.000,9.250,8.950,9.125,143.300,1.307.612.500,1.12%,3.93%,0.56%,2.53%,2.78%,4.59%,ADMF
100,03-07-2025,8.850,8.900,8.825,8.900,64.600,574.940.000,0.00%,0.56%,-0.28%,0.56%,0.56%,1.40%,ADMF
101,02-07-2025,8.850,8.900,8.775,8.850,225.000,1.991.250.000,0.00%,0.56%,-0.85%,0.00%,0.56%,1.40%,ADMF
102,01-07-2025,8.850,8.900,8.775,8.850,39.500,349.575.000,0.28%,0.85%,-0.57%,0.28%,0.56%,1.12%,ADMF
103,30-06-2025,8.875,8.875,8.800,8.825,22.100,195.032.500,0.00%,0.00%,-0.85%,-0.56%,0.00%,0.85%,ADMF
104,26-06-2025,8.850,8.925,8.800,8.875,101.500,900.812.500,0.57%,1.42%,0.00%,0.85%,0.85%,1.40%,ADMF
105,25-06-2025,8.850,8.850,8.800,8.800,4.500,39.600.000,0.00%,0.00%,-0.56%,-0.56%,0.00%,0.85%,ADMF
106,24-06-2025,8.775,8.875,8.775,8.850,8.600,76.110.000,0.29%,1.43%,0.29%,1.14%,1.14%,1.97%,ADMF
107,23-06-2025,8.800,8.800,8.700,8.750,82.600,722.750.000,-0.28%,-0.28%,-1.42%,-0.85%,0.00%,0.85%,ADMF
108,20-06-2025,8.825,8.825,8.725,8.825,85.400,753.655.000,-0.28%,-0.28%,-1.41%,-0.28%,0.00%,1.98%,ADMF
109,19-06-2025,8.975,8.975,8.650,8.850,227.300,2.011.605.000,0.00%,0.00%,-3.62%,-1.39%,0.00%,0.56%,ADMF
110,18-06-2025,9.000,9.025,8.925,8.975,107.800,967.505.000,0.00%,0.28%,-0.83%,-0.28%,0.28%,0.55%,ADMF
111,17-06-2025,9.000,9.025,8.975,9.000,50.300,452.700.000,0.00%,0.28%,-0.28%,0.00%,0.28%,0.83%,ADMF
112,16-06-2025,9.025,9.050,8.950,9.000,64.300,578.700.000,0.56%,0.84%,-0.28%,0.28%,0.28%,1.66%,ADMF
113,13-06-2025,9.000,9.000,8.900,8.975,102.700,921.732.500,0.00%,0.00%,-1.11%,-0.28%,0.00%,0.00%,ADMF
114,12-06-2025,9.000,9.100,9.000,9.000,18.100,162.900.000,0.00%,1.11%,0.00%,0.00%,1.11%,1.65%,ADMF
115,11-06-2025,8.950,9.100,8.950,9.000,48.000,432.000.000,-0.28%,1.39%,-0.28%,0.28%,1.68%,1.65%,ADMF
116,10-06-2025,9.000,9.050,8.950,8.975,36.500,327.587.500,0.00%,0.56%,-0.56%,-0.28%,0.56%,1.93%,ADMF
117,05-06-2025,8.875,9.050,8.875,9.000,58.100,522.900.000,0.00%,1.97%,0.00%,1.41%,1.97%,2.21%,ADMF
118,04-06-2025,8.875,8.925,8.850,8.875,34.100,302.637.500,0.00%,0.56%,-0.28%,0.00%,0.56%,0.84%,ADMF
119,03-06-2025,8.925,8.950,8.850,8.875,75.000,665.625.000,0.00%,0.28%,-0.84%,-0.56%,0.28%,0.56%,ADMF
120,02-06-2025,9.025,9.125,8.900,8.925,94.600,844.305.000,0.00%,1.11%,-1.39%,-1.11%,1.11%,1.64%,ADMF
121,28-05-2025,9.200,9.200,8.975,9.025,350.800,3.165.970.000,0.00%,0.00%,-2.45%,-1.90%,0.00%,1.09%,ADMF
122,27-05-2025,9.100,9.200,9.100,9.200,285.300,2.624.760.000,0.28%,1.38%,0.28%,1.38%,1.10%,2.99%,ADMF
123,26-05-2025,8.925,9.075,8.925,9.075,302.500,2.745.187.500,0.28%,1.97%,0.28%,1.97%,1.68%,2.20%,ADMF
124,23-05-2025,8.900,8.925,8.875,8.875,57.700,512.087.500,0.00%,0.28%,-0.28%,-0.28%,0.28%,0.84%,ADMF
125,22-05-2025,8.875,8.900,8.850,8.900,59.200,526.880.000,0.00%,0.28%,-0.28%,0.28%,0.28%,0.56%,ADMF
126,21-05-2025,8.925,8.950,8.850,8.875,58.700,520.962.500,0.28%,0.56%,-0.56%,-0.28%,0.28%,1.68%,ADMF
127,20-05-2025,8.925,8.950,8.800,8.900,102.600,913.140.000,0.00%,0.28%,-1.40%,-0.28%,0.28%,1.96%,ADMF
128,19-05-2025,8.850,8.925,8.775,8.925,112.700,1.005.847.500,0.00%,0.85%,-0.85%,0.85%,0.85%,1.68%,ADMF
129,16-05-2025,8.850,8.850,8.775,8.850,64.600,571.710.000,0.28%,0.28%,-0.57%,0.28%,0.00%,1.41%,ADMF
130,15-05-2025,8.800,8.925,8.725,8.825,170.800,1.507.310.000,0.28%,1.71%,-0.57%,0.57%,1.42%,1.96%,ADMF
131,14-05-2025,8.800,8.900,8.750,8.775,67.500,592.312.500,0.57%,1.71%,0.00%,0.29%,1.14%,1.97%,ADMF
132,09-05-2025,8.900,8.900,8.725,8.750,48.600,425.250.000,1.42%,1.42%,-0.57%,-0.28%,0.00%,1.97%,ADMF
133,08-05-2025,8.900,8.925,8.725,8.775,258.800,2.270.970.000,0.00%,0.28%,-1.97%,-1.40%,0.28%,1.12%,ADMF
134,07-05-2025,8.850,8.925,8.825,8.900,213.600,1.901.040.000,0.00%,0.85%,-0.28%,0.56%,0.85%,1.12%,ADMF
135,06-05-2025,8.900,8.925,8.825,8.850,48.500,429.225.000,0.00%,0.28%,-0.84%,-0.56%,0.28%,1.40%,ADMF
136,05-05-2025,8.975,9.000,8.800,8.900,112.300,999.470.000,0.28%,0.56%,-1.68%,-0.56%,0.28%,1.11%,ADMF
137,02-05-2025,9.000,9.075,8.900,8.950,232.500,2.080.875.000,1.69%,2.54%,0.56%,1.13%,0.83%,3.58%,ADMF
138,30-04-2025,10.400,10.400,8.750,8.850,1.577.900,13.964.415.000,19.88%,19.88%,0.86%,2.02%,0.00%,16.83%,ADMF
139,29-04-2025,8.675,8.700,8.650,8.675,91.300,792.027.500,0.00%,0.29%,-0.29%,0.00%,0.29%,1.15%,ADMF
140,28-04-2025,8.650,8.700,8.600,8.675,148.600,1.289.105.000,0.58%,1.16%,0.00%,0.87%,0.58%,2.01%,ADMF
141,25-04-2025,8.600,8.650,8.525,8.600,62.800,540.080.000,0.58%,1.17%,-0.29%,0.58%,0.58%,1.16%,ADMF
142,24-04-2025,8.625,8.650,8.550,8.550,83.800,716.490.000,0.29%,0.58%,-0.58%,-0.58%,0.29%,1.73%,ADMF
143,23-04-2025,8.500,8.700,8.500,8.600,82.600,710.360.000,0.00%,2.35%,0.00%,1.18%,2.35%,3.45%,ADMF
144,22-04-2025,8.450,8.500,8.400,8.500,44.200,375.700.000,0.00%,0.59%,-0.59%,0.59%,0.59%,1.18%,ADMF
145,21-04-2025,8.450,8.575,8.400,8.450,68.000,574.600.000,0.00%,1.48%,-0.59%,0.00%,1.48%,2.04%,ADMF
146,17-04-2025,8.575,8.575,8.400,8.450,169.300,1.430.585.000,0.29%,0.29%,-1.75%,-1.17%,0.00%,0.58%,ADMF
147,16-04-2025,8.650,8.675,8.525,8.550,138.600,1.185.030.000,0.00%,0.29%,-1.45%,-1.16%,0.29%,0.29%,ADMF
