col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ADRO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ADRO
1,21-11-2025,1.900,1.900,1.865,1.870,60.223.900,112.618.693.000,-0.26%,-0.26%,-2.10%,-1.84%,0.00%,0.00%,ADRO
2,20-11-2025,1.930,1.940,1.900,1.905,52.140.900,99.328.414.500,0.52%,1.04%,-1.04%,-0.78%,0.52%,3.09%,ADRO
3,19-11-2025,1.890,1.930,1.880,1.920,74.350.800,142.753.536.000,0.53%,2.66%,0.00%,2.13%,2.12%,4.15%,ADRO
4,18-11-2025,1.910,1.920,1.850,1.880,98.428.200,185.045.016.000,0.00%,0.52%,-3.14%,-1.57%,0.52%,3.13%,ADRO
5,17-11-2025,1.880,1.910,1.860,1.910,104.434.200,199.469.322.000,0.00%,1.60%,-1.06%,1.60%,1.60%,1.57%,ADRO
6,14-11-2025,1.920,1.925,1.880,1.880,110.646.200,208.014.856.000,-0.52%,-0.26%,-2.59%,-2.59%,0.26%,-0.26%,ADRO
7,13-11-2025,1.965,1.970,1.930,1.930,89.248.300,172.249.219.000,0.00%,0.25%,-1.78%,-1.78%,0.25%,2.03%,ADRO
8,12-11-2025,1.950,1.980,1.930,1.965,96.844.300,190.299.049.500,0.00%,1.54%,-1.03%,0.77%,1.54%,2.78%,ADRO
9,11-11-2025,1.960,1.975,1.925,1.950,130.750.300,254.963.085.000,0.00%,0.77%,-1.79%,-0.51%,0.77%,2.03%,ADRO
10,10-11-2025,1.965,1.980,1.935,1.960,118.023.700,231.326.452.000,1.03%,1.80%,-0.51%,0.77%,0.76%,3.79%,ADRO
11,07-11-2025,1.925,1.960,1.905,1.945,104.734.700,203.708.991.500,0.26%,2.08%,-0.78%,1.30%,1.82%,3.57%,ADRO
12,06-11-2025,1.890,1.950,1.890,1.920,140.062.300,268.919.616.000,0.00%,3.17%,0.00%,1.59%,3.17%,5.13%,ADRO
13,05-11-2025,1.880,1.900,1.850,1.890,109.993.300,207.887.337.000,-1.31%,-0.26%,-2.89%,-0.79%,1.06%,0.79%,ADRO
14,04-11-2025,1.940,1.955,1.885,1.905,97.432.000,185.607.960.000,0.00%,0.77%,-2.84%,-1.80%,0.77%,3.07%,ADRO
15,03-11-2025,1.895,1.985,1.895,1.940,167.263.300,324.490.802.000,0.53%,5.31%,0.53%,2.92%,4.75%,6.05%,ADRO
16,31-10-2025,1.980,1.985,1.865,1.885,278.129.200,524.273.542.000,0.00%,0.25%,-5.81%,-4.80%,0.25%,3.53%,ADRO
17,30-10-2025,1.955,2.010,1.915,1.980,365.299.800,723.293.604.000,1.03%,3.88%,-1.03%,2.33%,2.81%,11.69%,ADRO
18,29-10-2025,1.785,1.945,1.775,1.935,465.423.400,900.594.279.000,0.00%,8.96%,-0.56%,8.40%,8.96%,8.74%,ADRO
19,28-10-2025,1.795,1.805,1.775,1.785,74.745.100,133.420.003.500,0.56%,1.12%,-0.56%,0.00%,0.56%,3.88%,ADRO
20,27-10-2025,1.760,1.815,1.735,1.785,126.426.000,225.670.410.000,0.00%,3.13%,-1.42%,1.42%,3.13%,3.31%,ADRO
21,24-10-2025,1.790,1.810,1.755,1.760,71.132.100,125.192.496.000,0.00%,1.12%,-1.96%,-1.68%,1.12%,3.04%,ADRO
22,23-10-2025,1.780,1.800,1.755,1.790,61.586.100,110.239.119.000,0.28%,1.41%,-1.13%,0.85%,1.12%,2.50%,ADRO
23,22-10-2025,1.810,1.820,1.755,1.775,120.500.800,213.888.920.000,0.28%,0.83%,-2.77%,-1.66%,0.55%,6.87%,ADRO
24,21-10-2025,1.695,1.835,1.695,1.805,283.345.400,511.438.447.000,0.00%,8.26%,0.00%,6.49%,8.26%,10.08%,ADRO
25,20-10-2025,1.650,1.705,1.650,1.695,71.982.100,122.009.659.500,0.00%,3.33%,0.00%,2.73%,3.33%,3.23%,ADRO
26,17-10-2025,1.675,1.690,1.650,1.650,79.119.300,130.546.845.000,0.00%,0.90%,-1.49%,-1.49%,0.90%,1.18%,ADRO
27,16-10-2025,1.690,1.695,1.670,1.675,43.126.000,72.236.050.000,0.60%,0.89%,-0.60%,-0.30%,0.30%,2.36%,ADRO
28,15-10-2025,1.705,1.715,1.655,1.680,84.255.400,141.549.072.000,0.00%,0.59%,-2.93%,-1.47%,0.59%,1.75%,ADRO
29,14-10-2025,1.730,1.770,1.685,1.705,142.592.200,243.119.701.000,0.29%,2.61%,-2.32%,-1.16%,2.31%,4.52%,ADRO
30,13-10-2025,1.725,1.775,1.690,1.725,115.736.300,199.645.117.500,-1.43%,1.43%,-3.43%,-1.43%,2.90%,3.10%,ADRO
31,10-10-2025,1.735,1.785,1.720,1.750,149.046.300,260.831.025.000,0.29%,3.18%,-0.58%,1.16%,2.88%,4.48%,ADRO
32,09-10-2025,1.865,1.880,1.705,1.730,486.714.100,842.015.393.000,0.81%,1.62%,-7.84%,-6.49%,0.80%,13.56%,ADRO
33,08-10-2025,1.650,1.850,1.625,1.850,324.208.100,599.784.985.000,0.00%,12.12%,-1.52%,12.12%,12.12%,11.62%,ADRO
34,07-10-2025,1.665,1.665,1.635,1.650,91.088.500,150.296.025.000,0.60%,0.60%,-1.21%,-0.30%,0.00%,0.90%,ADRO
35,06-10-2025,1.665,1.690,1.650,1.655,65.170.200,107.856.681.000,0.30%,1.81%,-0.60%,-0.30%,1.50%,2.37%,ADRO
36,03-10-2025,1.665,1.680,1.650,1.660,53.013.900,88.003.074.000,-0.30%,0.60%,-1.20%,-0.60%,0.90%,0.60%,ADRO
37,02-10-2025,1.675,1.705,1.670,1.670,49.443.100,82.569.977.000,0.30%,2.10%,0.00%,0.00%,1.79%,2.35%,ADRO
38,01-10-2025,1.700,1.705,1.665,1.670,55.169.300,92.132.731.000,0.59%,0.89%,-1.48%,-1.18%,0.29%,0.88%,ADRO
39,30-09-2025,1.730,1.740,1.690,1.690,75.864.300,128.210.667.000,0.29%,0.87%,-2.03%,-2.03%,0.58%,2.59%,ADRO
