col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AEGS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AEGS
1,21-11-2025,81,81,73,74,62.731.800,4.642.153.200,0.00%,0.00%,-9.88%,-8.64%,0.00%,0.00%,AEGS
2,20-11-2025,90,96,81,81,88.103.200,7.136.359.200,0.00%,6.67%,-10.00%,-10.00%,6.67%,13.54%,AEGS
3,19-11-2025,92,94,83,90,35.953.200,3.235.788.000,0.00%,2.17%,-9.78%,-2.17%,2.17%,3.19%,AEGS
4,18-11-2025,92,98,91,92,15.570.600,1.432.495.200,1.10%,7.69%,0.00%,1.10%,6.52%,14.29%,AEGS
5,17-11-2025,88,95,84,91,17.277.500,1.572.252.500,1.15%,9.20%,-3.45%,4.60%,7.95%,14.74%,AEGS
6,14-11-2025,89,92,81,87,41.697.400,3.627.673.800,0.00%,3.37%,-8.99%,-2.25%,3.37%,18.48%,AEGS
7,13-11-2025,83,91,75,89,47.336.300,4.212.930.700,0.00%,9.64%,-9.64%,7.23%,9.64%,8.79%,AEGS
8,12-11-2025,101,101,83,83,29.149.600,2.419.416.800,9.78%,9.78%,-9.78%,-9.78%,0.00%,23.76%,AEGS
9,11-11-2025,92,92,77,92,47.535.100,4.373.229.200,9.52%,9.52%,-8.33%,9.52%,0.00%,14.13%,AEGS
10,10-11-2025,84,84,79,84,10.522.900,883.923.600,9.09%,9.09%,2.60%,9.09%,0.00%,17.86%,AEGS
11,07-11-2025,71,77,69,77,34.682.100,2.670.521.700,1.43%,10.00%,-1.43%,10.00%,8.45%,22.08%,AEGS
12,06-11-2025,64,70,60,70,52.359.900,3.665.193.000,0.00%,9.38%,-6.25%,9.38%,9.38%,17.14%,AEGS
13,05-11-2025,63,67,58,64,39.938.900,2.556.089.600,0.00%,6.35%,-7.94%,1.59%,6.35%,5.97%,AEGS
14,04-11-2025,69,74,63,63,141.701.100,8.927.169.300,-1.43%,5.71%,-10.00%,-10.00%,7.25%,5.41%,AEGS
15,03-11-2025,84,84,70,70,148.850.500,10.419.535.000,9.09%,9.09%,-9.09%,-9.09%,0.00%,8.33%,AEGS
16,31-10-2025,77,77,77,77,4.217.700,324.762.900,10.00%,10.00%,10.00%,10.00%,0.00%,12.99%,AEGS
