col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AGRO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AGRO
1,21-11-2025,226,228,224,224,10.469.400,2.345.145.600,0.00%,0.88%,-0.88%,-0.88%,0.88%,0.88%,AGRO
2,20-11-2025,226,232,226,226,11.863.700,2.681.196.200,0.00%,2.65%,0.00%,0.00%,2.65%,3.45%,AGRO
3,19-11-2025,228,230,224,226,12.732.900,2.877.635.400,0.00%,0.88%,-1.75%,-0.88%,0.88%,0.87%,AGRO
4,18-11-2025,230,232,228,228,11.566.600,2.637.184.800,0.00%,0.87%,-0.87%,-0.87%,0.87%,2.59%,AGRO
5,17-11-2025,228,232,226,230,10.635.300,2.446.119.000,0.00%,1.75%,-0.88%,0.88%,1.75%,2.59%,AGRO
6,14-11-2025,230,232,226,228,13.276.100,3.026.950.800,0.00%,0.87%,-1.74%,-0.87%,0.87%,1.72%,AGRO
7,13-11-2025,230,236,228,230,23.681.200,5.446.676.000,0.88%,3.51%,0.00%,0.88%,2.61%,3.39%,AGRO
8,12-11-2025,230,232,228,228,6.388.600,1.456.600.800,0.88%,1.75%,0.00%,0.00%,0.87%,2.59%,AGRO
9,11-11-2025,228,230,226,228,8.141.300,1.856.216.400,0.00%,0.88%,-0.88%,0.00%,0.88%,1.74%,AGRO
10,10-11-2025,230,234,226,228,15.415.000,3.514.620.000,0.00%,1.74%,-1.74%,-0.87%,1.74%,3.42%,AGRO
11,07-11-2025,230,230,226,230,8.672.100,1.994.583.000,0.00%,0.00%,-1.74%,0.00%,0.00%,2.61%,AGRO
12,06-11-2025,226,232,224,230,9.646.400,2.218.672.000,0.89%,3.57%,0.00%,2.68%,2.65%,4.31%,AGRO
13,05-11-2025,224,228,222,224,10.046.100,2.250.326.400,0.00%,1.79%,-0.89%,0.00%,1.79%,1.75%,AGRO
