col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AGRS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AGRS
1,21-11-2025,70,70,69,70,10.777.200,754.404.000,0.00%,0.00%,-1.43%,0.00%,0.00%,1.43%,AGRS
2,20-11-2025,71,71,69,70,7.201.600,504.112.000,0.00%,0.00%,-2.82%,-1.41%,0.00%,2.82%,AGRS
3,19-11-2025,72,72,69,71,7.571.900,537.604.900,1.41%,1.41%,-2.82%,0.00%,0.00%,1.39%,AGRS
4,18-11-2025,73,74,71,71,4.322.000,306.862.000,1.39%,2.78%,-1.39%,-1.39%,1.37%,2.70%,AGRS
5,17-11-2025,72,75,72,72,7.622.700,548.834.400,0.00%,4.17%,0.00%,0.00%,4.17%,4.00%,AGRS
6,14-11-2025,74,74,72,72,2.902.900,209.008.800,0.00%,0.00%,-2.70%,-2.70%,0.00%,2.70%,AGRS
7,13-11-2025,72,75,72,74,6.157.900,455.684.600,0.00%,4.17%,0.00%,2.78%,4.17%,4.00%,AGRS
8,12-11-2025,73,74,72,72,5.259.600,378.691.200,0.00%,1.37%,-1.37%,-1.37%,1.37%,4.05%,AGRS
9,11-11-2025,73,74,71,73,5.756.800,420.246.400,1.39%,2.78%,-1.39%,1.39%,1.37%,2.70%,AGRS
10,10-11-2025,72,75,72,72,23.867.300,1.718.445.600,1.41%,5.63%,1.41%,1.41%,4.17%,6.67%,AGRS
11,07-11-2025,71,73,70,71,4.958.200,352.032.200,1.43%,4.29%,0.00%,1.43%,2.82%,5.48%,AGRS
12,06-11-2025,70,71,69,70,3.082.300,215.761.000,0.00%,1.43%,-1.43%,0.00%,1.43%,2.82%,AGRS
13,05-11-2025,70,71,69,70,1.216.800,85.176.000,0.00%,1.43%,-1.43%,0.00%,1.43%,2.82%,AGRS
14,04-11-2025,70,71,69,70,6.345.700,444.199.000,0.00%,1.43%,-1.43%,0.00%,1.43%,2.82%,AGRS
15,03-11-2025,71,71,69,70,5.639.000,394.730.000,1.43%,1.43%,-1.43%,0.00%,0.00%,2.82%,AGRS
16,31-10-2025,70,71,69,70,1.924.600,134.722.000,0.00%,1.43%,-1.43%,0.00%,1.43%,2.82%,AGRS
17,30-10-2025,70,71,69,70,2.911.100,203.777.000,0.00%,1.43%,-1.43%,0.00%,1.43%,2.82%,AGRS
18,29-10-2025,70,71,69,70,1.353.700,94.759.000,0.00%,1.43%,-1.43%,0.00%,1.43%,2.82%,AGRS
19,28-10-2025,69,72,69,70,3.478.300,243.481.000,0.00%,4.35%,0.00%,1.45%,4.35%,5.56%,AGRS
20,27-10-2025,69,70,68,69,1.811.100,124.965.900,-1.43%,0.00%,-2.86%,-1.43%,1.45%,2.86%,AGRS
21,24-10-2025,69,70,68,70,2.326.200,162.834.000,0.00%,1.45%,-1.45%,1.45%,1.45%,2.86%,AGRS
22,23-10-2025,69,70,68,69,3.948.700,272.460.300,0.00%,1.45%,-1.45%,0.00%,1.45%,2.86%,AGRS
23,22-10-2025,69,71,68,69,5.430.000,374.670.000,0.00%,2.90%,-1.45%,0.00%,2.90%,4.23%,AGRS
24,21-10-2025,69,70,68,69,5.500.200,379.513.800,0.00%,1.45%,-1.45%,0.00%,1.45%,7.14%,AGRS
25,20-10-2025,67,70,65,69,6.134.800,423.301.200,0.00%,4.48%,-2.99%,2.99%,4.48%,7.14%,AGRS
26,17-10-2025,69,69,65,67,6.511.300,436.257.100,0.00%,0.00%,-5.80%,-2.90%,0.00%,2.90%,AGRS
27,16-10-2025,70,70,67,69,6.058.600,418.043.400,0.00%,0.00%,-4.29%,-1.43%,0.00%,1.43%,AGRS
28,15-10-2025,71,71,69,70,2.748.400,192.388.000,1.43%,1.43%,-1.43%,0.00%,0.00%,2.82%,AGRS
29,14-10-2025,72,73,69,70,5.686.000,398.020.000,0.00%,1.39%,-4.17%,-2.78%,1.39%,2.74%,AGRS
30,13-10-2025,73,73,71,72,4.051.500,291.708.000,-1.35%,-1.35%,-4.05%,-2.70%,0.00%,0.00%,AGRS
31,10-10-2025,74,74,73,74,3.987.600,295.082.400,0.00%,0.00%,-1.35%,0.00%,0.00%,2.70%,AGRS
32,09-10-2025,73,74,72,74,5.470.900,404.846.600,0.00%,1.37%,-1.37%,1.37%,1.37%,1.35%,AGRS
33,08-10-2025,74,74,73,73,3.424.700,250.003.100,0.00%,0.00%,-1.35%,-1.35%,0.00%,1.35%,AGRS
34,07-10-2025,76,76,73,74,10.233.100,757.249.400,1.33%,1.33%,-2.67%,-1.33%,0.00%,2.63%,AGRS
35,06-10-2025,78,78,74,75,12.398.500,929.887.500,1.30%,1.30%,-3.90%,-2.60%,0.00%,2.56%,AGRS
36,03-10-2025,78,78,76,77,7.409.000,570.493.000,0.00%,0.00%,-2.56%,-1.28%,0.00%,1.28%,AGRS
37,02-10-2025,77,80,77,78,13.659.100,1.065.409.800,0.00%,3.90%,0.00%,1.30%,3.90%,5.00%,AGRS
38,01-10-2025,77,78,76,77,4.681.500,360.475.500,0.00%,1.30%,-1.30%,0.00%,1.30%,2.56%,AGRS
39,30-09-2025,77,78,76,77,6.864.600,528.574.200,0.00%,1.30%,-1.30%,0.00%,1.30%,3.85%,AGRS
40,29-09-2025,77,78,75,77,6.348.900,488.865.300,1.32%,2.63%,-1.32%,1.32%,1.30%,3.85%,AGRS
41,26-09-2025,76,77,75,76,2.776.700,211.029.200,-1.30%,0.00%,-2.60%,-1.30%,1.32%,1.30%,AGRS
42,25-09-2025,77,79,76,77,7.937.300,611.172.100,0.00%,2.60%,-1.30%,0.00%,2.60%,2.53%,AGRS
43,24-09-2025,79,79,77,77,8.547.900,658.188.300,0.00%,0.00%,-2.53%,-2.53%,0.00%,1.27%,AGRS
44,23-09-2025,80,80,78,79,6.401.200,505.694.800,1.27%,1.27%,-1.27%,0.00%,0.00%,1.25%,AGRS
45,22-09-2025,80,82,79,79,9.196.900,726.555.100,0.00%,2.50%,-1.25%,-1.25%,2.50%,3.66%,AGRS
46,19-09-2025,83,83,79,80,18.439.900,1.475.192.000,1.22%,1.22%,-3.66%,-2.44%,0.00%,7.23%,AGRS
47,18-09-2025,80,93,77,82,149.813.100,12.284.674.200,0.00%,16.25%,-3.75%,2.50%,16.25%,15.05%,AGRS
48,17-09-2025,84,86,79,80,31.561.500,2.524.920.000,1.20%,3.61%,-4.82%,-3.61%,2.38%,9.30%,AGRS
49,16-09-2025,81,86,78,83,92.911.000,7.711.613.000,5.19%,11.69%,1.30%,7.79%,6.17%,12.79%,AGRS
50,15-09-2025,76,78,75,77,5.646.800,434.803.600,1.33%,4.00%,0.00%,2.67%,2.63%,3.85%,AGRS
51,12-09-2025,75,78,75,75,7.949.300,596.197.500,-1.32%,2.63%,-1.32%,-1.32%,4.00%,3.85%,AGRS
52,11-09-2025,75,79,75,76,6.332.300,481.254.800,0.00%,5.33%,0.00%,1.33%,5.33%,7.59%,AGRS
53,10-09-2025,74,79,73,75,23.982.300,1.798.672.500,0.00%,6.76%,-1.35%,1.35%,6.76%,8.86%,AGRS
54,09-09-2025,75,75,72,74,9.567.700,708.009.800,0.00%,0.00%,-4.00%,-1.33%,0.00%,0.00%,AGRS
55,08-09-2025,75,79,75,75,19.776.100,1.483.207.500,-2.60%,2.60%,-2.60%,-2.60%,5.33%,5.06%,AGRS
56,04-09-2025,78,80,75,77,21.784.800,1.677.429.600,0.00%,2.56%,-3.85%,-1.28%,2.56%,3.75%,AGRS
57,03-09-2025,78,79,77,78,5.399.900,421.192.200,0.00%,1.28%,-1.28%,0.00%,1.28%,3.80%,AGRS
58,02-09-2025,77,81,76,78,11.495.900,896.680.200,0.00%,5.19%,-1.30%,1.30%,5.19%,13.58%,AGRS
59,01-09-2025,75,79,70,77,20.292.500,1.562.522.500,-7.41%,-2.47%,-13.58%,-4.94%,5.33%,5.06%,AGRS
60,29-08-2025,85,85,75,81,39.706.400,3.216.218.400,0.00%,0.00%,-11.76%,-4.71%,0.00%,5.88%,AGRS
61,28-08-2025,82,86,80,85,29.965.000,2.547.025.000,1.23%,6.17%,-1.23%,4.94%,4.88%,8.14%,AGRS
62,27-08-2025,82,82,79,81,11.438.600,926.526.600,0.00%,0.00%,-3.66%,-1.22%,0.00%,1.22%,AGRS
63,26-08-2025,84,87,81,82,32.655.500,2.677.751.000,1.20%,4.82%,-2.41%,-1.20%,3.57%,14.94%,AGRS
64,25-08-2025,76,86,74,83,107.948.800,8.959.750.400,1.33%,14.67%,-1.33%,10.67%,13.16%,18.60%,AGRS
65,22-08-2025,71,81,70,75,94.689.200,7.101.690.000,0.00%,14.08%,-1.41%,5.63%,14.08%,12.35%,AGRS
66,21-08-2025,73,73,71,71,7.875.900,559.188.900,0.00%,0.00%,-2.74%,-2.74%,0.00%,5.48%,AGRS
67,20-08-2025,69,73,69,73,13.315.200,972.009.600,0.00%,5.80%,0.00%,5.80%,5.80%,8.22%,AGRS
68,19-08-2025,67,71,67,69,10.459.200,721.684.800,0.00%,5.97%,0.00%,2.99%,5.97%,5.63%,AGRS
69,15-08-2025,69,70,67,67,10.120.200,678.053.400,0.00%,1.45%,-2.90%,-2.90%,1.45%,7.14%,AGRS
70,14-08-2025,66,72,65,69,45.504.200,3.139.789.800,0.00%,9.09%,-1.52%,4.55%,9.09%,9.72%,AGRS
71,13-08-2025,67,68,65,66,5.705.700,376.576.200,0.00%,1.49%,-2.99%,-1.49%,1.49%,5.88%,AGRS
