col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AHAP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AHAP
1,21-11-2025,95,101,95,97,31.320.400,3.038.078.800,1.06%,7.45%,1.06%,3.19%,6.32%,7.92%,AHAP
2,20-11-2025,100,100,93,94,63.979.100,6.014.035.400,0.00%,0.00%,-7.00%,-6.00%,0.00%,0.00%,AHAP
3,19-11-2025,102,112,100,100,260.425.000,26.042.500.000,0.99%,10.89%,-0.99%,-0.99%,9.80%,17.86%,AHAP
4,18-11-2025,95,108,92,101,311.514.200,31.462.934.200,1.06%,14.89%,-2.13%,7.45%,13.68%,18.52%,AHAP
5,17-11-2025,90,94,88,94,24.882.600,2.338.964.400,0.00%,4.44%,-2.22%,4.44%,4.44%,5.32%,AHAP
6,14-11-2025,93,95,89,90,24.195.900,2.177.631.000,2.20%,4.40%,-2.20%,-1.10%,2.15%,5.26%,AHAP
7,13-11-2025,91,96,90,91,39.957.400,3.636.123.400,0.00%,5.49%,-1.10%,0.00%,5.49%,8.33%,AHAP
8,12-11-2025,90,93,88,91,23.847.100,2.170.086.100,0.00%,3.33%,-2.22%,1.11%,3.33%,5.38%,AHAP
9,11-11-2025,90,92,88,90,31.370.900,2.823.381.000,1.12%,3.37%,-1.12%,1.12%,2.22%,5.43%,AHAP
10,10-11-2025,87,90,87,89,14.823.100,1.319.255.900,0.00%,3.45%,0.00%,2.30%,3.45%,4.44%,AHAP
11,07-11-2025,87,88,86,87,5.383.100,468.329.700,1.16%,2.33%,0.00%,1.16%,1.15%,2.27%,AHAP
12,06-11-2025,88,88,86,86,9.203.900,791.535.400,0.00%,0.00%,-2.27%,-2.27%,0.00%,2.27%,AHAP
13,05-11-2025,87,90,86,88,20.297.000,1.786.136.000,0.00%,3.45%,-1.15%,1.15%,3.45%,3.33%,AHAP
