col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AIMS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AIMS
1,21-11-2025,378,384,370,374,310.100,115.977.400,0.00%,1.59%,-2.12%,-1.06%,1.59%,2.60%,AIMS
2,20-11-2025,380,382,374,378,259.300,98.015.400,0.00%,0.53%,-1.58%,-0.53%,0.53%,3.14%,AIMS
3,19-11-2025,378,382,370,380,120.000,45.600.000,0.00%,1.06%,-2.12%,0.53%,1.06%,1.57%,AIMS
4,18-11-2025,392,392,376,378,332.500,125.685.000,0.00%,0.00%,-4.08%,-3.57%,0.00%,13.78%,AIMS
5,17-11-2025,338,394,338,392,973.200,381.494.400,-13.78%,0.51%,-13.78%,0.00%,16.57%,4.57%,AIMS
6,14-11-2025,400,400,376,392,1.257.000,492.744.000,3.63%,3.63%,-2.59%,1.55%,0.00%,4.00%,AIMS
7,13-11-2025,384,440,384,386,2.375.700,917.020.200,0.00%,14.58%,0.00%,0.52%,14.58%,14.09%,AIMS
8,12-11-2025,392,392,378,384,687.700,264.076.800,0.51%,0.51%,-3.08%,-1.54%,0.00%,2.04%,AIMS
9,11-11-2025,392,398,384,390,1.628.100,634.959.000,0.51%,2.05%,-1.54%,0.00%,1.53%,4.02%,AIMS
10,10-11-2025,390,400,382,390,430.200,167.778.000,-2.50%,0.00%,-4.50%,-2.50%,2.56%,5.50%,AIMS
11,07-11-2025,406,416,378,400,2.071.400,828.560.000,0.50%,2.97%,-6.44%,-0.99%,2.46%,6.25%,AIMS
12,06-11-2025,394,454,390,404,7.851.500,3.172.006.000,4.23%,20.11%,3.17%,6.88%,15.23%,17.18%,AIMS
13,05-11-2025,382,394,376,378,369.700,139.746.600,-2.05%,1.03%,-3.59%,-3.08%,3.14%,4.57%,AIMS
14,04-11-2025,390,392,376,390,703.400,274.326.000,0.00%,0.51%,-3.59%,0.00%,0.51%,5.10%,AIMS
