col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AISA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AISA
1,21-11-2025,140,141,139,139,2.217.000,308.163.000,0.00%,0.71%,-0.71%,-0.71%,0.71%,1.42%,AISA
2,20-11-2025,139,142,139,140,6.430.500,900.270.000,-0.71%,1.43%,-0.71%,0.00%,2.16%,2.11%,AISA
3,19-11-2025,143,143,139,140,6.549.800,916.972.000,0.70%,0.70%,-2.11%,-1.41%,0.00%,2.10%,AISA
4,18-11-2025,142,144,140,142,7.358.700,1.044.935.400,0.00%,1.41%,-1.41%,0.00%,1.41%,2.08%,AISA
5,17-11-2025,142,143,141,142,5.443.400,772.962.800,0.00%,0.70%,-0.70%,0.00%,0.70%,1.40%,AISA
6,14-11-2025,143,144,141,142,4.762.200,676.232.400,0.00%,0.70%,-1.40%,-0.70%,0.70%,1.39%,AISA
7,13-11-2025,146,146,142,143,5.547.100,793.235.300,2.10%,2.10%,-0.70%,0.00%,0.00%,3.42%,AISA
8,12-11-2025,141,146,141,143,10.723.300,1.533.431.900,-0.70%,2.82%,-0.70%,0.70%,3.55%,4.11%,AISA
9,11-11-2025,143,145,140,142,12.137.600,1.723.539.200,0.00%,1.40%,-2.10%,-0.70%,1.40%,1.38%,AISA
10,10-11-2025,145,147,143,143,9.886.300,1.413.740.900,0.00%,1.38%,-1.38%,-1.38%,1.38%,2.04%,AISA
11,07-11-2025,146,146,144,145,3.371.300,488.838.500,0.69%,0.69%,-0.69%,0.00%,0.00%,1.37%,AISA
12,06-11-2025,144,148,144,145,11.246.300,1.630.713.500,0.00%,2.78%,0.00%,0.69%,2.78%,2.70%,AISA
13,05-11-2025,146,147,144,144,5.150.000,741.600.000,0.00%,0.68%,-1.37%,-1.37%,0.68%,2.72%,AISA
14,04-11-2025,144,148,143,146,8.061.100,1.176.920.600,0.00%,2.78%,-0.69%,1.39%,2.78%,3.38%,AISA
15,03-11-2025,147,147,143,144,9.896.400,1.425.081.600,1.38%,1.38%,-1.38%,-0.69%,0.00%,4.08%,AISA
16,31-10-2025,148,153,141,145,45.412.500,6.584.812.500,4.96%,8.51%,0.00%,2.84%,3.38%,7.84%,AISA
17,30-10-2025,142,144,141,141,5.309.900,748.695.900,0.71%,2.13%,0.00%,0.00%,1.41%,2.78%,AISA
18,29-10-2025,142,143,140,141,4.844.400,683.060.400,0.00%,0.70%,-1.41%,-0.70%,0.70%,2.10%,AISA
19,28-10-2025,142,143,140,142,5.426.700,770.591.400,0.00%,0.70%,-1.41%,0.00%,0.70%,2.10%,AISA
20,27-10-2025,147,148,140,142,14.704.100,2.087.982.200,2.08%,2.78%,-2.78%,-1.39%,0.68%,5.41%,AISA
21,24-10-2025,143,151,140,144,44.088.700,6.348.772.800,0.70%,6.34%,-1.41%,1.41%,5.59%,10.60%,AISA
22,23-10-2025,136,143,135,142,14.379.600,2.041.903.200,0.00%,5.15%,-0.74%,4.41%,5.15%,6.29%,AISA
23,22-10-2025,138,138,134,136,5.703.900,775.730.400,0.73%,0.73%,-2.19%,-0.73%,0.00%,2.90%,AISA
24,21-10-2025,136,138,134,137,6.137.600,840.851.200,0.00%,1.47%,-1.47%,0.74%,1.47%,6.52%,AISA
25,20-10-2025,130,138,129,136,17.990.300,2.446.680.800,0.00%,6.15%,-0.77%,4.62%,6.15%,5.80%,AISA
26,17-10-2025,136,137,130,130,9.606.500,1.248.845.000,0.74%,1.48%,-3.70%,-3.70%,0.74%,2.92%,AISA
27,16-10-2025,137,138,133,135,5.149.400,695.169.000,1.48%,2.22%,-1.48%,0.00%,0.73%,6.52%,AISA
28,15-10-2025,132,135,129,135,9.868.200,1.332.207.000,0.00%,2.27%,-2.27%,2.27%,2.27%,2.96%,AISA
29,14-10-2025,139,140,131,132,18.331.700,2.419.784.400,0.72%,1.45%,-5.07%,-4.35%,0.72%,2.14%,AISA
30,13-10-2025,141,142,137,138,15.623.000,2.155.974.000,-2.08%,-1.39%,-4.86%,-4.17%,0.71%,-0.70%,AISA
31,10-10-2025,144,148,143,144,5.963.900,858.801.600,0.00%,2.78%,-0.69%,0.00%,2.78%,3.38%,AISA
32,09-10-2025,146,150,143,144,22.891.500,3.296.376.000,2.10%,4.90%,0.00%,0.70%,2.74%,5.33%,AISA
33,08-10-2025,147,150,142,143,19.509.000,2.789.787.000,0.00%,2.04%,-3.40%,-2.72%,2.04%,6.67%,AISA
34,07-10-2025,141,151,140,147,39.748.000,5.842.956.000,0.00%,7.09%,-0.71%,4.26%,7.09%,7.95%,AISA
35,06-10-2025,145,145,139,141,9.453.500,1.332.943.500,1.40%,1.40%,-2.80%,-1.40%,0.00%,3.45%,AISA
36,03-10-2025,144,144,140,143,7.540.600,1.078.305.800,1.41%,1.41%,-1.41%,0.70%,0.00%,2.78%,AISA
37,02-10-2025,143,144,140,142,7.685.600,1.091.355.200,0.00%,0.70%,-2.10%,-0.70%,0.70%,2.78%,AISA
38,01-10-2025,147,153,140,143,47.373.300,6.774.381.900,0.68%,4.79%,-4.11%,-2.05%,4.08%,12.42%,AISA
39,30-09-2025,138,146,134,146,45.304.900,6.614.515.400,0.00%,5.80%,-2.90%,5.80%,5.80%,8.90%,AISA
40,29-09-2025,139,149,133,138,36.384.700,5.021.088.600,0.00%,7.19%,-4.32%,-0.72%,7.19%,8.72%,AISA
41,26-09-2025,140,144,136,139,22.604.400,3.142.011.600,0.00%,2.86%,-2.86%,-0.71%,2.86%,3.47%,AISA
42,25-09-2025,145,148,139,140,21.387.400,2.994.236.000,0.00%,2.07%,-4.14%,-3.45%,2.07%,2.03%,AISA
43,24-09-2025,155,155,145,145,26.667.300,3.866.758.500,1.97%,1.97%,-4.61%,-4.61%,0.00%,5.16%,AISA
44,23-09-2025,151,164,147,152,123.738.700,18.808.282.400,0.00%,8.61%,-2.65%,0.66%,8.61%,13.41%,AISA
45,22-09-2025,148,154,142,151,37.135.300,5.607.430.300,0.00%,4.05%,-4.05%,2.03%,4.05%,5.84%,AISA
46,19-09-2025,153,161,145,148,81.712.400,12.093.435.200,2.00%,7.33%,-3.33%,-1.33%,5.23%,8.70%,AISA
47,18-09-2025,179,183,147,150,183.799.100,27.569.865.000,9.82%,12.27%,-9.82%,-7.98%,2.23%,33.88%,AISA
48,17-09-2025,121,163,121,163,564.757.700,92.055.505.100,0.00%,34.71%,0.00%,34.71%,34.71%,26.38%,AISA
49,16-09-2025,122,122,120,121,3.183.600,385.215.600,0.83%,0.83%,-0.83%,0.00%,0.00%,0.82%,AISA
50,15-09-2025,122,123,121,121,2.642.000,319.682.000,0.83%,1.65%,0.00%,0.00%,0.82%,2.44%,AISA
51,12-09-2025,121,122,120,121,1.752.800,212.088.800,0.00%,0.83%,-0.83%,0.00%,0.83%,1.64%,AISA
52,11-09-2025,120,122,120,121,2.276.000,275.396.000,0.00%,1.67%,0.00%,0.83%,1.67%,2.46%,AISA
53,10-09-2025,120,122,119,120,1.799.700,215.964.000,0.84%,2.52%,0.00%,0.84%,1.67%,3.28%,AISA
54,09-09-2025,121,121,118,119,7.599.500,904.340.500,0.00%,0.00%,-2.48%,-1.65%,0.00%,0.00%,AISA
55,08-09-2025,123,126,121,121,6.984.000,845.064.000,0.00%,2.44%,-1.63%,-1.63%,2.44%,3.97%,AISA
56,04-09-2025,121,130,121,123,23.626.100,2.906.010.300,0.00%,7.44%,0.00%,1.65%,7.44%,10.00%,AISA
57,03-09-2025,117,123,117,121,8.303.300,1.004.699.300,0.00%,5.13%,0.00%,3.42%,5.13%,6.50%,AISA
58,02-09-2025,119,121,115,117,21.201.500,2.480.575.500,0.00%,1.68%,-3.36%,-1.68%,1.68%,6.61%,AISA
59,01-09-2025,115,120,113,119,16.358.800,1.946.697.200,-4.96%,-0.83%,-6.61%,-1.65%,4.35%,0.00%,AISA
60,29-08-2025,125,125,120,121,17.005.800,2.057.701.800,0.00%,0.00%,-4.00%,-3.20%,0.00%,0.80%,AISA
61,28-08-2025,125,128,124,125,14.795.800,1.849.475.000,0.00%,2.40%,-0.80%,0.00%,2.40%,3.91%,AISA
62,27-08-2025,125,126,123,125,4.213.400,526.675.000,0.00%,0.80%,-1.60%,0.00%,0.80%,1.59%,AISA
63,26-08-2025,128,130,124,125,8.015.100,1.001.887.500,0.00%,1.56%,-3.13%,-2.34%,1.56%,3.08%,AISA
64,25-08-2025,128,129,126,128,4.283.500,548.288.000,1.59%,2.38%,0.00%,1.59%,0.78%,2.33%,AISA
65,22-08-2025,128,131,126,126,4.964.200,625.489.200,0.00%,2.34%,-1.56%,-1.56%,2.34%,5.34%,AISA
66,21-08-2025,124,130,124,128,16.204.800,2.074.214.400,0.00%,4.84%,0.00%,3.23%,4.84%,6.92%,AISA
67,20-08-2025,123,125,121,124,5.088.500,630.974.000,0.00%,1.63%,-1.63%,0.81%,1.63%,4.00%,AISA
68,19-08-2025,120,124,120,123,7.593.800,934.037.400,0.00%,3.33%,0.00%,2.50%,3.33%,3.23%,AISA
69,15-08-2025,127,127,120,120,25.274.500,3.032.940.000,1.60%,1.60%,-4.00%,-4.00%,0.00%,1.57%,AISA
70,14-08-2025,127,128,125,125,8.711.300,1.088.912.500,0.00%,0.79%,-1.57%,-1.57%,0.79%,1.56%,AISA
71,13-08-2025,127,128,126,127,4.705.500,597.598.500,0.00%,0.79%,-0.79%,0.00%,0.79%,1.56%,AISA
72,12-08-2025,130,130,126,127,4.107.100,521.601.700,0.78%,0.78%,-2.33%,-1.55%,0.00%,3.85%,AISA
73,11-08-2025,125,130,125,129,2.874.800,370.849.200,0.00%,4.00%,0.00%,3.20%,4.00%,3.85%,AISA
74,08-08-2025,128,128,125,125,3.357.300,419.662.500,0.00%,0.00%,-2.34%,-2.34%,0.00%,0.78%,AISA
75,07-08-2025,132,132,127,128,5.789.700,741.081.600,1.54%,1.54%,-2.31%,-1.54%,0.00%,6.82%,AISA
76,06-08-2025,125,130,123,130,13.258.400,1.723.592.000,0.00%,4.00%,-1.60%,4.00%,4.00%,9.23%,AISA
77,05-08-2025,125,126,118,125,16.519.800,2.064.975.000,0.00%,0.80%,-5.60%,0.00%,0.80%,2.38%,AISA
78,04-08-2025,126,128,123,125,6.879.600,859.950.000,0.80%,2.40%,-1.60%,0.00%,1.59%,3.91%,AISA
79,01-08-2025,125,130,123,125,7.964.700,995.587.500,-0.79%,3.17%,-2.38%,-0.79%,4.00%,4.62%,AISA
80,31-07-2025,130,131,124,126,9.974.400,1.256.774.400,0.78%,1.55%,-3.88%,-2.33%,0.77%,1.53%,AISA
81,30-07-2025,134,134,129,129,12.992.200,1.675.993.800,0.00%,0.00%,-3.73%,-3.73%,0.00%,1.49%,AISA
82,29-07-2025,137,137,132,134,6.847.000,917.498.000,1.48%,1.48%,-2.22%,-0.74%,0.00%,8.03%,AISA
83,28-07-2025,147,149,126,135,59.522.100,8.035.483.500,0.00%,1.36%,-14.29%,-8.16%,1.36%,2.01%,AISA
84,25-07-2025,147,149,146,147,1.577.800,231.936.600,0.00%,1.36%,-0.68%,0.00%,1.36%,2.01%,AISA
85,24-07-2025,148,150,146,147,1.895.700,278.667.900,0.00%,1.35%,-1.35%,-0.68%,1.35%,2.67%,AISA
86,23-07-2025,149,149,146,148,1.728.500,255.818.000,0.68%,0.68%,-1.35%,0.00%,0.00%,2.01%,AISA
87,22-07-2025,149,150,146,148,3.957.400,585.695.200,0.68%,1.35%,-1.35%,0.00%,0.67%,2.00%,AISA
88,21-07-2025,152,152,147,148,4.103.000,607.244.000,0.00%,0.00%,-3.29%,-2.63%,0.00%,1.32%,AISA
89,18-07-2025,155,156,150,152,6.493.300,986.981.600,0.65%,1.30%,-2.60%,-1.30%,0.65%,2.56%,AISA
90,17-07-2025,155,156,152,154,5.918.800,911.495.200,0.00%,0.65%,-1.94%,-0.65%,0.65%,5.13%,AISA
91,16-07-2025,148,156,148,155,18.386.700,2.849.938.500,0.00%,5.41%,0.00%,4.73%,5.41%,8.33%,AISA
92,15-07-2025,143,153,143,148,10.529.000,1.558.292.000,-1.38%,5.52%,-1.38%,2.07%,6.99%,5.88%,AISA
93,14-07-2025,146,147,144,145,2.874.300,416.773.500,0.00%,0.68%,-1.37%,-0.68%,0.68%,0.68%,AISA
94,11-07-2025,150,153,146,146,8.422.200,1.229.641.200,1.35%,3.38%,-1.35%,-1.35%,2.00%,8.50%,AISA
95,10-07-2025,141,148,140,148,9.925.200,1.468.929.600,1.44%,6.47%,0.72%,6.47%,4.96%,7.43%,AISA
96,09-07-2025,140,140,137,139,1.425.300,198.116.700,0.00%,0.00%,-2.14%,-0.71%,0.00%,2.14%,AISA
97,08-07-2025,137,142,137,140,1.545.900,216.426.000,0.00%,3.65%,0.00%,2.19%,3.65%,3.52%,AISA
98,07-07-2025,140,141,137,137,1.740.800,238.489.600,1.45%,2.17%,-0.72%,-0.72%,0.71%,2.84%,AISA
99,04-07-2025,141,143,137,138,2.352.900,324.700.200,0.00%,1.42%,-2.84%,-2.13%,1.42%,3.50%,AISA
100,03-07-2025,140,143,138,141,1.009.900,142.395.900,0.00%,2.14%,-1.43%,0.71%,2.14%,3.50%,AISA
101,02-07-2025,140,143,138,140,4.994.800,699.272.000,-0.71%,1.42%,-2.13%,-0.71%,2.14%,4.20%,AISA
102,01-07-2025,142,144,137,141,4.089.300,576.591.300,1.43%,2.86%,-2.14%,0.71%,1.41%,4.86%,AISA
103,30-06-2025,139,141,137,140,1.959.000,274.260.000,0.00%,1.44%,-1.44%,0.72%,1.44%,1.42%,AISA
104,26-06-2025,142,142,139,139,2.071.800,287.980.200,1.43%,1.43%,-0.71%,-0.71%,0.00%,1.41%,AISA
105,25-06-2025,145,146,140,140,1.735.200,242.928.000,0.00%,0.69%,-3.45%,-3.45%,0.69%,2.05%,AISA
106,24-06-2025,143,145,143,145,2.195.100,318.289.500,2.88%,4.32%,2.88%,4.32%,1.40%,7.59%,AISA
107,23-06-2025,142,142,134,139,6.370.400,885.485.600,-1.39%,-1.39%,-6.94%,-3.47%,0.00%,0.70%,AISA
108,20-06-2025,144,145,141,144,2.263.300,325.915.200,0.70%,1.40%,-1.40%,0.70%,0.69%,3.45%,AISA
109,19-06-2025,152,154,140,143,11.365.100,1.625.209.300,0.00%,1.32%,-7.89%,-5.92%,1.32%,3.90%,AISA
110,18-06-2025,150,154,148,152,4.132.800,628.185.600,0.00%,2.67%,-1.33%,1.33%,2.67%,2.60%,AISA
111,17-06-2025,153,155,150,150,3.384.900,507.735.000,0.00%,1.31%,-1.96%,-1.96%,1.31%,3.23%,AISA
112,16-06-2025,155,159,150,153,8.008.400,1.225.285.200,0.00%,2.58%,-3.23%,-1.29%,2.58%,3.77%,AISA
113,13-06-2025,159,159,153,155,4.231.400,655.867.000,0.00%,0.00%,-3.77%,-2.52%,0.00%,1.26%,AISA
114,12-06-2025,160,160,157,159,3.223.900,512.600.100,0.00%,0.00%,-1.88%,-0.63%,0.00%,3.75%,AISA
115,11-06-2025,158,164,154,160,12.795.500,2.047.280.000,0.00%,3.80%,-2.53%,1.27%,3.80%,10.37%,AISA
116,10-06-2025,151,162,147,158,24.402.000,3.855.516.000,0.67%,8.00%,-2.00%,5.33%,7.28%,14.20%,AISA
117,05-06-2025,140,153,139,150,22.157.600,3.323.640.000,0.00%,9.29%,-0.71%,7.14%,9.29%,14.38%,AISA
