col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AKRA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AKRA
1,21-11-2025,1.280,1.300,1.275,1.290,10.733.100,13.845.699.000,0.39%,1.96%,0.00%,1.18%,1.56%,2.69%,AKRA
2,20-11-2025,1.345,1.355,1.265,1.275,38.891.400,49.586.535.000,0.37%,1.12%,-5.60%,-4.85%,0.74%,3.69%,AKRA
3,19-11-2025,1.345,1.355,1.305,1.340,35.019.100,46.925.594.000,0.00%,0.74%,-2.97%,-0.37%,0.74%,7.01%,AKRA
4,18-11-2025,1.275,1.360,1.260,1.345,82.461.500,110.910.717.500,0.00%,6.67%,-1.18%,5.49%,6.67%,10.29%,AKRA
5,17-11-2025,1.230,1.430,1.220,1.275,32.981.600,42.051.540.000,0.00%,16.26%,-0.81%,3.66%,16.26%,14.69%,AKRA
6,14-11-2025,1.245,1.250,1.220,1.230,9.916.900,12.197.787.000,0.40%,0.81%,-1.61%,-0.81%,0.40%,1.20%,AKRA
7,13-11-2025,1.255,1.255,1.235,1.240,6.951.900,8.620.356.000,0.00%,0.00%,-1.59%,-1.20%,0.00%,2.39%,AKRA
8,12-11-2025,1.225,1.260,1.225,1.255,16.520.200,20.732.851.000,0.00%,2.86%,0.00%,2.45%,2.86%,3.97%,AKRA
9,11-11-2025,1.220,1.240,1.210,1.225,13.260.000,16.243.500.000,0.83%,2.48%,0.00%,1.24%,1.64%,2.42%,AKRA
10,10-11-2025,1.250,1.250,1.210,1.210,19.988.600,24.186.206.000,0.00%,0.00%,-3.20%,-3.20%,0.00%,1.20%,AKRA
11,07-11-2025,1.250,1.255,1.235,1.250,9.832.800,12.291.000.000,0.40%,0.80%,-0.80%,0.40%,0.40%,1.99%,AKRA
12,06-11-2025,1.235,1.260,1.230,1.245,16.070.600,20.007.897.000,0.00%,2.02%,-0.40%,0.81%,2.02%,3.17%,AKRA
13,05-11-2025,1.270,1.270,1.220,1.235,36.271.600,44.795.426.000,0.00%,0.00%,-3.94%,-2.76%,0.00%,2.36%,AKRA
14,04-11-2025,1.255,1.270,1.240,1.270,30.699.300,38.988.111.000,0.40%,1.60%,-0.80%,1.60%,1.20%,4.33%,AKRA
15,03-11-2025,1.220,1.270,1.215,1.250,50.402.400,63.003.000.000,0.00%,4.10%,-0.41%,2.46%,4.10%,5.51%,AKRA
16,31-10-2025,1.205,1.235,1.200,1.220,44.720.900,54.559.498.000,0.00%,2.49%,-0.41%,1.24%,2.49%,2.83%,AKRA
17,30-10-2025,1.220,1.250,1.200,1.205,49.401.600,59.528.928.000,0.00%,2.46%,-1.64%,-1.23%,2.46%,4.00%,AKRA
18,29-10-2025,1.200,1.240,1.200,1.220,41.887.600,51.102.872.000,-0.83%,2.48%,-0.83%,0.83%,3.33%,4.03%,AKRA
19,28-10-2025,1.230,1.230,1.190,1.210,27.306.900,33.041.349.000,1.23%,1.23%,-2.06%,-0.41%,0.00%,1.63%,AKRA
20,27-10-2025,1.230,1.260,1.210,1.215,70.441.000,85.585.815.000,1.65%,4.13%,0.00%,0.41%,2.44%,8.73%,AKRA
21,24-10-2025,1.150,1.235,1.150,1.210,124.769.100,150.970.611.000,3.14%,10.76%,3.14%,8.52%,7.39%,11.34%,AKRA
22,23-10-2025,1.105,1.130,1.095,1.115,23.455.400,26.152.771.000,0.91%,3.20%,0.00%,1.83%,2.26%,3.10%,AKRA
