col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AMAG
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AMAG
1,21-11-2025,382,384,378,384,61.900,23.769.600,0.00%,0.52%,-1.05%,0.52%,0.52%,2.08%,AMAG
2,20-11-2025,380,382,376,382,78.800,30.101.600,0.00%,0.53%,-1.05%,0.53%,0.53%,1.05%,AMAG
3,19-11-2025,380,382,378,380,77.100,29.298.000,0.53%,1.06%,0.00%,0.53%,0.53%,1.57%,AMAG
4,18-11-2025,378,382,376,378,12.200,4.611.600,0.00%,1.06%,-0.53%,0.00%,1.06%,1.05%,AMAG
5,17-11-2025,380,380,378,378,71.500,27.027.000,0.53%,0.53%,0.00%,0.00%,0.00%,1.58%,AMAG
6,14-11-2025,380,380,374,378,88.200,33.339.600,0.00%,0.00%,-1.58%,-0.53%,0.00%,1.58%,AMAG
7,13-11-2025,378,380,374,380,74.300,28.234.000,-0.53%,0.00%,-1.58%,0.00%,0.53%,3.16%,AMAG
8,12-11-2025,382,382,368,380,173.000,65.740.000,0.53%,0.53%,-3.16%,0.00%,0.00%,1.57%,AMAG
9,11-11-2025,380,382,376,380,134.900,51.262.000,0.53%,1.06%,-0.53%,0.53%,0.53%,2.09%,AMAG
10,10-11-2025,380,380,374,378,257.800,97.448.400,0.00%,0.00%,-1.58%,-0.53%,0.00%,1.58%,AMAG
11,07-11-2025,380,384,374,380,164.100,62.358.000,0.00%,1.05%,-1.58%,0.00%,1.05%,2.08%,AMAG
12,06-11-2025,380,382,376,380,107.500,40.850.000,1.06%,1.60%,0.00%,1.06%,0.53%,2.62%,AMAG
13,05-11-2025,380,382,372,376,244.300,91.856.800,0.00%,0.53%,-2.11%,-1.05%,0.53%,2.62%,AMAG
14,04-11-2025,378,382,372,380,354.900,134.862.000,-0.53%,0.53%,-2.11%,0.00%,1.06%,1.57%,AMAG
15,03-11-2025,382,388,376,380,356.300,135.394.000,1.60%,3.19%,0.00%,1.06%,1.57%,4.64%,AMAG
16,31-10-2025,376,378,370,376,177.100,66.589.600,0.00%,0.53%,-1.60%,0.00%,0.53%,2.65%,AMAG
17,30-10-2025,374,376,368,376,349.800,131.524.800,0.00%,0.53%,-1.60%,0.53%,0.53%,2.13%,AMAG
18,29-10-2025,368,376,368,374,168.300,62.944.200,-2.65%,-0.53%,-2.65%,-1.06%,2.17%,2.13%,AMAG
19,28-10-2025,380,382,368,378,1.023.100,386.731.800,0.00%,0.53%,-3.16%,-0.53%,0.53%,3.14%,AMAG
20,27-10-2025,378,382,370,380,2.355.400,895.052.000,4.42%,5.52%,2.21%,4.97%,1.06%,6.28%,AMAG
21,24-10-2025,362,366,358,362,236.800,85.721.600,1.69%,2.81%,0.56%,1.69%,1.10%,4.92%,AMAG
22,23-10-2025,350,362,348,356,283.500,100.926.000,0.57%,4.02%,0.00%,2.30%,3.43%,5.52%,AMAG
23,22-10-2025,346,352,342,348,190.400,66.259.200,0.00%,1.73%,-1.16%,0.58%,1.73%,2.27%,AMAG
24,21-10-2025,346,370,344,346,651.800,225.522.800,0.00%,6.94%,-0.58%,0.00%,6.94%,8.11%,AMAG
25,20-10-2025,346,348,340,346,113.200,39.167.200,0.00%,0.58%,-1.73%,0.00%,0.58%,1.72%,AMAG
26,17-10-2025,346,348,342,346,38.700,13.390.200,-0.57%,0.00%,-1.72%,-0.57%,0.58%,1.15%,AMAG
27,16-10-2025,348,348,344,348,30.100,10.474.800,-0.57%,-0.57%,-1.71%,-0.57%,0.00%,1.72%,AMAG
28,15-10-2025,352,352,342,350,128.400,44.940.000,0.00%,0.00%,-2.84%,-0.57%,0.00%,0.57%,AMAG
29,14-10-2025,350,358,350,352,49.900,17.564.800,-0.57%,1.70%,-0.57%,0.00%,2.29%,2.23%,AMAG
30,13-10-2025,352,356,350,352,65.800,23.161.600,-1.12%,0.00%,-1.69%,-1.12%,1.14%,1.12%,AMAG
31,10-10-2025,358,358,352,356,38.500,13.706.000,0.00%,0.00%,-1.68%,-0.56%,0.00%,3.35%,AMAG
32,09-10-2025,352,360,346,358,78.400,28.067.200,0.00%,2.27%,-1.70%,1.70%,2.27%,2.78%,AMAG
