col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AMFG
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AMFG
1,21-11-2025,3.290,3.350,3.280,3.300,58.200,192.060.000,-0.60%,1.21%,-0.91%,-0.30%,1.82%,1.49%,AMFG
2,20-11-2025,3.300,3.350,3.300,3.310,68.100,225.411.000,0.00%,1.52%,0.00%,0.30%,1.52%,2.09%,AMFG
3,19-11-2025,3.470,3.470,3.280,3.300,211.700,698.610.000,0.00%,0.00%,-5.48%,-4.90%,0.00%,3.46%,AMFG
4,18-11-2025,3.480,3.500,3.350,3.470,20.900,72.523.000,0.00%,0.57%,-3.74%,-0.29%,0.57%,1.71%,AMFG
5,17-11-2025,3.480,3.530,3.440,3.480,15.700,54.636.000,-0.85%,0.57%,-1.99%,-0.85%,1.44%,1.13%,AMFG
6,14-11-2025,3.500,3.550,3.490,3.510,7.600,26.676.000,-1.41%,0.00%,-1.69%,-1.13%,1.43%,1.97%,AMFG
7,13-11-2025,3.530,3.550,3.480,3.550,20.700,73.485.000,0.00%,0.57%,-1.42%,0.57%,0.57%,2.54%,AMFG
8,12-11-2025,3.540,3.540,3.460,3.530,5.300,18.709.000,0.00%,0.00%,-2.26%,-0.28%,0.00%,1.41%,AMFG
9,11-11-2025,3.530,3.540,3.490,3.540,14.400,50.976.000,0.00%,0.28%,-1.13%,0.28%,0.28%,1.13%,AMFG
10,10-11-2025,3.560,3.560,3.500,3.530,29.700,104.841.000,0.00%,0.00%,-1.69%,-0.84%,0.00%,1.69%,AMFG
11,07-11-2025,3.510,3.560,3.500,3.560,17.800,63.368.000,-2.50%,-1.11%,-2.78%,-1.11%,1.42%,1.69%,AMFG
12,06-11-2025,3.560,3.600,3.500,3.600,9.600,34.560.000,-1.11%,0.00%,-2.78%,0.00%,1.12%,0.56%,AMFG
13,05-11-2025,3.600,3.650,3.580,3.600,6.200,22.320.000,0.00%,1.39%,-0.56%,0.00%,1.39%,3.84%,AMFG
14,04-11-2025,3.640,3.640,3.510,3.600,35.500,127.800.000,-0.27%,-0.27%,-3.84%,-1.37%,0.00%,2.20%,AMFG
15,03-11-2025,3.570,3.670,3.560,3.650,18.500,67.525.000,0.00%,2.80%,-0.28%,2.24%,2.80%,4.36%,AMFG
16,31-10-2025,3.630,3.630,3.510,3.570,5.500,19.635.000,0.00%,0.00%,-3.31%,-1.65%,0.00%,2.20%,AMFG
17,30-10-2025,3.650,3.650,3.550,3.630,4.700,17.061.000,0.00%,0.00%,-2.74%,-0.55%,0.00%,2.19%,AMFG
18,29-10-2025,3.640,3.700,3.570,3.650,2.300,8.395.000,0.00%,1.65%,-1.92%,0.27%,1.65%,2.43%,AMFG
19,28-10-2025,3.610,3.680,3.610,3.640,2.400,8.736.000,-1.10%,0.82%,-1.10%,-0.27%,1.94%,4.35%,AMFG
20,27-10-2025,3.630,3.650,3.520,3.650,14.000,51.100.000,0.00%,0.55%,-3.03%,0.55%,0.55%,1.92%,AMFG
21,24-10-2025,3.590,3.700,3.580,3.630,91.700,332.871.000,0.00%,3.06%,-0.28%,1.11%,3.06%,5.14%,AMFG
22,23-10-2025,3.520,3.590,3.510,3.590,56.200,201.758.000,0.00%,1.99%,-0.28%,1.99%,1.99%,5.85%,AMFG
23,22-10-2025,3.550,3.550,3.380,3.520,50.100,176.352.000,0.00%,0.00%,-4.79%,-0.85%,0.00%,7.04%,AMFG
24,21-10-2025,3.320,3.550,3.300,3.550,46.400,164.720.000,-2.06%,4.72%,-2.65%,4.72%,6.93%,4.79%,AMFG
25,20-10-2025,3.380,3.400,3.380,3.390,15.600,52.884.000,0.00%,0.59%,0.00%,0.30%,0.59%,0.88%,AMFG
26,17-10-2025,3.420,3.420,3.370,3.380,3.300,11.154.000,0.00%,0.00%,-1.46%,-1.17%,0.00%,0.00%,AMFG
27,16-10-2025,3.420,3.420,3.420,3.420,300,1.026.000,0.00%,0.00%,0.00%,0.00%,0.00%,2.92%,AMFG
28,15-10-2025,3.330,3.420,3.320,3.420,7.600,25.992.000,-2.63%,0.00%,-2.92%,0.00%,2.70%,2.92%,AMFG
29,14-10-2025,3.340,3.460,3.320,3.420,31.200,106.704.000,-3.19%,0.29%,-3.77%,-0.87%,3.59%,2.89%,AMFG
30,13-10-2025,3.450,3.480,3.360,3.450,17.200,59.340.000,0.00%,0.87%,-2.61%,0.00%,0.87%,4.60%,AMFG
31,10-10-2025,3.400,3.450,3.320,3.450,30.600,105.570.000,-2.58%,-1.15%,-4.87%,-1.15%,1.47%,3.77%,AMFG
32,09-10-2025,3.400,3.490,3.320,3.490,7.700,26.873.000,-2.58%,0.00%,-4.87%,0.00%,2.65%,5.16%,AMFG
33,08-10-2025,3.490,3.500,3.310,3.490,12.200,42.578.000,0.00%,0.29%,-5.16%,0.00%,0.29%,4.29%,AMFG
34,07-10-2025,3.480,3.500,3.350,3.490,4.700,16.403.000,-0.57%,0.00%,-4.29%,-0.29%,0.57%,7.14%,AMFG
35,06-10-2025,3.520,3.520,3.250,3.500,59.900,209.650.000,0.57%,0.57%,-7.14%,0.00%,0.00%,3.13%,AMFG
36,03-10-2025,3.630,3.630,3.410,3.500,52.500,183.750.000,4.61%,4.61%,-1.73%,0.86%,0.00%,6.89%,AMFG
37,02-10-2025,3.380,3.470,3.380,3.470,42.700,148.169.000,0.00%,2.66%,0.00%,2.66%,2.66%,4.90%,AMFG
38,01-10-2025,3.400,3.400,3.300,3.380,20.300,68.614.000,0.59%,0.59%,-2.37%,0.00%,0.00%,0.88%,AMFG
39,30-09-2025,3.370,3.390,3.370,3.380,1.700,5.746.000,-0.30%,0.30%,-0.30%,0.00%,0.59%,2.65%,AMFG
40,29-09-2025,3.320,3.390,3.300,3.380,25.700,86.866.000,-1.78%,0.30%,-2.37%,0.00%,2.11%,2.06%,AMFG
41,26-09-2025,3.350,3.380,3.320,3.380,8.300,28.054.000,0.00%,0.90%,-0.90%,0.90%,0.90%,1.78%,AMFG
42,25-09-2025,3.400,3.400,3.320,3.350,22.300,74.705.000,0.00%,0.00%,-2.35%,-1.47%,0.00%,2.35%,AMFG
43,24-09-2025,3.360,3.400,3.320,3.400,4.600,15.640.000,0.00%,1.19%,-1.19%,1.19%,1.19%,2.35%,AMFG
44,23-09-2025,3.360,3.400,3.320,3.360,10.500,35.280.000,0.00%,1.19%,-1.19%,0.00%,1.19%,3.24%,AMFG
