col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AMIN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AMIN
1,21-11-2025,254,312,250,260,5.179.700,1.346.722.000,0.79%,23.81%,-0.79%,3.17%,22.83%,19.23%,AMIN
2,20-11-2025,260,266,252,252,109.900,27.694.800,0.00%,2.31%,-3.08%,-3.08%,2.31%,2.26%,AMIN
3,19-11-2025,268,268,260,260,35.300,9.178.000,0.00%,0.00%,-2.99%,-2.99%,0.00%,2.24%,AMIN
4,18-11-2025,270,270,262,268,243.000,65.124.000,0.00%,0.00%,-2.96%,-0.74%,0.00%,4.44%,AMIN
5,17-11-2025,264,270,258,270,214.800,57.996.000,-0.75%,1.50%,-3.01%,1.50%,2.27%,2.96%,AMIN
6,14-11-2025,274,274,262,266,119.100,31.680.600,1.48%,1.48%,-2.96%,-1.48%,0.00%,5.11%,AMIN
7,13-11-2025,262,278,260,270,355.700,96.039.000,-0.76%,5.30%,-1.52%,2.27%,6.11%,6.47%,AMIN
8,12-11-2025,262,264,260,264,141.900,37.461.600,0.00%,0.76%,-0.76%,0.76%,0.76%,4.55%,AMIN
9,11-11-2025,260,262,252,262,187.600,49.151.200,0.00%,0.77%,-3.08%,0.77%,0.77%,4.58%,AMIN
10,10-11-2025,254,260,250,260,215.800,56.108.000,-0.78%,1.56%,-2.34%,1.56%,2.36%,2.31%,AMIN
11,07-11-2025,258,262,254,256,46.800,11.980.800,-1.53%,0.00%,-3.05%,-2.29%,1.55%,6.11%,AMIN
12,06-11-2025,254,262,246,262,141.200,36.994.400,0.00%,3.15%,-3.15%,3.15%,3.15%,4.58%,AMIN
13,05-11-2025,258,260,250,254,148.500,37.719.000,0.00%,0.78%,-3.10%,-1.55%,0.78%,1.54%,AMIN
14,04-11-2025,266,266,256,258,196.200,50.619.600,0.00%,0.00%,-3.76%,-3.01%,0.00%,3.76%,AMIN
15,03-11-2025,256,280,256,266,526.400,140.022.400,-4.48%,4.48%,-4.48%,-0.75%,9.38%,10.00%,AMIN
16,31-10-2025,264,268,252,268,297.300,79.676.400,-0.75%,0.75%,-5.26%,0.75%,1.52%,9.70%,AMIN
17,30-10-2025,258,268,242,266,390.500,103.873.000,0.78%,4.69%,-5.47%,3.91%,3.88%,11.94%,AMIN
18,29-10-2025,248,258,236,256,632.900,162.022.400,5.08%,9.32%,0.00%,8.47%,4.03%,8.53%,AMIN
19,28-10-2025,274,282,236,236,2.395.700,565.385.200,-0.72%,2.17%,-14.49%,-14.49%,2.92%,9.93%,AMIN
20,27-10-2025,294,296,254,276,2.448.800,675.868.800,0.00%,0.68%,-13.61%,-6.12%,0.68%,8.78%,AMIN
21,24-10-2025,270,340,270,294,2.179.300,640.714.200,-3.57%,21.43%,-3.57%,5.00%,25.93%,22.35%,AMIN
22,23-10-2025,282,282,264,280,123.700,34.636.000,0.00%,0.00%,-6.38%,-0.71%,0.00%,4.96%,AMIN
23,22-10-2025,284,288,268,282,308.400,86.968.800,-1.39%,0.00%,-6.94%,-2.08%,1.41%,4.86%,AMIN
24,21-10-2025,300,320,274,288,736.700,212.169.600,2.04%,8.84%,-6.80%,-2.04%,6.67%,15.00%,AMIN
25,20-10-2025,284,294,272,294,1.270.700,373.585.800,1.43%,5.00%,-2.86%,5.00%,3.52%,12.24%,AMIN
26,17-10-2025,264,280,258,280,1.327.000,371.560.000,0.00%,6.06%,-2.27%,6.06%,6.06%,13.57%,AMIN
27,16-10-2025,250,280,242,264,943.900,249.189.600,0.00%,12.00%,-3.20%,5.60%,12.00%,15.71%,AMIN
28,15-10-2025,250,250,236,250,445.900,111.475.000,0.00%,0.00%,-5.60%,0.00%,0.00%,6.40%,AMIN
29,14-10-2025,242,252,234,250,811.200,202.800.000,-0.82%,3.28%,-4.10%,2.46%,4.13%,8.73%,AMIN
30,13-10-2025,244,250,230,244,510.800,124.635.200,0.00%,2.46%,-5.74%,0.00%,2.46%,8.80%,AMIN
31,10-10-2025,230,258,228,244,2.526.600,616.490.400,0.00%,12.17%,-0.87%,6.09%,12.17%,13.95%,AMIN
32,09-10-2025,224,238,222,230,357.600,82.248.000,0.00%,6.25%,-0.89%,2.68%,6.25%,7.56%,AMIN
33,08-10-2025,238,238,220,224,834.100,186.838.400,0.00%,0.00%,-7.56%,-5.88%,0.00%,2.52%,AMIN
34,07-10-2025,242,244,232,238,440.500,104.839.000,0.83%,1.67%,-3.33%,-0.83%,0.83%,4.92%,AMIN
35,06-10-2025,238,246,232,240,443.800,106.512.000,1.71%,5.13%,-0.85%,2.56%,3.36%,4.88%,AMIN
