col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ANTM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ANTM
1,21-11-2025,2.980,2.990,2.910,2.910,70.438.500,204.976.035.000,0.00%,0.34%,-2.35%,-2.35%,0.34%,0.33%,ANTM
2,20-11-2025,3.010,3.030,2.980,2.980,60.338.300,179.808.134.000,0.33%,1.00%,-0.67%,-0.67%,0.66%,0.99%,ANTM
3,19-11-2025,3.010,3.050,3.000,3.000,72.939.900,218.819.700.000,0.00%,1.33%,-0.33%,-0.33%,1.33%,1.31%,ANTM
4,18-11-2025,3.060,3.100,3.010,3.010,160.550.100,483.255.801.000,0.00%,1.31%,-1.63%,-1.63%,1.31%,4.52%,ANTM
5,17-11-2025,3.040,3.130,2.960,3.060,258.066.200,789.682.572.000,0.00%,2.96%,-2.63%,0.66%,2.96%,8.63%,ANTM
6,14-11-2025,2.900,3.060,2.860,3.040,247.808.900,753.339.056.000,0.35%,5.88%,-1.04%,5.19%,5.52%,5.88%,ANTM
7,13-11-2025,2.910,2.920,2.880,2.890,69.463.700,200.750.093.000,1.04%,1.39%,0.00%,0.35%,0.34%,2.05%,ANTM
8,12-11-2025,2.900,2.910,2.860,2.880,70.551.600,203.188.608.000,0.69%,1.04%,-0.69%,0.00%,0.34%,1.03%,ANTM
9,11-11-2025,2.940,2.960,2.880,2.880,102.211.800,294.369.984.000,1.03%,1.72%,-1.03%,-1.03%,0.68%,3.04%,ANTM
10,10-11-2025,2.930,2.960,2.870,2.910,156.986.000,456.829.260.000,1.03%,2.07%,-1.03%,0.34%,1.02%,2.03%,ANTM
11,07-11-2025,2.930,2.940,2.900,2.900,91.022.900,263.966.410.000,0.00%,0.34%,-1.02%,-1.02%,0.34%,0.68%,ANTM
12,06-11-2025,2.980,2.980,2.920,2.930,73.006.600,213.909.338.000,0.00%,0.00%,-2.01%,-1.68%,0.00%,2.35%,ANTM
13,05-11-2025,2.950,3.000,2.910,2.980,115.174.300,343.219.414.000,-0.34%,1.35%,-1.69%,0.68%,1.69%,1.33%,ANTM
14,04-11-2025,3.110,3.110,2.960,2.960,173.682.100,514.099.016.000,0.00%,0.00%,-4.82%,-4.82%,0.00%,0.96%,ANTM
15,03-11-2025,3.100,3.130,3.080,3.110,56.974.500,177.190.695.000,0.00%,0.97%,-0.65%,0.32%,0.97%,0.96%,ANTM
16,31-10-2025,3.160,3.180,3.100,3.100,92.327.900,286.216.490.000,1.28%,1.92%,-0.64%,-0.64%,0.63%,1.89%,ANTM
17,30-10-2025,3.200,3.210,3.120,3.120,93.691.300,292.316.856.000,0.00%,0.31%,-2.50%,-2.50%,0.31%,3.12%,ANTM
18,29-10-2025,3.110,3.220,3.110,3.200,91.690.700,293.410.240.000,0.32%,3.87%,0.32%,3.23%,3.54%,6.21%,ANTM
19,28-10-2025,3.120,3.130,3.020,3.100,101.193.900,313.701.090.000,-0.95%,-0.63%,-4.13%,-1.59%,0.32%,0.96%,ANTM
20,27-10-2025,3.150,3.210,3.100,3.150,84.512.600,266.214.690.000,0.64%,2.56%,-0.96%,0.64%,1.90%,2.80%,ANTM
21,24-10-2025,3.190,3.210,3.120,3.130,84.454.900,264.343.837.000,0.00%,0.63%,-2.19%,-1.88%,0.63%,1.25%,ANTM
22,23-10-2025,3.180,3.210,3.170,3.190,66.747.300,212.923.887.000,0.32%,1.26%,0.00%,0.63%,0.94%,2.80%,ANTM
23,22-10-2025,3.150,3.230,3.120,3.170,114.865.300,364.123.001.000,-4.26%,-1.82%,-5.17%,-3.65%,2.54%,-1.24%,ANTM
24,21-10-2025,3.340,3.350,3.270,3.290,96.567.900,317.708.391.000,2.14%,2.45%,0.00%,0.61%,0.30%,2.39%,ANTM
25,20-10-2025,3.450,3.450,3.270,3.270,160.783.200,525.761.064.000,0.00%,0.00%,-5.22%,-5.22%,0.00%,2.32%,ANTM
26,17-10-2025,3.470,3.530,3.370,3.450,216.427.700,746.675.565.000,1.17%,2.92%,-1.75%,0.58%,1.73%,3.68%,ANTM
27,16-10-2025,3.450,3.540,3.400,3.430,256.647.500,880.300.925.000,1.47%,4.12%,0.00%,0.88%,2.61%,6.50%,ANTM
28,15-10-2025,3.410,3.460,3.310,3.400,198.843.300,676.067.220.000,1.79%,3.28%,-1.19%,1.49%,1.47%,6.65%,ANTM
29,14-10-2025,3.440,3.500,3.230,3.350,322.584.900,1.080.659.415.000,2.08%,3.86%,-4.15%,-0.59%,1.74%,6.00%,ANTM
30,13-10-2025,3.310,3.430,3.290,3.370,199.311.000,671.678.070.000,0.00%,3.63%,-0.60%,1.81%,3.63%,7.00%,ANTM
31,10-10-2025,3.200,3.340,3.190,3.310,127.536.400,422.145.484.000,-0.62%,3.73%,-0.93%,2.80%,4.38%,4.49%,ANTM
32,09-10-2025,3.340,3.350,3.190,3.220,173.139.700,557.509.834.000,0.30%,0.60%,-4.20%,-3.30%,0.30%,5.97%,ANTM
33,08-10-2025,3.170,3.380,3.150,3.330,303.472.900,1.010.564.757.000,0.96%,7.64%,0.32%,6.05%,6.62%,7.40%,ANTM
34,07-10-2025,3.220,3.250,3.130,3.140,114.789.800,360.439.972.000,0.94%,1.88%,-1.88%,-1.57%,0.93%,2.15%,ANTM
35,06-10-2025,3.260,3.300,3.180,3.190,111.584.900,355.955.831.000,1.88%,3.13%,-0.63%,-0.31%,1.23%,5.76%,ANTM
