col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),APIC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,APIC
1,21-11-2025,1.200,1.235,1.175,1.225,4.149.300,5.082.892.500,0.00%,2.92%,-2.08%,2.08%,2.92%,6.88%,APIC
2,20-11-2025,1.170,1.225,1.150,1.200,5.011.200,6.013.440.000,0.00%,4.70%,-1.71%,2.56%,4.70%,8.16%,APIC
3,19-11-2025,1.130,1.195,1.125,1.170,6.176.500,7.226.505.000,0.00%,5.75%,-0.44%,3.54%,5.75%,7.11%,APIC
4,18-11-2025,1.115,1.140,1.110,1.130,4.359.600,4.926.348.000,0.00%,2.24%,-0.45%,1.35%,2.24%,2.63%,APIC
5,17-11-2025,1.135,1.145,1.110,1.115,4.205.600,4.689.244.000,0.00%,0.88%,-2.20%,-1.76%,0.88%,1.31%,APIC
6,14-11-2025,1.140,1.145,1.130,1.135,4.399.400,4.993.319.000,0.00%,0.44%,-0.88%,-0.44%,0.44%,1.75%,APIC
7,13-11-2025,1.125,1.155,1.125,1.140,5.102.200,5.816.508.000,0.00%,2.67%,0.00%,1.33%,2.67%,2.60%,APIC
8,12-11-2025,1.140,1.155,1.125,1.125,6.309.000,7.097.625.000,0.00%,1.32%,-1.32%,-1.32%,1.32%,2.60%,APIC
9,11-11-2025,1.155,1.160,1.125,1.140,4.808.600,5.481.804.000,0.00%,0.43%,-2.60%,-1.30%,0.43%,2.59%,APIC
10,10-11-2025,1.155,1.155,1.130,1.155,5.681.100,6.561.670.500,0.00%,0.00%,-2.16%,0.00%,0.00%,1.30%,APIC
11,07-11-2025,1.145,1.160,1.140,1.155,5.020.300,5.798.446.500,0.00%,1.31%,-0.44%,0.87%,1.31%,3.45%,APIC
12,06-11-2025,1.130,1.150,1.120,1.145,5.431.700,6.219.296.500,0.00%,1.77%,-0.88%,1.33%,1.77%,3.04%,APIC
13,05-11-2025,1.140,1.140,1.115,1.130,5.341.300,6.035.669.000,0.00%,0.00%,-2.19%,-0.88%,0.00%,1.32%,APIC
14,04-11-2025,1.140,1.140,1.125,1.140,3.836.800,4.373.952.000,0.00%,0.00%,-1.32%,0.00%,0.00%,2.19%,APIC
15,03-11-2025,1.115,1.145,1.115,1.140,4.579.000,5.220.060.000,-0.89%,1.78%,-0.89%,1.33%,2.69%,1.75%,APIC
16,31-10-2025,1.135,1.140,1.125,1.125,4.578.900,5.151.262.500,0.00%,0.44%,-0.88%,-0.88%,0.44%,3.07%,APIC
