col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),APII
1,2,3,4,5,6,7,8,9,10,11,12,13,14,APII
1,21-11-2025,190,190,186,188,104.000,19.552.000,0.53%,0.53%,-1.59%,-0.53%,0.00%,0.53%,APII
2,20-11-2025,190,192,189,189,242.800,45.889.200,0.00%,1.05%,-0.53%,-0.53%,1.05%,2.60%,APII
3,19-11-2025,188,194,187,190,692.000,131.480.000,0.00%,3.19%,-0.53%,1.06%,3.19%,3.09%,APII
4,18-11-2025,188,190,188,188,138.000,25.944.000,-1.05%,0.00%,-1.05%,-1.05%,1.06%,1.05%,APII
5,17-11-2025,190,190,188,190,30.400,5.776.000,0.00%,0.00%,-1.05%,0.00%,0.00%,1.05%,APII
6,14-11-2025,192,192,188,190,267.900,50.901.000,0.52%,0.52%,-1.57%,-0.52%,0.00%,2.60%,APII
7,13-11-2025,191,193,187,191,150.500,28.745.500,0.00%,1.05%,-2.09%,0.00%,1.05%,4.15%,APII
8,12-11-2025,190,192,185,191,148.600,28.382.600,0.00%,1.05%,-2.63%,0.53%,1.05%,1.04%,APII
9,11-11-2025,192,192,190,190,136.600,25.954.000,0.52%,0.52%,-0.52%,-0.52%,0.00%,1.04%,APII
10,10-11-2025,190,192,190,191,15.800,3.017.800,0.00%,1.05%,0.00%,0.53%,1.05%,3.13%,APII
11,07-11-2025,190,190,186,190,61.000,11.590.000,0.00%,0.00%,-2.11%,0.00%,0.00%,0.53%,APII
12,06-11-2025,189,191,189,190,75.100,14.269.000,1.61%,2.69%,1.61%,2.15%,1.06%,3.14%,APII
13,05-11-2025,190,194,185,186,258.500,48.081.000,0.00%,2.11%,-2.63%,-2.11%,2.11%,2.06%,APII
14,04-11-2025,193,193,190,190,767.900,145.901.000,1.58%,1.58%,0.00%,0.00%,0.00%,7.77%,APII
15,03-11-2025,178,192,178,190,1.974.300,375.117.000,1.14%,9.09%,1.14%,7.95%,7.87%,10.42%,APII
16,31-10-2025,183,184,172,176,204.200,35.939.200,-0.54%,0.00%,-6.52%,-4.35%,0.55%,0.54%,APII
17,30-10-2025,186,186,183,184,15.000,2.760.000,1.09%,1.09%,-0.54%,0.00%,0.00%,2.69%,APII
18,29-10-2025,187,187,181,184,35.300,6.495.200,1.08%,1.08%,-2.16%,-0.54%,0.00%,2.14%,APII
19,28-10-2025,186,187,183,185,86.100,15.928.500,0.00%,0.54%,-1.61%,-0.54%,0.54%,2.14%,APII
20,27-10-2025,188,188,183,186,57.500,10.695.000,-0.53%,-0.53%,-3.17%,-1.59%,0.00%,1.60%,APII
21,24-10-2025,186,189,185,189,121.000,22.869.000,0.00%,1.61%,-0.54%,1.61%,1.61%,3.17%,APII
22,23-10-2025,183,190,183,186,846.600,157.467.600,0.00%,3.83%,0.00%,1.64%,3.83%,4.21%,APII
23,22-10-2025,185,189,182,183,392.500,71.827.500,-0.54%,1.61%,-2.15%,-1.61%,2.16%,4.76%,APII
24,21-10-2025,185,187,180,186,101.600,18.897.600,-0.54%,0.54%,-3.23%,0.00%,1.08%,3.74%,APII
25,20-10-2025,182,186,180,186,163.300,30.373.800,0.00%,2.20%,-1.10%,2.20%,2.20%,2.15%,APII
26,17-10-2025,185,186,182,182,37.800,6.879.600,0.00%,0.54%,-1.62%,-1.62%,0.54%,3.23%,APII
27,16-10-2025,186,186,180,185,129.000,23.865.000,0.00%,0.00%,-3.23%,-0.54%,0.00%,2.15%,APII
28,15-10-2025,184,188,182,186,203.000,37.758.000,0.00%,2.17%,-1.09%,1.09%,2.17%,6.38%,APII
29,14-10-2025,184,190,176,184,302.500,55.660.000,1.10%,4.40%,-3.30%,1.10%,3.26%,6.32%,APII
30,13-10-2025,191,191,178,182,176.900,32.195.800,4.95%,4.95%,-2.20%,0.00%,0.00%,5.24%,APII
31,10-10-2025,183,186,181,182,187.900,34.197.800,-0.54%,1.09%,-1.63%,-1.09%,1.64%,3.76%,APII
32,09-10-2025,179,186,179,184,168.200,30.948.800,-1.10%,2.76%,-1.10%,1.66%,3.91%,3.76%,APII
33,08-10-2025,179,182,179,181,12.100,2.190.100,-0.56%,1.11%,-0.56%,0.56%,1.68%,1.65%,APII
34,07-10-2025,179,183,179,180,49.400,8.892.000,-2.19%,0.00%,-2.19%,-1.64%,2.23%,2.73%,APII
35,06-10-2025,179,183,178,183,77.800,14.237.400,-0.56%,1.67%,-1.11%,1.67%,2.23%,2.19%,APII
36,03-10-2025,183,183,179,180,27.100,4.878.000,1.67%,1.67%,-0.56%,0.00%,0.00%,2.19%,APII
37,02-10-2025,184,185,179,180,249.900,44.982.000,1.66%,2.21%,-1.10%,-0.55%,0.54%,2.16%,APII
38,01-10-2025,181,183,181,181,6.700,1.212.700,0.00%,1.10%,0.00%,0.00%,1.10%,3.28%,APII
39,30-09-2025,184,184,177,181,48.900,8.850.900,0.55%,0.55%,-3.28%,-1.09%,0.00%,2.72%,APII
40,29-09-2025,181,183,179,183,37.800,6.917.400,0.00%,1.10%,-1.10%,1.10%,1.10%,1.09%,APII
41,26-09-2025,183,183,181,181,15.400,2.787.400,0.55%,0.55%,-0.55%,-0.55%,0.00%,1.09%,APII
42,25-09-2025,186,186,181,182,69.400,12.630.800,0.54%,0.54%,-2.16%,-1.62%,0.00%,3.23%,APII
43,24-09-2025,180,185,180,185,310.800,57.498.000,0.00%,2.78%,0.00%,2.78%,2.78%,2.70%,APII
44,23-09-2025,182,182,180,180,22.400,4.032.000,1.11%,1.11%,0.00%,0.00%,0.00%,1.10%,APII
45,22-09-2025,182,182,180,180,66.600,11.988.000,0.55%,0.55%,-0.55%,-0.55%,0.00%,0.55%,APII
46,19-09-2025,183,183,181,181,64.100,11.602.100,0.00%,0.00%,-1.09%,-1.09%,0.00%,1.09%,APII
47,18-09-2025,183,185,181,183,352.100,64.434.300,1.67%,2.78%,0.56%,1.67%,1.09%,3.78%,APII
48,17-09-2025,182,183,178,180,27.800,5.004.000,0.00%,0.55%,-2.20%,-1.10%,0.55%,2.19%,APII
49,16-09-2025,182,182,179,182,273.500,49.777.000,2.82%,2.82%,1.13%,2.82%,0.00%,3.85%,APII
50,15-09-2025,179,179,175,177,98.800,17.487.600,2.29%,2.29%,0.00%,1.14%,0.00%,2.79%,APII
51,12-09-2025,176,179,174,175,60.300,10.552.500,0.00%,1.70%,-1.14%,-0.57%,1.70%,1.68%,APII
52,11-09-2025,181,181,176,176,93.000,16.368.000,0.56%,0.56%,-2.22%,-2.22%,0.00%,0.55%,APII
53,10-09-2025,180,183,180,180,89.300,16.074.000,0.56%,2.23%,0.56%,0.56%,1.67%,3.83%,APII
54,09-09-2025,179,182,176,179,228.100,40.829.900,1.70%,3.41%,0.00%,1.70%,1.68%,3.85%,APII
55,08-09-2025,175,176,175,176,500,88.000,-0.57%,0.00%,-0.57%,0.00%,0.57%,0.00%,APII
56,04-09-2025,176,180,176,176,61.100,10.753.600,0.00%,2.27%,0.00%,0.00%,2.27%,2.78%,APII
57,03-09-2025,175,177,175,176,110.400,19.430.400,0.00%,1.14%,0.00%,0.57%,1.14%,1.13%,APII
58,02-09-2025,175,177,175,175,18.600,3.255.000,-0.57%,0.57%,-0.57%,-0.57%,1.14%,5.65%,APII
59,01-09-2025,173,177,167,176,104.500,18.392.000,0.00%,2.31%,-3.47%,1.73%,2.31%,2.82%,APII
60,29-08-2025,176,177,172,173,46.100,7.975.300,0.00%,0.57%,-2.27%,-1.70%,0.57%,1.13%,APII
61,28-08-2025,177,177,175,176,53.200,9.363.200,0.00%,0.00%,-1.13%,-0.56%,0.00%,1.69%,APII
62,27-08-2025,179,179,174,177,77.200,13.664.400,1.70%,1.70%,-1.14%,0.57%,0.00%,3.35%,APII
63,26-08-2025,177,177,173,176,7.000,1.232.000,0.00%,0.00%,-2.26%,-0.56%,0.00%,2.26%,APII
64,25-08-2025,178,178,173,177,22.000,3.894.000,0.56%,0.56%,-2.26%,0.00%,0.00%,3.37%,APII
65,22-08-2025,172,178,172,177,80.400,14.230.800,-2.82%,0.56%,-2.82%,0.00%,3.49%,3.93%,APII
66,21-08-2025,174,178,171,177,122.200,21.629.400,0.00%,2.30%,-1.72%,1.72%,2.30%,2.81%,APII
67,20-08-2025,178,178,173,174,22.800,3.967.200,0.00%,0.00%,-2.81%,-2.25%,0.00%,4.49%,APII
68,19-08-2025,177,179,170,178,59.300,10.555.400,-0.56%,0.56%,-4.49%,0.00%,1.13%,2.23%,APII
69,15-08-2025,176,180,175,178,81.700,14.542.600,1.15%,3.45%,0.57%,2.30%,2.27%,5.56%,APII
70,14-08-2025,173,179,170,174,173.600,30.206.400,0.00%,3.47%,-1.73%,0.58%,3.47%,3.35%,APII
71,13-08-2025,177,177,173,173,55.000,9.515.000,1.14%,1.14%,-1.14%,-1.14%,0.00%,5.08%,APII
72,12-08-2025,170,178,168,175,232.000,40.600.000,0.00%,4.71%,-1.18%,2.94%,4.71%,4.49%,APII
73,11-08-2025,173,173,170,170,17.100,2.907.000,0.00%,0.00%,-1.73%,-1.73%,0.00%,1.73%,APII
74,08-08-2025,170,173,170,173,18.300,3.165.900,-0.58%,1.17%,-0.58%,1.17%,1.76%,2.89%,APII
75,07-08-2025,168,171,168,171,18.500,3.163.500,-1.18%,0.59%,-1.18%,0.59%,1.79%,0.58%,APII
76,06-08-2025,170,173,170,170,23.000,3.910.000,0.00%,1.76%,0.00%,0.00%,1.76%,1.73%,APII
77,05-08-2025,170,171,170,170,11.300,1.921.000,-1.73%,-1.16%,-1.73%,-1.73%,0.59%,1.17%,APII
78,04-08-2025,170,173,169,173,62.100,10.743.300,0.00%,1.76%,-0.59%,1.76%,1.76%,1.73%,APII
79,01-08-2025,174,174,170,170,8.600,1.462.000,2.35%,2.35%,0.00%,0.00%,0.00%,4.02%,APII
80,31-07-2025,174,174,167,170,35.700,6.069.000,1.16%,1.16%,-2.91%,-1.16%,0.00%,3.45%,APII
81,30-07-2025,170,183,168,172,287.800,49.501.600,-2.30%,5.17%,-3.45%,-1.15%,7.65%,7.10%,APII
82,29-07-2025,171,176,170,174,7.100,1.235.400,-0.58%,2.33%,-1.16%,1.16%,2.92%,3.98%,APII
83,28-07-2025,172,172,169,172,3.400,584.800,2.38%,2.38%,0.60%,2.38%,0.00%,2.33%,APII
84,25-07-2025,169,169,168,168,30.000,5.040.000,0.00%,0.00%,-0.59%,-0.59%,0.00%,0.59%,APII
85,24-07-2025,168,170,168,169,30.300,5.120.700,-1.18%,0.00%,-1.18%,-0.59%,1.19%,0.00%,APII
86,23-07-2025,173,174,170,170,27.500,4.675.000,-0.57%,0.00%,-2.30%,-2.30%,0.58%,2.87%,APII
87,22-07-2025,170,174,169,174,6.500,1.131.000,0.00%,2.35%,-0.59%,2.35%,2.35%,2.87%,APII
