col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),APLI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,APLI
1,21-11-2025,418,462,416,432,87.100,37.627.200,-4.13%,5.96%,-4.59%,-0.92%,10.53%,12.99%,APLI
2,20-11-2025,438,438,402,436,85.400,37.234.400,0.00%,0.00%,-8.22%,-0.46%,0.00%,0.00%,APLI
3,19-11-2025,438,444,438,438,2.700,1.182.600,0.00%,1.37%,0.00%,0.00%,1.37%,3.15%,APLI
4,18-11-2025,444,444,430,438,2.100,919.800,0.91%,0.91%,-2.27%,-0.45%,0.00%,7.21%,APLI
5,17-11-2025,448,450,412,440,122.400,53.856.000,0.45%,0.90%,-7.62%,-1.35%,0.45%,0.89%,APLI
6,14-11-2025,448,450,446,446,5.100,2.274.600,0.45%,0.90%,0.00%,0.00%,0.45%,6.22%,APLI
7,13-11-2025,448,450,422,446,79.700,35.546.200,-1.32%,-0.88%,-7.05%,-1.76%,0.45%,1.33%,APLI
8,12-11-2025,446,454,444,454,32.200,14.618.800,0.00%,1.79%,-0.45%,1.79%,1.79%,11.89%,APLI
9,11-11-2025,454,456,400,446,110.000,49.060.000,0.00%,0.44%,-11.89%,-1.76%,0.44%,2.63%,APLI
10,10-11-2025,444,460,444,454,4.600,2.088.400,-2.63%,0.88%,-2.63%,-0.44%,3.60%,4.35%,APLI
11,07-11-2025,450,462,440,456,171.800,78.340.800,-2.17%,0.43%,-4.35%,-0.87%,2.67%,2.60%,APLI
12,06-11-2025,456,460,450,460,66.400,30.544.000,0.00%,0.88%,-1.32%,0.88%,0.88%,3.48%,APLI
13,05-11-2025,458,476,444,456,81.000,36.936.000,0.00%,3.93%,-3.06%,-0.44%,3.93%,6.72%,APLI
14,04-11-2025,458,464,444,458,22.100,10.121.800,1.78%,3.11%,-1.33%,1.78%,1.31%,3.02%,APLI
15,03-11-2025,452,466,450,450,55.900,25.155.000,0.44%,3.56%,0.00%,0.00%,3.10%,4.72%,APLI
16,31-10-2025,458,575,444,450,939.800,422.910.000,-0.87%,24.46%,-3.90%,-2.60%,25.55%,20.00%,APLI
17,30-10-2025,462,472,460,462,6.500,3.003.000,-2.53%,-0.42%,-2.95%,-2.53%,2.16%,5.08%,APLI
18,29-10-2025,466,482,448,474,67.500,31.995.000,0.00%,3.43%,-3.86%,1.72%,3.43%,3.73%,APLI
19,28-10-2025,472,472,464,466,4.300,2.003.800,0.00%,0.00%,-1.69%,-1.27%,0.00%,6.36%,APLI
20,27-10-2025,478,488,442,472,113.800,53.713.600,0.42%,2.52%,-7.14%,-0.84%,2.09%,2.87%,APLI
21,24-10-2025,478,478,474,476,4.500,2.142.000,0.00%,0.00%,-0.84%,-0.42%,0.00%,3.35%,APLI
22,23-10-2025,484,490,462,478,55.400,26.481.200,2.11%,3.38%,-2.53%,0.84%,1.24%,8.57%,APLI
23,22-10-2025,474,486,448,474,102.000,48.348.000,0.42%,2.97%,-5.08%,0.42%,2.53%,4.53%,APLI
24,21-10-2025,474,490,464,472,83.300,39.317.600,0.42%,3.81%,-1.69%,0.00%,3.38%,5.71%,APLI
25,20-10-2025,472,492,462,472,88.600,41.819.200,0.00%,4.24%,-2.12%,0.00%,4.24%,6.50%,APLI
26,17-10-2025,476,486,460,472,70.800,33.417.600,0.00%,2.10%,-3.36%,-0.84%,2.10%,3.70%,APLI
27,16-10-2025,470,492,468,476,176.400,83.966.400,-1.67%,2.93%,-2.09%,-0.42%,4.68%,6.10%,APLI
28,15-10-2025,466,492,462,478,102.700,49.090.600,-3.72%,1.65%,-4.55%,-1.24%,5.58%,5.69%,APLI
29,14-10-2025,488,494,464,484,84.100,40.704.400,0.00%,1.23%,-4.92%,-0.82%,1.23%,5.67%,APLI
30,13-10-2025,466,494,466,488,143.600,70.076.800,-2.51%,3.35%,-2.51%,2.09%,6.01%,5.67%,APLI
31,10-10-2025,480,492,466,478,133.500,63.813.000,0.00%,2.50%,-2.92%,-0.42%,2.50%,6.50%,APLI
