col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),APLN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,APLN
1,21-11-2025,98,99,98,99,1.948.500,192.901.500,-1.01%,0.00%,-1.01%,0.00%,1.02%,1.01%,APLN
2,20-11-2025,99,100,98,99,4.453.900,440.936.100,0.00%,1.01%,-1.01%,0.00%,1.01%,1.00%,APLN
3,19-11-2025,102,102,99,99,6.033.700,597.336.300,0.99%,0.99%,-1.98%,-1.98%,0.00%,2.94%,APLN
4,18-11-2025,100,103,99,101,22.028.200,2.224.848.200,0.00%,3.00%,-1.00%,1.00%,3.00%,4.85%,APLN
5,17-11-2025,99,100,98,100,1.946.900,194.690.000,0.00%,1.01%,-1.01%,1.01%,1.01%,2.00%,APLN
6,14-11-2025,99,100,98,99,10.512.300,1.040.717.700,0.00%,1.01%,-1.01%,0.00%,1.01%,2.00%,APLN
7,13-11-2025,98,100,98,99,4.951.900,490.238.100,0.00%,2.04%,0.00%,1.02%,2.04%,3.00%,APLN
8,12-11-2025,100,100,97,98,7.511.900,736.166.200,1.01%,1.01%,-2.02%,-1.01%,0.00%,3.00%,APLN
9,11-11-2025,98,100,97,99,14.518.800,1.437.361.200,0.00%,2.04%,-1.02%,1.02%,2.04%,3.00%,APLN
10,10-11-2025,99,100,97,98,6.603.600,647.152.800,0.00%,1.01%,-2.02%,-1.01%,1.01%,3.00%,APLN
11,07-11-2025,98,99,97,99,7.598.100,752.211.900,0.00%,1.02%,-1.02%,1.02%,1.02%,2.02%,APLN
12,06-11-2025,97,98,97,98,4.654.200,456.111.600,0.00%,1.03%,0.00%,1.03%,1.03%,2.04%,APLN
13,05-11-2025,98,99,96,97,6.990.200,678.049.400,0.00%,1.02%,-2.04%,-1.02%,1.02%,1.01%,APLN
14,04-11-2025,99,99,98,98,2.356.000,230.888.000,1.02%,1.02%,0.00%,0.00%,0.00%,1.01%,APLN
15,03-11-2025,99,101,98,98,7.147.800,700.484.400,-1.00%,1.00%,-2.00%,-2.00%,2.02%,1.98%,APLN
16,31-10-2025,100,101,99,100,4.876.300,487.630.000,0.00%,1.00%,-1.00%,0.00%,1.00%,1.98%,APLN
17,30-10-2025,100,101,99,100,1.661.800,166.180.000,0.00%,1.00%,-1.00%,0.00%,1.00%,2.97%,APLN
18,29-10-2025,99,101,98,100,7.830.900,783.090.000,0.00%,2.02%,-1.01%,1.01%,2.02%,2.97%,APLN
19,28-10-2025,100,101,98,99,9.988.000,988.812.000,1.01%,2.02%,-1.01%,0.00%,1.00%,1.98%,APLN
20,27-10-2025,101,102,99,99,6.484.400,641.955.600,1.00%,2.00%,-1.00%,-1.00%,0.99%,2.94%,APLN
21,24-10-2025,101,102,99,100,7.358.500,735.850.000,0.00%,0.99%,-1.98%,-0.99%,0.99%,1.96%,APLN
22,23-10-2025,102,102,100,101,6.217.600,627.977.600,0.99%,0.99%,-0.99%,0.00%,0.00%,0.98%,APLN
23,22-10-2025,104,104,101,101,18.573.500,1.875.923.500,1.96%,1.96%,-0.98%,-0.98%,0.00%,3.85%,APLN
24,21-10-2025,101,104,100,102,23.366.600,2.383.393.200,1.00%,4.00%,0.00%,2.00%,2.97%,8.65%,APLN
25,20-10-2025,96,102,95,100,42.733.300,4.273.330.000,0.00%,6.25%,-1.04%,4.17%,6.25%,6.86%,APLN
26,17-10-2025,97,97,95,96,5.382.600,516.729.600,1.04%,1.04%,-1.04%,0.00%,0.00%,1.03%,APLN
27,16-10-2025,96,98,96,96,4.758.000,456.768.000,1.05%,3.16%,1.05%,1.05%,2.08%,3.06%,APLN
28,15-10-2025,96,98,95,95,7.348.600,698.117.000,0.00%,2.08%,-1.04%,-1.04%,2.08%,2.04%,APLN
29,14-10-2025,98,100,96,96,8.191.800,786.412.800,0.00%,2.04%,-2.04%,-2.04%,2.04%,4.00%,APLN
30,13-10-2025,98,100,96,98,9.227.400,904.285.200,-1.01%,1.01%,-3.03%,-1.01%,2.04%,3.00%,APLN
31,10-10-2025,99,100,97,99,8.367.700,828.402.300,1.02%,2.04%,-1.02%,1.02%,1.01%,3.00%,APLN
32,09-10-2025,98,100,97,98,7.217.100,707.275.800,1.03%,3.09%,0.00%,1.03%,2.04%,4.00%,APLN
33,08-10-2025,99,100,96,97,15.936.500,1.545.840.500,0.00%,1.01%,-3.03%,-2.02%,1.01%,1.00%,APLN
34,07-10-2025,100,101,99,99,6.735.100,666.774.900,1.01%,2.02%,0.00%,0.00%,1.00%,1.98%,APLN
35,06-10-2025,102,103,99,99,33.735.200,3.339.784.800,0.00%,0.98%,-2.94%,-2.94%,0.98%,0.97%,APLN
36,03-10-2025,102,104,102,102,4.989.500,508.929.000,0.00%,1.96%,0.00%,0.00%,1.96%,1.92%,APLN
37,02-10-2025,103,105,102,102,11.038.100,1.125.886.200,0.00%,1.94%,-0.97%,-0.97%,1.94%,2.86%,APLN
38,01-10-2025,103,104,102,103,8.529.200,878.507.600,0.98%,1.96%,0.00%,0.98%,0.97%,1.92%,APLN
39,30-09-2025,104,105,102,102,9.896.000,1.009.392.000,0.97%,1.94%,-0.97%,-0.97%,0.96%,3.81%,APLN
40,29-09-2025,103,104,101,103,17.545.900,1.807.227.700,0.00%,0.97%,-1.94%,0.00%,0.97%,1.92%,APLN
41,26-09-2025,104,104,102,103,6.712.600,691.397.800,0.00%,0.00%,-1.92%,-0.96%,0.00%,1.92%,APLN
42,25-09-2025,103,104,102,104,9.040.500,940.212.000,0.00%,0.97%,-0.97%,0.97%,0.97%,0.96%,APLN
43,24-09-2025,104,105,103,103,7.423.700,764.641.100,0.00%,0.96%,-0.96%,-0.96%,0.96%,1.90%,APLN
44,23-09-2025,104,105,103,104,8.037.900,835.941.600,0.97%,1.94%,0.00%,0.97%,0.96%,2.86%,APLN
45,22-09-2025,103,105,102,103,10.804.500,1.112.863.500,-0.96%,0.96%,-1.92%,-0.96%,1.94%,1.90%,APLN
46,19-09-2025,106,106,103,104,8.552.900,889.501.600,0.95%,0.95%,-1.90%,-0.95%,0.00%,0.94%,APLN
47,18-09-2025,109,110,105,105,23.069.200,2.422.266.000,0.00%,0.92%,-3.67%,-3.67%,0.92%,4.55%,APLN
48,17-09-2025,106,109,105,109,26.394.600,2.877.011.400,0.00%,2.83%,-0.94%,2.83%,2.83%,3.67%,APLN
49,16-09-2025,107,110,105,106,22.482.800,2.383.176.800,0.94%,3.77%,-0.94%,0.00%,2.80%,6.36%,APLN
50,15-09-2025,106,108,103,106,18.558.400,1.967.190.400,0.95%,2.86%,-1.90%,0.95%,1.89%,3.70%,APLN
51,12-09-2025,106,106,104,105,6.101.000,640.605.000,0.95%,0.95%,-0.95%,0.00%,0.00%,2.83%,APLN
52,11-09-2025,103,106,103,105,12.134.000,1.274.070.000,0.00%,2.91%,0.00%,1.94%,2.91%,3.77%,APLN
53,10-09-2025,102,104,102,103,8.456.400,871.009.200,0.00%,1.96%,0.00%,0.98%,1.96%,3.85%,APLN
54,09-09-2025,104,105,100,102,20.262.000,2.066.724.000,0.00%,0.96%,-3.85%,-1.92%,0.96%,0.95%,APLN
55,08-09-2025,105,110,104,104,40.021.000,4.162.184.000,1.94%,6.80%,0.97%,0.97%,4.76%,9.09%,APLN
56,04-09-2025,105,106,100,103,15.391.400,1.585.314.200,0.00%,0.95%,-4.76%,-1.90%,0.95%,3.77%,APLN
57,03-09-2025,102,106,102,105,21.012.300,2.206.291.500,0.00%,3.92%,0.00%,2.94%,3.92%,4.72%,APLN
58,02-09-2025,101,104,101,102,20.843.200,2.126.006.400,1.00%,4.00%,1.00%,2.00%,2.97%,9.62%,APLN
59,01-09-2025,99,102,94,100,28.588.200,2.858.820.000,-4.81%,-1.92%,-9.62%,-3.85%,3.03%,0.00%,APLN
60,29-08-2025,110,111,102,104,67.424.000,7.012.096.000,-0.90%,0.00%,-8.11%,-6.31%,0.91%,1.80%,APLN
61,28-08-2025,109,118,109,111,76.053.400,8.441.927.400,0.00%,8.26%,0.00%,1.83%,8.26%,8.47%,APLN
62,27-08-2025,110,112,108,109,22.919.000,2.498.171.000,0.92%,2.75%,-0.92%,0.00%,1.82%,2.68%,APLN
63,26-08-2025,112,114,109,109,27.497.500,2.997.227.500,0.90%,2.70%,-1.80%,-1.80%,1.79%,5.26%,APLN
64,25-08-2025,109,115,108,111,69.047.300,7.664.250.300,0.93%,6.48%,0.00%,2.78%,5.50%,6.96%,APLN
65,22-08-2025,109,109,107,108,11.243.800,1.214.330.400,0.93%,0.93%,-0.93%,0.00%,0.00%,2.75%,APLN
66,21-08-2025,113,114,106,108,45.785.800,4.944.866.400,0.00%,0.88%,-6.19%,-4.42%,0.88%,8.77%,APLN
67,20-08-2025,106,116,104,113,166.872.000,18.856.536.000,1.92%,11.54%,0.00%,8.65%,9.43%,12.93%,APLN
68,19-08-2025,103,105,101,104,11.279.700,1.173.088.800,0.00%,1.94%,-1.94%,0.97%,1.94%,2.86%,APLN
69,15-08-2025,103,105,102,103,10.172.800,1.047.798.400,0.00%,1.94%,-0.97%,0.00%,1.94%,1.90%,APLN
70,14-08-2025,106,107,103,103,18.201.700,1.874.775.100,0.95%,1.90%,-1.90%,-1.90%,0.94%,2.80%,APLN
71,13-08-2025,105,115,104,105,108.195.500,11.360.527.500,0.00%,9.52%,-0.95%,0.00%,9.52%,8.70%,APLN
72,12-08-2025,107,109,105,105,30.283.800,3.179.799.000,0.94%,2.83%,-0.94%,-0.94%,1.87%,7.34%,APLN
73,11-08-2025,102,108,101,106,40.389.400,4.281.276.400,0.99%,6.93%,0.00%,4.95%,5.88%,7.41%,APLN
74,08-08-2025,103,103,100,101,11.334.600,1.144.794.600,0.00%,0.00%,-2.91%,-1.94%,0.00%,0.97%,APLN
75,07-08-2025,104,104,102,103,7.414.300,763.672.900,0.97%,0.97%,-0.97%,0.00%,0.00%,2.88%,APLN
76,06-08-2025,104,104,101,103,18.133.100,1.867.709.300,0.00%,0.00%,-2.88%,-0.96%,0.00%,0.96%,APLN
77,05-08-2025,109,109,103,104,47.586.000,4.948.944.000,0.93%,0.93%,-4.63%,-3.70%,0.00%,8.26%,APLN
78,04-08-2025,100,109,100,108,79.763.000,8.614.404.000,0.00%,9.00%,0.00%,8.00%,9.00%,11.01%,APLN
79,01-08-2025,98,101,97,100,14.868.600,1.486.860.000,-1.01%,2.02%,-2.02%,1.01%,3.06%,2.97%,APLN
80,31-07-2025,100,102,98,99,15.009.600,1.485.950.400,0.00%,2.00%,-2.00%,-1.00%,2.00%,1.96%,APLN
81,30-07-2025,101,102,100,100,10.571.900,1.057.190.000,0.00%,0.99%,-0.99%,-0.99%,0.99%,1.96%,APLN
82,29-07-2025,104,106,100,101,50.397.700,5.090.167.700,0.00%,1.92%,-3.85%,-2.88%,1.92%,8.49%,APLN
83,28-07-2025,97,105,97,104,76.726.600,7.979.566.400,0.00%,8.25%,0.00%,7.22%,8.25%,9.52%,APLN
84,25-07-2025,96,99,95,97,21.654.700,2.100.505.900,1.05%,4.21%,0.00%,2.11%,3.13%,4.04%,APLN
85,24-07-2025,96,97,95,95,10.252.000,973.940.000,0.00%,1.04%,-1.04%,-1.04%,1.04%,4.12%,APLN
86,23-07-2025,94,96,93,96,11.978.400,1.149.926.400,0.00%,2.13%,-1.06%,2.13%,2.13%,2.08%,APLN
87,22-07-2025,95,96,94,94,5.723.900,538.046.600,0.00%,1.05%,-1.05%,-1.05%,1.05%,3.13%,APLN
88,21-07-2025,94,96,93,95,13.989.000,1.328.955.000,0.00%,2.13%,-1.06%,1.06%,2.13%,4.17%,APLN
89,18-07-2025,93,94,92,94,8.077.700,759.303.800,1.09%,2.17%,0.00%,2.17%,1.08%,3.19%,APLN
90,17-07-2025,95,95,91,92,9.097.100,836.933.200,0.00%,0.00%,-4.21%,-3.16%,0.00%,2.11%,APLN
91,16-07-2025,95,98,93,95,26.167.900,2.485.950.500,1.06%,4.26%,-1.06%,1.06%,3.16%,9.18%,APLN
92,15-07-2025,90,94,89,94,12.772.900,1.200.652.600,0.00%,4.44%,-1.11%,4.44%,4.44%,5.32%,APLN
93,14-07-2025,91,91,89,90,2.123.900,191.151.000,1.11%,1.11%,-1.11%,0.00%,0.00%,1.10%,APLN
94,11-07-2025,92,92,90,90,4.394.100,395.469.000,1.10%,1.10%,-1.10%,-1.10%,0.00%,3.26%,APLN
95,10-07-2025,90,92,89,91,5.926.300,539.293.300,1.12%,3.37%,0.00%,2.25%,2.22%,3.26%,APLN
96,09-07-2025,89,91,89,89,2.435.300,216.741.700,0.00%,2.25%,0.00%,0.00%,2.25%,3.30%,APLN
97,08-07-2025,89,90,88,89,1.069.500,95.185.500,0.00%,1.12%,-1.12%,0.00%,1.12%,1.11%,APLN
98,07-07-2025,89,90,89,89,2.050.000,182.450.000,0.00%,1.12%,0.00%,0.00%,1.12%,1.11%,APLN
99,04-07-2025,90,91,89,89,2.041.100,181.657.900,0.00%,1.11%,-1.11%,-1.11%,1.11%,3.30%,APLN
100,03-07-2025,89,91,88,90,2.817.400,253.566.000,0.00%,2.25%,-1.12%,1.12%,2.25%,3.30%,APLN
101,02-07-2025,89,90,88,89,4.932.100,438.956.900,0.00%,1.12%,-1.12%,0.00%,1.12%,1.11%,APLN
102,01-07-2025,91,91,89,89,1.723.600,153.400.400,1.11%,1.11%,-1.11%,-1.11%,0.00%,2.20%,APLN
103,30-06-2025,89,92,89,90,3.956.200,356.058.000,0.00%,3.37%,0.00%,1.12%,3.37%,4.35%,APLN
104,26-06-2025,89,90,88,89,5.638.900,501.862.100,1.14%,2.27%,0.00%,1.14%,1.12%,3.33%,APLN
105,25-06-2025,89,90,87,88,2.184.900,192.271.200,0.00%,1.12%,-2.25%,-1.12%,1.12%,3.33%,APLN
106,24-06-2025,87,90,87,89,5.543.000,493.327.000,0.00%,3.45%,0.00%,2.30%,3.45%,4.44%,APLN
107,23-06-2025,91,91,86,87,14.236.400,1.238.566.800,0.00%,0.00%,-5.49%,-4.40%,0.00%,2.20%,APLN
