col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ARCI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ARCI
1,21-11-2025,1.145,1.175,1.130,1.130,47.794.800,54.008.124.000,0.00%,2.62%,-1.31%,-1.31%,2.62%,2.98%,ARCI
2,20-11-2025,1.175,1.185,1.140,1.145,52.459.900,60.066.585.500,0.86%,1.72%,-2.15%,-1.72%,0.85%,2.53%,ARCI
3,19-11-2025,1.155,1.195,1.155,1.165,78.951.000,91.977.915.000,0.43%,3.91%,0.43%,1.30%,3.46%,5.86%,ARCI
4,18-11-2025,1.165,1.165,1.125,1.150,105.102.300,120.867.645.000,-2.10%,-2.10%,-5.46%,-3.36%,0.00%,-1.72%,ARCI
5,17-11-2025,1.260,1.260,1.185,1.190,160.378.700,190.850.653.000,-0.40%,-0.40%,-6.32%,-5.93%,0.00%,-0.40%,ARCI
6,14-11-2025,1.305,1.320,1.265,1.265,102.924.700,130.199.745.500,-1.14%,0.00%,-4.17%,-4.17%,1.15%,2.65%,ARCI
7,13-11-2025,1.310,1.325,1.285,1.320,152.006.800,200.648.976.000,3.15%,4.33%,1.18%,3.94%,1.15%,5.66%,ARCI
8,12-11-2025,1.295,1.305,1.250,1.270,53.982.600,68.557.902.000,0.78%,1.56%,-2.72%,-1.17%,0.77%,3.83%,ARCI
9,11-11-2025,1.310,1.330,1.255,1.285,182.857.500,234.971.887.500,2.34%,3.91%,-1.95%,0.39%,1.53%,11.65%,ARCI
10,10-11-2025,1.175,1.285,1.175,1.280,224.514.900,287.379.072.000,2.17%,11.74%,2.17%,11.30%,9.36%,10.89%,ARCI
11,07-11-2025,1.185,1.185,1.145,1.150,47.917.600,55.105.240.000,0.85%,0.85%,-2.55%,-2.13%,0.00%,5.06%,ARCI
12,06-11-2025,1.150,1.200,1.125,1.175,97.422.300,114.471.202.500,0.00%,4.35%,-2.17%,2.17%,4.35%,7.92%,ARCI
13,05-11-2025,1.135,1.165,1.105,1.150,136.878.900,157.410.735.000,-2.16%,0.43%,-4.74%,-0.86%,2.64%,2.58%,ARCI
14,04-11-2025,1.195,1.205,1.135,1.160,80.985.500,93.943.180.000,-1.24%,-0.41%,-6.20%,-4.13%,0.84%,4.15%,ARCI
15,03-11-2025,1.175,1.220,1.155,1.210,79.296.700,95.949.007.000,-1.67%,2.09%,-3.35%,1.26%,3.83%,2.87%,ARCI
16,31-10-2025,1.215,1.230,1.185,1.195,81.409.600,97.284.472.000,2.53%,3.80%,0.00%,0.84%,1.23%,5.69%,ARCI
17,30-10-2025,1.210,1.215,1.160,1.185,145.083.300,171.923.710.500,-2.02%,-1.62%,-6.07%,-4.05%,0.41%,7.00%,ARCI
18,29-10-2025,1.130,1.240,1.130,1.235,171.319.100,211.579.088.500,2.26%,12.22%,2.26%,11.76%,9.73%,11.29%,ARCI
19,28-10-2025,1.135,1.175,1.100,1.105,113.740.400,125.683.142.000,-2.99%,0.43%,-5.98%,-5.56%,3.52%,2.55%,ARCI
20,27-10-2025,1.195,1.235,1.145,1.170,76.649.700,89.680.149.000,0.84%,4.22%,-3.38%,-1.27%,3.35%,5.26%,ARCI
21,24-10-2025,1.245,1.255,1.170,1.185,104.420.800,123.738.648.000,0.00%,0.80%,-6.02%,-4.82%,0.80%,3.59%,ARCI
22,23-10-2025,1.250,1.290,1.210,1.245,115.307.400,143.557.713.000,0.00%,3.20%,-3.20%,-0.40%,3.20%,10.08%,ARCI
23,22-10-2025,1.180,1.315,1.160,1.250,268.726.600,335.908.250.000,-10.94%,-0.75%,-12.45%,-5.66%,11.44%,0.00%,ARCI
