col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ARGO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ARGO
1,21-11-2025,1.035,1.065,1.035,1.060,3.600,3.816.000,0.00%,2.90%,0.00%,2.42%,2.90%,3.76%,ARGO
2,20-11-2025,1.060,1.065,1.025,1.035,33.700,34.879.500,0.00%,0.47%,-3.30%,-2.36%,0.47%,1.41%,ARGO
3,19-11-2025,1.055,1.095,1.050,1.060,6.500,6.890.000,0.00%,3.79%,-0.47%,0.47%,3.79%,5.48%,ARGO
4,18-11-2025,1.075,1.075,1.035,1.055,6.400,6.752.000,0.00%,0.00%,-3.72%,-1.86%,0.00%,1.86%,ARGO
5,17-11-2025,1.105,1.120,1.055,1.075,8.000,8.600.000,0.00%,1.36%,-4.52%,-2.71%,1.36%,3.13%,ARGO
6,14-11-2025,1.125,1.125,1.085,1.105,9.900,10.939.500,3.21%,3.21%,-0.46%,1.38%,0.00%,9.78%,ARGO
7,13-11-2025,1.145,1.145,1.015,1.090,32.900,35.861.000,2.69%,2.69%,-8.97%,-2.24%,0.00%,3.49%,ARGO
8,12-11-2025,1.130,1.135,1.105,1.115,26.700,29.770.500,0.00%,0.44%,-2.21%,-1.33%,0.44%,3.96%,ARGO
9,11-11-2025,1.090,1.150,1.090,1.130,37.000,41.810.000,0.00%,5.50%,0.00%,3.67%,5.50%,5.22%,ARGO
10,10-11-2025,1.090,1.115,1.090,1.090,7.700,8.393.000,0.00%,2.29%,0.00%,0.00%,2.29%,3.14%,ARGO
11,07-11-2025,1.080,1.110,1.080,1.090,7.200,7.848.000,0.00%,2.78%,0.00%,0.93%,2.78%,5.86%,ARGO
12,06-11-2025,1.065,1.200,1.045,1.080,170.300,183.924.000,1.43%,14.29%,-0.48%,2.86%,12.68%,13.33%,ARGO
13,05-11-2025,1.040,1.075,1.040,1.050,15.000,15.750.000,1.96%,5.39%,1.96%,2.94%,3.37%,5.12%,ARGO
14,04-11-2025,1.115,1.200,1.020,1.020,655.400,668.508.000,0.00%,7.62%,-8.52%,-8.52%,7.62%,18.33%,ARGO
15,03-11-2025,990,1.160,980,1.115,162.700,181.410.500,0.00%,17.17%,-1.01%,12.63%,17.17%,15.95%,ARGO
16,31-10-2025,995,1.015,975,990,52.500,51.975.000,0.00%,2.01%,-2.01%,-0.50%,2.01%,1.97%,ARGO
17,30-10-2025,1.035,1.035,995,995,46.300,46.068.500,1.47%,1.47%,-2.45%,-2.45%,0.00%,1.93%,ARGO
18,29-10-2025,1.015,1.040,1.015,1.020,12.100,12.342.000,-2.40%,0.00%,-2.40%,-1.92%,2.46%,2.88%,ARGO
19,28-10-2025,1.035,1.065,1.010,1.040,37.200,38.688.000,-0.48%,2.40%,-2.88%,0.00%,2.90%,4.69%,ARGO
20,27-10-2025,1.070,1.165,1.015,1.040,49.900,51.896.000,1.90%,10.95%,-3.33%,-0.95%,8.88%,9.87%,ARGO
21,24-10-2025,1.075,1.090,1.050,1.050,22.600,23.730.000,-1.38%,0.00%,-3.67%,-3.67%,1.40%,3.67%,ARGO
22,23-10-2025,1.100,1.100,1.050,1.090,124.000,135.160.000,0.00%,0.00%,-4.55%,-0.91%,0.00%,7.27%,ARGO
23,22-10-2025,1.025,1.110,1.020,1.100,253.400,278.740.000,0.49%,8.82%,0.00%,7.84%,8.29%,9.46%,ARGO
24,21-10-2025,1.020,1.050,1.005,1.020,24.100,24.582.000,1.49%,4.48%,0.00%,1.49%,2.94%,11.43%,ARGO
25,20-10-2025,1.015,1.015,930,1.005,34.100,34.270.500,0.00%,0.00%,-8.37%,-0.99%,0.00%,3.45%,ARGO
26,17-10-2025,1.040,1.040,980,1.015,30.300,30.754.500,-3.70%,-3.70%,-9.26%,-6.02%,0.00%,-0.48%,ARGO
27,16-10-2025,1.050,1.090,1.045,1.080,900,972.000,0.00%,3.81%,-0.48%,2.86%,3.81%,3.67%,ARGO
28,15-10-2025,1.060,1.060,1.050,1.050,2.200,2.310.000,0.00%,0.00%,-0.94%,-0.94%,0.00%,0.47%,ARGO
29,14-10-2025,1.070,1.070,1.055,1.060,8.900,9.434.000,0.00%,0.00%,-1.40%,-0.93%,0.00%,1.87%,ARGO
30,13-10-2025,1.095,1.095,1.050,1.070,7.500,8.025.000,0.00%,0.00%,-4.11%,-2.28%,0.00%,4.11%,ARGO
31,10-10-2025,1.070,1.105,1.050,1.095,8.000,8.760.000,0.00%,3.27%,-1.87%,2.34%,3.27%,5.88%,ARGO
32,09-10-2025,1.085,1.110,1.040,1.070,21.500,23.005.000,0.00%,2.30%,-4.15%,-1.38%,2.30%,2.25%,ARGO
33,08-10-2025,1.110,1.110,1.085,1.085,15.500,16.817.500,0.00%,0.00%,-2.25%,-2.25%,0.00%,1.80%,ARGO
34,07-10-2025,1.090,1.130,1.090,1.110,7.400,8.214.000,-3.54%,0.00%,-3.54%,-1.77%,3.67%,3.54%,ARGO
35,06-10-2025,1.155,1.155,1.090,1.130,113.300,128.029.000,0.43%,0.43%,-5.22%,-1.74%,0.00%,1.30%,ARGO
36,03-10-2025,1.150,1.170,1.140,1.150,6.700,7.705.000,0.00%,1.74%,-0.87%,0.00%,1.74%,1.71%,ARGO
37,02-10-2025,1.170,1.190,1.150,1.150,37.800,43.470.000,0.43%,2.15%,-1.29%,-1.29%,1.71%,3.36%,ARGO
38,01-10-2025,1.290,1.290,1.150,1.165,143.000,166.595.000,-0.39%,-0.39%,-11.20%,-10.04%,0.00%,18.22%,ARGO
39,30-09-2025,1.085,1.335,1.055,1.295,72.600,94.017.000,0.00%,23.04%,-2.76%,19.35%,23.04%,18.73%,ARGO
40,29-09-2025,1.100,1.100,1.085,1.085,26.800,29.078.000,0.00%,0.00%,-1.36%,-1.36%,0.00%,1.82%,ARGO
41,26-09-2025,1.125,1.125,1.080,1.100,20.900,22.990.000,-0.88%,-0.88%,-4.85%,-3.08%,0.00%,-0.44%,ARGO
42,25-09-2025,1.140,1.140,1.130,1.135,14.200,16.117.000,0.44%,0.44%,-0.44%,0.00%,0.00%,3.51%,ARGO
43,24-09-2025,1.195,1.195,1.100,1.135,17.900,20.316.500,0.00%,0.00%,-7.95%,-5.02%,0.00%,3.77%,ARGO
44,23-09-2025,1.195,1.200,1.150,1.195,79.700,95.241.500,-0.42%,0.00%,-4.17%,-0.42%,0.42%,0.42%,ARGO
45,22-09-2025,1.230,1.230,1.195,1.200,26.300,31.560.000,-0.81%,-0.81%,-3.63%,-3.23%,0.00%,0.41%,ARGO
