col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ARII
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ARII
1,21-11-2025,270,276,270,272,61.100,16.619.200,-0.74%,1.47%,-0.74%,0.00%,2.22%,1.45%,ARII
2,20-11-2025,276,276,272,272,97.300,26.465.600,1.47%,1.47%,0.00%,0.00%,0.00%,2.90%,ARII
3,19-11-2025,270,276,268,272,167.200,45.478.400,0.00%,2.22%,-0.74%,0.74%,2.22%,2.90%,ARII
4,18-11-2025,272,276,268,270,74.000,19.980.000,0.00%,1.47%,-1.47%,-0.74%,1.47%,2.90%,ARII
5,17-11-2025,276,276,268,272,141.800,38.569.600,0.00%,0.00%,-2.90%,-1.45%,0.00%,2.17%,ARII
6,14-11-2025,272,276,270,276,166.200,45.871.200,0.00%,1.47%,-0.74%,1.47%,1.47%,2.90%,ARII
7,13-11-2025,270,274,268,272,143.400,39.004.800,0.00%,1.48%,-0.74%,0.74%,1.48%,1.46%,ARII
8,12-11-2025,274,276,270,270,201.100,54.297.000,0.00%,0.73%,-1.46%,-1.46%,0.73%,3.62%,ARII
9,11-11-2025,266,278,266,274,694.900,190.402.600,0.00%,4.51%,0.00%,3.01%,4.51%,6.47%,ARII
10,10-11-2025,268,274,260,266,385.300,102.489.800,-2.19%,0.00%,-5.11%,-2.92%,2.24%,2.19%,ARII
11,07-11-2025,274,274,268,274,90.300,24.742.200,0.00%,0.00%,-2.19%,0.00%,0.00%,2.19%,ARII
12,06-11-2025,268,276,268,274,455.100,124.697.400,-1.47%,1.47%,-1.47%,0.74%,2.99%,2.90%,ARII
13,05-11-2025,274,274,268,272,382.900,104.148.800,0.74%,0.74%,-1.47%,0.00%,0.00%,1.46%,ARII
14,04-11-2025,282,286,270,272,598.200,162.710.400,0.00%,1.42%,-4.26%,-3.55%,1.42%,2.10%,ARII
15,03-11-2025,280,292,280,282,676.300,190.716.600,0.00%,4.29%,0.00%,0.71%,4.29%,4.11%,ARII
16,31-10-2025,286,292,280,280,480.700,134.596.000,1.42%,3.55%,-0.71%,-0.71%,2.10%,4.11%,ARII
17,30-10-2025,298,300,280,282,715.500,201.771.000,0.00%,0.67%,-6.04%,-5.37%,0.67%,3.33%,ARII
18,29-10-2025,310,318,290,298,2.777.100,827.575.800,1.97%,4.61%,-4.61%,-1.97%,2.58%,11.32%,ARII
19,28-10-2025,302,334,282,304,12.590.600,3.827.542.400,12.69%,24.63%,5.22%,13.43%,10.60%,22.16%,ARII
20,27-10-2025,270,278,260,268,252.500,67.670.000,-0.74%,2.21%,-4.41%,-1.47%,2.96%,4.32%,ARII
21,24-10-2025,274,278,266,272,74.900,20.372.800,1.48%,2.96%,-1.48%,0.74%,1.46%,4.32%,ARII
22,23-10-2025,274,278,266,270,140.200,37.854.000,0.00%,1.46%,-2.92%,-1.46%,1.46%,3.60%,ARII
23,22-10-2025,276,276,268,274,275.400,75.459.600,2.22%,2.22%,-0.74%,1.48%,0.00%,3.62%,ARII
24,21-10-2025,278,278,266,270,332.900,89.883.000,3.73%,3.73%,-0.75%,0.75%,0.00%,7.91%,ARII
25,20-10-2025,270,272,256,268,190.100,50.946.800,3.05%,3.82%,-2.29%,2.29%,0.74%,5.88%,ARII
26,17-10-2025,268,270,256,262,327.100,85.700.200,0.75%,1.50%,-3.76%,-1.50%,0.75%,2.96%,ARII
27,16-10-2025,268,270,262,266,183.200,48.731.200,1.52%,2.27%,-0.76%,0.76%,0.75%,2.96%,ARII
28,15-10-2025,264,274,262,264,311.500,82.236.000,-3.65%,0.00%,-4.38%,-3.65%,3.79%,4.38%,ARII
29,14-10-2025,280,280,262,274,751.100,205.801.400,2.19%,2.19%,-4.38%,0.00%,0.00%,2.14%,ARII
30,13-10-2025,280,282,274,274,507.000,138.918.000,0.00%,0.71%,-2.14%,-2.14%,0.71%,1.42%,ARII
31,10-10-2025,284,290,278,280,213.000,59.640.000,0.00%,2.11%,-2.11%,-1.41%,2.11%,3.45%,ARII
32,09-10-2025,280,290,280,284,324.100,92.044.400,0.72%,4.32%,0.72%,2.16%,3.57%,4.14%,ARII
33,08-10-2025,286,290,278,278,858.600,238.690.800,0.00%,1.40%,-2.80%,-2.80%,1.40%,2.07%,ARII
34,07-10-2025,296,296,284,286,798.400,228.342.400,1.37%,1.37%,-2.74%,-2.05%,0.00%,5.41%,ARII
35,06-10-2025,288,326,280,292,3.881.300,1.133.339.600,2.13%,15.60%,-0.71%,3.55%,13.19%,14.11%,ARII
36,03-10-2025,292,298,280,282,548.700,154.733.400,0.00%,2.05%,-4.11%,-3.42%,2.05%,4.70%,ARII
37,02-10-2025,290,296,284,292,496.700,145.036.400,0.00%,2.07%,-2.07%,0.69%,2.07%,4.73%,ARII
38,01-10-2025,300,302,282,290,1.021.800,296.322.000,0.67%,1.34%,-5.37%,-2.68%,0.67%,7.28%,ARII
39,30-09-2025,288,306,280,298,3.073.700,915.962.600,2.13%,8.51%,-0.71%,5.67%,6.25%,9.80%,ARII
40,29-09-2025,286,288,276,282,689.700,194.495.400,0.00%,0.70%,-3.50%,-1.40%,0.70%,2.78%,ARII
41,26-09-2025,296,296,280,286,1.058.200,302.645.200,0.00%,0.00%,-5.41%,-3.38%,0.00%,8.11%,ARII
42,25-09-2025,290,300,272,296,1.558.100,461.197.600,0.00%,3.45%,-6.21%,2.07%,3.45%,5.33%,ARII
43,24-09-2025,312,320,284,290,2.366.000,686.140.000,0.00%,2.56%,-8.97%,-7.05%,2.56%,4.38%,ARII
44,23-09-2025,354,372,306,312,12.706.700,3.964.490.400,4.12%,9.41%,-10.00%,-8.24%,5.08%,19.89%,ARII
