col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ARKO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ARKO
1,21-11-2025,2.220,2.680,2.220,2.660,9.297.000,24.730.020.000,-0.89%,19.64%,-0.89%,18.75%,20.72%,19.78%,ARKO
2,20-11-2025,2.220,2.310,2.150,2.240,2.100.600,4.705.344.000,0.91%,5.00%,-2.27%,1.82%,4.05%,14.72%,ARKO
3,19-11-2025,2.010,2.300,1.970,2.200,4.330.000,9.526.000.000,0.00%,14.43%,-1.99%,9.45%,14.43%,15.22%,ARKO
4,18-11-2025,2.080,2.090,1.950,2.010,1.940.000,3.899.400.000,0.48%,0.97%,-5.80%,-2.90%,0.48%,14.83%,ARKO
5,17-11-2025,1.805,2.080,1.780,2.070,6.597.800,13.657.446.000,0.28%,15.56%,-1.11%,15.00%,15.24%,18.75%,ARKO
6,14-11-2025,1.725,1.830,1.690,1.800,3.369.500,6.065.100.000,1.17%,7.33%,-0.88%,5.57%,6.09%,9.29%,ARKO
7,13-11-2025,1.670,1.735,1.660,1.705,979.800,1.670.559.000,1.21%,5.15%,0.61%,3.33%,3.89%,8.07%,ARKO
8,12-11-2025,1.620,1.680,1.595,1.650,2.457.400,4.054.710.000,0.00%,3.70%,-1.54%,1.85%,3.70%,5.06%,ARKO
9,11-11-2025,1.625,1.630,1.595,1.620,199.500,323.190.000,-0.31%,0.00%,-2.15%,-0.61%,0.31%,3.07%,ARKO
10,10-11-2025,1.610,1.650,1.580,1.630,494.700,806.361.000,-0.62%,1.85%,-2.47%,0.62%,2.48%,3.64%,ARKO
11,07-11-2025,1.620,1.635,1.590,1.620,329.300,533.466.000,0.00%,0.93%,-1.85%,0.00%,0.93%,1.53%,ARKO
12,06-11-2025,1.620,1.670,1.610,1.620,1.158.000,1.875.960.000,0.93%,4.05%,0.31%,0.93%,3.09%,6.59%,ARKO
