col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ARTO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ARTO
1,21-11-2025,1.985,1.990,1.945,1.950,9.626.700,18.772.065.000,0.25%,0.51%,-1.77%,-1.52%,0.25%,1.26%,ARTO
2,20-11-2025,1.965,2.000,1.965,1.980,5.676.500,11.239.470.000,0.26%,2.04%,0.26%,1.02%,1.78%,2.00%,ARTO
3,19-11-2025,1.985,2.000,1.960,1.960,8.867.100,17.379.516.000,0.25%,1.01%,-1.01%,-1.01%,0.76%,1.50%,ARTO
4,18-11-2025,2.020,2.030,1.970,1.980,9.646.100,19.099.278.000,0.50%,1.00%,-1.99%,-1.49%,0.50%,0.99%,ARTO
5,17-11-2025,2.030,2.070,2.010,2.010,8.768.000,17.623.680.000,0.50%,2.48%,-0.50%,-0.50%,1.97%,2.90%,ARTO
6,14-11-2025,2.010,2.040,2.010,2.020,4.751.200,9.597.424.000,-0.99%,0.49%,-0.99%,-0.49%,1.49%,1.96%,ARTO
7,13-11-2025,2.020,2.040,2.000,2.030,8.158.000,16.560.740.000,0.50%,1.49%,-0.50%,1.00%,0.99%,1.47%,ARTO
8,12-11-2025,2.090,2.100,2.010,2.010,21.987.900,44.195.679.000,0.00%,0.48%,-3.83%,-3.83%,0.48%,0.95%,ARTO
9,11-11-2025,2.200,2.210,2.080,2.090,11.601.600,24.247.344.000,0.00%,0.45%,-5.45%,-5.00%,0.45%,2.71%,ARTO
10,10-11-2025,2.190,2.230,2.150,2.200,10.989.100,24.176.020.000,1.86%,3.72%,0.00%,2.33%,1.83%,6.73%,ARTO
11,07-11-2025,2.090,2.160,2.080,2.150,9.176.500,19.729.475.000,0.00%,3.35%,-0.48%,2.87%,3.35%,3.70%,ARTO
12,06-11-2025,2.120,2.140,2.080,2.090,8.446.100,17.652.349.000,0.47%,1.42%,-1.42%,-0.95%,0.94%,2.80%,ARTO
13,05-11-2025,2.130,2.160,2.080,2.110,9.250.200,19.517.922.000,0.00%,1.41%,-2.35%,-0.94%,1.41%,2.31%,ARTO
14,04-11-2025,2.200,2.250,2.110,2.130,17.238.100,36.717.153.000,-0.45%,1.81%,-4.52%,-3.62%,2.27%,2.22%,ARTO
15,03-11-2025,2.200,2.260,2.200,2.210,9.437.400,20.856.654.000,0.46%,3.20%,0.46%,0.91%,2.73%,3.54%,ARTO
16,31-10-2025,2.220,2.260,2.180,2.190,15.715.100,34.416.069.000,-1.33%,0.44%,-3.11%,-2.67%,1.80%,2.21%,ARTO
17,30-10-2025,2.380,2.390,2.210,2.250,21.720.000,48.870.000.000,0.85%,1.27%,-6.36%,-4.66%,0.42%,7.95%,ARTO
18,29-10-2025,2.320,2.380,2.200,2.360,30.868.100,72.848.716.000,0.87%,3.48%,-4.35%,2.61%,2.59%,10.50%,ARTO
19,28-10-2025,2.200,2.330,2.130,2.300,38.179.400,87.812.620.000,1.85%,7.87%,-1.39%,6.48%,5.91%,11.59%,ARTO
20,27-10-2025,2.070,2.170,2.060,2.160,17.079.600,36.891.936.000,0.49%,5.34%,0.00%,4.85%,4.83%,5.07%,ARTO
21,24-10-2025,2.110,2.150,2.060,2.060,9.121.900,18.791.114.000,1.44%,3.37%,-0.96%,-0.96%,1.90%,6.05%,ARTO
22,23-10-2025,2.020,2.100,2.020,2.080,9.413.100,19.579.248.000,0.00%,3.96%,0.00%,2.97%,3.96%,5.00%,ARTO
23,22-10-2025,2.020,2.060,1.995,2.020,7.411.500,14.971.230.000,0.00%,1.98%,-1.24%,0.00%,1.98%,3.16%,ARTO
24,21-10-2025,2.020,2.070,1.995,2.020,9.718.800,19.631.976.000,0.00%,2.48%,-1.24%,0.00%,2.48%,5.07%,ARTO
25,20-10-2025,1.965,2.060,1.965,2.020,6.181.700,12.487.034.000,0.77%,5.64%,0.77%,3.59%,4.83%,5.58%,ARTO
26,17-10-2025,2.050,2.050,1.945,1.950,12.712.000,24.788.400.000,0.00%,0.00%,-5.12%,-4.88%,0.00%,0.98%,ARTO
27,16-10-2025,2.070,2.090,2.030,2.050,3.131.900,6.420.395.000,0.49%,1.46%,-1.46%,-0.49%,0.97%,6.70%,ARTO
28,15-10-2025,2.010,2.060,1.950,2.060,7.018.400,14.457.904.000,0.00%,2.49%,-2.99%,2.49%,2.49%,2.91%,ARTO
29,14-10-2025,2.150,2.150,2.000,2.010,7.161.900,14.395.419.000,1.90%,1.90%,-5.21%,-4.74%,0.00%,5.12%,ARTO
30,13-10-2025,2.070,2.110,2.040,2.110,5.934.500,12.521.795.000,-1.43%,0.48%,-2.86%,0.48%,1.93%,1.90%,ARTO
31,10-10-2025,2.180,2.180,2.070,2.100,6.799.800,14.279.580.000,0.93%,0.93%,-4.17%,-2.78%,0.00%,6.42%,ARTO
32,09-10-2025,2.080,2.200,2.040,2.160,12.384.900,26.751.384.000,0.00%,5.77%,-1.92%,3.85%,5.77%,9.09%,ARTO
33,08-10-2025,2.080,2.120,2.000,2.080,9.374.500,19.498.960.000,-0.48%,1.44%,-4.31%,-0.48%,1.92%,1.89%,ARTO
34,07-10-2025,2.130,2.160,2.080,2.090,10.145.400,21.203.886.000,0.00%,1.41%,-2.35%,-1.88%,1.41%,1.85%,ARTO
35,06-10-2025,2.180,2.180,2.120,2.130,7.395.300,15.751.989.000,0.00%,0.00%,-2.75%,-2.29%,0.00%,5.50%,ARTO
36,03-10-2025,2.200,2.200,2.060,2.180,29.000.000,63.220.000.000,0.00%,0.00%,-6.36%,-0.91%,0.00%,1.36%,ARTO
37,02-10-2025,2.190,2.340,2.170,2.200,41.722.900,91.790.380.000,1.86%,8.84%,0.93%,2.33%,6.85%,9.83%,ARTO
38,01-10-2025,2.140,2.220,2.110,2.150,14.700.100,31.605.215.000,0.47%,4.23%,-0.94%,0.94%,3.74%,4.50%,ARTO
39,30-09-2025,2.210,2.210,2.120,2.130,7.623.900,16.238.907.000,0.00%,0.00%,-4.07%,-3.62%,0.00%,4.98%,ARTO
40,29-09-2025,2.150,2.220,2.100,2.210,12.241.000,27.052.610.000,0.00%,3.26%,-2.33%,2.79%,3.26%,7.66%,ARTO
41,26-09-2025,2.080,2.180,2.050,2.150,7.675.600,16.502.540.000,0.00%,4.81%,-1.44%,3.37%,4.81%,5.50%,ARTO
42,25-09-2025,2.100,2.160,2.060,2.080,3.736.500,7.771.920.000,0.00%,2.86%,-1.90%,-0.95%,2.86%,6.02%,ARTO
43,24-09-2025,2.140,2.150,2.030,2.100,10.841.000,22.766.100.000,0.00%,0.47%,-5.14%,-1.87%,0.47%,0.93%,ARTO
44,23-09-2025,2.140,2.190,2.130,2.140,3.320.000,7.104.800.000,0.00%,2.34%,-0.47%,0.00%,2.34%,2.74%,ARTO
45,22-09-2025,2.230,2.240,2.130,2.140,6.791.500,14.533.810.000,-0.45%,0.00%,-4.91%,-4.46%,0.45%,4.91%,ARTO
46,19-09-2025,2.220,2.240,2.130,2.240,7.997.100,17.913.504.000,0.45%,1.36%,-3.62%,1.36%,0.90%,1.79%,ARTO
47,18-09-2025,2.300,2.310,2.200,2.210,9.036.900,19.971.549.000,0.88%,1.32%,-3.51%,-3.07%,0.43%,6.93%,ARTO
48,17-09-2025,2.160,2.300,2.150,2.280,17.645.600,40.231.968.000,0.00%,6.48%,-0.46%,5.56%,6.48%,8.26%,ARTO
49,16-09-2025,2.160,2.170,2.110,2.160,5.129.200,11.079.072.000,0.93%,1.40%,-1.40%,0.93%,0.46%,2.76%,ARTO
50,15-09-2025,2.150,2.170,2.110,2.140,3.725.200,7.971.928.000,1.42%,2.36%,-0.47%,0.94%,0.93%,3.23%,ARTO
51,12-09-2025,2.160,2.180,2.100,2.120,5.942.500,12.598.100.000,1.41%,2.35%,-1.41%,-0.47%,0.93%,2.29%,ARTO
52,11-09-2025,2.150,2.220,2.130,2.130,13.931.900,29.674.947.000,1.90%,5.21%,0.95%,0.95%,3.26%,10.81%,ARTO
53,10-09-2025,1.980,2.130,1.980,2.110,11.171.200,23.571.232.000,0.51%,8.12%,0.51%,7.11%,7.58%,9.86%,ARTO
54,09-09-2025,2.000,2.050,1.920,1.970,11.458.900,22.574.033.000,0.00%,2.50%,-4.00%,-1.50%,2.50%,2.93%,ARTO
55,08-09-2025,2.190,2.200,1.990,2.000,11.045.100,22.090.200.000,0.92%,1.38%,-8.29%,-7.83%,0.46%,2.27%,ARTO
56,04-09-2025,2.210,2.220,2.150,2.170,4.567.700,9.911.909.000,0.91%,1.37%,-1.83%,-0.91%,0.45%,1.80%,ARTO
57,03-09-2025,2.200,2.240,2.180,2.190,4.257.800,9.324.582.000,0.00%,1.82%,-0.91%,-0.45%,1.82%,2.23%,ARTO
58,02-09-2025,2.190,2.290,2.190,2.200,8.413.700,18.510.140.000,0.92%,5.53%,0.92%,1.38%,4.57%,9.61%,ARTO
59,01-09-2025,2.140,2.230,2.070,2.170,7.953.200,17.258.444.000,-5.73%,-1.76%,-8.81%,-4.41%,4.21%,4.93%,ARTO
60,29-08-2025,2.300,2.310,2.120,2.270,23.574.900,53.515.023.000,-2.13%,-1.70%,-9.79%,-3.40%,0.43%,0.00%,ARTO
61,28-08-2025,2.310,2.440,2.310,2.350,20.127.500,47.299.625.000,2.21%,7.96%,2.21%,3.98%,5.63%,9.43%,ARTO
62,27-08-2025,2.270,2.290,2.210,2.260,7.259.800,16.407.148.000,0.00%,0.88%,-2.64%,-0.44%,0.88%,1.75%,ARTO
