col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ASGR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ASGR
1,21-11-2025,1.265,1.280,1.250,1.255,167.000,209.585.000,0.00%,1.19%,-1.19%,-0.79%,1.19%,1.95%,ASGR
2,20-11-2025,1.270,1.290,1.255,1.265,415.100,525.101.500,0.00%,1.57%,-1.18%,-0.39%,1.57%,2.33%,ASGR
3,19-11-2025,1.305,1.305,1.260,1.270,576.200,731.774.000,-0.38%,-0.38%,-3.82%,-3.05%,0.00%,1.92%,ASGR
4,18-11-2025,1.300,1.310,1.280,1.310,649.300,850.583.000,0.00%,0.77%,-1.54%,0.77%,0.77%,2.29%,ASGR
5,17-11-2025,1.290,1.310,1.280,1.300,1.046.700,1.360.710.000,0.00%,1.55%,-0.78%,0.78%,1.55%,5.34%,ASGR
6,14-11-2025,1.250,1.290,1.240,1.290,1.939.900,2.502.471.000,-0.40%,2.79%,-1.20%,2.79%,3.20%,4.65%,ASGR
7,13-11-2025,1.260,1.265,1.230,1.255,711.000,892.305.000,0.00%,0.40%,-2.38%,-0.40%,0.40%,1.58%,ASGR
8,12-11-2025,1.270,1.275,1.245,1.260,1.076.800,1.356.768.000,2.01%,2.41%,0.00%,1.20%,0.39%,4.31%,ASGR
9,11-11-2025,1.220,1.280,1.220,1.245,1.753.100,2.182.609.500,0.41%,5.35%,0.41%,2.47%,4.92%,5.86%,ASGR
10,10-11-2025,1.205,1.225,1.205,1.215,1.185.900,1.440.868.500,0.42%,2.08%,0.42%,1.25%,1.66%,3.27%,ASGR
11,07-11-2025,1.200,1.205,1.185,1.200,450.400,540.480.000,0.00%,0.42%,-1.25%,0.00%,0.42%,1.66%,ASGR
12,06-11-2025,1.190,1.200,1.185,1.200,454.900,545.880.000,0.00%,0.84%,-0.42%,0.84%,0.84%,1.67%,ASGR
13,05-11-2025,1.180,1.195,1.180,1.190,473.500,563.465.000,-1.26%,0.00%,-1.26%,-0.42%,1.27%,0.84%,ASGR
