col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ASII
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ASII
1,21-11-2025,6.400,6.425,6.325,6.425,43.653.200,280.471.810.000,-0.39%,0.00%,-1.56%,0.00%,0.39%,0.78%,ASII
2,20-11-2025,6.450,6.500,6.375,6.425,30.547.700,196.268.972.500,0.78%,1.56%,-0.39%,0.39%,0.78%,3.46%,ASII
3,19-11-2025,6.425,6.475,6.275,6.400,45.476.700,291.050.880.000,0.00%,0.78%,-2.33%,-0.39%,0.78%,1.16%,ASII
4,18-11-2025,6.475,6.550,6.400,6.425,27.510.900,176.757.532.500,0.39%,1.55%,-0.78%,-0.39%,1.16%,2.67%,ASII
5,17-11-2025,6.400,6.500,6.375,6.450,40.681.500,262.395.675.000,0.00%,1.56%,-0.39%,0.78%,1.56%,2.69%,ASII
6,14-11-2025,6.375,6.450,6.325,6.400,23.431.700,149.962.880.000,0.00%,1.18%,-0.78%,0.39%,1.18%,1.55%,ASII
7,13-11-2025,6.425,6.425,6.350,6.375,21.200.000,135.150.000.000,-0.39%,-0.39%,-1.55%,-1.16%,0.00%,0.39%,ASII
8,12-11-2025,6.550,6.575,6.400,6.450,37.083.400,239.187.930.000,0.38%,0.77%,-1.92%,-1.15%,0.38%,1.90%,ASII
9,11-11-2025,6.550,6.600,6.450,6.525,43.529.600,284.030.640.000,1.95%,2.72%,0.39%,1.56%,0.76%,3.03%,ASII
10,10-11-2025,6.500,6.500,6.400,6.425,45.533.400,292.552.095.000,1.17%,1.17%,-0.39%,0.00%,0.00%,3.08%,ASII
11,07-11-2025,6.325,6.450,6.300,6.425,42.960.800,276.023.140.000,0.00%,1.98%,-0.40%,1.58%,1.98%,3.88%,ASII
12,06-11-2025,6.300,6.350,6.200,6.325,48.979.900,309.797.867.500,0.80%,1.60%,-0.80%,1.20%,0.79%,2.76%,ASII
13,05-11-2025,6.250,6.325,6.175,6.250,43.439.100,271.494.375.000,-0.79%,0.40%,-1.98%,-0.79%,1.20%,1.19%,ASII
14,04-11-2025,6.300,6.375,6.250,6.300,62.249.200,392.169.960.000,-0.79%,0.39%,-1.57%,-0.79%,1.19%,3.53%,ASII
15,03-11-2025,6.150,6.450,6.150,6.350,59.085.000,375.189.750.000,0.00%,4.88%,0.00%,3.25%,4.88%,5.04%,ASII
16,31-10-2025,6.250,6.300,6.125,6.150,64.790.000,398.458.500.000,-0.40%,0.40%,-2.39%,-1.99%,0.80%,0.79%,ASII
17,30-10-2025,6.425,6.450,6.250,6.275,28.976.800,181.829.420.000,-0.77%,-0.39%,-3.47%,-3.09%,0.39%,3.49%,ASII
18,29-10-2025,6.250,6.500,6.225,6.475,39.818.900,257.827.377.500,-1.19%,2.77%,-1.58%,2.37%,4.00%,3.46%,ASII
19,28-10-2025,6.600,6.600,6.275,6.325,37.953.500,240.055.887.500,0.00%,0.00%,-4.92%,-4.17%,0.00%,3.41%,ASII
20,27-10-2025,6.600,6.725,6.375,6.600,64.262.300,424.131.180.000,0.38%,2.28%,-3.04%,0.38%,1.89%,5.58%,ASII
21,24-10-2025,6.375,6.675,6.350,6.575,93.344.500,613.740.087.500,0.79%,5.53%,0.40%,3.95%,4.71%,8.99%,ASII
22,23-10-2025,6.075,6.400,6.075,6.325,60.009.000,379.556.925.000,-1.62%,3.64%,-1.62%,2.43%,5.35%,6.25%,ASII
23,22-10-2025,6.050,6.300,6.000,6.175,98.615.300,608.949.477.500,0.83%,5.00%,0.00%,2.92%,4.13%,6.35%,ASII
24,21-10-2025,6.000,6.050,5.900,6.000,46.181.700,277.090.200.000,1.27%,2.11%,-0.42%,1.27%,0.83%,7.02%,ASII
25,20-10-2025,5.625,5.925,5.625,5.925,29.959.700,177.511.222.500,0.00%,5.33%,0.00%,5.33%,5.33%,5.91%,ASII
26,17-10-2025,5.725,5.800,5.575,5.625,31.793.700,178.839.562.500,-0.43%,0.87%,-3.04%,-2.17%,1.31%,0.86%,ASII
27,16-10-2025,5.850,5.850,5.750,5.750,15.044.500,86.505.875.000,1.30%,1.30%,-0.43%,-0.43%,0.00%,1.71%,ASII
28,15-10-2025,5.950,5.950,5.750,5.775,96.604.500,557.890.987.500,2.15%,2.15%,-1.29%,-0.86%,0.00%,2.52%,ASII
29,14-10-2025,5.800,6.025,5.800,5.825,53.099.200,309.302.840.000,0.00%,3.88%,0.00%,0.43%,3.88%,4.15%,ASII
30,13-10-2025,5.850,5.925,5.775,5.800,29.034.500,168.400.100.000,-0.85%,0.42%,-2.12%,-1.69%,1.28%,1.27%,ASII
31,10-10-2025,5.925,5.950,5.850,5.900,27.133.800,160.089.420.000,0.00%,0.42%,-1.27%,-0.42%,0.42%,3.36%,ASII
32,09-10-2025,5.775,5.925,5.750,5.925,27.699.300,164.118.352.500,0.87%,3.49%,0.44%,3.49%,2.60%,4.64%,ASII
33,08-10-2025,5.825,5.875,5.650,5.725,30.080.700,172.212.007.500,1.30%,2.17%,-1.74%,-0.43%,0.86%,2.55%,ASII
34,07-10-2025,5.925,6.050,5.725,5.750,43.328.700,249.140.025.000,1.72%,3.86%,-1.72%,-1.29%,2.11%,4.13%,ASII
35,06-10-2025,5.900,5.925,5.800,5.825,21.815.800,127.077.035.000,1.29%,1.72%,-0.43%,0.00%,0.42%,2.95%,ASII
36,03-10-2025,5.750,5.850,5.750,5.825,27.951.100,162.815.157.500,0.88%,2.63%,0.88%,2.19%,1.74%,3.85%,ASII
37,02-10-2025,5.750,5.750,5.625,5.700,29.346.300,167.273.910.000,1.32%,1.32%,-0.88%,0.44%,0.00%,1.74%,ASII
38,01-10-2025,5.825,5.850,5.650,5.675,26.508.200,150.434.035.000,0.87%,1.30%,-2.16%,-1.73%,0.43%,2.56%,ASII
39,30-09-2025,5.750,5.825,5.700,5.775,41.266.900,238.316.347.500,-0.43%,0.87%,-1.30%,0.00%,1.30%,1.29%,ASII
40,29-09-2025,5.875,5.900,5.750,5.775,20.892.700,120.655.342.500,0.00%,0.43%,-2.13%,-1.70%,0.43%,2.12%,ASII
41,26-09-2025,5.875,6.000,5.775,5.875,42.677.800,250.732.075.000,1.73%,3.90%,0.00%,1.73%,2.13%,4.17%,ASII
42,25-09-2025,5.900,5.900,5.750,5.775,35.805.100,206.774.452.500,0.00%,0.00%,-2.54%,-2.12%,0.00%,0.85%,ASII
43,24-09-2025,5.950,5.950,5.850,5.900,61.167.600,360.888.840.000,0.85%,0.85%,-0.85%,0.00%,0.00%,5.04%,ASII
44,23-09-2025,5.675,5.950,5.650,5.900,41.044.200,242.160.780.000,-0.44%,4.39%,-0.88%,3.51%,4.85%,5.46%,ASII
45,22-09-2025,5.725,5.725,5.625,5.700,35.106.300,200.105.910.000,0.00%,0.00%,-1.75%,-0.44%,0.00%,2.62%,ASII
46,19-09-2025,5.575,5.750,5.575,5.725,52.162.200,298.628.595.000,0.00%,3.14%,0.00%,2.69%,3.14%,3.48%,ASII
47,18-09-2025,5.700,5.725,5.550,5.575,27.261.300,151.981.747.500,0.00%,0.44%,-2.63%,-2.19%,0.44%,2.18%,ASII
48,17-09-2025,5.650,5.700,5.600,5.700,23.879.700,136.114.290.000,0.00%,0.88%,-0.88%,0.88%,0.88%,1.75%,ASII
49,16-09-2025,5.650,5.675,5.600,5.650,15.987.900,90.331.635.000,0.44%,0.89%,-0.44%,0.44%,0.44%,1.32%,ASII
50,15-09-2025,5.675,5.700,5.600,5.625,26.368.000,148.320.000.000,0.00%,0.44%,-1.32%,-0.88%,0.44%,1.75%,ASII
51,12-09-2025,5.625,5.700,5.600,5.675,30.653.500,173.958.612.500,1.35%,2.70%,0.90%,2.25%,1.33%,4.39%,ASII
52,11-09-2025,5.475,5.600,5.450,5.550,28.151.500,156.240.825.000,0.00%,2.28%,-0.46%,1.37%,2.28%,3.57%,ASII
53,10-09-2025,5.525,5.525,5.400,5.475,22.968.400,125.751.990.000,0.00%,0.00%,-2.26%,-0.90%,0.00%,3.17%,ASII
54,09-09-2025,5.400,5.600,5.350,5.525,49.240.100,272.051.552.500,-0.46%,3.23%,-1.38%,1.84%,3.70%,4.46%,ASII
55,08-09-2025,5.600,5.600,5.350,5.425,57.081.800,309.668.765.000,1.82%,1.82%,-2.73%,-1.36%,0.00%,3.57%,ASII
56,04-09-2025,5.500,5.500,5.400,5.500,26.987.400,148.430.700.000,0.00%,0.00%,-1.82%,0.00%,0.00%,0.91%,ASII
57,03-09-2025,5.525,5.650,5.450,5.500,45.471.600,250.093.800.000,0.91%,3.20%,-0.46%,0.46%,2.26%,4.42%,ASII
58,02-09-2025,5.500,5.550,5.400,5.475,21.623.300,118.387.567.500,0.92%,1.83%,-0.92%,0.46%,0.91%,6.31%,ASII
59,01-09-2025,5.200,5.500,5.200,5.450,67.904.000,370.076.800.000,-5.45%,0.00%,-5.45%,-0.91%,5.77%,1.36%,ASII
60,29-08-2025,5.450,5.625,5.425,5.500,62.869.000,345.779.500.000,-2.24%,0.90%,-2.69%,-1.35%,3.21%,1.78%,ASII
61,28-08-2025,5.525,5.650,5.525,5.575,18.032.900,100.533.417.500,0.45%,2.73%,0.45%,1.36%,2.26%,2.65%,ASII
62,27-08-2025,5.650,5.725,5.500,5.500,33.172.600,182.449.300.000,0.44%,1.78%,-2.22%,-2.22%,1.33%,4.37%,ASII
63,26-08-2025,5.725,5.725,5.475,5.625,79.136.200,445.141.125.000,-0.43%,-0.43%,-4.78%,-2.17%,0.00%,0.87%,ASII
64,25-08-2025,5.750,5.775,5.675,5.750,60.737.900,349.242.925.000,0.88%,1.32%,-0.44%,0.88%,0.43%,3.03%,ASII
