col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ASJT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ASJT
1,21-11-2025,141,147,137,143,960.000,137.280.000,0.00%,4.26%,-2.84%,1.42%,4.26%,6.12%,ASJT
2,20-11-2025,143,143,138,141,857.900,120.963.900,0.00%,0.00%,-3.50%,-1.40%,0.00%,2.80%,ASJT
3,19-11-2025,156,156,139,143,5.128.400,733.361.200,0.65%,0.65%,-10.32%,-7.74%,0.00%,14.10%,ASJT
4,18-11-2025,135,160,134,155,10.188.900,1.579.279.500,0.75%,19.40%,0.00%,15.67%,18.52%,18.13%,ASJT
5,17-11-2025,131,140,131,134,1.733.900,232.342.600,0.77%,7.69%,0.77%,3.08%,6.87%,7.14%,ASJT
6,14-11-2025,131,132,130,130,502.700,65.351.000,0.00%,0.76%,-0.76%,-0.76%,0.76%,0.76%,ASJT
7,13-11-2025,131,133,131,131,961.100,125.904.100,0.77%,2.31%,0.77%,0.77%,1.53%,2.26%,ASJT
8,12-11-2025,132,132,130,130,228.200,29.666.000,0.00%,0.00%,-1.52%,-1.52%,0.00%,3.79%,ASJT
9,11-11-2025,129,136,127,132,1.039.300,137.187.600,-0.77%,4.62%,-2.31%,1.54%,5.43%,7.35%,ASJT
10,10-11-2025,128,130,126,130,505.200,65.676.000,0.79%,2.36%,-0.79%,2.36%,1.56%,3.85%,ASJT
11,07-11-2025,129,131,125,127,270.000,34.290.000,0.00%,1.55%,-3.10%,-1.55%,1.55%,3.05%,ASJT
12,06-11-2025,132,133,127,129,535.200,69.040.800,0.00%,0.76%,-3.79%,-2.27%,0.76%,5.26%,ASJT
13,05-11-2025,126,139,126,132,1.550.700,204.692.400,0.00%,10.32%,0.00%,4.76%,10.32%,10.07%,ASJT
14,04-11-2025,129,129,125,126,343.900,43.331.400,0.00%,0.00%,-3.10%,-2.33%,0.00%,3.10%,ASJT
15,03-11-2025,128,131,125,129,408.100,52.644.900,0.00%,2.34%,-2.34%,0.78%,2.34%,3.82%,ASJT
16,31-10-2025,129,144,126,128,1.666.500,213.312.000,0.78%,12.50%,-1.56%,0.00%,11.63%,11.81%,ASJT
17,30-10-2025,133,133,127,128,488.400,62.515.200,0.00%,0.00%,-4.51%,-3.76%,0.00%,5.26%,ASJT
18,29-10-2025,134,137,126,133,1.556.700,207.041.100,-0.74%,1.48%,-6.67%,-1.48%,2.24%,7.30%,ASJT
19,28-10-2025,133,140,127,135,1.566.900,211.531.500,0.00%,5.26%,-4.51%,1.50%,5.26%,8.57%,ASJT
20,27-10-2025,128,175,128,133,12.266.400,1.631.431.200,-2.29%,33.59%,-2.29%,1.53%,36.72%,27.43%,ASJT
21,24-10-2025,130,131,127,131,323.300,42.352.300,0.00%,0.77%,-2.31%,0.77%,0.77%,3.82%,ASJT
22,23-10-2025,130,132,126,130,506.900,65.897.000,0.00%,1.54%,-3.08%,0.00%,1.54%,3.79%,ASJT
23,22-10-2025,130,134,127,130,1.529.100,198.783.000,2.36%,5.51%,0.00%,2.36%,3.08%,6.72%,ASJT
24,21-10-2025,128,130,125,127,189.200,24.028.400,-0.78%,0.78%,-3.10%,-1.55%,1.56%,3.08%,ASJT
25,20-10-2025,128,130,126,129,526.400,67.905.600,2.40%,4.00%,0.80%,3.20%,1.56%,5.38%,ASJT
26,17-10-2025,127,129,123,125,346.900,43.362.500,4.10%,5.74%,0.82%,2.46%,1.57%,6.98%,ASJT
27,16-10-2025,128,131,120,122,652.400,79.592.800,0.79%,3.15%,-5.51%,-3.94%,2.34%,9.92%,ASJT
28,15-10-2025,118,130,118,127,1.866.800,237.083.600,0.00%,10.17%,0.00%,7.63%,10.17%,9.23%,ASJT
