col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ASLC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ASLC
1,21-11-2025,85,86,85,85,12.943.000,1.100.155.000,0.00%,1.18%,0.00%,0.00%,1.18%,1.16%,ASLC
2,20-11-2025,85,87,85,85,21.789.400,1.852.099.000,-1.16%,1.16%,-1.16%,-1.16%,2.35%,2.30%,ASLC
3,19-11-2025,90,91,85,86,62.643.300,5.387.323.800,0.00%,1.11%,-5.56%,-4.44%,1.11%,4.40%,ASLC
4,18-11-2025,89,93,87,90,113.664.400,10.229.796.000,1.14%,5.68%,-1.14%,2.27%,4.49%,9.68%,ASLC
5,17-11-2025,84,89,84,88,99.907.300,8.791.842.400,0.00%,5.95%,0.00%,4.76%,5.95%,6.74%,ASLC
6,14-11-2025,86,86,83,84,30.993.900,2.603.487.600,1.18%,1.18%,-2.35%,-1.18%,0.00%,1.16%,ASLC
7,13-11-2025,86,90,85,85,92.434.800,7.856.958.000,0.00%,4.65%,-1.16%,-1.16%,4.65%,5.56%,ASLC
8,12-11-2025,85,87,85,86,27.352.500,2.352.315.000,0.00%,2.35%,0.00%,1.18%,2.35%,3.45%,ASLC
9,11-11-2025,85,87,84,85,61.556.800,5.232.328.000,0.00%,2.35%,-1.18%,0.00%,2.35%,5.75%,ASLC
10,10-11-2025,88,88,82,85,203.268.600,17.277.831.000,-1.12%,-1.12%,-7.87%,-4.49%,0.00%,-1.14%,ASLC
11,07-11-2025,91,92,89,89,44.246.900,3.937.974.100,0.00%,1.10%,-2.20%,-2.20%,1.10%,1.09%,ASLC
12,06-11-2025,91,96,91,91,65.968.900,6.003.169.900,1.11%,6.67%,1.11%,1.11%,5.49%,6.25%,ASLC
13,05-11-2025,91,93,90,90,58.738.900,5.286.501.000,0.00%,2.20%,-1.10%,-1.10%,2.20%,3.23%,ASLC
14,04-11-2025,100,101,90,91,233.257.900,21.226.468.900,1.01%,2.02%,-9.09%,-8.08%,1.00%,3.96%,ASLC
15,03-11-2025,99,103,97,99,79.702.300,7.890.527.700,0.00%,4.04%,-2.02%,0.00%,4.04%,3.88%,ASLC
16,31-10-2025,106,108,99,99,207.413.000,20.533.887.000,0.95%,2.86%,-5.71%,-5.71%,1.89%,9.26%,ASLC
17,30-10-2025,100,107,98,105,405.241.800,42.550.389.000,2.04%,9.18%,0.00%,7.14%,7.00%,9.35%,ASLC
18,29-10-2025,100,102,97,98,79.586.200,7.799.447.600,0.00%,2.00%,-3.00%,-2.00%,2.00%,2.94%,ASLC
19,28-10-2025,104,104,99,100,113.023.300,11.302.330.000,0.97%,0.97%,-3.88%,-2.91%,0.00%,5.77%,ASLC
20,27-10-2025,99,111,98,103,775.484.400,79.874.893.200,2.06%,14.43%,1.03%,6.19%,12.12%,14.41%,ASLC
21,24-10-2025,106,108,95,97,566.907.900,54.990.066.300,4.95%,6.93%,-5.94%,-3.96%,1.89%,22.22%,ASLC
22,23-10-2025,84,109,84,101,1.815.226.000,183.337.826.000,0.00%,29.76%,0.00%,20.24%,29.76%,25.69%,ASLC
23,22-10-2025,83,85,81,84,59.797.800,5.023.015.200,0.00%,2.41%,-2.41%,1.20%,2.41%,7.06%,ASLC
24,21-10-2025,79,85,79,83,136.908.300,11.363.388.900,2.60%,10.39%,2.60%,7.79%,7.59%,14.12%,ASLC
25,20-10-2025,75,78,73,77,25.288.500,1.947.214.500,0.00%,4.00%,-2.67%,2.67%,4.00%,6.41%,ASLC
26,17-10-2025,79,80,73,75,51.158.900,3.836.917.500,0.00%,1.27%,-7.59%,-5.06%,1.27%,6.25%,ASLC
27,16-10-2025,77,82,75,79,49.117.200,3.880.258.800,0.00%,6.49%,-2.60%,2.60%,6.49%,8.54%,ASLC
28,15-10-2025,78,80,75,77,45.031.400,3.467.417.800,0.00%,2.56%,-3.85%,-1.28%,2.56%,3.75%,ASLC
29,14-10-2025,84,84,77,78,88.265.200,6.884.685.600,1.20%,1.20%,-7.23%,-6.02%,0.00%,3.57%,ASLC
30,13-10-2025,82,85,81,83,49.226.600,4.085.807.800,-2.38%,1.19%,-3.57%,-1.19%,3.66%,2.35%,ASLC
31,10-10-2025,87,89,83,84,59.035.600,4.958.990.400,0.00%,2.30%,-4.60%,-3.45%,2.30%,5.62%,ASLC
32,09-10-2025,84,90,84,87,62.729.200,5.457.440.400,0.00%,7.14%,0.00%,3.57%,7.14%,10.00%,ASLC
33,08-10-2025,86,86,81,84,48.309.900,4.058.031.600,1.18%,1.18%,-4.71%,-1.18%,0.00%,2.33%,ASLC
34,07-10-2025,85,88,84,85,35.039.900,2.978.391.500,0.00%,3.53%,-1.18%,0.00%,3.53%,4.55%,ASLC
35,06-10-2025,88,89,84,85,50.780.300,4.316.325.500,0.00%,1.14%,-4.55%,-3.41%,1.14%,1.12%,ASLC
