col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ASLI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ASLI
1,21-11-2025,230,262,224,242,145.033.100,35.098.010.200,-3.36%,10.08%,-5.88%,1.68%,13.91%,25.57%,ASLI
2,20-11-2025,195,262,195,238,338.865.000,80.649.870.000,0.00%,34.36%,0.00%,22.05%,34.36%,26.72%,ASLI
3,19-11-2025,194,196,192,195,5.870.300,1.144.708.500,1.04%,2.08%,0.00%,1.56%,1.03%,3.06%,ASLI
4,18-11-2025,191,199,190,192,15.387.500,2.954.400.000,-0.52%,3.65%,-1.04%,0.00%,4.19%,4.02%,ASLI
5,17-11-2025,196,196,191,192,13.981.100,2.684.371.200,1.03%,1.03%,-1.55%,-1.03%,0.00%,1.53%,ASLI
6,14-11-2025,197,197,193,194,11.039.800,2.141.721.200,0.51%,0.51%,-1.53%,-1.02%,0.00%,1.52%,ASLI
7,13-11-2025,194,200,194,196,15.181.600,2.975.593.600,-0.51%,2.56%,-0.51%,0.51%,3.09%,4.00%,ASLI
8,12-11-2025,199,210,192,195,39.083.900,7.621.360.500,1.53%,7.14%,-2.04%,-0.51%,5.53%,14.76%,ASLI
9,11-11-2025,189,206,179,196,68.610.000,13.447.560.000,1.07%,10.16%,-4.28%,4.81%,8.99%,19.42%,ASLI
10,10-11-2025,173,198,166,187,93.480.000,17.480.760.000,0.00%,14.45%,-4.05%,8.09%,14.45%,12.63%,ASLI
11,07-11-2025,181,182,173,173,12.657.800,2.189.799.400,0.56%,1.11%,-3.89%,-3.89%,0.55%,6.04%,ASLI
12,06-11-2025,179,183,171,180,15.319.700,2.757.546.000,0.00%,2.23%,-4.47%,0.56%,2.23%,7.10%,ASLI
13,05-11-2025,175,187,170,179,64.791.000,11.597.589.000,3.55%,10.65%,0.59%,5.92%,6.86%,11.76%,ASLI
14,04-11-2025,192,192,165,169,107.105.600,18.100.846.400,0.00%,0.00%,-14.06%,-11.98%,0.00%,5.21%,ASLI
15,03-11-2025,206,214,182,192,65.745.400,12.623.116.800,3.00%,7.00%,-9.00%,-4.00%,3.88%,9.81%,ASLI
16,31-10-2025,216,230,193,200,133.022.900,26.604.580.000,-0.92%,5.50%,-11.47%,-8.26%,6.48%,27.83%,ASLI
17,30-10-2025,173,226,166,218,191.198.900,41.681.360.200,-3.89%,25.56%,-7.78%,21.11%,30.64%,22.12%,ASLI
18,29-10-2025,176,180,176,180,65.078.400,11.714.112.000,-9.74%,-7.69%,-9.74%,-7.69%,2.27%,-8.33%,ASLI
19,28-10-2025,196,200,195,195,19.813.000,3.863.535.000,4.26%,6.38%,3.72%,3.72%,2.04%,14.00%,ASLI
20,27-10-2025,176,188,172,188,32.788.300,6.164.200.400,-6.38%,0.00%,-8.51%,0.00%,6.82%,0.00%,ASLI
21,24-10-2025,191,191,188,188,13.728.900,2.581.033.200,-2.05%,-2.05%,-3.59%,-3.59%,0.00%,9.42%,ASLI
22,23-10-2025,179,195,173,195,145.700.700,28.411.636.500,0.00%,8.94%,-3.35%,8.94%,8.94%,8.21%,ASLI
23,22-10-2025,179,179,179,179,3.982.100,712.795.900,-9.60%,-9.60%,-9.60%,-9.60%,0.00%,-10.61%,ASLI
24,21-10-2025,198,198,198,198,21.330.600,4.223.458.800,-10.00%,-10.00%,-10.00%,-10.00%,0.00%,-11.11%,ASLI
25,20-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
26,17-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
27,16-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
28,15-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
29,14-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
30,13-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
31,10-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
32,09-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
33,08-10-2025,220,220,220,220,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,18.18%,ASLI
34,07-10-2025,190,220,180,220,414.426.200,91.173.764.000,16.56%,34.97%,10.43%,34.97%,15.79%,25.91%,ASLI
35,06-10-2025,163,163,163,163,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,19.02%,ASLI
36,03-10-2025,142,163,132,163,700.870.200,114.241.842.600,17.36%,34.71%,9.09%,34.71%,14.79%,44.79%,ASLI
37,02-10-2025,121,121,90,121,602.052.000,72.848.292.000,34.44%,34.44%,0.00%,34.44%,0.00%,25.62%,ASLI
38,01-10-2025,90,90,90,90,54.243.600,4.881.924.000,34.33%,34.33%,34.33%,34.33%,0.00%,25.56%,ASLI
39,30-09-2025,67,67,67,67,38.527.100,2.581.315.700,34.00%,34.00%,34.00%,34.00%,0.00%,25.37%,ASLI
40,29-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
41,26-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
42,25-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
43,24-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
44,23-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
45,22-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
46,19-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
47,18-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
48,17-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
49,16-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
50,15-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
51,12-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
52,11-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
53,10-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
54,09-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
55,08-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
56,04-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
57,03-09-2025,50,50,50,50,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ASLI
