col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ATIC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ATIC
1,21-11-2025,615,715,610,710,2.058.200,1.461.322.000,-0.81%,15.32%,-1.61%,14.52%,16.26%,15.38%,ATIC
2,20-11-2025,630,630,605,620,417.900,259.098.000,-0.79%,-0.79%,-4.72%,-2.36%,0.00%,4.76%,ATIC
3,19-11-2025,650,650,600,635,1.022.200,649.097.000,0.78%,0.78%,-6.98%,-1.55%,0.00%,3.08%,ATIC
4,18-11-2025,645,665,630,645,282.000,181.890.000,0.00%,3.10%,-2.33%,0.00%,3.10%,5.26%,ATIC
5,17-11-2025,660,670,630,645,836.100,539.284.500,0.00%,1.52%,-4.55%,-2.27%,1.52%,5.22%,ATIC
6,14-11-2025,670,670,635,660,641.500,423.390.000,-0.74%,-0.74%,-5.93%,-2.22%,0.00%,4.48%,ATIC
7,13-11-2025,665,705,640,675,1.647.400,1.111.995.000,0.76%,6.82%,-3.03%,2.27%,6.02%,9.93%,ATIC
8,12-11-2025,700,705,635,660,2.332.300,1.539.318.000,-0.71%,0.00%,-9.93%,-6.38%,0.71%,2.84%,ATIC
9,11-11-2025,720,720,685,705,1.297.100,914.455.500,-0.69%,-0.69%,-5.52%,-2.76%,0.00%,3.47%,ATIC
10,10-11-2025,760,780,695,725,3.253.400,2.358.715.000,5.56%,8.33%,-3.47%,0.69%,2.63%,21.15%,ATIC
11,07-11-2025,700,830,615,720,7.239.200,5.212.224.000,0.00%,18.57%,-12.14%,2.86%,18.57%,15.66%,ATIC
12,06-11-2025,825,835,700,700,3.571.400,2.499.980.000,0.61%,1.83%,-14.63%,-14.63%,1.21%,5.39%,ATIC
13,05-11-2025,790,935,790,820,17.194.700,14.099.654.000,1.28%,19.87%,1.28%,5.13%,18.35%,29.41%,ATIC
14,04-11-2025,690,780,660,780,12.071.100,9.415.458.000,10.40%,24.80%,5.60%,24.80%,13.04%,40.51%,ATIC
15,03-11-2025,490,625,464,625,8.696.100,5.435.062.500,-2.00%,25.00%,-7.20%,25.00%,27.55%,26.08%,ATIC
16,31-10-2025,464,545,462,500,6.898.200,3.449.100.000,5.94%,24.43%,5.48%,14.16%,17.46%,20.73%,ATIC
17,30-10-2025,432,440,432,438,134.900,59.086.200,0.00%,1.85%,0.00%,1.39%,1.85%,2.27%,ATIC
18,29-10-2025,440,444,430,432,267.900,115.732.800,1.38%,2.30%,-0.92%,-0.46%,0.91%,4.05%,ATIC
19,28-10-2025,432,440,426,434,228.200,99.038.800,0.93%,2.80%,-0.47%,1.40%,1.85%,6.36%,ATIC
20,27-10-2025,438,440,412,428,354.800,151.854.400,0.00%,0.46%,-5.94%,-2.28%,0.46%,1.82%,ATIC
21,24-10-2025,440,440,432,438,353.000,154.614.000,1.38%,1.38%,-0.46%,0.92%,0.00%,2.73%,ATIC
22,23-10-2025,434,440,428,434,342.400,148.601.600,0.00%,1.38%,-1.38%,0.00%,1.38%,4.09%,ATIC
23,22-10-2025,426,436,422,434,136.000,59.024.000,0.00%,2.35%,-0.94%,1.88%,2.35%,3.67%,ATIC
24,21-10-2025,426,430,420,426,140.400,59.810.400,1.43%,2.38%,0.00%,1.43%,0.94%,2.79%,ATIC
25,20-10-2025,420,426,418,420,247.000,103.740.000,0.00%,1.43%,-0.48%,0.00%,1.43%,1.41%,ATIC
26,17-10-2025,432,432,420,420,350.900,147.378.000,0.47%,0.47%,-2.33%,-2.33%,0.00%,2.78%,ATIC
27,16-10-2025,440,440,420,430,328.500,141.255.000,1.38%,1.38%,-3.23%,-0.92%,0.00%,4.09%,ATIC
28,15-10-2025,430,436,422,434,696.300,302.194.200,0.00%,1.40%,-1.86%,0.93%,1.40%,2.29%,ATIC
29,14-10-2025,440,440,426,430,347.000,149.210.000,0.00%,0.00%,-3.18%,-2.27%,0.00%,1.82%,ATIC
30,13-10-2025,438,440,432,440,325.400,143.176.000,0.00%,0.46%,-1.37%,0.46%,0.46%,3.18%,ATIC
31,10-10-2025,440,444,426,438,734.200,321.579.600,0.92%,1.83%,-2.29%,0.46%,0.91%,3.60%,ATIC
32,09-10-2025,434,438,428,436,170.000,74.120.000,0.46%,1.39%,-0.93%,0.93%,0.92%,3.20%,ATIC
33,08-10-2025,430,438,424,432,463.900,200.404.800,0.47%,2.34%,-0.93%,0.93%,1.86%,2.28%,ATIC
34,07-10-2025,432,442,428,428,410.000,175.480.000,0.00%,2.31%,-0.93%,-0.93%,2.31%,3.17%,ATIC
35,06-10-2025,432,436,428,432,342.900,148.132.800,0.00%,0.93%,-0.93%,0.00%,0.93%,2.75%,ATIC
36,03-10-2025,434,442,424,432,517.400,223.516.800,0.46%,2.31%,-1.85%,0.00%,1.84%,4.98%,ATIC
37,02-10-2025,426,436,420,432,396.200,171.158.400,0.00%,2.35%,-1.41%,1.41%,2.35%,2.75%,ATIC
38,01-10-2025,438,442,424,426,417.300,177.769.800,1.39%,2.31%,-1.85%,-1.39%,0.91%,2.71%,ATIC
39,30-09-2025,434,442,430,432,368.700,159.278.400,1.40%,3.27%,0.47%,0.93%,1.84%,3.62%,ATIC
40,29-09-2025,436,440,426,428,223.500,95.658.000,0.00%,0.92%,-2.29%,-1.83%,0.92%,2.27%,ATIC
41,26-09-2025,438,448,430,436,112.900,49.224.400,0.00%,2.28%,-1.83%,-0.46%,2.28%,4.91%,ATIC
42,25-09-2025,438,440,426,438,343.100,150.277.800,0.00%,0.46%,-2.74%,0.00%,0.46%,3.18%,ATIC
43,24-09-2025,436,440,426,438,259.700,113.748.600,0.00%,0.92%,-2.29%,0.46%,0.92%,0.91%,ATIC
44,23-09-2025,450,450,436,436,527.000,229.772.000,0.45%,0.45%,-2.68%,-2.68%,0.00%,2.67%,ATIC
45,22-09-2025,448,452,438,448,457.600,205.004.800,0.00%,0.89%,-2.23%,0.00%,0.89%,2.65%,ATIC
46,19-09-2025,442,452,440,448,335.500,150.304.000,0.45%,2.73%,0.00%,1.82%,2.26%,3.54%,ATIC
47,18-09-2025,460,460,436,440,532.200,234.168.000,0.44%,0.44%,-4.80%,-3.93%,0.00%,3.04%,ATIC
48,17-09-2025,456,464,446,458,413.000,189.154.000,0.44%,2.20%,-1.76%,0.88%,1.75%,4.74%,ATIC
