col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AVIA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AVIA
1,21-11-2025,454,456,450,450,5.149.300,2.317.185.000,0.00%,0.44%,-0.88%,-0.88%,0.44%,2.19%,AVIA
2,20-11-2025,446,458,446,454,32.388.500,14.704.379.000,0.00%,2.69%,0.00%,1.79%,2.69%,3.93%,AVIA
3,19-11-2025,444,448,440,446,10.597.500,4.726.485.000,0.00%,0.90%,-0.90%,0.45%,0.90%,0.89%,AVIA
4,18-11-2025,454,454,444,444,12.353.600,5.484.998.400,1.34%,1.34%,-0.89%,-0.89%,0.00%,2.64%,AVIA
5,17-11-2025,448,450,442,448,8.934.700,4.002.745.600,0.90%,1.35%,-0.45%,0.90%,0.45%,1.78%,AVIA
6,14-11-2025,446,450,442,444,7.808.300,3.466.885.200,-0.45%,0.45%,-1.34%,-0.89%,0.90%,0.89%,AVIA
7,13-11-2025,454,458,446,448,12.310.100,5.514.924.800,0.44%,1.33%,-1.33%,-0.88%,0.88%,3.06%,AVIA
8,12-11-2025,458,458,444,452,16.465.900,7.442.586.800,-0.87%,-0.87%,-3.90%,-2.16%,0.00%,0.44%,AVIA
9,11-11-2025,466,466,456,462,33.731.700,15.584.045.400,1.30%,1.30%,-0.87%,0.43%,0.00%,2.15%,AVIA
10,10-11-2025,470,470,456,460,24.877.800,11.443.788.000,2.17%,2.17%,-0.87%,0.00%,0.00%,2.55%,AVIA
11,07-11-2025,468,474,458,460,29.295.400,13.475.884.000,0.00%,1.28%,-2.14%,-1.71%,1.28%,5.49%,AVIA
12,06-11-2025,458,474,448,468,110.052.400,51.504.523.200,0.00%,3.49%,-2.18%,2.18%,3.49%,11.39%,AVIA
13,05-11-2025,422,458,420,458,138.352.400,63.365.399.200,0.48%,9.05%,0.00%,9.05%,8.53%,9.17%,AVIA
14,04-11-2025,416,424,416,420,37.574.800,15.781.416.000,0.00%,1.92%,0.00%,0.96%,1.92%,2.83%,AVIA
15,03-11-2025,414,418,412,416,16.886.800,7.024.908.800,0.00%,0.97%,-0.48%,0.48%,0.97%,1.44%,AVIA
16,31-10-2025,416,418,412,414,7.182.300,2.973.472.200,0.97%,1.46%,0.00%,0.49%,0.48%,1.91%,AVIA
17,30-10-2025,412,416,410,412,9.397.200,3.871.646.400,0.00%,0.97%,-0.49%,0.00%,0.97%,1.44%,AVIA
18,29-10-2025,412,414,410,412,8.360.800,3.444.649.600,0.00%,0.49%,-0.49%,0.00%,0.49%,0.48%,AVIA
19,28-10-2025,418,418,412,412,9.363.200,3.857.638.400,0.48%,0.48%,-0.96%,-0.96%,0.00%,1.44%,AVIA
20,27-10-2025,416,420,412,416,14.058.500,5.848.336.000,0.00%,0.96%,-0.96%,0.00%,0.96%,0.95%,AVIA
21,24-10-2025,420,430,416,416,7.770.000,3.232.320.000,0.96%,3.37%,0.00%,0.00%,2.38%,3.72%,AVIA
22,23-10-2025,414,420,414,416,12.619.300,5.249.628.800,-0.48%,0.96%,-0.48%,0.00%,1.45%,0.95%,AVIA
23,22-10-2025,426,426,416,416,11.977.300,4.982.556.800,0.47%,0.47%,-1.89%,-1.89%,0.00%,0.94%,AVIA
24,21-10-2025,426,428,422,424,9.059.300,3.841.143.200,1.91%,2.39%,0.96%,1.44%,0.47%,2.80%,AVIA
25,20-10-2025,424,428,416,418,9.769.800,4.083.776.400,0.00%,0.94%,-1.89%,-1.42%,0.94%,1.40%,AVIA
26,17-10-2025,434,438,422,424,12.667.600,5.371.062.400,0.00%,0.92%,-2.76%,-2.30%,0.92%,1.37%,AVIA
27,16-10-2025,446,474,432,434,32.229.700,13.987.689.800,0.00%,6.28%,-3.14%,-2.69%,6.28%,10.97%,AVIA
28,15-10-2025,424,446,422,446,201.699.000,89.957.754.000,-1.40%,3.72%,-1.86%,3.72%,5.19%,6.28%,AVIA
29,14-10-2025,430,436,418,430,32.523.400,13.985.062.000,0.47%,1.87%,-2.34%,0.47%,1.40%,4.13%,AVIA
30,13-10-2025,422,430,418,428,26.959.500,11.538.666.000,-1.40%,0.47%,-2.34%,0.00%,1.90%,1.86%,AVIA
31,10-10-2025,426,430,422,428,28.218.700,12.077.603.600,0.47%,1.42%,-0.47%,0.94%,0.94%,2.79%,AVIA
32,09-10-2025,422,426,418,424,26.873.900,11.394.533.600,0.00%,0.95%,-0.95%,0.47%,0.95%,2.82%,AVIA
33,08-10-2025,418,426,414,422,49.592.500,20.928.035.000,0.00%,1.91%,-0.96%,0.96%,1.91%,5.63%,AVIA
34,07-10-2025,404,420,402,418,19.620.700,8.201.452.600,0.50%,4.48%,0.00%,3.98%,3.96%,4.29%,AVIA
35,06-10-2025,408,410,402,402,8.303.800,3.338.127.600,0.00%,0.49%,-1.47%,-1.47%,0.49%,1.46%,AVIA
36,03-10-2025,408,408,404,408,5.383.000,2.196.264.000,0.49%,0.49%,-0.49%,0.49%,0.00%,1.47%,AVIA
37,02-10-2025,406,408,402,406,5.291.400,2.148.308.400,0.50%,0.99%,-0.50%,0.50%,0.49%,1.47%,AVIA
38,01-10-2025,410,410,402,404,6.069.800,2.452.199.200,0.49%,0.49%,-1.47%,-0.98%,0.00%,0.49%,AVIA
39,30-09-2025,410,412,408,408,6.666.000,2.719.728.000,0.49%,0.98%,0.00%,0.00%,0.49%,1.46%,AVIA
40,29-09-2025,418,418,406,408,9.756.800,3.980.774.400,0.97%,0.97%,-1.93%,-1.45%,0.00%,4.78%,AVIA
41,26-09-2025,406,426,398,414,59.700.500,24.716.007.000,1.00%,5.97%,-1.00%,2.99%,4.93%,6.10%,AVIA
42,25-09-2025,404,406,400,402,6.365.200,2.558.810.400,-0.49%,0.00%,-1.48%,-0.99%,0.50%,0.99%,AVIA
43,24-09-2025,402,410,402,406,9.161.600,3.719.609.600,0.00%,1.99%,0.00%,1.00%,1.99%,2.44%,AVIA
44,23-09-2025,410,410,400,402,11.207.700,4.505.495.400,0.99%,0.99%,-1.48%,-0.99%,0.00%,1.46%,AVIA
45,22-09-2025,406,410,404,406,4.975.300,2.019.971.800,1.00%,1.99%,0.50%,1.00%,0.99%,1.95%,AVIA
46,19-09-2025,406,412,402,402,27.804.800,11.177.529.600,-0.98%,0.49%,-1.95%,-1.95%,1.48%,0.49%,AVIA
47,18-09-2025,422,422,410,410,19.290.500,7.909.105.000,0.48%,0.48%,-2.38%,-2.38%,0.00%,0.95%,AVIA
48,17-09-2025,420,422,418,420,6.402.700,2.689.134.000,0.00%,0.48%,-0.48%,0.00%,0.48%,0.95%,AVIA
49,16-09-2025,422,424,418,420,15.167.600,6.370.392.000,0.00%,0.47%,-0.95%,-0.47%,0.47%,0.94%,AVIA
50,15-09-2025,424,426,420,422,15.900.200,6.709.884.400,0.00%,0.47%,-0.94%,-0.47%,0.47%,0.94%,AVIA
51,12-09-2025,426,428,422,424,7.876.700,3.339.720.800,0.47%,0.94%,-0.47%,0.00%,0.47%,0.93%,AVIA
52,11-09-2025,432,432,424,424,6.791.400,2.879.553.600,1.41%,1.41%,-0.47%,-0.47%,0.00%,1.85%,AVIA
53,10-09-2025,426,432,424,426,6.999.800,2.981.914.800,0.00%,1.41%,-0.47%,0.00%,1.41%,2.31%,AVIA
54,09-09-2025,428,428,422,426,7.730.200,3.293.065.200,0.94%,0.94%,-0.47%,0.47%,0.00%,0.93%,AVIA
55,08-09-2025,426,430,424,424,4.972.400,2.108.297.600,0.47%,1.42%,0.00%,0.00%,0.94%,1.40%,AVIA
56,04-09-2025,430,430,424,424,3.252.700,1.379.144.800,0.00%,0.00%,-1.40%,-1.40%,0.00%,0.93%,AVIA
57,03-09-2025,428,432,426,430,23.783.500,10.226.905.000,0.47%,1.41%,0.00%,0.94%,0.93%,2.31%,AVIA
58,02-09-2025,426,430,422,426,30.081.300,12.814.633.800,0.00%,0.94%,-0.94%,0.00%,0.94%,6.51%,AVIA
59,01-09-2025,410,442,402,426,26.837.900,11.432.945.400,-2.84%,4.74%,-4.74%,0.95%,7.80%,4.98%,AVIA
60,29-08-2025,424,426,420,422,20.353.200,8.589.050.400,0.00%,0.47%,-0.94%,-0.47%,0.47%,0.94%,AVIA
61,28-08-2025,426,428,422,424,6.992.400,2.964.777.600,0.00%,0.47%,-0.94%,-0.47%,0.47%,1.40%,AVIA
62,27-08-2025,424,426,422,426,4.349.100,1.852.716.600,0.00%,0.47%,-0.47%,0.47%,0.47%,1.41%,AVIA
63,26-08-2025,424,426,420,424,15.114.100,6.408.378.400,0.00%,0.47%,-0.94%,0.00%,0.47%,0.47%,AVIA
64,25-08-2025,430,430,424,424,20.913.600,8.867.366.400,0.94%,0.94%,-0.47%,-0.47%,0.00%,1.86%,AVIA
65,22-08-2025,428,428,422,426,14.972.300,6.378.199.800,0.94%,0.94%,-0.47%,0.47%,0.00%,1.40%,AVIA
66,21-08-2025,426,428,422,424,14.366.000,6.091.184.000,0.95%,1.42%,0.00%,0.47%,0.47%,1.40%,AVIA
67,20-08-2025,424,428,422,422,17.780.000,7.503.160.000,0.00%,0.94%,-0.47%,-0.47%,0.94%,1.40%,AVIA
68,19-08-2025,424,428,422,424,9.906.800,4.200.483.200,0.00%,0.94%,-0.47%,0.00%,0.94%,1.40%,AVIA
69,15-08-2025,428,428,422,424,10.421.000,4.418.504.000,0.94%,0.94%,-0.47%,0.00%,0.00%,0.93%,AVIA
70,14-08-2025,428,430,424,424,10.018.700,4.247.928.800,0.47%,0.94%,-0.47%,-0.47%,0.47%,0.93%,AVIA
71,13-08-2025,432,432,426,426,7.516.900,3.202.199.400,1.89%,1.89%,0.47%,0.47%,0.00%,1.85%,AVIA
