col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AWAN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AWAN
1,21-11-2025,234,236,228,236,2.111.100,498.219.600,0.00%,0.85%,-2.56%,0.85%,0.85%,0.85%,AWAN
2,20-11-2025,236,244,234,234,2.558.000,598.572.000,0.00%,3.39%,-0.85%,-0.85%,3.39%,3.28%,AWAN
3,19-11-2025,260,260,236,236,20.010.800,4.722.548.800,0.78%,0.78%,-8.53%,-8.53%,0.00%,4.62%,AWAN
4,18-11-2025,264,264,248,258,18.685.200,4.820.781.600,1.54%,1.54%,-4.62%,-0.77%,0.00%,2.27%,AWAN
5,17-11-2025,276,278,258,260,18.171.200,4.724.512.000,2.22%,2.96%,-4.44%,-3.70%,0.72%,7.19%,AWAN
6,14-11-2025,260,280,258,270,19.387.200,5.234.544.000,0.78%,8.53%,0.00%,4.65%,7.69%,8.57%,AWAN
7,13-11-2025,262,282,256,258,26.278.600,6.779.878.800,0.00%,7.63%,-2.29%,-1.53%,7.63%,12.06%,AWAN
8,12-11-2025,260,266,248,262,25.170.700,6.594.723.400,2.36%,4.72%,-2.36%,3.15%,2.31%,9.02%,AWAN
9,11-11-2025,246,260,242,254,24.704.100,6.274.841.400,0.82%,6.56%,-0.82%,4.10%,5.69%,10.77%,AWAN
10,10-11-2025,236,248,232,244,22.068.400,5.384.689.600,0.00%,5.08%,-1.69%,3.39%,5.08%,6.45%,AWAN
11,07-11-2025,250,250,232,236,20.959.100,4.946.347.600,0.00%,0.00%,-7.20%,-5.60%,0.00%,8.00%,AWAN
12,06-11-2025,232,250,230,250,23.221.800,5.805.450.000,0.00%,7.76%,-0.86%,7.76%,7.76%,8.00%,AWAN
13,05-11-2025,234,234,230,232,18.569.600,4.308.147.200,0.00%,0.00%,-1.71%,-0.85%,0.00%,2.56%,AWAN
14,04-11-2025,240,240,228,234,17.016.300,3.981.814.200,0.00%,0.00%,-5.00%,-2.50%,0.00%,1.67%,AWAN
15,03-11-2025,238,240,236,240,16.432.500,3.943.800.000,0.85%,1.69%,0.00%,1.69%,0.84%,2.50%,AWAN
16,31-10-2025,238,242,234,236,22.094.000,5.214.184.000,-0.83%,0.83%,-2.50%,-1.67%,1.68%,4.13%,AWAN
17,30-10-2025,240,242,232,240,17.616.300,4.227.912.000,0.00%,0.83%,-3.33%,0.00%,0.83%,3.31%,AWAN
18,29-10-2025,244,250,234,240,20.878.400,5.010.816.000,0.00%,2.46%,-4.10%,-1.64%,2.46%,3.20%,AWAN
19,28-10-2025,250,258,242,244,20.810.400,5.077.737.600,0.00%,3.20%,-3.20%,-2.40%,3.20%,7.75%,AWAN
20,27-10-2025,244,254,238,250,24.101.600,6.025.400.000,0.83%,4.96%,-1.65%,3.31%,4.10%,7.09%,AWAN
21,24-10-2025,246,246,236,242,21.539.100,5.212.462.200,2.50%,2.50%,-1.67%,0.83%,0.00%,10.57%,AWAN
22,23-10-2025,226,242,220,240,24.850.000,5.964.000.000,0.00%,7.08%,-2.65%,6.19%,7.08%,8.26%,AWAN
23,22-10-2025,226,230,222,226,20.307.200,4.589.427.200,0.00%,1.77%,-1.77%,0.00%,1.77%,5.22%,AWAN
24,21-10-2025,222,226,218,226,19.638.300,4.438.255.800,0.91%,2.73%,-0.91%,2.73%,1.80%,7.96%,AWAN
25,20-10-2025,212,224,208,220,20.002.100,4.400.462.000,-0.93%,4.67%,-2.80%,2.80%,5.66%,6.25%,AWAN
26,17-10-2025,222,222,210,214,20.341.600,4.353.102.400,0.00%,0.00%,-5.41%,-3.60%,0.00%,0.90%,AWAN
27,16-10-2025,220,224,220,222,19.534.200,4.336.592.400,0.00%,1.82%,0.00%,0.91%,1.82%,2.68%,AWAN
