col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AYAM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AYAM
1,21-11-2025,316,322,306,316,40.521.800,12.804.888.800,0.64%,2.55%,-2.55%,0.64%,1.90%,3.73%,AYAM
2,20-11-2025,322,328,310,314,94.527.500,29.681.635.000,0.63%,2.50%,-3.13%,-1.88%,1.86%,7.32%,AYAM
3,19-11-2025,322,326,304,320,129.908.300,41.570.656.000,2.55%,3.82%,-3.18%,1.91%,1.24%,14.11%,AYAM
4,18-11-2025,282,338,280,314,408.661.800,128.319.805.200,-2.08%,17.36%,-2.78%,9.03%,19.86%,20.71%,AYAM
5,17-11-2025,296,322,268,288,468.498.200,134.927.481.600,3.50%,12.59%,-6.29%,0.70%,8.78%,30.43%,AYAM
6,14-11-2025,230,286,224,286,387.576.000,110.846.736.000,0.00%,24.35%,-2.61%,24.35%,24.35%,30.07%,AYAM
7,13-11-2025,214,254,200,230,542.732.200,124.828.406.000,2.88%,22.12%,-3.85%,10.58%,18.69%,28.35%,AYAM
8,12-11-2025,182,208,182,208,278.105.900,57.846.027.200,0.00%,14.29%,0.00%,14.29%,14.29%,14.42%,AYAM
9,11-11-2025,181,183,178,182,121.342.000,22.084.244.000,0.56%,1.67%,-1.11%,1.11%,1.10%,2.73%,AYAM
10,10-11-2025,181,183,178,180,90.390.300,16.270.254.000,0.00%,1.10%,-1.66%,-0.55%,1.10%,2.73%,AYAM
11,07-11-2025,181,181,178,181,85.818.200,15.533.094.200,0.00%,0.00%,-1.66%,0.00%,0.00%,1.66%,AYAM
12,06-11-2025,179,181,178,181,75.013.700,13.577.479.700,0.56%,1.69%,0.00%,1.69%,1.12%,2.76%,AYAM
13,05-11-2025,178,179,176,178,69.136.600,12.306.314.800,0.00%,0.56%,-1.12%,0.00%,0.56%,1.68%,AYAM
14,04-11-2025,178,181,176,178,149.232.600,26.563.402.800,0.00%,1.69%,-1.12%,0.00%,1.69%,2.76%,AYAM
15,03-11-2025,177,179,176,178,94.158.000,16.760.124.000,-0.56%,0.56%,-1.12%,0.00%,1.13%,1.12%,AYAM
16,31-10-2025,179,181,177,178,85.865.300,15.284.023.400,0.00%,1.12%,-1.12%,-0.56%,1.12%,2.21%,AYAM
17,30-10-2025,179,180,177,179,121.815.400,21.804.956.600,0.00%,0.56%,-1.12%,0.00%,0.56%,2.78%,AYAM
18,29-10-2025,177,179,175,179,77.454.700,13.864.391.300,0.57%,1.70%,-0.57%,1.70%,1.13%,1.68%,AYAM
19,28-10-2025,179,179,176,176,127.333.100,22.410.625.600,0.00%,0.00%,-1.68%,-1.68%,0.00%,2.23%,AYAM
20,27-10-2025,180,180,175,179,107.466.300,19.236.467.700,0.00%,0.00%,-2.78%,-0.56%,0.00%,2.22%,AYAM
21,24-10-2025,183,183,176,180,147.901.700,26.622.306.000,0.55%,0.55%,-3.30%,-1.10%,0.00%,3.28%,AYAM
22,23-10-2025,182,183,177,182,132.459.800,24.107.683.600,0.00%,0.55%,-2.75%,0.00%,0.55%,2.73%,AYAM
23,22-10-2025,179,183,178,182,92.371.500,16.811.613.000,0.56%,2.81%,0.00%,2.25%,2.23%,3.83%,AYAM
24,21-10-2025,177,179,176,178,97.410.400,17.339.051.200,0.00%,1.13%,-0.56%,0.56%,1.13%,1.68%,AYAM
25,20-10-2025,179,180,176,177,136.802.600,24.214.060.200,0.00%,0.56%,-1.68%,-1.12%,0.56%,2.22%,AYAM
26,17-10-2025,179,179,176,179,99.077.300,17.734.836.700,0.00%,0.00%,-1.68%,0.00%,0.00%,2.23%,AYAM
27,16-10-2025,178,179,175,179,95.388.100,17.074.469.900,0.56%,1.13%,-1.13%,1.13%,0.56%,2.23%,AYAM
28,15-10-2025,178,178,175,177,67.904.000,12.019.008.000,0.00%,0.00%,-1.69%,-0.56%,0.00%,1.69%,AYAM
29,14-10-2025,178,179,175,178,82.943.700,14.763.978.600,0.00%,0.56%,-1.69%,0.00%,0.56%,2.23%,AYAM
30,13-10-2025,178,179,175,178,83.999.100,14.951.839.800,0.00%,0.56%,-1.69%,0.00%,0.56%,2.23%,AYAM
31,10-10-2025,177,180,175,178,154.597.000,27.518.266.000,0.00%,1.69%,-1.13%,0.56%,1.69%,2.78%,AYAM
32,09-10-2025,176,177,175,177,79.867.000,14.136.459.000,0.57%,1.14%,0.00%,1.14%,0.57%,2.26%,AYAM
33,08-10-2025,176,177,173,175,75.962.400,13.293.420.000,0.57%,1.14%,-1.14%,0.00%,0.57%,1.13%,AYAM
34,07-10-2025,178,179,175,175,80.412.400,14.072.170.000,0.56%,1.13%,-1.13%,-1.13%,0.56%,1.68%,AYAM
35,06-10-2025,181,181,176,177,95.056.200,16.824.947.400,0.00%,0.00%,-2.76%,-2.21%,0.00%,2.76%,AYAM
36,03-10-2025,182,182,176,181,113.614.100,20.564.152.100,0.55%,0.55%,-2.76%,0.00%,0.00%,4.40%,AYAM
37,02-10-2025,174,183,174,181,127.564.600,23.089.192.600,0.00%,5.17%,0.00%,4.02%,5.17%,5.46%,AYAM
38,01-10-2025,177,178,173,174,101.151.200,17.600.308.800,0.57%,1.14%,-1.70%,-1.14%,0.56%,3.37%,AYAM
39,30-09-2025,176,177,172,176,127.409.400,22.424.054.400,0.57%,1.14%,-1.71%,0.57%,0.57%,2.82%,AYAM
40,29-09-2025,175,176,172,175,128.640.200,22.512.035.000,0.57%,1.15%,-1.15%,0.57%,0.57%,2.27%,AYAM
41,26-09-2025,177,178,172,174,101.424.700,17.647.897.800,0.00%,0.56%,-2.82%,-1.69%,0.56%,2.25%,AYAM
42,25-09-2025,176,178,174,177,91.643.400,16.220.881.800,0.00%,1.14%,-1.14%,0.57%,1.14%,2.25%,AYAM
43,24-09-2025,178,178,174,176,126.610.700,22.283.483.200,-0.56%,-0.56%,-2.79%,-1.68%,0.00%,2.25%,AYAM
44,23-09-2025,175,182,174,179,131.051.900,23.458.290.100,0.00%,4.00%,-0.57%,2.29%,4.00%,4.95%,AYAM
45,22-09-2025,176,177,173,175,132.835.200,23.246.160.000,0.00%,0.57%,-1.70%,-0.57%,0.57%,2.26%,AYAM
46,19-09-2025,175,180,173,176,114.591.500,20.168.104.000,0.00%,2.86%,-1.14%,0.57%,2.86%,3.89%,AYAM
47,18-09-2025,176,178,173,175,120.579.700,21.101.447.500,0.00%,1.14%,-1.70%,-0.57%,1.14%,2.81%,AYAM
48,17-09-2025,179,183,173,176,137.100.500,24.129.688.000,0.56%,2.81%,-2.81%,-1.12%,2.23%,6.01%,AYAM
49,16-09-2025,174,178,172,178,136.850.500,24.359.389.000,0.00%,2.30%,-1.15%,2.30%,2.30%,3.93%,AYAM
50,15-09-2025,174,175,171,174,117.496.300,20.444.356.200,0.00%,0.57%,-1.72%,0.00%,0.57%,2.29%,AYAM
51,12-09-2025,177,179,171,174,106.186.500,18.476.451.000,0.00%,1.13%,-3.39%,-1.69%,1.13%,2.79%,AYAM
52,11-09-2025,175,179,174,177,117.606.600,20.816.368.200,0.00%,2.29%,-0.57%,1.14%,2.29%,4.47%,AYAM
53,10-09-2025,172,175,171,175,89.259.000,15.620.325.000,0.00%,1.74%,-0.58%,1.74%,1.74%,3.43%,AYAM
54,09-09-2025,172,173,169,172,102.047.300,17.552.135.600,0.00%,0.58%,-1.74%,0.00%,0.58%,2.31%,AYAM
55,08-09-2025,171,173,169,172,84.243.800,14.489.933.600,0.00%,1.17%,-1.17%,0.58%,1.17%,2.89%,AYAM
56,04-09-2025,171,172,168,171,103.779.100,17.746.226.100,0.00%,0.58%,-1.75%,0.00%,0.58%,2.33%,AYAM
57,03-09-2025,171,172,168,171,107.089.000,18.312.219.000,0.00%,0.58%,-1.75%,0.00%,0.58%,2.91%,AYAM
58,02-09-2025,171,175,167,171,145.014.400,24.797.462.400,0.59%,2.94%,-1.76%,0.59%,2.34%,6.29%,AYAM
59,01-09-2025,169,171,164,170,112.687.500,19.156.875.000,-0.59%,0.59%,-3.53%,0.00%,1.18%,2.34%,AYAM
60,29-08-2025,172,174,167,170,121.318.700,20.624.179.000,0.00%,1.16%,-2.91%,-1.16%,1.16%,3.45%,AYAM
61,28-08-2025,171,174,168,172,135.814.400,23.360.076.800,0.00%,1.75%,-1.75%,0.58%,1.75%,4.02%,AYAM
62,27-08-2025,170,171,167,171,130.151.700,22.255.940.700,0.00%,0.59%,-1.76%,0.59%,0.59%,1.75%,AYAM
63,26-08-2025,169,172,168,170,115.770.700,19.681.019.000,0.00%,1.78%,-0.59%,0.59%,1.78%,3.49%,AYAM
64,25-08-2025,171,172,166,169,135.127.400,22.836.530.600,0.59%,1.18%,-2.35%,-0.59%,0.58%,2.91%,AYAM
65,22-08-2025,169,175,167,170,171.831.900,29.211.423.000,1.81%,5.42%,0.60%,2.41%,3.55%,6.86%,AYAM
66,21-08-2025,174,174,163,166,149.246.000,24.774.836.000,0.00%,0.00%,-6.32%,-4.60%,0.00%,2.87%,AYAM
67,20-08-2025,172,174,169,174,163.095.500,28.378.617.000,0.00%,1.16%,-1.74%,1.16%,1.16%,3.45%,AYAM
68,19-08-2025,170,174,168,172,135.339.600,23.278.411.200,0.59%,2.96%,-0.59%,1.78%,2.35%,4.02%,AYAM
69,15-08-2025,171,173,167,169,119.025.600,20.115.326.400,0.00%,1.17%,-2.34%,-1.17%,1.17%,2.89%,AYAM
