col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BABY
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BABY
1,21-11-2025,346,348,328,334,14.067.100,4.698.411.400,0.00%,0.58%,-5.20%,-3.47%,0.58%,1.72%,BABY
2,20-11-2025,372,372,342,346,55.598.700,19.237.150.200,1.09%,1.09%,-7.07%,-5.98%,0.00%,2.69%,BABY
3,19-11-2025,370,440,362,368,189.606.500,69.775.192.000,0.00%,18.92%,-2.16%,-0.54%,18.92%,22.73%,BABY
4,18-11-2025,414,414,340,370,78.505.300,29.046.961.000,3.50%,3.50%,-15.00%,-7.50%,0.00%,15.46%,BABY
5,17-11-2025,352,400,350,400,155.845.000,62.338.000.000,10.00%,25.00%,9.38%,25.00%,13.64%,21.00%,BABY
6,14-11-2025,320,326,316,320,11.539.700,3.692.704.000,-2.44%,-0.61%,-3.66%,-2.44%,1.88%,1.84%,BABY
7,13-11-2025,328,336,320,328,23.018.500,7.550.068.000,2.50%,5.00%,0.00%,2.50%,2.44%,10.12%,BABY
8,12-11-2025,324,328,302,320,8.296.200,2.654.784.000,0.00%,1.23%,-6.79%,-1.23%,1.23%,4.88%,BABY
9,11-11-2025,332,336,312,324,18.174.200,5.888.440.800,0.00%,1.20%,-6.02%,-2.41%,1.20%,3.57%,BABY
10,10-11-2025,330,342,324,332,20.094.500,6.671.374.000,0.00%,3.64%,-1.82%,0.61%,3.64%,6.43%,BABY
11,07-11-2025,340,350,320,330,34.539.800,11.398.134.000,-2.30%,0.57%,-8.05%,-5.17%,2.94%,0.57%,BABY
12,06-11-2025,348,358,348,348,20.590.200,7.165.389.600,-14.71%,-12.25%,-14.71%,-14.71%,2.87%,-13.97%,BABY
13,05-11-2025,482,486,408,408,39.535.900,16.130.647.200,0.42%,1.25%,-15.00%,-15.00%,0.83%,1.23%,BABY
14,04-11-2025,492,535,480,480,19.092.700,9.164.496.000,0.82%,9.63%,-1.64%,-1.64%,8.74%,8.79%,BABY
15,03-11-2025,525,540,488,488,13.145.200,6.414.857.600,-1.87%,0.93%,-8.79%,-8.79%,2.86%,3.70%,BABY
16,31-10-2025,530,550,520,535,15.486.500,8.285.277.500,2.91%,6.80%,0.97%,3.88%,3.77%,10.18%,BABY
17,30-10-2025,510,545,494,515,21.531.400,11.088.671.000,0.99%,7.92%,-2.18%,1.98%,6.86%,12.29%,BABY
18,29-10-2025,478,555,478,505,27.153.200,13.712.366.000,0.00%,16.11%,0.00%,5.65%,16.11%,17.12%,BABY
19,28-10-2025,505,595,460,478,21.923.200,10.479.289.600,1.41%,19.48%,-7.63%,-4.02%,17.82%,33.11%,BABY
20,27-10-2025,402,500,398,498,32.246.900,16.058.956.200,0.00%,24.38%,-1.00%,23.88%,24.38%,20.40%,BABY
21,24-10-2025,460,460,398,402,13.568.100,5.454.376.200,1.32%,1.32%,-12.33%,-11.45%,0.00%,11.74%,BABY
22,23-10-2025,440,500,406,454,14.427.900,6.550.266.600,-3.51%,9.65%,-10.96%,-0.44%,13.64%,8.80%,BABY
