col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BACA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BACA
1,21-11-2025,142,143,141,142,1.499.600,212.943.200,0.00%,0.70%,-0.70%,0.00%,0.70%,1.40%,BACA
2,20-11-2025,142,143,141,142,1.401.100,198.956.200,-0.70%,0.00%,-1.40%,-0.70%,0.70%,0.70%,BACA
3,19-11-2025,143,144,142,143,862.800,123.380.400,-0.69%,0.00%,-1.39%,-0.69%,0.70%,2.08%,BACA
4,18-11-2025,146,147,141,144,1.913.500,275.544.000,0.00%,0.68%,-3.42%,-1.37%,0.68%,3.40%,BACA
5,17-11-2025,145,158,142,146,10.960.200,1.600.189.200,-0.68%,8.22%,-2.74%,0.00%,8.97%,12.03%,BACA
6,14-11-2025,141,148,139,146,3.959.600,578.101.600,1.44%,6.47%,0.00%,5.04%,4.96%,6.08%,BACA
7,13-11-2025,141,142,139,139,897.400,124.738.600,0.00%,0.71%,-1.42%,-1.42%,0.71%,2.11%,BACA
8,12-11-2025,140,146,139,141,765.200,107.893.200,0.00%,4.29%,-0.71%,0.71%,4.29%,4.11%,BACA
9,11-11-2025,144,144,140,140,708.800,99.232.000,1.41%,1.41%,-1.41%,-1.41%,0.00%,2.08%,BACA
10,10-11-2025,141,148,141,142,2.925.400,415.406.800,0.00%,4.96%,0.00%,0.71%,4.96%,6.08%,BACA
11,07-11-2025,140,141,139,141,1.006.400,141.902.400,0.00%,0.71%,-0.71%,0.71%,0.71%,1.42%,BACA
12,06-11-2025,139,140,139,140,463.000,64.820.000,0.00%,0.72%,0.00%,0.72%,0.72%,1.43%,BACA
13,05-11-2025,138,140,138,139,838.000,116.482.000,-0.72%,0.72%,-0.72%,0.00%,1.45%,1.43%,BACA
14,04-11-2025,139,140,138,139,376.600,52.347.400,0.72%,1.45%,0.00%,0.72%,0.72%,2.14%,BACA
15,03-11-2025,138,141,137,138,2.290.300,316.061.400,0.00%,2.17%,-0.72%,0.00%,2.17%,2.13%,BACA
16,31-10-2025,139,140,138,138,1.585.700,218.826.600,0.00%,0.72%,-0.72%,-0.72%,0.72%,0.71%,BACA
17,30-10-2025,140,141,139,139,463.900,64.482.100,0.00%,0.71%,-0.71%,-0.71%,0.71%,2.84%,BACA
18,29-10-2025,140,141,137,140,679.800,95.172.000,0.00%,0.71%,-2.14%,0.00%,0.71%,2.13%,BACA
19,28-10-2025,140,141,138,140,1.043.500,146.090.000,-0.71%,0.00%,-2.13%,-0.71%,0.71%,2.84%,BACA
20,27-10-2025,140,144,137,141,1.641.100,231.395.100,0.00%,2.86%,-2.14%,0.71%,2.86%,2.78%,BACA
21,24-10-2025,141,143,140,140,799.200,111.888.000,0.00%,1.42%,-0.71%,-0.71%,1.42%,2.80%,BACA
22,23-10-2025,140,143,139,141,2.366.200,333.634.200,0.00%,2.14%,-0.71%,0.71%,2.14%,2.80%,BACA
23,22-10-2025,140,145,139,140,1.191.800,166.852.000,0.00%,3.57%,-0.71%,0.00%,3.57%,3.45%,BACA
24,21-10-2025,143,143,140,140,1.314.200,183.988.000,0.00%,0.00%,-2.10%,-2.10%,0.00%,2.10%,BACA
25,20-10-2025,140,145,140,143,2.024.400,289.489.200,1.45%,5.07%,1.45%,3.62%,3.57%,5.52%,BACA
26,17-10-2025,142,142,137,138,1.637.000,225.906.000,0.71%,0.71%,-2.84%,-2.13%,0.00%,2.11%,BACA
27,16-10-2025,141,142,139,141,1.563.000,220.383.000,0.00%,0.71%,-1.42%,0.00%,0.71%,1.41%,BACA
28,15-10-2025,140,145,140,141,2.705.200,381.433.200,0.00%,3.57%,0.00%,0.71%,3.57%,4.14%,BACA
29,14-10-2025,140,148,139,140,5.923.800,829.332.000,0.00%,5.71%,-0.71%,0.00%,5.71%,5.41%,BACA
30,13-10-2025,140,143,140,140,4.282.800,599.592.000,-2.10%,0.00%,-2.10%,-2.10%,2.14%,0.70%,BACA
31,10-10-2025,142,145,142,143,1.447.500,206.992.500,0.00%,2.11%,0.00%,0.70%,2.11%,3.45%,BACA
32,09-10-2025,143,144,140,142,3.811.400,541.218.800,0.00%,0.70%,-2.10%,-0.70%,0.70%,2.78%,BACA
33,08-10-2025,144,145,140,143,2.926.600,418.503.800,0.70%,1.40%,-2.10%,0.00%,0.69%,1.38%,BACA
34,07-10-2025,145,147,143,143,2.512.600,359.301.800,0.69%,2.08%,-0.69%,-0.69%,1.38%,4.76%,BACA
35,06-10-2025,151,151,140,144,6.986.600,1.006.070.400,-0.66%,-0.66%,-7.89%,-5.26%,0.00%,1.32%,BACA
36,03-10-2025,155,156,149,152,7.179.800,1.091.329.600,0.00%,0.65%,-3.87%,-1.94%,0.65%,7.05%,BACA
37,02-10-2025,145,170,145,155,38.474.300,5.963.516.500,0.69%,18.06%,0.69%,7.64%,17.24%,17.65%,BACA
38,01-10-2025,152,152,140,144,10.114.800,1.456.531.200,0.00%,0.00%,-7.89%,-5.26%,0.00%,7.89%,BACA
39,30-09-2025,141,164,140,152,38.677.100,5.878.919.200,2.17%,18.84%,1.45%,10.14%,16.31%,17.68%,BACA
40,29-09-2025,136,138,135,138,1.032.200,142.443.600,0.00%,1.47%,-0.74%,1.47%,1.47%,3.62%,BACA
41,26-09-2025,134,138,133,136,2.392.000,325.312.000,1.52%,4.55%,0.76%,3.03%,2.99%,5.07%,BACA
