col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BAJA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BAJA
1,21-11-2025,174,176,171,171,3.312.100,566.369.100,0.00%,1.15%,-1.72%,-1.72%,1.15%,3.41%,BAJA
2,20-11-2025,170,176,170,174,5.634.800,980.455.200,0.00%,3.53%,0.00%,2.35%,3.53%,4.55%,BAJA
3,19-11-2025,170,172,168,170,2.942.600,500.242.000,0.00%,1.18%,-1.18%,0.00%,1.18%,2.91%,BAJA
4,18-11-2025,175,176,167,170,5.688.100,966.977.000,1.74%,2.33%,-2.91%,-1.16%,0.57%,3.41%,BAJA
5,17-11-2025,170,184,170,172,33.041.800,5.683.189.600,0.59%,8.88%,0.59%,1.78%,8.24%,8.15%,BAJA
6,14-11-2025,202,202,169,169,79.213.000,13.386.997.000,2.54%,2.54%,-14.21%,-14.21%,0.00%,21.78%,BAJA
7,13-11-2025,160,204,158,197,219.399.200,43.221.642.400,0.63%,28.30%,-0.63%,23.90%,27.50%,24.51%,BAJA
8,12-11-2025,156,165,154,159,9.768.500,1.553.191.500,0.00%,5.77%,-1.28%,1.92%,5.77%,5.45%,BAJA
9,11-11-2025,162,163,156,156,3.880.700,605.389.200,1.89%,2.52%,-1.89%,-1.89%,0.62%,2.45%,BAJA
10,10-11-2025,159,162,159,159,2.299.000,365.541.000,0.00%,1.89%,0.00%,0.00%,1.89%,2.47%,BAJA
11,07-11-2025,160,165,158,159,8.468.900,1.346.555.100,0.63%,3.77%,-0.63%,0.00%,3.13%,5.45%,BAJA
12,06-11-2025,161,162,156,159,5.857.400,931.326.600,2.55%,3.18%,-0.64%,1.27%,0.62%,5.56%,BAJA
13,05-11-2025,156,157,153,157,2.806.600,440.636.200,0.00%,0.64%,-1.92%,0.64%,0.64%,1.27%,BAJA
14,04-11-2025,161,165,155,156,12.339.200,1.924.915.200,-1.83%,0.61%,-5.49%,-4.88%,2.48%,9.09%,BAJA
15,03-11-2025,150,181,150,164,159.501.300,26.158.213.200,0.00%,20.67%,0.00%,9.33%,20.67%,17.13%,BAJA
16,31-10-2025,155,156,150,150,5.633.900,845.085.000,0.00%,0.65%,-3.23%,-3.23%,0.65%,2.56%,BAJA
17,30-10-2025,152,168,152,155,41.307.100,6.402.600.500,0.00%,10.53%,0.00%,1.97%,10.53%,10.12%,BAJA
18,29-10-2025,154,157,151,152,1.362.300,207.069.600,0.65%,2.61%,-1.31%,-0.65%,1.95%,3.18%,BAJA
19,28-10-2025,156,160,152,153,4.085.900,625.142.700,1.96%,4.58%,-0.65%,0.00%,2.56%,5.63%,BAJA
20,27-10-2025,159,159,151,153,3.873.000,592.569.000,0.63%,0.63%,-4.43%,-3.16%,0.00%,2.52%,BAJA
21,24-10-2025,158,159,155,158,4.431.100,700.113.800,1.28%,1.92%,-0.64%,1.28%,0.63%,2.52%,BAJA
22,23-10-2025,168,168,155,156,13.119.400,2.046.626.400,2.44%,2.44%,-5.49%,-4.88%,0.00%,6.55%,BAJA
23,22-10-2025,159,172,157,164,30.212.000,4.954.768.000,1.27%,9.55%,0.00%,4.46%,8.18%,12.79%,BAJA
24,21-10-2025,160,163,150,157,13.222.500,2.075.932.500,1.27%,3.16%,-5.06%,-0.63%,1.88%,3.07%,BAJA
25,20-10-2025,180,222,158,158,169.963.600,26.854.248.800,0.00%,23.33%,-12.22%,-12.22%,23.33%,32.43%,BAJA
26,17-10-2025,160,214,150,180,181.172.000,32.610.960.000,0.63%,34.59%,-5.66%,13.21%,33.75%,31.31%,BAJA
27,16-10-2025,160,162,147,159,5.663.300,900.464.700,5.26%,6.58%,-3.29%,4.61%,1.25%,6.17%,BAJA
28,15-10-2025,164,178,152,152,45.381.600,6.898.003.200,0.61%,9.20%,-6.75%,-6.75%,8.54%,15.73%,BAJA
29,14-10-2025,165,169,150,163,9.644.100,1.571.988.300,1.23%,3.68%,-7.98%,0.00%,2.42%,7.69%,BAJA
30,13-10-2025,158,164,156,163,3.700.800,603.230.400,-1.25%,2.50%,-2.50%,1.88%,3.80%,4.27%,BAJA
31,10-10-2025,157,163,157,160,2.323.300,371.728.000,0.00%,3.82%,0.00%,1.91%,3.82%,3.68%,BAJA
32,09-10-2025,167,168,157,157,3.666.900,575.703.300,1.83%,2.44%,-4.27%,-4.27%,0.60%,5.95%,BAJA
33,08-10-2025,160,173,158,164,10.497.900,1.721.655.600,1.27%,9.49%,0.00%,3.80%,8.13%,8.67%,BAJA
34,07-10-2025,167,167,158,158,5.677.700,897.076.600,1.21%,1.21%,-4.24%,-4.24%,0.00%,2.40%,BAJA
35,06-10-2025,170,179,163,165,27.297.300,4.504.054.500,2.41%,7.83%,-1.81%,-0.60%,5.29%,11.73%,BAJA
36,03-10-2025,166,171,158,166,21.036.400,3.492.042.400,0.61%,3.64%,-4.24%,0.61%,3.01%,4.68%,BAJA
37,02-10-2025,174,179,163,165,27.433.600,4.526.544.000,-7.45%,-4.79%,-13.30%,-12.23%,2.87%,14.53%,BAJA
38,01-10-2025,155,197,153,188,251.781.900,47.334.997.200,4.73%,33.11%,3.38%,27.03%,27.10%,32.49%,BAJA
39,30-09-2025,134,148,133,148,25.298.100,3.744.118.800,0.00%,10.45%,-0.75%,10.45%,10.45%,10.81%,BAJA
40,29-09-2025,135,135,132,134,1.085.600,145.470.400,2.27%,2.27%,0.00%,1.52%,0.00%,2.96%,BAJA
41,26-09-2025,134,138,131,132,1.863.100,245.929.200,-0.74%,2.22%,-2.96%,-2.22%,2.99%,3.62%,BAJA
42,25-09-2025,137,139,133,135,2.012.100,271.633.500,0.74%,2.21%,-2.21%,-0.74%,1.46%,3.60%,BAJA
43,24-09-2025,141,142,134,136,3.568.400,485.302.400,0.71%,1.43%,-4.29%,-2.86%,0.71%,4.23%,BAJA
44,23-09-2025,141,142,136,140,2.066.900,289.366.000,2.92%,3.65%,-0.73%,2.19%,0.71%,3.52%,BAJA
45,22-09-2025,139,140,137,137,1.788.800,245.065.600,0.00%,0.72%,-1.44%,-1.44%,0.72%,1.43%,BAJA
46,19-09-2025,147,148,138,139,3.264.000,453.696.000,3.52%,4.23%,-2.82%,-2.11%,0.68%,8.78%,BAJA
47,18-09-2025,142,147,135,142,14.201.300,2.016.584.600,0.00%,3.52%,-4.93%,0.00%,3.52%,17.69%,BAJA
48,17-09-2025,121,162,121,142,110.791.900,15.732.449.800,-0.82%,32.79%,-0.82%,16.39%,33.88%,27.78%,BAJA
49,16-09-2025,122,124,117,122,1.634.200,199.372.400,0.83%,2.48%,-3.31%,0.83%,1.64%,3.23%,BAJA
50,15-09-2025,125,125,120,121,1.004.500,121.544.500,1.63%,1.63%,-2.44%,-1.63%,0.00%,4.00%,BAJA
51,12-09-2025,120,125,120,123,944.600,116.185.800,0.84%,5.04%,0.84%,3.36%,4.17%,6.40%,BAJA
52,11-09-2025,119,124,117,119,953.100,113.418.900,0.00%,4.20%,-1.68%,0.00%,4.20%,4.84%,BAJA
53,10-09-2025,120,120,118,119,193.700,23.050.300,0.00%,0.00%,-1.67%,-0.83%,0.00%,3.33%,BAJA
54,09-09-2025,121,123,116,120,731.300,87.756.000,0.00%,1.65%,-4.13%,-0.83%,1.65%,1.63%,BAJA
55,08-09-2025,124,125,121,121,518.900,62.786.900,1.64%,2.46%,-0.82%,-0.82%,0.81%,3.20%,BAJA
56,04-09-2025,123,125,121,122,896.900,109.421.800,0.00%,1.63%,-1.63%,-0.81%,1.63%,3.20%,BAJA
57,03-09-2025,125,127,121,123,2.218.000,272.814.000,0.81%,2.42%,-2.42%,-0.81%,1.60%,5.51%,BAJA
58,02-09-2025,120,126,120,124,2.640.400,327.409.600,0.00%,5.00%,0.00%,3.33%,5.00%,15.87%,BAJA
59,01-09-2025,115,121,106,120,2.835.000,340.200.000,-6.50%,-1.63%,-13.82%,-2.44%,5.22%,0.00%,BAJA
