col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BANK
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BANK
1,21-11-2025,840,880,830,865,8.459.600,7.317.554.000,0.00%,4.76%,-1.19%,2.98%,4.76%,6.25%,BANK
2,20-11-2025,835,845,825,840,8.255.800,6.934.872.000,-0.60%,0.60%,-1.79%,0.00%,1.20%,2.37%,BANK
3,19-11-2025,845,845,825,840,5.406.300,4.541.292.000,0.00%,0.00%,-2.37%,-0.59%,0.00%,1.18%,BANK
4,18-11-2025,835,865,835,845,7.308.100,6.175.344.500,0.00%,3.59%,0.00%,1.20%,3.59%,6.36%,BANK
5,17-11-2025,810,845,810,835,7.326.000,6.117.210.000,0.00%,4.32%,0.00%,3.09%,4.32%,4.14%,BANK
6,14-11-2025,830,845,810,810,4.562.900,3.695.949.000,-2.35%,-0.59%,-4.71%,-4.71%,1.81%,0.00%,BANK
7,13-11-2025,855,860,845,850,6.338.200,5.387.470.000,0.00%,0.58%,-1.17%,-0.58%,0.58%,2.33%,BANK
8,12-11-2025,855,875,840,855,5.857.000,5.007.735.000,0.00%,2.34%,-1.75%,0.00%,2.34%,4.00%,BANK
9,11-11-2025,860,865,840,855,4.628.200,3.957.111.000,0.00%,0.58%,-2.33%,-0.58%,0.58%,5.20%,BANK
10,10-11-2025,845,865,820,860,6.612.000,5.686.320.000,0.00%,2.37%,-2.96%,1.78%,2.37%,4.05%,BANK
11,07-11-2025,855,855,830,845,4.087.700,3.454.106.500,0.00%,0.00%,-2.92%,-1.17%,0.00%,2.92%,BANK
12,06-11-2025,845,860,830,855,7.307.900,6.248.254.500,0.00%,1.78%,-1.78%,1.18%,1.78%,2.33%,BANK
13,05-11-2025,880,880,840,845,5.196.200,4.390.789.000,0.00%,0.00%,-4.55%,-3.98%,0.00%,0.57%,BANK
14,04-11-2025,885,895,875,880,3.300.400,2.904.352.000,0.00%,1.13%,-1.13%,-0.56%,1.13%,1.68%,BANK
15,03-11-2025,940,965,880,885,7.166.800,6.342.618.000,0.00%,2.66%,-6.38%,-5.85%,2.66%,9.84%,BANK
16,31-10-2025,870,945,870,940,11.355.000,10.673.700.000,0.58%,9.25%,0.58%,8.67%,8.62%,10.05%,BANK
17,30-10-2025,860,875,850,865,7.382.500,6.385.862.500,0.00%,1.74%,-1.16%,0.58%,1.74%,5.14%,BANK
18,29-10-2025,835,860,830,860,8.953.100,7.699.666.000,0.00%,2.99%,-0.60%,2.99%,2.99%,3.49%,BANK
19,28-10-2025,845,850,830,835,6.383.800,5.330.473.000,0.00%,0.59%,-1.78%,-1.18%,0.59%,2.94%,BANK
20,27-10-2025,830,845,825,845,5.421.700,4.581.336.500,0.00%,1.81%,-0.60%,1.81%,1.81%,2.37%,BANK
21,24-10-2025,830,845,825,830,6.436.700,5.342.461.000,0.00%,1.81%,-0.60%,0.00%,1.81%,2.96%,BANK
22,23-10-2025,830,840,820,830,6.304.500,5.232.735.000,0.00%,1.20%,-1.20%,0.00%,1.20%,1.79%,BANK
23,22-10-2025,825,845,825,830,7.067.700,5.866.191.000,0.00%,2.42%,0.00%,0.61%,2.42%,3.55%,BANK
24,21-10-2025,815,850,815,825,8.970.500,7.400.662.500,0.00%,4.29%,0.00%,1.23%,4.29%,5.29%,BANK
25,20-10-2025,810,825,805,815,7.218.700,5.883.240.500,0.00%,1.85%,-0.62%,0.62%,1.85%,3.03%,BANK
26,17-10-2025,810,815,800,810,1.223.100,990.711.000,0.00%,0.62%,-1.23%,0.00%,0.62%,1.84%,BANK
27,16-10-2025,800,815,800,810,4.135.100,3.349.431.000,-1.23%,0.62%,-1.23%,0.00%,1.88%,1.84%,BANK
28,15-10-2025,800,810,800,810,3.934.200,3.186.702.000,0.00%,1.25%,0.00%,1.25%,1.25%,1.23%,BANK
29,14-10-2025,810,820,800,800,6.361.900,5.089.520.000,0.00%,1.23%,-1.23%,-1.23%,1.23%,1.22%,BANK
30,13-10-2025,825,825,810,810,4.889.100,3.960.171.000,0.00%,0.00%,-1.82%,-1.82%,0.00%,2.42%,BANK
31,10-10-2025,830,830,805,825,6.473.600,5.340.720.000,0.00%,0.00%,-3.01%,-0.60%,0.00%,3.01%,BANK
32,09-10-2025,815,830,805,830,8.009.500,6.647.885.000,0.00%,1.84%,-1.23%,1.84%,1.84%,3.61%,BANK
33,08-10-2025,810,825,800,815,6.944.800,5.660.012.000,0.00%,1.85%,-1.23%,0.62%,1.85%,2.42%,BANK
34,07-10-2025,805,815,805,810,3.206.600,2.597.346.000,0.00%,1.24%,0.00%,0.62%,1.24%,1.84%,BANK
35,06-10-2025,805,815,800,805,3.092.000,2.489.060.000,0.00%,1.24%,-0.62%,0.00%,1.24%,1.84%,BANK
36,03-10-2025,805,810,800,805,3.575.800,2.878.519.000,0.00%,0.62%,-0.62%,0.00%,0.62%,1.23%,BANK
37,02-10-2025,805,815,800,805,5.984.400,4.817.442.000,0.00%,1.24%,-0.62%,0.00%,1.24%,1.84%,BANK
38,01-10-2025,805,815,800,805,4.718.000,3.797.990.000,0.00%,1.24%,-0.62%,0.00%,1.24%,1.23%,BANK
39,30-09-2025,810,820,805,805,7.185.900,5.784.649.500,-1.22%,0.00%,-1.83%,-1.83%,1.23%,1.83%,BANK
40,29-09-2025,810,820,805,820,7.150.500,5.863.410.000,0.00%,1.23%,-0.62%,1.23%,1.23%,1.83%,BANK
41,26-09-2025,805,820,805,810,5.558.800,4.502.628.000,0.00%,1.86%,0.00%,0.62%,1.86%,1.83%,BANK
42,25-09-2025,820,825,805,805,5.973.000,4.808.265.000,0.00%,0.61%,-1.83%,-1.83%,0.61%,2.42%,BANK
43,24-09-2025,810,825,805,820,6.512.200,5.340.004.000,0.62%,2.48%,0.00%,1.86%,1.85%,3.03%,BANK
44,23-09-2025,805,815,800,805,6.863.600,5.525.198.000,0.00%,1.24%,-0.62%,0.00%,1.24%,2.45%,BANK
45,22-09-2025,810,810,795,805,6.638.700,5.344.153.500,0.62%,0.62%,-1.24%,0.00%,0.00%,1.85%,BANK
46,19-09-2025,805,810,795,805,3.852.100,3.100.940.500,0.00%,0.62%,-1.24%,0.00%,0.62%,1.23%,BANK
47,18-09-2025,805,815,800,805,5.571.500,4.485.057.500,-1.23%,0.00%,-1.84%,-1.23%,1.24%,1.23%,BANK
48,17-09-2025,815,815,805,815,5.938.000,4.839.470.000,0.62%,0.62%,-0.62%,0.62%,0.00%,1.23%,BANK
