col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BAPA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BAPA
1,21-11-2025,92,93,88,91,17.210.100,1.566.119.100,1.10%,2.20%,-3.30%,0.00%,1.09%,4.30%,BAPA
2,20-11-2025,94,99,89,91,36.097.800,3.284.899.800,1.08%,6.45%,-4.30%,-2.15%,5.32%,7.07%,BAPA
3,19-11-2025,92,114,92,93,294.891.200,27.424.881.600,1.10%,25.27%,1.10%,2.20%,23.91%,32.46%,BAPA
4,18-11-2025,77,103,77,91,450.158.100,40.964.387.100,0.00%,33.77%,0.00%,18.18%,33.77%,27.18%,BAPA
5,17-11-2025,77,78,75,77,5.494.500,423.076.500,0.00%,1.30%,-2.60%,0.00%,1.30%,3.85%,BAPA
6,14-11-2025,77,81,75,77,15.937.900,1.227.218.300,0.00%,5.19%,-2.60%,0.00%,5.19%,6.17%,BAPA
7,13-11-2025,78,78,76,77,5.198.000,400.246.000,1.30%,1.30%,-1.30%,0.00%,0.00%,2.56%,BAPA
8,12-11-2025,78,82,76,77,21.801.700,1.678.730.900,0.00%,5.13%,-2.56%,-1.28%,5.13%,6.10%,BAPA
9,11-11-2025,82,82,77,78,15.272.900,1.191.286.200,1.23%,1.23%,-4.94%,-3.70%,0.00%,2.44%,BAPA
10,10-11-2025,82,91,80,81,78.420.200,6.352.036.200,1.23%,12.35%,-1.23%,0.00%,10.98%,14.29%,BAPA
11,07-11-2025,82,87,78,81,61.555.300,4.985.979.300,1.23%,7.41%,-3.70%,0.00%,6.10%,8.05%,BAPA
12,06-11-2025,92,92,80,81,68.367.600,5.537.775.600,0.00%,0.00%,-13.04%,-11.96%,0.00%,26.09%,BAPA
13,05-11-2025,69,94,68,92,388.011.900,35.697.094.800,-1.43%,34.29%,-2.86%,31.43%,36.23%,30.85%,BAPA
14,04-11-2025,66,77,65,70,69.530.000,4.867.100.000,0.00%,16.67%,-1.52%,6.06%,16.67%,14.29%,BAPA
15,03-11-2025,67,68,66,66,1.873.600,123.657.600,0.00%,1.49%,-1.49%,-1.49%,1.49%,1.47%,BAPA
16,31-10-2025,67,73,67,67,18.694.000,1.252.498.000,-2.90%,5.80%,-2.90%,-2.90%,8.96%,9.59%,BAPA
17,30-10-2025,66,70,66,69,4.286.400,295.761.600,0.00%,6.06%,0.00%,4.55%,6.06%,7.14%,BAPA
18,29-10-2025,69,69,65,66,5.515.000,363.990.000,0.00%,0.00%,-5.80%,-4.35%,0.00%,7.25%,BAPA
19,28-10-2025,67,70,64,69,10.508.800,725.107.200,1.52%,6.06%,-3.03%,4.55%,4.48%,11.43%,BAPA
20,27-10-2025,72,73,62,66,12.831.400,846.872.400,0.00%,1.39%,-13.89%,-8.33%,1.39%,2.74%,BAPA
21,24-10-2025,74,76,71,72,9.669.200,696.182.400,4.23%,7.04%,0.00%,1.41%,2.70%,11.84%,BAPA
22,23-10-2025,68,81,67,71,62.667.100,4.449.364.100,0.00%,19.12%,-1.47%,4.41%,19.12%,20.99%,BAPA
23,22-10-2025,65,71,64,68,19.516.800,1.327.142.400,0.00%,9.23%,-1.54%,4.62%,9.23%,11.27%,BAPA
24,21-10-2025,66,67,63,65,6.329.300,411.404.500,0.00%,1.52%,-4.55%,-1.52%,1.52%,2.99%,BAPA
25,20-10-2025,70,70,65,66,6.451.200,425.779.200,2.94%,2.94%,-4.41%,-2.94%,0.00%,5.71%,BAPA
26,17-10-2025,71,73,66,68,12.762.100,867.822.800,2.90%,5.80%,-4.35%,-1.45%,2.82%,8.22%,BAPA
27,16-10-2025,81,82,67,69,48.778.800,3.365.737.200,9.46%,10.81%,-9.46%,-6.76%,1.23%,23.17%,BAPA
28,15-10-2025,63,83,63,74,184.498.800,13.652.911.200,1.61%,33.87%,1.61%,19.35%,31.75%,26.51%,BAPA
29,14-10-2025,70,70,61,62,10.122.300,627.582.600,0.00%,0.00%,-12.86%,-11.43%,0.00%,5.71%,BAPA
30,13-10-2025,69,70,66,70,3.218.400,225.288.000,-5.48%,-4.11%,-9.59%,-4.11%,1.45%,-1.43%,BAPA
31,10-10-2025,72,74,71,73,1.619.100,118.194.300,0.00%,2.78%,-1.39%,1.39%,2.78%,4.05%,BAPA
32,09-10-2025,73,75,71,72,2.443.900,175.960.800,0.00%,2.74%,-2.74%,-1.37%,2.74%,8.00%,BAPA
33,08-10-2025,75,76,69,73,2.566.300,187.339.900,0.00%,1.33%,-8.00%,-2.67%,1.33%,1.32%,BAPA
34,07-10-2025,76,79,75,75,2.883.800,216.285.000,0.00%,3.95%,-1.32%,-1.32%,3.95%,3.80%,BAPA
35,06-10-2025,79,79,76,76,3.397.500,258.210.000,0.00%,0.00%,-3.80%,-3.80%,0.00%,1.27%,BAPA
36,03-10-2025,79,81,78,79,3.349.800,264.634.200,-2.47%,0.00%,-3.70%,-2.47%,2.53%,2.47%,BAPA
37,02-10-2025,80,82,79,81,4.388.600,355.476.600,0.00%,2.50%,-1.25%,1.25%,2.50%,2.44%,BAPA
38,01-10-2025,83,85,80,80,8.177.200,654.176.000,2.47%,4.94%,-1.23%,-1.23%,2.41%,5.88%,BAPA
39,30-09-2025,80,83,80,81,11.515.600,932.763.600,2.56%,6.41%,2.56%,3.85%,3.75%,8.43%,BAPA
40,29-09-2025,77,80,76,78,3.312.000,258.336.000,0.00%,3.90%,-1.30%,1.30%,3.90%,6.25%,BAPA
41,26-09-2025,77,79,75,77,3.699.600,284.869.200,-1.28%,1.28%,-3.85%,-1.28%,2.60%,1.27%,BAPA
42,25-09-2025,83,83,78,78,8.618.800,672.266.400,3.75%,3.75%,-2.50%,-2.50%,0.00%,8.43%,BAPA
43,24-09-2025,77,84,76,80,27.103.500,2.168.280.000,1.32%,10.53%,0.00%,5.26%,9.09%,14.29%,BAPA
44,23-09-2025,76,82,72,76,22.192.700,1.686.645.200,2.70%,10.81%,-2.70%,2.70%,7.89%,12.20%,BAPA
45,22-09-2025,76,78,72,74,13.892.200,1.028.022.800,0.00%,2.63%,-5.26%,-2.63%,2.63%,2.56%,BAPA
46,19-09-2025,82,83,76,76,11.194.900,850.812.400,1.23%,2.47%,-6.17%,-6.17%,1.22%,7.23%,BAPA
47,18-09-2025,83,85,77,81,12.402.700,1.004.618.700,0.00%,2.41%,-7.23%,-2.41%,2.41%,3.53%,BAPA
48,17-09-2025,83,89,82,83,22.061.000,1.831.063.000,0.00%,7.23%,-1.20%,0.00%,7.23%,7.87%,BAPA
49,16-09-2025,85,87,82,83,14.582.700,1.210.364.100,0.00%,2.35%,-3.53%,-2.35%,2.35%,5.75%,BAPA
50,15-09-2025,84,92,82,85,92.610.200,7.871.867.000,0.00%,9.52%,-2.38%,1.19%,9.52%,10.87%,BAPA
51,12-09-2025,85,87,82,84,19.701.100,1.654.892.400,0.00%,2.35%,-3.53%,-1.18%,2.35%,5.75%,BAPA
52,11-09-2025,89,90,82,85,31.291.100,2.659.743.500,1.14%,2.27%,-6.82%,-3.41%,1.12%,8.89%,BAPA
