col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BATA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BATA
1,21-11-2025,65,65,65,65,267.400,17.381.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BATA
2,20-11-2025,66,72,65,65,439.200,28.548.000,0.00%,9.09%,-1.52%,-1.52%,9.09%,11.11%,BATA
3,19-11-2025,64,66,64,66,45.500,3.003.000,0.00%,3.13%,0.00%,3.13%,3.13%,9.09%,BATA
4,18-11-2025,62,64,60,64,223.800,14.323.200,0.00%,3.23%,-3.23%,3.23%,3.23%,4.69%,BATA
5,17-11-2025,61,62,61,62,124.500,7.719.000,0.00%,1.64%,0.00%,1.64%,1.64%,3.23%,BATA
6,14-11-2025,63,63,60,61,163.300,9.961.300,0.00%,0.00%,-4.76%,-3.17%,0.00%,7.94%,BATA
7,13-11-2025,58,63,58,63,201.400,12.688.200,-1.69%,6.78%,-1.69%,6.78%,8.62%,7.94%,BATA
8,12-11-2025,58,59,58,59,3.315.100,195.590.900,-7.94%,-6.35%,-7.94%,-6.35%,1.72%,-6.78%,BATA
9,11-11-2025,66,66,63,63,309.200,19.479.600,-5.71%,-5.71%,-10.00%,-10.00%,0.00%,-6.06%,BATA
10,10-11-2025,70,70,70,70,422.300,29.561.000,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,BATA
11,07-11-2025,65,66,65,65,1.142.400,74.256.000,-9.72%,-8.33%,-9.72%,-9.72%,1.54%,-9.09%,BATA
12,06-11-2025,72,72,72,72,452.000,32.544.000,-10.00%,-10.00%,-10.00%,-10.00%,0.00%,-11.11%,BATA
