col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BBCA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BBCA
1,21-11-2025,8.375,8.425,8.350,8.400,103.917.100,872.903.640.000,-0.59%,0.00%,-0.89%,-0.30%,0.60%,0.30%,BBCA
2,20-11-2025,8.475,8.600,8.400,8.425,124.087.400,1.045.436.345.000,0.00%,1.47%,-0.88%,-0.59%,1.47%,3.20%,BBCA
3,19-11-2025,8.350,8.500,8.325,8.475,114.209.700,967.927.207.500,-0.60%,1.19%,-0.89%,0.89%,1.80%,1.18%,BBCA
4,18-11-2025,8.550,8.575,8.400,8.400,119.377.900,1.002.774.360.000,-0.29%,0.00%,-2.04%,-2.04%,0.29%,1.17%,BBCA
5,17-11-2025,8.500,8.575,8.475,8.575,129.411.100,1.109.700.182.500,0.89%,1.78%,0.59%,1.78%,0.88%,2.33%,BBCA
6,14-11-2025,8.375,8.500,8.375,8.425,89.815.300,756.693.902.500,0.00%,1.49%,0.00%,0.60%,1.49%,1.47%,BBCA
7,13-11-2025,8.400,8.475,8.375,8.375,104.113.800,871.953.075.000,-1.18%,-0.29%,-1.47%,-1.47%,0.89%,0.88%,BBCA
8,12-11-2025,8.425,8.550,8.400,8.500,85.415.600,726.032.600.000,0.30%,1.79%,0.00%,1.19%,1.48%,1.75%,BBCA
9,11-11-2025,8.575,8.600,8.400,8.400,130.897.600,1.099.539.840.000,0.00%,0.29%,-2.04%,-2.04%,0.29%,0.29%,BBCA
10,10-11-2025,8.675,8.675,8.575,8.575,79.897.700,685.122.777.500,0.00%,0.00%,-1.15%,-1.15%,0.00%,1.44%,BBCA
11,07-11-2025,8.550,8.675,8.550,8.675,75.241.900,652.723.482.500,0.00%,1.46%,0.00%,1.46%,1.46%,1.44%,BBCA
12,06-11-2025,8.625,8.675,8.550,8.550,89.756.900,767.421.495.000,-0.86%,-0.29%,-1.72%,-1.72%,0.58%,0.86%,BBCA
13,05-11-2025,8.625,8.700,8.600,8.700,125.731.500,1.093.864.050.000,-0.29%,0.58%,-0.58%,0.58%,0.87%,0.86%,BBCA
14,04-11-2025,8.650,8.700,8.625,8.650,155.231.500,1.342.752.475.000,0.00%,0.58%,-0.29%,0.00%,0.58%,2.01%,BBCA
15,03-11-2025,8.650,8.650,8.525,8.650,115.007.100,994.811.415.000,1.47%,1.47%,0.00%,1.47%,0.00%,1.45%,BBCA
16,31-10-2025,8.550,8.650,8.525,8.525,177.088.000,1.509.675.200.000,0.29%,1.47%,0.00%,0.00%,1.17%,2.02%,BBCA
17,30-10-2025,8.575,8.750,8.475,8.525,259.009.800,2.208.058.545.000,-0.29%,1.74%,-1.45%,-0.87%,2.04%,5.43%,BBCA
18,29-10-2025,8.300,8.600,8.275,8.600,239.156.800,2.056.748.480.000,0.30%,3.93%,0.00%,3.93%,3.61%,4.07%,BBCA
19,28-10-2025,8.350,8.400,8.250,8.275,180.270.000,1.491.734.250.000,0.00%,0.60%,-1.20%,-0.90%,0.60%,2.38%,BBCA
20,27-10-2025,8.325,8.425,8.200,8.350,182.275.600,1.522.001.260.000,0.60%,1.81%,-0.91%,0.91%,1.20%,1.78%,BBCA
21,24-10-2025,8.300,8.375,8.275,8.275,133.355.100,1.103.513.452.500,-0.30%,0.60%,-0.60%,-0.60%,0.90%,2.69%,BBCA
