col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BBLD
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BBLD
1,21-11-2025,905,970,885,935,28.200,26.367.000,3.43%,10.86%,1.14%,6.86%,7.18%,9.79%,BBLD
2,20-11-2025,895,905,875,875,207.100,181.212.500,-1.10%,0.00%,-3.31%,-3.31%,1.12%,2.76%,BBLD
3,19-11-2025,900,905,880,905,101.900,92.219.500,-0.55%,0.00%,-2.76%,0.00%,0.56%,3.31%,BBLD
4,18-11-2025,910,910,875,905,1.900,1.719.500,0.00%,0.00%,-3.85%,-0.55%,0.00%,1.10%,BBLD
5,17-11-2025,900,910,900,910,13.000,11.830.000,2.86%,4.00%,2.86%,4.00%,1.11%,3.85%,BBLD
6,14-11-2025,905,905,875,875,102.000,89.250.000,0.56%,0.56%,-2.78%,-2.78%,0.00%,0.55%,BBLD
7,13-11-2025,900,900,900,900,102.800,92.520.000,0.56%,0.56%,0.56%,0.56%,0.00%,2.22%,BBLD
8,12-11-2025,900,900,880,895,2.000,1.790.000,0.00%,0.00%,-2.22%,-0.56%,0.00%,2.78%,BBLD
9,11-11-2025,900,900,875,900,4.200,3.780.000,-0.55%,-0.55%,-3.31%,-0.55%,0.00%,0.00%,BBLD
10,10-11-2025,900,910,900,905,7.600,6.878.000,0.00%,1.11%,0.00%,0.56%,1.11%,1.10%,BBLD
11,07-11-2025,900,900,900,900,200,180.000,0.56%,0.56%,0.56%,0.56%,0.00%,0.56%,BBLD
12,06-11-2025,905,910,895,895,400,358.000,0.00%,0.55%,-1.10%,-1.10%,0.55%,0.55%,BBLD
13,05-11-2025,910,910,905,905,6.000,5.430.000,0.00%,0.00%,-0.55%,-0.55%,0.00%,1.65%,BBLD
14,04-11-2025,895,915,895,910,4.700,4.277.000,0.00%,2.23%,0.00%,1.68%,2.23%,4.37%,BBLD
15,03-11-2025,895,895,875,895,53.400,47.793.000,0.00%,0.00%,-2.23%,0.00%,0.00%,1.68%,BBLD
16,31-10-2025,880,935,880,895,5.700,5.101.500,-1.12%,5.06%,-1.12%,0.56%,6.25%,5.35%,BBLD
17,30-10-2025,920,920,885,890,1.200,1.068.000,3.95%,3.95%,0.00%,0.56%,0.00%,3.80%,BBLD
18,29-10-2025,925,925,885,885,4.200,3.717.000,1.65%,1.65%,-2.75%,-2.75%,0.00%,4.32%,BBLD
19,28-10-2025,885,915,885,910,17.900,16.289.000,-3.28%,0.00%,-3.28%,-0.55%,3.39%,0.55%,BBLD
20,27-10-2025,915,920,910,915,121.800,111.447.000,0.00%,0.55%,-0.55%,0.00%,0.55%,2.17%,BBLD
21,24-10-2025,900,920,900,915,71.400,65.331.000,-0.55%,1.66%,-0.55%,1.10%,2.22%,1.63%,BBLD
22,23-10-2025,910,910,905,905,165.900,150.139.500,1.11%,1.11%,0.56%,0.56%,0.00%,3.30%,BBLD
23,22-10-2025,910,910,880,900,4.700,4.230.000,1.11%,1.11%,-2.22%,0.00%,0.00%,3.85%,BBLD
24,21-10-2025,875,915,875,900,152.000,136.800.000,0.00%,4.57%,0.00%,2.86%,4.57%,4.37%,BBLD
25,20-10-2025,900,900,875,875,600,525.000,3.45%,3.45%,0.57%,0.57%,0.00%,3.89%,BBLD
26,17-10-2025,870,870,865,870,1.200,1.044.000,-2.79%,-2.79%,-3.35%,-2.79%,0.00%,-2.87%,BBLD
27,16-10-2025,895,895,895,895,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,2.79%,BBLD
28,15-10-2025,880,900,870,895,25.000,22.375.000,0.00%,2.27%,-1.14%,1.70%,2.27%,2.22%,BBLD
29,14-10-2025,900,905,880,880,26.100,22.968.000,0.00%,0.56%,-2.22%,-2.22%,0.56%,3.87%,BBLD
30,13-10-2025,910,910,870,900,207.600,186.840.000,0.00%,0.00%,-4.40%,-1.10%,0.00%,4.40%,BBLD
31,10-10-2025,870,915,870,910,9.500,8.645.000,-3.33%,1.67%,-3.33%,1.11%,5.17%,8.74%,BBLD
32,09-10-2025,915,915,835,900,116.400,104.760.000,0.00%,0.00%,-8.74%,-1.64%,0.00%,3.28%,BBLD
33,08-10-2025,900,930,885,915,33.600,30.744.000,0.00%,3.33%,-1.67%,1.67%,3.33%,5.38%,BBLD
34,07-10-2025,880,910,880,900,68.900,62.010.000,-2.22%,1.11%,-2.22%,0.00%,3.41%,1.65%,BBLD
35,06-10-2025,910,930,895,900,207.800,187.020.000,0.00%,2.20%,-1.65%,-1.10%,2.20%,4.84%,BBLD
36,03-10-2025,900,940,885,910,10.000,9.100.000,-1.64%,2.73%,-3.28%,-0.55%,4.44%,3.19%,BBLD
37,02-10-2025,910,915,910,915,31.000,28.365.000,0.00%,0.55%,0.00%,0.55%,0.55%,1.64%,BBLD
38,01-10-2025,940,940,900,910,2.400,2.184.000,5.03%,5.03%,0.56%,1.68%,0.00%,5.85%,BBLD
39,30-09-2025,935,935,885,895,33.900,30.340.500,0.54%,0.54%,-4.84%,-3.76%,0.00%,5.35%,BBLD
40,29-09-2025,905,935,885,930,45.600,42.408.000,-1.09%,2.19%,-3.28%,1.64%,3.31%,3.21%,BBLD
41,26-09-2025,905,935,905,915,57.900,52.978.500,0.00%,3.31%,0.00%,1.10%,3.31%,3.21%,BBLD
42,25-09-2025,940,940,905,905,1.900,1.719.500,3.87%,3.87%,0.00%,0.00%,0.00%,4.26%,BBLD
43,24-09-2025,940,940,900,905,13.000,11.765.000,0.00%,0.00%,-4.26%,-3.72%,0.00%,4.26%,BBLD
44,23-09-2025,900,950,900,940,159.000,149.460.000,0.56%,6.15%,0.56%,5.03%,5.56%,6.84%,BBLD
45,22-09-2025,895,895,885,895,7.800,6.981.000,-0.56%,-0.56%,-1.67%,-0.56%,0.00%,3.35%,BBLD
46,19-09-2025,865,900,865,900,205.500,184.950.000,-3.89%,0.00%,-3.89%,0.00%,4.05%,1.67%,BBLD
47,18-09-2025,900,930,885,900,145.200,130.680.000,0.56%,3.91%,-1.12%,0.56%,3.33%,3.76%,BBLD
