col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BBMD
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BBMD
1,21-11-2025,2.020,2.020,2.020,2.020,2.000,4.040.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BBMD
2,20-11-2025,2.030,2.030,2.020,2.020,2.500,5.050.000,0.00%,0.00%,-0.49%,-0.49%,0.00%,0.00%,BBMD
3,19-11-2025,2.030,2.030,2.030,2.030,1.200,2.436.000,-0.98%,-0.98%,-0.98%,-0.98%,0.00%,-0.99%,BBMD
4,18-11-2025,2.050,2.050,2.050,2.050,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BBMD
5,17-11-2025,2.050,2.050,2.050,2.050,1.600,3.280.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BBMD
6,14-11-2025,2.050,2.050,2.050,2.050,100,205.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BBMD
7,13-11-2025,2.050,2.050,2.050,2.050,200,410.000,-0.97%,-0.97%,-0.97%,-0.97%,0.00%,0.00%,BBMD
8,12-11-2025,2.070,2.070,2.050,2.070,1.500,3.105.000,1.47%,1.47%,0.49%,1.47%,0.00%,1.93%,BBMD
9,11-11-2025,2.030,2.090,2.030,2.040,1.600,3.264.000,0.00%,2.96%,0.00%,0.49%,2.96%,4.31%,BBMD
10,10-11-2025,2.000,2.050,2.000,2.030,2.100,4.263.000,-2.44%,0.00%,-2.44%,-0.98%,2.50%,0.00%,BBMD
11,07-11-2025,2.060,2.060,2.050,2.050,300,615.000,0.00%,0.00%,-0.49%,-0.49%,0.00%,2.91%,BBMD
12,06-11-2025,2.100,2.100,2.000,2.060,35.500,73.130.000,0.48%,0.48%,-4.31%,-1.44%,0.00%,0.48%,BBMD
13,05-11-2025,2.090,2.090,2.090,2.090,700,1.463.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BBMD
14,04-11-2025,2.090,2.090,2.090,2.090,100,209.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BBMD
15,03-11-2025,2.090,2.090,2.090,2.090,700,1.463.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BBMD
16,31-10-2025,2.090,2.090,2.090,2.090,300,627.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.48%,BBMD
17,30-10-2025,2.090,2.120,2.080,2.090,10.300,21.527.000,-0.48%,0.95%,-0.95%,-0.48%,1.44%,0.94%,BBMD
18,29-10-2025,2.140,2.140,2.100,2.100,1.500,3.150.000,1.90%,1.90%,0.00%,0.00%,0.00%,5.14%,BBMD
19,28-10-2025,2.030,2.120,2.030,2.100,1.900,3.990.000,-3.79%,0.47%,-3.79%,-0.47%,4.43%,0.47%,BBMD
20,27-10-2025,2.110,2.110,2.110,2.110,200,422.000,0.00%,0.00%,0.00%,0.00%,0.00%,3.32%,BBMD
21,24-10-2025,2.100,2.140,2.040,2.110,139.700,294.767.000,2.94%,4.90%,0.00%,3.43%,1.90%,4.67%,BBMD
