col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BBRI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BBRI
1,21-11-2025,3.980,4.000,3.940,3.960,112.666.100,446.157.756.000,-0.25%,0.25%,-1.25%,-0.75%,0.50%,0.25%,BBRI
2,20-11-2025,4.020,4.050,3.990,3.990,183.008.400,730.203.516.000,0.50%,1.25%,-0.25%,-0.25%,0.75%,1.98%,BBRI
3,19-11-2025,3.990,4.000,3.970,4.000,107.451.000,429.804.000.000,0.50%,0.76%,0.00%,0.76%,0.25%,1.75%,BBRI
4,18-11-2025,3.950,3.990,3.930,3.970,205.257.700,814.873.069.000,0.25%,1.27%,-0.25%,0.76%,1.01%,2.76%,BBRI
5,17-11-2025,3.880,3.950,3.880,3.940,140.868.100,555.020.314.000,-0.51%,1.28%,-0.51%,1.03%,1.80%,2.28%,BBRI
6,14-11-2025,3.860,3.930,3.860,3.900,100.717.300,392.797.470.000,-0.26%,1.55%,-0.26%,0.78%,1.81%,1.53%,BBRI
7,13-11-2025,3.900,3.910,3.870,3.870,99.373.200,384.574.284.000,0.00%,0.26%,-0.77%,-0.77%,0.26%,0.51%,BBRI
8,12-11-2025,3.890,3.950,3.890,3.900,111.115.400,433.350.060.000,0.00%,1.54%,0.00%,0.26%,1.54%,2.28%,BBRI
9,11-11-2025,3.940,3.960,3.860,3.890,179.000.200,696.310.778.000,0.25%,0.76%,-1.78%,-1.02%,0.51%,0.76%,BBRI
10,10-11-2025,4.010,4.020,3.930,3.930,148.552.900,583.812.897.000,0.75%,1.01%,-1.26%,-1.26%,0.25%,1.00%,BBRI
11,07-11-2025,4.000,4.010,3.980,3.980,87.287.600,347.404.648.000,0.00%,0.25%,-0.50%,-0.50%,0.25%,1.50%,BBRI
12,06-11-2025,3.980,4.010,3.950,4.000,130.808.100,523.232.400.000,0.00%,0.75%,-0.75%,0.50%,0.75%,2.49%,BBRI
13,05-11-2025,3.940,3.990,3.910,3.980,139.859.100,556.639.218.000,-0.76%,0.50%,-1.51%,0.25%,1.27%,0.50%,BBRI
14,04-11-2025,4.030,4.050,3.970,3.970,241.154.700,957.384.159.000,-0.25%,0.25%,-1.73%,-1.73%,0.50%,0.99%,BBRI
15,03-11-2025,4.050,4.050,4.010,4.040,163.770.500,661.632.820.000,1.76%,1.76%,0.75%,1.51%,0.00%,3.21%,BBRI
16,31-10-2025,3.930,4.020,3.920,3.980,348.755.700,1.388.047.686.000,0.51%,2.81%,0.26%,1.79%,2.29%,3.73%,BBRI
17,30-10-2025,3.900,3.990,3.870,3.910,287.905.300,1.125.709.723.000,0.26%,2.57%,-0.51%,0.51%,2.31%,5.01%,BBRI
18,29-10-2025,3.830,3.890,3.790,3.890,215.008.600,836.383.454.000,-0.52%,1.04%,-1.56%,1.04%,1.57%,2.83%,BBRI
19,28-10-2025,3.850,3.860,3.780,3.850,239.026.800,920.253.180.000,-0.26%,0.00%,-2.07%,-0.26%,0.26%,2.85%,BBRI
20,27-10-2025,3.880,3.930,3.750,3.860,332.539.600,1.283.602.856.000,0.78%,2.08%,-2.60%,0.26%,1.29%,2.80%,BBRI
21,24-10-2025,3.820,3.910,3.820,3.850,313.903.600,1.208.528.860.000,0.00%,2.36%,0.00%,0.79%,2.36%,5.37%,BBRI
22,23-10-2025,3.720,3.820,3.700,3.820,225.902.700,862.948.314.000,0.54%,3.24%,0.00%,3.24%,2.69%,3.66%,BBRI
23,22-10-2025,3.790,3.820,3.680,3.700,329.470.700,1.219.041.590.000,0.80%,1.60%,-2.13%,-1.60%,0.79%,2.88%,BBRI
24,21-10-2025,3.780,3.790,3.710,3.760,293.000.200,1.101.680.752.000,2.72%,2.99%,0.82%,2.17%,0.26%,6.60%,BBRI
25,20-10-2025,3.550,3.730,3.540,3.680,391.510.300,1.440.757.904.000,1.43%,6.57%,1.14%,5.14%,5.07%,6.43%,BBRI
26,17-10-2025,3.530,3.570,3.490,3.500,244.442.400,855.548.400.000,0.00%,1.13%,-1.13%,-0.85%,1.13%,2.52%,BBRI
27,16-10-2025,3.500,3.580,3.480,3.530,227.629.500,803.532.135.000,0.00%,2.29%,-0.57%,0.86%,2.29%,3.63%,BBRI
28,15-10-2025,3.570,3.590,3.450,3.500,468.733.500,1.640.567.250.000,0.56%,1.13%,-2.82%,-1.41%,0.56%,1.11%,BBRI
29,14-10-2025,3.640,3.690,3.550,3.550,278.678.800,989.309.740.000,-0.55%,0.82%,-3.01%,-3.01%,1.37%,0.81%,BBRI
30,13-10-2025,3.680,3.710,3.660,3.660,181.694.400,665.001.504.000,-1.34%,-0.54%,-1.88%,-1.88%,0.82%,0.54%,BBRI
31,10-10-2025,3.790,3.790,3.690,3.730,277.252.300,1.034.151.079.000,-1.81%,-1.81%,-4.40%,-3.37%,0.00%,3.96%,BBRI
32,09-10-2025,3.690,3.930,3.640,3.860,479.239.500,1.849.864.470.000,-0.81%,5.65%,-2.15%,3.76%,6.50%,6.62%,BBRI
33,08-10-2025,3.730,3.740,3.670,3.720,148.263.700,551.540.964.000,0.54%,0.81%,-1.08%,0.27%,0.27%,1.87%,BBRI
34,07-10-2025,3.690,3.720,3.670,3.710,155.933.000,578.511.430.000,0.82%,1.64%,0.27%,1.37%,0.81%,2.15%,BBRI
35,06-10-2025,3.700,3.740,3.640,3.660,190.286.800,696.449.688.000,0.27%,1.36%,-1.36%,-0.81%,1.08%,1.60%,BBRI
36,03-10-2025,3.710,3.750,3.680,3.690,214.737.100,792.379.899.000,0.00%,1.08%,-0.81%,-0.54%,1.08%,1.07%,BBRI
37,02-10-2025,3.760,3.790,3.710,3.710,379.620.000,1.408.390.200.000,-1.31%,-0.52%,-2.62%,-2.62%,0.80%,-0.26%,BBRI
38,01-10-2025,3.860,3.940,3.800,3.810,223.133.600,850.139.016.000,-1.03%,1.03%,-2.56%,-2.31%,2.07%,1.02%,BBRI
39,30-09-2025,3.980,3.980,3.900,3.900,217.357.100,847.692.690.000,0.00%,0.00%,-2.01%,-2.01%,0.00%,0.50%,BBRI
40,29-09-2025,4.040,4.040,3.960,3.980,126.611.800,503.914.964.000,0.00%,0.00%,-1.98%,-1.49%,0.00%,0.99%,BBRI
41,26-09-2025,4.050,4.080,4.000,4.040,146.229.200,590.765.968.000,-0.49%,0.25%,-1.72%,-0.74%,0.74%,0.74%,BBRI
42,25-09-2025,4.170,4.170,4.050,4.070,129.656.800,527.703.176.000,0.00%,0.00%,-2.88%,-2.40%,0.00%,1.68%,BBRI
