col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BBTN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BBTN
1,21-11-2025,1.200,1.205,1.180,1.185,27.330.400,32.386.524.000,0.00%,0.42%,-1.67%,-1.25%,0.42%,0.41%,BBTN
2,20-11-2025,1.205,1.220,1.200,1.200,22.734.900,27.281.880.000,0.42%,1.67%,0.00%,0.00%,1.24%,1.64%,BBTN
3,19-11-2025,1.210,1.215,1.200,1.200,11.670.700,14.004.840.000,0.00%,0.41%,-0.83%,-0.83%,0.41%,1.23%,BBTN
4,18-11-2025,1.210,1.225,1.200,1.210,22.244.400,26.915.724.000,0.00%,1.24%,-0.83%,0.00%,1.24%,2.45%,BBTN
5,17-11-2025,1.195,1.225,1.195,1.210,20.744.600,25.100.966.000,0.00%,2.51%,0.00%,1.26%,2.51%,2.86%,BBTN
6,14-11-2025,1.195,1.210,1.190,1.195,13.327.200,15.926.004.000,-0.42%,0.83%,-0.83%,-0.42%,1.26%,1.65%,BBTN
7,13-11-2025,1.210,1.210,1.190,1.200,17.652.400,21.182.880.000,0.00%,0.00%,-1.65%,-0.83%,0.00%,0.83%,BBTN
8,12-11-2025,1.200,1.220,1.200,1.210,15.669.500,18.960.095.000,0.00%,1.67%,0.00%,0.83%,1.67%,2.05%,BBTN
9,11-11-2025,1.225,1.225,1.195,1.200,33.661.200,40.393.440.000,0.41%,0.41%,-2.05%,-1.64%,0.00%,1.22%,BBTN
10,10-11-2025,1.240,1.240,1.210,1.220,30.983.200,37.799.504.000,0.81%,0.81%,-1.63%,-0.81%,0.00%,2.02%,BBTN
11,07-11-2025,1.225,1.245,1.215,1.230,31.514.100,38.762.343.000,0.00%,1.63%,-0.82%,0.41%,1.63%,2.81%,BBTN
12,06-11-2025,1.220,1.235,1.210,1.225,27.442.700,33.617.307.500,0.00%,1.23%,-0.82%,0.41%,1.23%,2.43%,BBTN
13,05-11-2025,1.210,1.220,1.205,1.220,31.664.300,38.630.446.000,-0.41%,0.41%,-0.82%,0.41%,0.83%,1.23%,BBTN
14,04-11-2025,1.215,1.225,1.205,1.215,39.577.400,48.086.541.000,0.00%,0.82%,-0.82%,0.00%,0.82%,1.22%,BBTN
15,03-11-2025,1.225,1.240,1.210,1.215,43.702.900,53.099.023.500,0.00%,1.22%,-1.22%,-0.82%,1.22%,2.02%,BBTN
16,31-10-2025,1.245,1.245,1.215,1.225,31.696.700,38.828.457.500,0.81%,0.81%,-1.62%,-0.81%,0.00%,1.61%,BBTN
17,30-10-2025,1.235,1.265,1.225,1.235,66.920.300,82.646.570.500,0.00%,2.43%,-0.81%,0.00%,2.43%,5.14%,BBTN
18,29-10-2025,1.200,1.240,1.200,1.235,47.563.700,58.741.169.500,0.42%,3.77%,0.42%,3.35%,3.33%,3.63%,BBTN
19,28-10-2025,1.215,1.215,1.195,1.195,26.799.200,32.025.044.000,0.83%,0.83%,-0.83%,-0.83%,0.00%,2.06%,BBTN
20,27-10-2025,1.215,1.235,1.190,1.205,50.417.800,60.753.449.000,0.83%,2.49%,-1.24%,0.00%,1.65%,2.43%,BBTN
21,24-10-2025,1.205,1.230,1.205,1.205,57.807.900,69.658.519.500,0.84%,2.93%,0.84%,0.84%,2.07%,4.47%,BBTN
22,23-10-2025,1.175,1.215,1.175,1.195,57.813.900,69.087.610.500,0.43%,3.85%,0.43%,2.14%,3.40%,4.12%,BBTN
23,22-10-2025,1.230,1.260,1.165,1.170,111.962.800,130.996.476.000,0.41%,2.86%,-4.90%,-4.49%,2.44%,3.17%,BBTN
24,21-10-2025,1.250,1.260,1.220,1.225,55.931.500,68.516.087.500,1.21%,2.02%,-1.21%,-0.81%,0.80%,8.33%,BBTN
25,20-10-2025,1.155,1.250,1.155,1.235,109.037.100,134.660.818.500,1.32%,9.65%,1.32%,8.33%,8.23%,8.80%,BBTN
26,17-10-2025,1.150,1.175,1.140,1.140,39.688.000,45.244.320.000,0.00%,2.17%,-0.87%,-0.87%,2.17%,3.83%,BBTN
27,16-10-2025,1.140,1.175,1.130,1.150,38.997.900,44.847.585.000,0.00%,3.07%,-0.88%,0.88%,3.07%,4.68%,BBTN
28,15-10-2025,1.140,1.160,1.120,1.140,49.069.300,55.939.002.000,0.88%,2.65%,-0.88%,0.88%,1.75%,3.45%,BBTN
29,14-10-2025,1.140,1.160,1.120,1.130,28.587.300,32.303.649.000,0.00%,1.75%,-1.75%,-0.88%,1.75%,2.59%,BBTN
30,13-10-2025,1.150,1.170,1.130,1.140,69.579.100,79.320.174.000,-2.95%,-1.27%,-4.64%,-3.80%,1.74%,-1.28%,BBTN
