col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BBYB
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BBYB
1,21-11-2025,380,386,374,382,43.887.500,16.765.025.000,0.00%,1.58%,-1.58%,0.53%,1.58%,4.15%,BBYB
2,20-11-2025,370,382,370,380,60.344.500,22.930.910.000,0.54%,3.80%,0.54%,3.26%,3.24%,3.66%,BBYB
3,19-11-2025,372,376,368,368,31.701.100,11.666.004.800,0.00%,1.08%,-1.08%,-1.08%,1.08%,1.06%,BBYB
4,18-11-2025,376,380,372,372,28.059.100,10.437.985.200,0.00%,1.06%,-1.06%,-1.06%,1.06%,2.63%,BBYB
5,17-11-2025,370,382,370,376,57.063.400,21.455.838.400,-0.54%,2.69%,-0.54%,1.08%,3.24%,3.14%,BBYB
6,14-11-2025,376,380,370,372,60.219.000,22.401.468.000,-0.53%,0.53%,-2.12%,-1.59%,1.06%,1.05%,BBYB
7,13-11-2025,378,388,376,378,80.913.200,30.585.189.600,-0.53%,2.11%,-1.05%,-0.53%,2.65%,3.09%,BBYB
8,12-11-2025,378,390,376,380,63.956.900,24.303.622.000,0.53%,3.72%,0.00%,1.06%,3.17%,4.62%,BBYB
9,11-11-2025,384,384,372,376,66.491.000,25.000.616.000,0.00%,0.00%,-3.13%,-2.08%,0.00%,1.04%,BBYB
10,10-11-2025,390,394,380,384,101.268.300,38.887.027.200,-1.02%,0.00%,-3.55%,-2.54%,1.03%,2.03%,BBYB
11,07-11-2025,398,398,386,394,43.740.100,17.233.599.400,1.02%,1.02%,-2.03%,0.00%,0.00%,3.52%,BBYB
12,06-11-2025,390,396,384,394,63.859.700,25.160.721.800,0.00%,1.54%,-1.54%,1.03%,1.54%,3.03%,BBYB
13,05-11-2025,402,408,384,390,99.102.500,38.649.975.000,-0.99%,0.49%,-5.42%,-3.94%,1.49%,2.45%,BBYB
14,04-11-2025,402,412,398,406,158.723.000,64.441.538.000,0.00%,2.49%,-1.00%,1.00%,2.49%,5.34%,BBYB
15,03-11-2025,392,404,390,402,116.482.500,46.825.965.000,1.03%,4.12%,0.52%,3.61%,3.06%,3.96%,BBYB
16,31-10-2025,420,426,388,388,223.691.200,86.792.185.600,2.44%,3.90%,-5.37%,-5.37%,1.43%,7.04%,BBYB
17,30-10-2025,396,428,396,410,367.696.200,150.755.442.000,0.51%,8.63%,0.51%,4.06%,8.08%,12.62%,BBYB
18,29-10-2025,388,398,374,394,122.751.600,48.364.130.400,0.00%,2.58%,-3.61%,1.55%,2.58%,4.52%,BBYB
19,28-10-2025,402,406,380,388,193.864.200,75.219.309.600,1.01%,2.01%,-4.52%,-2.51%,1.00%,10.84%,BBYB
20,27-10-2025,378,404,362,398,244.751.700,97.411.176.600,1.07%,8.02%,-3.21%,6.42%,6.88%,8.42%,BBYB
21,24-10-2025,378,386,370,374,85.166.200,31.852.158.800,0.00%,2.12%,-2.12%,-1.06%,2.12%,8.29%,BBYB
22,23-10-2025,360,382,354,378,129.780.400,49.056.991.200,0.56%,6.70%,-1.12%,5.59%,6.11%,7.33%,BBYB
23,22-10-2025,356,368,354,358,94.334.100,33.771.607.800,0.00%,3.37%,-0.56%,0.56%,3.37%,4.35%,BBYB
24,21-10-2025,360,366,352,356,54.429.900,19.377.044.400,1.12%,2.81%,-1.12%,0.00%,1.67%,7.10%,BBYB
25,20-10-2025,340,360,340,356,75.888.800,27.016.412.800,0.00%,5.88%,0.00%,4.71%,5.88%,6.11%,BBYB
26,17-10-2025,358,360,338,340,75.016.100,25.505.474.000,1.13%,1.69%,-4.52%,-3.95%,0.56%,2.78%,BBYB
27,16-10-2025,358,370,350,354,69.065.600,24.449.222.400,1.70%,5.11%,-0.57%,0.57%,3.35%,8.65%,BBYB
28,15-10-2025,358,370,338,352,99.247.200,34.935.014.400,0.56%,3.93%,-5.06%,-1.12%,3.35%,4.86%,BBYB
