col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BCAP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BCAP
1,21-11-2025,56,56,54,55,11.095.500,610.252.500,1.82%,1.82%,-1.82%,0.00%,0.00%,3.57%,BCAP
2,20-11-2025,54,56,54,55,19.660.500,1.081.327.500,-1.82%,1.82%,-1.82%,0.00%,3.70%,3.57%,BCAP
3,19-11-2025,56,56,54,55,13.059.000,718.245.000,0.00%,0.00%,-3.57%,-1.79%,0.00%,1.79%,BCAP
4,18-11-2025,56,56,55,56,3.646.800,204.220.800,0.00%,0.00%,-1.79%,0.00%,0.00%,1.79%,BCAP
5,17-11-2025,56,57,55,56,16.093.700,901.247.200,0.00%,1.79%,-1.79%,0.00%,1.79%,3.51%,BCAP
6,14-11-2025,56,57,55,56,10.026.000,561.456.000,-1.75%,0.00%,-3.51%,-1.75%,1.79%,5.26%,BCAP
7,13-11-2025,56,58,54,57,59.080.800,3.367.605.600,1.82%,5.45%,-1.82%,3.64%,3.57%,6.90%,BCAP
8,12-11-2025,56,56,54,55,9.203.200,506.176.000,1.82%,1.82%,-1.82%,0.00%,0.00%,1.79%,BCAP
9,11-11-2025,56,56,55,55,17.978.000,988.790.000,0.00%,0.00%,-1.79%,-1.79%,0.00%,1.79%,BCAP
10,10-11-2025,57,57,55,56,27.774.800,1.555.388.800,1.79%,1.79%,-1.79%,0.00%,0.00%,3.51%,BCAP
11,07-11-2025,57,57,55,56,9.421.400,527.598.400,0.00%,0.00%,-3.51%,-1.75%,0.00%,5.26%,BCAP
12,06-11-2025,55,57,54,57,24.962.500,1.422.862.500,0.00%,3.64%,-1.82%,3.64%,3.64%,5.26%,BCAP
13,05-11-2025,56,56,54,55,10.077.300,554.251.500,0.00%,0.00%,-3.57%,-1.79%,0.00%,3.57%,BCAP
14,04-11-2025,55,56,54,56,20.552.900,1.150.962.400,1.85%,3.70%,0.00%,3.70%,1.82%,3.57%,BCAP
15,03-11-2025,55,55,54,54,13.127.500,708.885.000,1.85%,1.85%,0.00%,0.00%,0.00%,1.82%,BCAP
16,31-10-2025,54,55,54,54,8.426.300,455.020.200,-1.82%,0.00%,-1.82%,-1.82%,1.85%,1.82%,BCAP
17,30-10-2025,55,55,54,55,6.398.900,351.939.500,0.00%,0.00%,-1.82%,0.00%,0.00%,3.64%,BCAP
18,29-10-2025,54,55,53,55,20.123.400,1.106.787.000,0.00%,1.85%,-1.85%,1.85%,1.85%,5.45%,BCAP
19,28-10-2025,53,54,52,54,17.127.100,924.863.400,0.00%,1.89%,-1.89%,1.89%,1.89%,1.85%,BCAP
20,27-10-2025,54,55,53,53,24.942.800,1.321.968.400,0.00%,1.85%,-1.85%,-1.85%,1.85%,3.64%,BCAP
21,24-10-2025,55,55,53,54,23.616.500,1.275.291.000,0.00%,0.00%,-3.64%,-1.82%,0.00%,3.64%,BCAP
22,23-10-2025,55,55,53,55,25.067.700,1.378.723.500,0.00%,0.00%,-3.64%,0.00%,0.00%,3.64%,BCAP
23,22-10-2025,56,56,53,55,44.597.100,2.452.840.500,0.00%,0.00%,-5.36%,-1.79%,0.00%,1.79%,BCAP
24,21-10-2025,56,57,55,56,55.677.900,3.117.962.400,0.00%,1.79%,-1.79%,0.00%,1.79%,7.02%,BCAP
25,20-10-2025,53,57,53,56,31.068.300,1.739.824.800,0.00%,7.55%,0.00%,5.66%,7.55%,8.77%,BCAP
