col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BCIC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BCIC
1,21-11-2025,150,153,150,153,90.800,13.892.400,-1.96%,0.00%,-1.96%,0.00%,2.00%,1.31%,BCIC
2,20-11-2025,153,153,151,153,58.500,8.950.500,1.32%,1.32%,0.00%,1.32%,0.00%,1.96%,BCIC
3,19-11-2025,150,151,150,151,142.700,21.547.700,-1.32%,-0.66%,-1.32%,-0.66%,0.67%,0.66%,BCIC
4,18-11-2025,150,152,150,152,193.900,29.472.800,-1.96%,-0.65%,-1.96%,-0.65%,1.33%,0.66%,BCIC
5,17-11-2025,153,153,151,153,299.100,45.762.300,0.00%,0.00%,-1.31%,0.00%,0.00%,0.65%,BCIC
6,14-11-2025,155,155,152,153,333.300,50.994.900,0.00%,0.00%,-1.94%,-1.29%,0.00%,0.00%,BCIC
7,13-11-2025,157,157,155,155,777.700,120.543.500,0.00%,0.00%,-1.27%,-1.27%,0.00%,3.18%,BCIC
8,12-11-2025,152,160,152,157,651.600,102.301.200,1.33%,6.67%,1.33%,4.67%,5.26%,6.25%,BCIC
9,11-11-2025,181,181,150,150,3.765.600,564.840.000,9.70%,9.70%,-9.09%,-9.09%,0.00%,17.13%,BCIC
10,10-11-2025,150,165,150,165,517.600,85.404.000,0.00%,10.00%,0.00%,10.00%,10.00%,12.12%,BCIC
11,07-11-2025,147,150,145,150,244.900,36.735.000,1.38%,3.45%,0.00%,3.45%,2.04%,6.00%,BCIC
12,06-11-2025,141,145,141,145,458.300,66.453.500,0.00%,2.84%,0.00%,2.84%,2.84%,3.45%,BCIC
13,05-11-2025,140,141,140,141,252.900,35.658.900,-0.71%,0.00%,-0.71%,0.00%,0.71%,0.00%,BCIC
14,04-11-2025,142,142,141,141,262.700,37.040.700,0.00%,0.00%,-0.70%,-0.70%,0.00%,0.70%,BCIC
15,03-11-2025,141,143,141,142,2.296.900,326.159.800,-4.73%,-3.38%,-4.73%,-4.05%,1.42%,0.00%,BCIC
16,31-10-2025,147,148,143,148,744.200,110.141.600,-0.68%,0.00%,-3.38%,0.00%,0.68%,3.38%,BCIC
17,30-10-2025,143,148,143,148,389.900,57.705.200,0.70%,4.23%,0.70%,4.23%,3.50%,4.05%,BCIC
18,29-10-2025,151,152,142,142,675.800,95.963.600,0.00%,0.66%,-5.96%,-5.96%,0.66%,2.63%,BCIC
19,28-10-2025,148,152,148,151,492.800,74.412.800,-2.63%,0.00%,-2.63%,-0.66%,2.70%,0.00%,BCIC
20,27-10-2025,152,154,152,152,209.600,31.859.200,-3.80%,-2.53%,-3.80%,-3.80%,1.32%,2.60%,BCIC
21,24-10-2025,162,162,150,158,482.200,76.187.600,0.00%,0.00%,-7.41%,-2.47%,0.00%,0.00%,BCIC
22,23-10-2025,163,163,162,162,109.500,17.739.000,0.00%,0.00%,-0.61%,-0.61%,0.00%,6.75%,BCIC
23,22-10-2025,152,164,152,163,955.200,155.697.600,0.66%,8.61%,0.66%,7.95%,7.89%,7.93%,BCIC
24,21-10-2025,158,158,151,151,621.800,93.891.800,4.64%,4.64%,0.00%,0.00%,0.00%,5.06%,BCIC
25,20-10-2025,164,164,150,151,1.544.900,233.279.900,-0.61%,-0.61%,-9.09%,-8.48%,0.00%,-0.61%,BCIC
26,17-10-2025,175,175,165,165,944.600,155.859.000,7.36%,7.36%,1.23%,1.23%,0.00%,6.86%,BCIC
27,16-10-2025,165,165,163,163,699.600,114.034.800,0.00%,0.00%,-1.21%,-1.21%,0.00%,9.09%,BCIC
28,15-10-2025,155,165,150,165,5.239.600,864.534.000,-6.63%,-0.60%,-9.64%,-0.60%,6.45%,-0.61%,BCIC
29,14-10-2025,166,166,166,166,2.768.000,459.488.000,-9.78%,-9.78%,-9.78%,-9.78%,0.00%,-10.84%,BCIC
30,13-10-2025,224,224,184,184,22.863.800,4.206.939.200,9.80%,9.80%,-9.80%,-9.80%,0.00%,8.93%,BCIC
31,10-10-2025,204,204,204,204,10.282.300,2.097.589.200,9.09%,9.09%,9.09%,9.09%,0.00%,8.33%,BCIC
32,09-10-2025,187,187,187,187,12.366.200,2.312.479.400,10.00%,10.00%,10.00%,10.00%,0.00%,9.09%,BCIC
33,08-10-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
34,07-10-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
35,06-10-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
36,03-10-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
37,02-10-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
38,01-10-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
39,30-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
40,29-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
41,26-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
42,25-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
43,24-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
44,23-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
45,22-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
46,19-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
47,18-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
48,17-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
49,16-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
50,15-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
51,12-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
52,11-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
53,10-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
54,09-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
55,08-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
56,04-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
57,03-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
58,02-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
59,01-09-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
60,29-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
61,28-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
62,27-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
63,26-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
64,25-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
65,22-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
66,21-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
67,20-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
68,19-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
69,15-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
70,14-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
71,13-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
72,12-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
73,11-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
74,08-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
75,07-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
76,06-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
77,05-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
78,04-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
79,01-08-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
80,31-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
81,30-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
82,29-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
83,28-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
84,25-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
85,24-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
86,23-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
87,22-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
88,21-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
89,18-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
90,17-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
91,16-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
92,15-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
93,14-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
94,11-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
95,10-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
96,09-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
97,08-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
98,07-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
99,04-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
100,03-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
101,02-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
102,01-07-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
103,30-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
104,26-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
105,25-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
106,24-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
107,23-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
108,20-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
109,19-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
110,18-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
111,17-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
112,16-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
113,13-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
114,12-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
115,11-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
116,10-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
117,05-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
118,04-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
119,03-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
120,02-06-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
121,28-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
122,27-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
123,26-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
124,23-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
125,22-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
126,21-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
127,20-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
128,19-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
129,16-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
130,15-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
131,14-05-2025,170,170,170,170,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BCIC
