col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BCIP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BCIP
1,21-11-2025,105,107,102,107,52.272.400,5.593.146.800,0.00%,1.90%,-2.86%,1.90%,1.90%,2.80%,BCIP
2,20-11-2025,107,108,104,105,37.711.000,3.959.655.000,-0.93%,0.00%,-3.70%,-2.78%,0.93%,1.85%,BCIP
3,19-11-2025,110,112,106,108,40.695.600,4.395.124.800,0.00%,1.82%,-3.64%,-1.82%,1.82%,1.79%,BCIP
4,18-11-2025,116,117,110,110,56.549.700,6.220.467.000,1.75%,2.63%,-3.51%,-3.51%,0.86%,7.69%,BCIP
5,17-11-2025,110,114,108,114,57.148.800,6.514.963.200,0.00%,3.64%,-1.82%,3.64%,3.64%,7.02%,BCIP
6,14-11-2025,109,110,106,110,41.568.300,4.572.513.000,0.00%,0.92%,-2.75%,0.92%,0.92%,3.64%,BCIP
7,13-11-2025,107,110,106,109,41.938.200,4.571.263.800,0.00%,2.80%,-0.93%,1.87%,2.80%,2.73%,BCIP
8,12-11-2025,112,113,107,107,41.306.100,4.419.752.700,0.00%,0.89%,-4.46%,-4.46%,0.89%,11.50%,BCIP
9,11-11-2025,110,113,100,112,51.476.100,5.765.323.200,0.00%,2.73%,-9.09%,1.82%,2.73%,4.42%,BCIP
10,10-11-2025,110,112,108,110,38.079.800,4.188.778.000,0.00%,1.82%,-1.82%,0.00%,1.82%,5.36%,BCIP
11,07-11-2025,113,113,106,110,41.259.600,4.538.556.000,0.00%,0.00%,-6.19%,-2.65%,0.00%,3.54%,BCIP
12,06-11-2025,112,113,109,113,45.451.500,5.136.019.500,-0.88%,0.00%,-3.54%,0.00%,0.89%,0.88%,BCIP
13,05-11-2025,117,117,112,113,37.167.800,4.199.961.400,-0.85%,-0.85%,-5.08%,-4.24%,0.00%,4.27%,BCIP
14,04-11-2025,113,120,112,118,51.463.100,6.072.645.800,0.00%,6.19%,-0.88%,4.42%,6.19%,8.33%,BCIP
15,03-11-2025,113,114,110,113,47.266.200,5.341.080.600,0.89%,1.79%,-1.79%,0.89%,0.88%,5.26%,BCIP
16,31-10-2025,109,115,108,112,45.229.600,5.065.715.200,0.00%,5.50%,-0.92%,2.75%,5.50%,7.83%,BCIP
17,30-10-2025,108,109,106,109,43.617.000,4.754.253.000,0.00%,0.93%,-1.85%,0.93%,0.93%,3.67%,BCIP
18,29-10-2025,106,108,105,108,41.312.100,4.461.706.800,0.95%,2.86%,0.00%,2.86%,1.89%,2.78%,BCIP
19,28-10-2025,115,116,105,105,47.671.800,5.005.539.000,2.68%,3.57%,-6.25%,-6.25%,0.87%,8.62%,BCIP
20,27-10-2025,109,114,106,112,61.136.400,6.847.276.800,0.00%,4.59%,-2.75%,2.75%,4.59%,7.02%,BCIP
21,24-10-2025,109,110,106,109,35.750.600,3.896.815.400,0.00%,0.92%,-2.75%,0.00%,0.92%,5.45%,BCIP
22,23-10-2025,107,109,104,109,31.853.600,3.472.042.400,-0.93%,0.93%,-3.70%,0.93%,1.87%,5.50%,BCIP
