col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BDKR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BDKR
1,21-11-2025,166,171,164,170,26.939.700,4.579.749.000,-0.60%,2.40%,-1.80%,1.80%,3.01%,4.09%,BDKR
2,20-11-2025,166,170,164,167,23.546.800,3.932.315.600,0.00%,2.41%,-1.20%,0.60%,2.41%,2.35%,BDKR
3,19-11-2025,170,171,166,166,17.453.600,2.897.297.600,0.00%,0.59%,-2.35%,-2.35%,0.59%,4.68%,BDKR
4,18-11-2025,172,172,163,170,34.245.300,5.821.701.000,-1.15%,-1.15%,-6.32%,-2.30%,0.00%,0.00%,BDKR
5,17-11-2025,176,181,172,174,17.246.900,3.000.960.600,0.00%,2.84%,-2.27%,-1.14%,2.84%,4.97%,BDKR
6,14-11-2025,175,177,172,176,21.934.800,3.860.524.800,0.00%,1.14%,-1.71%,0.57%,1.14%,2.82%,BDKR
7,13-11-2025,174,178,172,175,21.300.400,3.727.570.000,0.00%,2.30%,-1.15%,0.57%,2.30%,3.37%,BDKR
8,12-11-2025,176,178,172,174,13.658.100,2.376.509.400,0.00%,1.14%,-2.27%,-1.14%,1.14%,2.81%,BDKR
9,11-11-2025,179,181,173,176,17.687.600,3.113.017.600,0.56%,1.69%,-2.81%,-1.12%,1.12%,4.97%,BDKR
10,10-11-2025,176,179,172,178,35.681.100,6.351.235.800,0.00%,1.70%,-2.27%,1.14%,1.70%,6.15%,BDKR
11,07-11-2025,170,178,168,176,49.561.300,8.722.788.800,0.00%,4.71%,-1.18%,3.53%,4.71%,5.62%,BDKR
12,06-11-2025,171,172,168,170,15.465.000,2.629.050.000,-0.58%,0.00%,-2.33%,-1.16%,0.58%,4.65%,BDKR
13,05-11-2025,169,172,164,172,26.200.400,4.506.468.800,0.00%,1.78%,-2.96%,1.78%,1.78%,2.91%,BDKR
14,04-11-2025,171,173,167,169,14.914.100,2.520.482.900,-0.58%,0.58%,-2.91%,-1.74%,1.17%,3.47%,BDKR
