col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BDMN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BDMN
1,21-11-2025,2.530,2.540,2.510,2.540,542.700,1.378.458.000,0.00%,0.40%,-0.79%,0.40%,0.40%,0.79%,BDMN
2,20-11-2025,2.540,2.550,2.520,2.530,299.300,757.229.000,0.40%,0.79%,-0.40%,0.00%,0.39%,1.96%,BDMN
3,19-11-2025,2.540,2.560,2.500,2.530,674.700,1.706.991.000,0.00%,0.79%,-1.57%,-0.39%,0.79%,0.78%,BDMN
4,18-11-2025,2.560,2.580,2.540,2.540,898.100,2.281.174.000,0.00%,0.78%,-0.78%,-0.78%,0.78%,1.55%,BDMN
5,17-11-2025,2.550,2.580,2.540,2.560,1.363.600,3.490.816.000,0.39%,1.57%,0.00%,0.79%,1.18%,1.94%,BDMN
6,14-11-2025,2.540,2.570,2.530,2.540,963.800,2.448.052.000,-0.39%,0.78%,-0.78%,-0.39%,1.18%,1.95%,BDMN
7,13-11-2025,2.530,2.570,2.520,2.550,1.094.400,2.790.720.000,0.00%,1.58%,-0.40%,0.79%,1.58%,1.95%,BDMN
8,12-11-2025,2.530,2.560,2.520,2.530,882.400,2.232.472.000,0.00%,1.19%,-0.40%,0.00%,1.19%,1.95%,BDMN
9,11-11-2025,2.540,2.540,2.510,2.530,804.300,2.034.879.000,0.00%,0.00%,-1.18%,-0.39%,0.00%,0.79%,BDMN
10,10-11-2025,2.550,2.550,2.520,2.540,952.900,2.420.366.000,0.79%,0.79%,-0.40%,0.40%,0.00%,1.18%,BDMN
11,07-11-2025,2.530,2.550,2.520,2.530,802.900,2.031.337.000,0.00%,0.79%,-0.40%,0.00%,0.79%,1.18%,BDMN
12,06-11-2025,2.530,2.550,2.520,2.530,606.000,1.533.180.000,0.00%,0.79%,-0.40%,0.00%,0.79%,1.96%,BDMN
13,05-11-2025,2.530,2.540,2.500,2.530,1.094.500,2.769.085.000,-0.39%,0.00%,-1.57%,-0.39%,0.40%,0.39%,BDMN
14,04-11-2025,2.550,2.570,2.530,2.540,1.649.900,4.190.746.000,0.00%,0.78%,-0.78%,-0.39%,0.78%,1.56%,BDMN
15,03-11-2025,2.570,2.580,2.530,2.550,1.311.200,3.343.560.000,0.00%,0.39%,-1.56%,-0.78%,0.39%,1.94%,BDMN
16,31-10-2025,2.540,2.640,2.530,2.570,9.202.200,23.649.654.000,3.25%,7.32%,2.85%,4.47%,3.94%,7.20%,BDMN
17,30-10-2025,2.480,2.490,2.450,2.460,1.639.900,4.034.154.000,1.22%,1.63%,0.00%,0.41%,0.40%,2.81%,BDMN
18,29-10-2025,2.450,2.470,2.420,2.450,2.305.800,5.649.210.000,1.24%,2.07%,0.00%,1.24%,0.82%,4.05%,BDMN
19,28-10-2025,2.390,2.430,2.370,2.420,1.471.500,3.561.030.000,0.42%,2.10%,-0.42%,1.68%,1.67%,2.88%,BDMN
20,27-10-2025,2.390,2.390,2.360,2.380,1.049.500,2.497.810.000,0.42%,0.42%,-0.84%,0.00%,0.00%,1.26%,BDMN
21,24-10-2025,2.370,2.390,2.360,2.380,1.096.600,2.609.908.000,0.00%,0.84%,-0.42%,0.42%,0.84%,3.35%,BDMN
22,23-10-2025,2.370,2.390,2.310,2.370,2.706.200,6.413.694.000,0.00%,0.84%,-2.53%,0.00%,0.84%,1.67%,BDMN
23,22-10-2025,2.370,2.400,2.350,2.370,1.789.900,4.242.063.000,0.42%,1.69%,-0.42%,0.42%,1.27%,2.08%,BDMN
24,21-10-2025,2.390,2.390,2.350,2.360,2.368.200,5.588.952.000,1.27%,1.27%,-0.42%,0.00%,0.00%,2.51%,BDMN
25,20-10-2025,2.340,2.380,2.330,2.360,2.246.900,5.302.684.000,0.43%,2.15%,0.00%,1.29%,1.71%,2.10%,BDMN
26,17-10-2025,2.360,2.370,2.330,2.330,1.067.200,2.486.576.000,0.43%,0.85%,-0.85%,-0.85%,0.42%,1.27%,BDMN
27,16-10-2025,2.360,2.370,2.340,2.350,437.600,1.028.360.000,0.43%,0.85%,-0.43%,0.00%,0.42%,0.84%,BDMN
28,15-10-2025,2.350,2.370,2.350,2.350,1.765.900,4.149.865.000,0.00%,0.85%,0.00%,0.00%,0.85%,0.84%,BDMN
29,14-10-2025,2.360,2.380,2.350,2.350,2.103.400,4.942.990.000,0.00%,0.85%,-0.42%,-0.42%,0.85%,1.26%,BDMN
30,13-10-2025,2.360,2.370,2.350,2.360,914.900,2.159.164.000,-0.42%,0.00%,-0.84%,-0.42%,0.42%,0.84%,BDMN
31,10-10-2025,2.400,2.400,2.350,2.370,1.747.600,4.141.812.000,0.42%,0.42%,-1.67%,-0.84%,0.00%,1.67%,BDMN
32,09-10-2025,2.380,2.400,2.360,2.390,2.122.400,5.072.536.000,0.42%,1.27%,-0.42%,0.84%,0.84%,2.08%,BDMN
33,08-10-2025,2.380,2.380,2.350,2.370,1.113.700,2.639.469.000,0.42%,0.42%,-0.84%,0.00%,0.00%,1.26%,BDMN
34,07-10-2025,2.360,2.380,2.350,2.370,1.086.400,2.574.768.000,0.00%,0.85%,-0.42%,0.42%,0.85%,1.26%,BDMN
35,06-10-2025,2.380,2.390,2.350,2.360,1.895.400,4.473.144.000,0.42%,0.84%,-0.84%,-0.42%,0.42%,1.26%,BDMN
36,03-10-2025,2.390,2.390,2.360,2.370,1.003.600,2.378.532.000,0.42%,0.42%,-0.84%,-0.42%,0.00%,1.26%,BDMN
37,02-10-2025,2.390,2.400,2.360,2.380,748.400,1.781.192.000,0.84%,1.27%,-0.42%,0.42%,0.42%,1.67%,BDMN
38,01-10-2025,2.410,2.410,2.360,2.370,1.206.300,2.858.931.000,1.26%,1.26%,-0.84%,-0.42%,0.00%,1.66%,BDMN
39,30-09-2025,2.390,2.410,2.370,2.380,861.900,2.051.322.000,-0.42%,0.42%,-1.25%,-0.83%,0.84%,1.66%,BDMN
40,29-09-2025,2.390,2.410,2.370,2.400,1.354.600,3.251.040.000,0.00%,0.84%,-0.84%,0.42%,0.84%,1.66%,BDMN
41,26-09-2025,2.380,2.390,2.370,2.390,1.031.400,2.465.046.000,0.00%,0.42%,-0.42%,0.42%,0.42%,0.84%,BDMN
42,25-09-2025,2.390,2.400,2.370,2.380,867.300,2.064.174.000,-0.42%,0.00%,-1.25%,-0.83%,0.42%,1.25%,BDMN
43,24-09-2025,2.390,2.450,2.370,2.400,2.412.400,5.789.760.000,0.00%,2.51%,-0.84%,0.42%,2.51%,2.86%,BDMN
44,23-09-2025,2.400,2.420,2.380,2.390,1.923.700,4.597.643.000,0.84%,1.68%,0.00%,0.42%,0.83%,2.89%,BDMN
45,22-09-2025,2.380,2.420,2.350,2.380,6.401.200,15.234.856.000,0.85%,2.54%,-0.42%,0.85%,1.68%,2.48%,BDMN
46,19-09-2025,2.420,2.480,2.360,2.360,21.817.200,51.488.592.000,-3.20%,-0.80%,-5.60%,-5.60%,2.48%,0.40%,BDMN
