col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BELI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BELI
1,21-11-2025,448,454,440,442,5.875.200,2.596.838.400,0.00%,1.34%,-1.79%,-1.34%,1.34%,1.32%,BELI
2,20-11-2025,460,462,448,448,4.771.000,2.137.408.000,0.00%,0.43%,-2.61%,-2.61%,0.43%,2.16%,BELI
3,19-11-2025,470,478,452,460,12.104.200,5.567.932.000,-0.84%,0.84%,-4.64%,-2.95%,1.70%,6.69%,BELI
4,18-11-2025,460,474,446,474,12.332.700,5.845.699.800,-0.43%,2.60%,-3.46%,2.60%,3.04%,7.17%,BELI
5,17-11-2025,440,466,440,462,5.502.200,2.542.016.400,0.00%,5.91%,0.00%,5.00%,5.91%,6.01%,BELI
6,14-11-2025,450,450,438,440,2.986.900,1.314.236.000,0.00%,0.00%,-2.67%,-2.22%,0.00%,4.00%,BELI
7,13-11-2025,466,466,432,450,12.397.000,5.578.650.000,0.43%,0.43%,-6.90%,-3.02%,0.00%,3.86%,BELI
8,12-11-2025,450,464,448,464,9.467.900,4.393.105.600,0.00%,3.11%,-0.44%,3.11%,3.11%,6.90%,BELI
9,11-11-2025,450,456,432,450,6.129.200,2.758.140.000,-0.44%,0.88%,-4.42%,-0.44%,1.33%,5.26%,BELI
10,10-11-2025,432,454,432,452,5.862.300,2.649.759.600,-2.26%,2.71%,-2.26%,2.26%,5.09%,9.25%,BELI
11,07-11-2025,438,442,412,442,8.744.900,3.865.245.800,-0.45%,0.45%,-6.36%,0.45%,0.91%,5.43%,BELI
12,06-11-2025,430,440,418,440,6.153.500,2.707.540.000,4.88%,7.32%,1.95%,7.32%,2.33%,10.91%,BELI
13,05-11-2025,402,420,392,410,5.351.600,2.194.156.000,1.01%,5.53%,-1.51%,3.02%,4.48%,9.52%,BELI
14,04-11-2025,380,404,380,398,1.833.100,729.573.800,0.00%,6.32%,0.00%,4.74%,6.32%,6.93%,BELI
15,03-11-2025,378,380,376,380,918.100,348.878.000,0.00%,0.53%,-0.53%,0.53%,0.53%,1.05%,BELI
16,31-10-2025,378,380,376,378,284.300,107.465.400,0.00%,0.53%,-0.53%,0.00%,0.53%,1.05%,BELI
17,30-10-2025,380,380,376,378,984.000,371.952.000,0.00%,0.00%,-1.05%,-0.53%,0.00%,1.05%,BELI
18,29-10-2025,378,380,376,380,686.100,260.718.000,0.00%,0.53%,-0.53%,0.53%,0.53%,2.11%,BELI
19,28-10-2025,376,378,372,378,1.242.900,469.816.200,0.00%,0.53%,-1.06%,0.53%,0.53%,2.65%,BELI
20,27-10-2025,370,376,368,376,1.149.600,432.249.600,0.00%,1.62%,-0.54%,1.62%,1.62%,2.13%,BELI
21,24-10-2025,372,380,368,370,2.537.100,938.727.000,0.00%,2.15%,-1.08%,-0.54%,2.15%,3.68%,BELI
22,23-10-2025,370,374,366,372,234.700,87.308.400,1.09%,2.19%,0.00%,1.64%,1.08%,2.14%,BELI
23,22-10-2025,376,378,366,366,3.124.900,1.143.713.400,0.00%,0.53%,-2.66%,-2.66%,0.53%,1.59%,BELI
24,21-10-2025,374,376,372,376,1.633.600,614.233.600,-0.53%,0.00%,-1.06%,0.00%,0.53%,1.60%,BELI
25,20-10-2025,372,376,370,376,1.337.000,502.712.000,0.00%,1.08%,-0.54%,1.08%,1.08%,2.66%,BELI
26,17-10-2025,370,372,366,372,1.122.800,417.681.600,0.54%,1.09%,-0.54%,1.09%,0.54%,1.61%,BELI
27,16-10-2025,370,370,366,368,1.305.200,480.313.600,0.00%,0.00%,-1.08%,-0.54%,0.00%,3.78%,BELI
28,15-10-2025,368,370,356,370,1.083.900,401.043.000,0.55%,1.09%,-2.73%,1.09%,0.54%,1.62%,BELI
29,14-10-2025,368,370,364,366,399.000,146.034.000,0.55%,1.09%,-0.55%,0.00%,0.54%,1.62%,BELI
30,13-10-2025,370,370,364,366,373.600,136.737.600,1.09%,1.09%,-0.55%,0.00%,0.00%,1.62%,BELI
31,10-10-2025,370,370,364,366,360.000,131.760.000,0.00%,0.00%,-1.62%,-1.08%,0.00%,2.16%,BELI
32,09-10-2025,366,370,362,370,1.367.200,505.864.000,0.00%,1.09%,-1.09%,1.09%,1.09%,1.08%,BELI
33,08-10-2025,370,372,366,366,475.500,174.033.000,0.54%,1.09%,-0.54%,-0.54%,0.54%,1.61%,BELI
34,07-10-2025,368,372,366,368,242.900,89.387.200,0.00%,1.09%,-0.54%,0.00%,1.09%,1.61%,BELI
35,06-10-2025,372,372,366,368,1.364.900,502.283.200,0.00%,0.00%,-1.61%,-1.08%,0.00%,0.54%,BELI
36,03-10-2025,374,374,370,372,348.600,129.679.200,0.54%,0.54%,-0.54%,0.00%,0.00%,1.60%,BELI
