col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BESS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BESS
1,21-11-2025,1.850,1.925,1.795,1.835,183.100,335.988.500,0.00%,4.05%,-2.97%,-0.81%,4.05%,7.53%,BESS
2,20-11-2025,1.855,2.220,1.780,1.850,2.085.200,3.857.620.000,1.09%,20.98%,-3.00%,0.82%,19.68%,21.62%,BESS
3,19-11-2025,1.740,2.110,1.740,1.835,1.837.800,3.372.363.000,2.96%,24.85%,2.96%,8.58%,21.26%,21.80%,BESS
4,18-11-2025,1.725,1.765,1.650,1.690,33.600,56.784.000,-2.27%,0.00%,-6.52%,-4.25%,2.32%,11.61%,BESS
5,17-11-2025,1.740,1.820,1.560,1.765,99.400,175.441.000,2.05%,6.74%,-8.50%,3.52%,4.60%,6.32%,BESS
6,14-11-2025,1.755,1.785,1.705,1.705,175.800,299.739.000,0.29%,2.00%,-2.57%,-2.57%,1.71%,5.04%,BESS
7,13-11-2025,1.695,1.850,1.695,1.750,281.900,493.325.000,0.59%,9.79%,0.59%,3.86%,9.14%,29.73%,BESS
8,12-11-2025,1.525,1.870,1.300,1.685,400.600,675.011.000,0.00%,22.62%,-14.75%,10.49%,22.62%,20.05%,BESS
9,11-11-2025,1.555,1.565,1.495,1.525,33.300,50.782.500,0.00%,0.64%,-3.86%,-1.93%,0.64%,0.96%,BESS
10,10-11-2025,1.615,1.655,1.550,1.555,62.300,96.876.500,0.94%,3.44%,-3.13%,-2.81%,2.48%,3.32%,BESS
11,07-11-2025,1.650,1.690,1.600,1.600,19.700,31.520.000,0.00%,2.42%,-3.03%,-3.03%,2.42%,2.37%,BESS
12,06-11-2025,1.650,1.820,1.650,1.650,224.200,369.930.000,0.00%,10.30%,0.00%,0.00%,10.30%,12.64%,BESS
13,05-11-2025,1.630,1.850,1.590,1.650,635.300,1.048.245.000,4.49%,18.59%,1.92%,5.77%,13.50%,15.95%,BESS
14,04-11-2025,1.600,1.600,1.555,1.560,21.200,33.072.000,-2.14%,-2.14%,-4.89%,-4.59%,0.00%,1.56%,BESS
