col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BEST
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BEST
1,21-11-2025,105,106,103,104,3.116.500,324.116.000,0.96%,1.92%,-0.96%,0.00%,0.95%,2.83%,BEST
2,20-11-2025,104,105,103,104,7.487.400,778.689.600,0.00%,0.96%,-0.96%,0.00%,0.96%,2.86%,BEST
3,19-11-2025,104,105,102,104,5.341.100,555.474.400,0.00%,0.96%,-1.92%,0.00%,0.96%,0.95%,BEST
4,18-11-2025,104,106,104,104,4.243.900,441.365.600,-0.95%,0.95%,-0.95%,-0.95%,1.92%,2.83%,BEST
5,17-11-2025,103,106,103,105,12.705.300,1.334.056.500,-0.96%,1.92%,-0.96%,0.96%,2.91%,2.83%,BEST
6,14-11-2025,105,105,103,104,6.464.100,672.266.400,0.00%,0.00%,-1.90%,-0.95%,0.00%,0.95%,BEST
7,13-11-2025,106,107,104,105,6.576.500,690.532.500,0.00%,0.94%,-1.89%,-0.94%,0.94%,3.74%,BEST
8,12-11-2025,105,107,103,106,10.419.300,1.104.445.800,0.00%,1.90%,-1.90%,0.95%,1.90%,3.74%,BEST
9,11-11-2025,104,106,103,105,8.730.100,916.660.500,0.00%,1.92%,-0.96%,0.96%,1.92%,1.89%,BEST
10,10-11-2025,106,108,104,104,3.648.000,379.392.000,0.95%,2.86%,-0.95%,-0.95%,1.89%,4.63%,BEST
11,07-11-2025,105,106,103,105,3.419.500,359.047.500,0.00%,0.95%,-1.90%,0.00%,0.95%,4.72%,BEST
12,06-11-2025,108,108,101,105,12.661.300,1.329.436.500,0.00%,0.00%,-6.48%,-2.78%,0.00%,1.85%,BEST
13,05-11-2025,109,109,106,108,3.936.800,425.174.400,0.00%,0.00%,-2.75%,-0.92%,0.00%,0.92%,BEST
14,04-11-2025,111,112,108,109,21.458.400,2.338.965.600,0.00%,0.90%,-2.70%,-1.80%,0.90%,4.46%,BEST
15,03-11-2025,108,111,107,111,18.606.600,2.065.332.600,0.93%,3.74%,0.00%,3.74%,2.78%,4.50%,BEST
16,31-10-2025,107,113,106,107,21.721.400,2.324.189.800,0.00%,5.61%,-0.93%,0.00%,5.61%,6.19%,BEST
17,30-10-2025,106,108,106,107,4.880.000,522.160.000,0.00%,1.89%,0.00%,0.94%,1.89%,1.85%,BEST
18,29-10-2025,107,108,106,106,5.620.200,595.741.200,0.94%,1.89%,0.00%,0.00%,0.93%,2.78%,BEST
19,28-10-2025,106,108,105,106,6.689.600,709.097.600,0.00%,1.89%,-0.94%,0.00%,1.89%,2.78%,BEST
20,27-10-2025,107,109,105,106,8.697.700,921.956.200,0.94%,2.83%,-0.94%,0.00%,1.87%,2.75%,BEST
21,24-10-2025,108,109,106,106,6.008.800,636.932.800,0.00%,0.93%,-1.85%,-1.85%,0.93%,2.75%,BEST
22,23-10-2025,109,110,106,108,7.215.200,779.241.600,2.83%,3.77%,0.00%,1.89%,0.92%,3.64%,BEST
23,22-10-2025,108,110,106,106,7.635.900,809.405.400,0.93%,2.80%,-0.93%,-0.93%,1.85%,6.36%,BEST
24,21-10-2025,105,110,103,107,12.428.000,1.329.796.000,2.94%,7.84%,0.98%,4.90%,4.76%,10.00%,BEST
25,20-10-2025,102,104,99,102,13.065.400,1.332.670.800,2.00%,4.00%,-1.00%,2.00%,1.96%,3.85%,BEST
26,17-10-2025,104,104,100,100,17.351.800,1.735.180.000,-0.95%,-0.95%,-4.76%,-4.76%,0.00%,0.96%,BEST
27,16-10-2025,105,106,103,105,7.459.200,783.216.000,0.96%,1.92%,-0.96%,0.96%,0.95%,2.83%,BEST
28,15-10-2025,104,107,103,104,13.270.300,1.380.111.200,0.00%,2.88%,-0.96%,0.00%,2.88%,4.67%,BEST
29,14-10-2025,109,110,102,104,17.453.800,1.815.195.200,0.00%,0.92%,-6.42%,-4.59%,0.92%,1.82%,BEST
30,13-10-2025,110,111,108,109,11.780.500,1.284.074.500,-0.90%,0.00%,-2.70%,-1.80%,0.91%,0.90%,BEST
31,10-10-2025,112,114,110,111,11.489.000,1.275.279.000,0.00%,1.79%,-1.79%,-0.89%,1.79%,2.63%,BEST
32,09-10-2025,112,116,111,112,27.761.800,3.109.321.600,0.90%,4.50%,0.00%,0.90%,3.57%,5.17%,BEST
33,08-10-2025,111,112,110,111,7.587.200,842.179.200,0.00%,0.90%,-0.90%,0.00%,0.90%,1.79%,BEST
34,07-10-2025,114,114,110,111,16.424.600,1.823.130.600,0.88%,0.88%,-2.65%,-1.77%,0.00%,1.75%,BEST
