col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BGTG
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BGTG
1,21-11-2025,116,118,115,116,17.016.000,1.973.856.000,0.87%,2.61%,0.00%,0.87%,1.72%,5.08%,BGTG
2,20-11-2025,112,116,112,115,9.439.000,1.085.485.000,-0.88%,2.65%,-0.88%,1.77%,3.57%,3.45%,BGTG
3,19-11-2025,114,116,112,113,12.408.100,1.402.115.300,0.00%,1.75%,-1.75%,-0.88%,1.75%,1.72%,BGTG
4,18-11-2025,115,117,114,114,7.277.500,829.635.000,0.00%,1.74%,-0.87%,-0.87%,1.74%,1.71%,BGTG
5,17-11-2025,116,117,115,115,10.618.900,1.221.173.500,0.00%,0.86%,-0.86%,-0.86%,0.86%,2.56%,BGTG
6,14-11-2025,119,119,114,116,14.896.400,1.727.982.400,0.85%,0.85%,-3.39%,-1.69%,0.00%,4.20%,BGTG
7,13-11-2025,116,120,114,118,40.608.000,4.791.744.000,1.75%,5.26%,0.00%,3.51%,3.45%,5.83%,BGTG
8,12-11-2025,114,117,113,114,24.436.000,2.785.704.000,0.00%,2.63%,-0.88%,0.00%,2.63%,4.27%,BGTG
9,11-11-2025,115,115,112,114,19.955.100,2.274.881.400,0.88%,0.88%,-1.75%,0.00%,0.00%,4.35%,BGTG
10,10-11-2025,110,116,110,114,49.221.200,5.611.216.800,0.92%,6.42%,0.92%,4.59%,5.45%,6.90%,BGTG
11,07-11-2025,109,110,108,109,6.878.600,749.767.400,0.00%,0.92%,-0.92%,0.00%,0.92%,0.91%,BGTG
12,06-11-2025,111,111,109,109,11.968.700,1.304.588.300,0.91%,0.91%,-0.91%,-0.91%,0.00%,0.90%,BGTG
13,05-11-2025,112,112,110,110,15.225.900,1.674.849.000,0.90%,0.90%,-0.90%,-0.90%,0.00%,0.89%,BGTG
14,04-11-2025,115,115,111,111,19.186.400,2.129.690.400,0.00%,0.00%,-3.48%,-3.48%,0.00%,2.61%,BGTG
15,03-11-2025,113,115,112,115,18.670.800,2.147.142.000,0.00%,1.77%,-0.88%,1.77%,1.77%,1.74%,BGTG
16,31-10-2025,119,120,113,113,30.154.600,3.407.469.800,0.85%,1.69%,-4.24%,-4.24%,0.84%,5.00%,BGTG
17,30-10-2025,114,119,114,118,61.410.900,7.246.486.200,0.00%,4.39%,0.00%,3.51%,4.39%,6.72%,BGTG
18,29-10-2025,113,115,111,114,16.167.100,1.843.049.400,0.00%,1.77%,-1.77%,0.88%,1.77%,3.48%,BGTG
19,28-10-2025,112,116,111,113,22.225.800,2.511.515.400,0.00%,3.57%,-0.89%,0.89%,3.57%,5.17%,BGTG
20,27-10-2025,114,116,110,112,31.635.000,3.543.120.000,-1.72%,0.00%,-5.17%,-3.45%,1.75%,3.45%,BGTG
21,24-10-2025,120,120,112,116,55.695.800,6.460.712.800,0.00%,0.00%,-6.67%,-3.33%,0.00%,4.17%,BGTG
22,23-10-2025,120,121,115,120,65.326.300,7.839.156.000,0.84%,1.68%,-3.36%,0.84%,0.83%,8.26%,BGTG
23,22-10-2025,114,125,111,119,184.085.500,21.906.174.500,0.88%,10.62%,-1.77%,5.31%,9.65%,10.40%,BGTG
24,21-10-2025,114,117,112,113,41.788.700,4.722.123.100,0.88%,3.54%,-0.88%,0.00%,2.63%,9.40%,BGTG
25,20-10-2025,107,113,106,113,40.080.000,4.529.040.000,0.94%,6.60%,0.00%,6.60%,5.61%,7.96%,BGTG
