col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BHAT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BHAT
1,21-11-2025,1.125,1.130,1.075,1.120,1.586.500,1.776.880.000,0.00%,0.44%,-4.44%,-0.44%,0.44%,6.64%,BHAT
2,20-11-2025,1.060,1.130,1.055,1.125,4.847.900,5.453.887.500,0.00%,6.60%,-0.47%,6.13%,6.60%,7.08%,BHAT
3,19-11-2025,1.060,1.065,1.050,1.060,2.521.700,2.673.002.000,0.00%,0.47%,-0.94%,0.00%,0.47%,0.94%,BHAT
4,18-11-2025,1.060,1.070,1.055,1.060,2.060.200,2.183.812.000,0.00%,0.94%,-0.47%,0.00%,0.94%,4.21%,BHAT
5,17-11-2025,1.025,1.060,1.025,1.060,2.409.300,2.553.858.000,-0.97%,2.42%,-0.97%,2.42%,3.41%,3.77%,BHAT
6,14-11-2025,1.040,1.040,1.020,1.035,3.152.300,3.262.630.500,0.00%,0.00%,-1.92%,-0.48%,0.00%,0.00%,BHAT
7,13-11-2025,1.070,1.070,1.040,1.040,1.612.300,1.676.792.000,0.00%,0.00%,-2.80%,-2.80%,0.00%,4.67%,BHAT
8,12-11-2025,1.035,1.075,1.020,1.070,5.130.000,5.489.100.000,-1.43%,2.38%,-2.86%,1.90%,3.86%,4.65%,BHAT
9,11-11-2025,1.050,1.055,1.025,1.050,2.029.600,2.131.080.000,0.00%,0.48%,-2.38%,0.00%,0.48%,3.32%,BHAT
10,10-11-2025,1.025,1.055,1.020,1.050,2.884.800,3.029.040.000,0.00%,2.93%,-0.49%,2.44%,2.93%,3.79%,BHAT
11,07-11-2025,1.020,1.035,1.015,1.025,1.928.000,1.976.200.000,0.00%,1.47%,-0.49%,0.49%,1.47%,4.83%,BHAT
12,06-11-2025,985,1.025,985,1.020,3.248.400,3.313.368.000,-0.51%,3.54%,-0.51%,3.03%,4.06%,4.88%,BHAT
13,05-11-2025,990,990,975,990,1.461.700,1.447.083.000,0.00%,0.00%,-1.52%,0.00%,0.00%,0.00%,BHAT
14,04-11-2025,990,1.000,990,990,2.122.300,2.101.077.000,0.00%,1.01%,0.00%,0.00%,1.01%,3.50%,BHAT
15,03-11-2025,965,990,965,990,3.107.800,3.076.722.000,0.00%,2.59%,0.00%,2.59%,2.59%,4.55%,BHAT
16,31-10-2025,950,970,945,965,2.262.600,2.183.409.000,0.00%,2.11%,-0.53%,1.58%,2.11%,4.12%,BHAT
17,30-10-2025,935,955,930,950,2.141.900,2.034.805.000,0.00%,2.14%,-0.53%,1.60%,2.14%,4.19%,BHAT
18,29-10-2025,915,935,915,935,1.583.100,1.480.198.500,-1.08%,1.08%,-1.08%,1.08%,2.19%,2.14%,BHAT
19,28-10-2025,945,945,915,925,2.520.700,2.331.647.500,0.00%,0.00%,-3.17%,-2.12%,0.00%,0.53%,BHAT
20,27-10-2025,960,960,940,945,1.539.900,1.455.205.500,0.00%,0.00%,-2.08%,-1.56%,0.00%,0.52%,BHAT
21,24-10-2025,960,965,955,960,1.119.600,1.074.816.000,0.00%,0.52%,-0.52%,0.00%,0.52%,0.52%,BHAT
22,23-10-2025,960,980,960,960,3.411.800,3.275.328.000,0.00%,2.08%,0.00%,0.00%,2.08%,4.59%,BHAT
23,22-10-2025,945,975,935,960,2.778.800,2.667.648.000,0.00%,3.17%,-1.06%,1.59%,3.17%,4.62%,BHAT
