col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BHIT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BHIT
1,21-11-2025,32,32,32,32,23.593.200,754.982.400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BHIT
2,20-11-2025,33,33,32,32,14.406.800,461.017.600,0.00%,0.00%,-3.03%,-3.03%,0.00%,0.00%,BHIT
3,19-11-2025,33,34,33,33,7.512.800,247.922.400,0.00%,3.03%,0.00%,0.00%,3.03%,2.94%,BHIT
4,18-11-2025,33,33,33,33,6.665.100,219.948.300,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BHIT
5,17-11-2025,34,34,33,33,14.209.800,468.923.400,0.00%,0.00%,-2.94%,-2.94%,0.00%,2.94%,BHIT
6,14-11-2025,33,34,33,34,9.842.000,334.628.000,3.13%,6.25%,3.13%,6.25%,3.03%,5.88%,BHIT
7,13-11-2025,33,33,32,32,17.797.800,569.529.600,0.00%,0.00%,-3.03%,-3.03%,0.00%,0.00%,BHIT
8,12-11-2025,33,33,33,33,11.982.300,395.415.900,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BHIT
9,11-11-2025,34,34,33,33,9.690.000,319.770.000,0.00%,0.00%,-2.94%,-2.94%,0.00%,2.94%,BHIT
10,10-11-2025,33,34,33,34,4.669.600,158.766.400,0.00%,3.03%,0.00%,3.03%,3.03%,2.94%,BHIT
11,07-11-2025,34,34,33,33,5.380.300,177.549.900,3.03%,3.03%,0.00%,0.00%,0.00%,2.94%,BHIT
12,06-11-2025,33,33,33,33,6.899.800,227.693.400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BHIT
13,05-11-2025,33,33,33,33,14.595.800,481.661.400,3.13%,3.13%,3.13%,3.13%,0.00%,3.03%,BHIT
14,04-11-2025,32,33,32,32,4.737.300,151.593.600,0.00%,3.13%,0.00%,0.00%,3.13%,3.03%,BHIT
15,03-11-2025,33,33,32,32,4.875.700,156.022.400,0.00%,0.00%,-3.03%,-3.03%,0.00%,0.00%,BHIT
16,31-10-2025,33,33,33,33,1.398.200,46.140.600,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BHIT
17,30-10-2025,33,33,33,33,4.538.900,149.783.700,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BHIT
