col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BIKE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BIKE
1,21-11-2025,845,855,845,855,6.919.700,5.916.343.500,0.00%,1.18%,0.00%,1.18%,1.18%,2.34%,BIKE
2,20-11-2025,840,850,835,845,8.365.000,7.068.425.000,0.00%,1.19%,-0.60%,0.60%,1.19%,1.18%,BIKE
3,19-11-2025,840,845,840,840,6.581.700,5.528.628.000,0.00%,0.60%,0.00%,0.00%,0.60%,1.78%,BIKE
4,18-11-2025,830,840,830,840,10.028.700,8.424.108.000,0.00%,1.20%,0.00%,1.20%,1.20%,1.79%,BIKE
5,17-11-2025,830,830,825,830,7.202.800,5.978.324.000,0.00%,0.00%,-0.60%,0.00%,0.00%,1.20%,BIKE
6,14-11-2025,820,830,820,830,8.717.700,7.235.691.000,0.00%,1.22%,0.00%,1.22%,1.22%,1.20%,BIKE
7,13-11-2025,825,830,820,820,9.338.000,7.657.160.000,0.00%,0.61%,-0.61%,-0.61%,0.61%,2.41%,BIKE
8,12-11-2025,825,830,810,825,7.164.900,5.911.042.500,0.00%,0.61%,-1.82%,0.00%,0.61%,1.81%,BIKE
9,11-11-2025,845,850,815,825,6.195.900,5.111.617.500,0.00%,0.59%,-3.55%,-2.37%,0.59%,4.71%,BIKE
10,10-11-2025,830,850,810,845,8.731.900,7.378.455.500,0.00%,2.41%,-2.41%,1.81%,2.41%,4.71%,BIKE
11,07-11-2025,870,870,810,830,5.132.100,4.259.643.000,0.00%,0.00%,-6.90%,-4.60%,0.00%,0.00%,BIKE
12,06-11-2025,915,940,870,870,9.240.600,8.039.322.000,0.00%,2.73%,-4.92%,-4.92%,2.73%,6.38%,BIKE
13,05-11-2025,915,915,880,915,4.200.000,3.843.000.000,0.00%,0.00%,-3.83%,0.00%,0.00%,0.55%,BIKE
14,04-11-2025,925,930,910,915,4.871.400,4.457.331.000,0.54%,1.09%,-1.09%,-0.54%,0.54%,3.23%,BIKE
15,03-11-2025,910,925,900,920,8.448.600,7.772.712.000,0.55%,2.21%,-0.55%,1.66%,1.65%,2.70%,BIKE
16,31-10-2025,920,930,900,905,5.127.300,4.640.206.500,0.55%,1.64%,-1.64%,-1.09%,1.09%,2.69%,BIKE
17,30-10-2025,915,920,905,915,6.127.700,5.606.845.500,0.00%,0.55%,-1.09%,0.00%,0.55%,2.17%,BIKE
18,29-10-2025,910,920,900,915,7.938.500,7.263.727.500,0.00%,1.10%,-1.10%,0.55%,1.10%,2.17%,BIKE
19,28-10-2025,905,920,900,910,6.621.000,6.025.110.000,0.56%,2.22%,0.00%,1.11%,1.66%,3.26%,BIKE
20,27-10-2025,945,950,890,900,3.248.800,2.923.920.000,0.00%,0.53%,-5.82%,-4.76%,0.53%,1.58%,BIKE
21,24-10-2025,945,950,935,945,6.215.800,5.873.931.000,0.53%,1.06%,-0.53%,0.53%,0.53%,1.58%,BIKE
22,23-10-2025,935,950,935,940,12.361.800,11.620.092.000,0.54%,2.15%,0.54%,1.08%,1.60%,2.63%,BIKE
23,22-10-2025,935,945,925,930,9.610.600,8.937.858.000,0.54%,1.61%,-0.54%,0.00%,1.07%,2.65%,BIKE
24,21-10-2025,960,960,920,930,2.278.900,2.119.377.000,0.00%,0.00%,-4.17%,-3.13%,0.00%,3.65%,BIKE
25,20-10-2025,930,995,925,960,12.792.600,12.280.896.000,0.00%,6.99%,-0.54%,3.23%,6.99%,7.54%,BIKE
26,17-10-2025,960,960,920,930,3.906.500,3.633.045.000,0.00%,0.00%,-4.17%,-3.13%,0.00%,1.56%,BIKE
27,16-10-2025,950,965,945,960,9.162.600,8.796.096.000,0.53%,2.12%,0.00%,1.59%,1.58%,3.11%,BIKE
28,15-10-2025,940,960,935,945,12.115.600,11.449.242.000,0.00%,2.13%,-0.53%,0.53%,2.13%,4.17%,BIKE
29,14-10-2025,920,945,920,940,11.100.700,10.434.658.000,0.00%,2.72%,0.00%,2.17%,2.72%,5.82%,BIKE
30,13-10-2025,920,930,890,920,7.920.600,7.286.952.000,-0.54%,0.54%,-3.78%,-0.54%,1.09%,1.61%,BIKE
31,10-10-2025,965,970,915,925,4.827.100,4.465.067.500,0.00%,0.52%,-5.18%,-4.15%,0.52%,3.61%,BIKE
32,09-10-2025,945,970,935,965,11.652.800,11.244.952.000,0.00%,2.65%,-1.06%,2.12%,2.65%,6.19%,BIKE
33,08-10-2025,950,950,910,945,11.336.400,10.712.898.000,0.53%,0.53%,-3.70%,0.00%,0.00%,4.74%,BIKE
34,07-10-2025,935,975,905,945,11.887.700,11.233.876.500,0.00%,4.28%,-3.21%,1.07%,4.28%,4.62%,BIKE
35,06-10-2025,1.005,1.005,930,935,3.545.000,3.314.575.000,0.50%,0.50%,-7.00%,-6.50%,0.00%,1.49%,BIKE
36,03-10-2025,1.030,1.035,990,1.000,6.447.300,6.447.300.000,0.49%,0.98%,-3.41%,-2.44%,0.49%,1.93%,BIKE
