col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BIMA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BIMA
1,21-11-2025,82,82,82,82,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BIMA
2,20-11-2025,82,82,82,82,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BIMA
3,19-11-2025,82,82,82,82,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,1.22%,BIMA
4,18-11-2025,81,82,81,82,50.700,4.157.400,0.00%,1.23%,0.00%,1.23%,1.23%,2.44%,BIMA
5,17-11-2025,80,81,80,81,86.800,7.030.800,0.00%,1.25%,0.00%,1.25%,1.25%,1.23%,BIMA
6,14-11-2025,80,80,80,80,82.400,6.592.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BIMA
7,13-11-2025,80,80,80,80,106.800,8.544.000,1.27%,1.27%,1.27%,1.27%,0.00%,1.25%,BIMA
8,12-11-2025,79,79,79,79,184.100,14.543.900,2.60%,2.60%,2.60%,2.60%,0.00%,2.53%,BIMA
9,11-11-2025,77,77,77,77,29.900,2.302.300,1.32%,1.32%,1.32%,1.32%,0.00%,2.60%,BIMA
10,10-11-2025,75,77,75,76,18.500,1.406.000,0.00%,2.67%,0.00%,1.33%,2.67%,5.19%,BIMA
11,07-11-2025,78,78,73,75,76.700,5.752.500,0.00%,0.00%,-6.41%,-3.85%,0.00%,0.00%,BIMA
12,06-11-2025,78,79,78,78,201.000,15.678.000,0.00%,1.28%,0.00%,0.00%,1.28%,10.13%,BIMA
13,05-11-2025,75,78,71,78,115.600,9.016.800,0.00%,4.00%,-5.33%,4.00%,4.00%,3.85%,BIMA
14,04-11-2025,75,75,75,75,34.700,2.602.500,5.63%,5.63%,5.63%,5.63%,0.00%,5.33%,BIMA
15,03-11-2025,71,71,71,71,23.800,1.689.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BIMA
16,31-10-2025,72,72,71,71,10.600,752.600,0.00%,0.00%,-1.39%,-1.39%,0.00%,6.94%,BIMA
17,30-10-2025,74,74,67,72,137.900,9.928.800,0.00%,0.00%,-9.46%,-2.70%,0.00%,5.41%,BIMA
18,29-10-2025,70,75,70,74,75.100,5.557.400,-6.67%,0.00%,-6.67%,-1.33%,7.14%,0.00%,BIMA
19,28-10-2025,76,76,75,75,82.900,6.217.500,8.57%,8.57%,7.14%,7.14%,0.00%,7.89%,BIMA
20,27-10-2025,81,81,70,70,177.900,12.453.000,6.58%,6.58%,-7.89%,-7.89%,0.00%,8.64%,BIMA
21,24-10-2025,74,77,74,76,155.600,11.825.600,5.71%,10.00%,5.71%,8.57%,4.05%,22.08%,BIMA
22,23-10-2025,69,70,60,70,169.100,11.837.000,7.81%,9.38%,-6.25%,9.38%,1.45%,10.00%,BIMA
23,22-10-2025,68,68,63,64,137.400,8.793.600,-1.45%,-1.45%,-8.70%,-7.25%,0.00%,-1.47%,BIMA
24,21-10-2025,70,70,69,69,32.200,2.221.800,-1.41%,-1.41%,-2.82%,-2.82%,0.00%,-1.43%,BIMA
25,20-10-2025,72,72,71,71,23.200,1.647.200,0.00%,0.00%,-1.39%,-1.39%,0.00%,0.00%,BIMA
26,17-10-2025,73,73,72,72,2.100,151.200,-1.35%,-1.35%,-2.70%,-2.70%,0.00%,-1.37%,BIMA
27,16-10-2025,76,76,74,74,46.400,3.433.600,-1.30%,-1.30%,-3.90%,-3.90%,0.00%,-1.32%,BIMA
28,15-10-2025,78,78,77,77,47.100,3.626.700,2.63%,2.63%,1.32%,1.32%,0.00%,2.56%,BIMA
29,14-10-2025,79,79,76,76,159.900,12.152.400,-1.25%,-1.25%,-5.00%,-5.00%,0.00%,2.53%,BIMA
30,13-10-2025,77,80,77,80,59.000,4.720.000,-4.94%,-1.23%,-4.94%,-1.23%,3.90%,0.00%,BIMA
31,10-10-2025,80,81,80,81,28.900,2.340.900,1.27%,2.53%,1.27%,2.53%,1.25%,7.41%,BIMA
32,09-10-2025,75,79,75,79,43.900,3.468.100,1.35%,6.76%,1.35%,6.76%,5.33%,6.33%,BIMA
33,08-10-2025,74,75,74,74,335.300,24.812.200,0.00%,1.35%,0.00%,0.00%,1.35%,1.33%,BIMA
34,07-10-2025,74,74,74,74,47.300,3.500.200,0.00%,0.00%,0.00%,0.00%,0.00%,2.70%,BIMA
35,06-10-2025,72,74,72,74,90.800,6.719.200,0.00%,2.78%,0.00%,2.78%,2.78%,2.70%,BIMA
36,03-10-2025,72,72,72,72,477.700,34.394.400,-10.00%,-10.00%,-10.00%,-10.00%,0.00%,-11.11%,BIMA
37,02-10-2025,80,80,80,80,96.400,7.712.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BIMA
38,01-10-2025,85,85,80,80,53.400,4.272.000,0.00%,0.00%,-5.88%,-5.88%,0.00%,0.00%,BIMA
39,30-09-2025,85,85,85,85,159.700,13.574.500,-2.30%,-2.30%,-2.30%,-2.30%,0.00%,1.18%,BIMA
40,29-09-2025,84,87,84,87,694.000,60.378.000,0.00%,3.57%,0.00%,3.57%,3.57%,8.05%,BIMA
41,26-09-2025,88,88,80,84,1.379.900,115.911.600,10.00%,10.00%,0.00%,5.00%,0.00%,12.50%,BIMA
42,25-09-2025,77,80,77,80,221.900,17.752.000,-8.33%,-4.76%,-8.33%,-4.76%,3.90%,-5.00%,BIMA
43,24-09-2025,85,85,84,84,269.900,22.671.600,3.66%,3.66%,2.44%,2.44%,0.00%,4.71%,BIMA
44,23-09-2025,82,82,81,82,220.000,18.040.000,0.00%,0.00%,-1.22%,0.00%,0.00%,0.00%,BIMA
45,22-09-2025,83,83,82,82,261.300,21.426.600,1.22%,1.22%,0.00%,0.00%,0.00%,3.61%,BIMA
46,19-09-2025,80,82,80,82,139.400,11.430.800,-8.05%,-5.75%,-8.05%,-5.75%,2.50%,2.44%,BIMA
47,18-09-2025,87,87,80,87,110.200,9.587.400,0.00%,0.00%,-8.05%,0.00%,0.00%,0.00%,BIMA
48,17-09-2025,87,87,87,87,98.200,8.543.400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BIMA
49,16-09-2025,87,87,87,87,659.100,57.341.700,2.35%,2.35%,2.35%,2.35%,0.00%,8.05%,BIMA
50,15-09-2025,86,86,80,85,548.500,46.622.500,8.86%,8.86%,1.27%,7.59%,0.00%,10.47%,BIMA
51,12-09-2025,77,79,77,79,184.400,14.567.600,0.00%,2.60%,0.00%,2.60%,2.60%,8.86%,BIMA
52,11-09-2025,72,77,72,77,84.300,6.491.100,2.86%,10.00%,2.86%,10.00%,6.94%,10.39%,BIMA
53,10-09-2025,69,70,69,70,36.200,2.534.000,0.00%,1.45%,0.00%,1.45%,1.45%,1.43%,BIMA
54,09-09-2025,76,76,69,69,51.200,3.532.800,0.00%,0.00%,-9.21%,-9.21%,0.00%,0.00%,BIMA
55,08-09-2025,76,76,76,76,253.200,19.243.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BIMA
56,04-09-2025,78,78,76,76,162.100,12.319.600,8.33%,8.33%,5.56%,5.56%,0.00%,11.54%,BIMA
57,03-09-2025,69,72,69,72,208.200,14.990.400,1.47%,5.88%,1.47%,5.88%,4.35%,13.89%,BIMA
58,02-09-2025,62,68,62,68,88.300,6.004.400,-4.62%,4.62%,-4.62%,4.62%,9.68%,4.41%,BIMA
59,01-09-2025,65,67,65,65,211.500,13.747.500,0.00%,3.08%,0.00%,0.00%,3.08%,8.96%,BIMA
60,29-08-2025,61,65,61,65,301.400,19.591.000,0.00%,6.56%,0.00%,6.56%,6.56%,6.15%,BIMA
61,28-08-2025,67,67,61,61,256.000,15.616.000,0.00%,0.00%,-8.96%,-8.96%,0.00%,1.49%,BIMA
62,27-08-2025,66,67,66,67,168.100,11.262.700,1.54%,3.08%,1.54%,3.08%,1.52%,5.97%,BIMA
63,26-08-2025,63,65,63,65,64.600,4.199.000,1.61%,4.84%,1.61%,4.84%,3.17%,7.69%,BIMA
64,25-08-2025,60,62,60,62,82.700,5.127.400,0.00%,3.33%,0.00%,3.33%,3.33%,3.23%,BIMA
65,22-08-2025,60,60,60,60,270.700,16.242.000,9.09%,9.09%,9.09%,9.09%,0.00%,13.33%,BIMA
66,21-08-2025,52,55,52,55,22.600,1.243.000,1.96%,7.84%,1.96%,7.84%,5.77%,9.09%,BIMA
67,20-08-2025,51,51,50,51,72.100,3.677.100,0.00%,0.00%,-1.96%,0.00%,0.00%,7.84%,BIMA
68,19-08-2025,47,51,47,51,63.200,3.223.200,0.00%,8.51%,0.00%,8.51%,8.51%,11.76%,BIMA
69,15-08-2025,45,47,45,47,68.200,3.205.400,-10.00%,-6.00%,-10.00%,-6.00%,4.44%,-6.38%,BIMA
70,14-08-2025,51,51,50,50,72.100,3.605.000,0.00%,0.00%,-1.96%,-1.96%,0.00%,0.00%,BIMA
71,13-08-2025,51,51,51,51,77.900,3.972.900,2.00%,2.00%,2.00%,2.00%,0.00%,9.80%,BIMA
72,12-08-2025,46,50,46,50,258.200,12.910.000,0.00%,8.70%,0.00%,8.70%,8.70%,8.00%,BIMA
73,11-08-2025,46,46,46,46,28.300,1.301.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BIMA
74,08-08-2025,46,46,46,46,31.300,1.439.800,0.00%,0.00%,0.00%,0.00%,0.00%,2.17%,BIMA
75,07-08-2025,45,46,45,46,95.400,4.388.400,0.00%,2.22%,0.00%,2.22%,2.22%,2.17%,BIMA
76,06-08-2025,45,45,45,45,1.100,49.500,0.00%,0.00%,0.00%,0.00%,0.00%,2.22%,BIMA
77,05-08-2025,44,45,44,45,23.600,1.062.000,-2.22%,0.00%,-2.22%,0.00%,2.27%,0.00%,BIMA
78,04-08-2025,45,45,45,45,73.700,3.316.500,0.00%,0.00%,0.00%,0.00%,0.00%,2.22%,BIMA
79,01-08-2025,46,46,44,45,16.000,720.000,0.00%,0.00%,-4.35%,-2.17%,0.00%,2.17%,BIMA
80,31-07-2025,45,46,45,46,109.900,5.055.400,2.27%,4.55%,2.27%,4.55%,2.22%,4.35%,BIMA
81,30-07-2025,44,44,44,44,400,17.600,-2.22%,-2.22%,-2.22%,-2.22%,0.00%,0.00%,BIMA
82,29-07-2025,44,45,44,45,21.800,981.000,0.00%,2.27%,0.00%,2.27%,2.27%,2.22%,BIMA
