col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BINA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BINA
1,21-11-2025,4.450,4.490,4.450,4.490,10.000,44.900.000,-0.89%,0.00%,-0.89%,0.00%,0.90%,0.00%,BINA
2,20-11-2025,4.490,4.490,4.490,4.490,1.800,8.082.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BINA
3,19-11-2025,4.490,4.490,4.490,4.490,1.800,8.082.000,0.22%,0.22%,0.22%,0.22%,0.00%,0.22%,BINA
4,18-11-2025,4.480,4.480,4.480,4.480,1.001.200,4.485.376.000,0.00%,0.00%,0.00%,0.00%,0.00%,1.56%,BINA
5,17-11-2025,4.410,4.500,4.410,4.480,5.700,25.536.000,-1.78%,0.22%,-1.78%,-0.22%,2.04%,1.56%,BINA
6,14-11-2025,4.440,4.500,4.430,4.490,9.400,42.206.000,-1.11%,0.22%,-1.34%,0.00%,1.35%,100.00%,BINA
7,12-11-2025,4.500,4.500,4.360,4.490,20.900,93.841.000,0.45%,0.45%,-2.68%,0.22%,0.00%,3.11%,BINA
8,11-11-2025,4.400,4.480,4.360,4.480,16.300,73.024.000,0.00%,1.82%,-0.91%,1.82%,1.82%,3.35%,BINA
9,10-11-2025,4.420,4.450,4.330,4.400,39.000,171.600.000,-1.78%,-1.11%,-3.78%,-2.22%,0.68%,-1.12%,BINA
10,07-11-2025,4.500,4.500,4.500,4.500,1.800,8.100.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,BINA
11,06-11-2025,4.510,4.510,4.470,4.500,1.900,8.550.000,0.00%,0.00%,-0.89%,-0.22%,0.00%,2.22%,BINA
12,05-11-2025,4.410,4.510,4.410,4.510,4.200,18.942.000,-2.22%,0.00%,-2.22%,0.00%,2.27%,0.22%,BINA
13,04-11-2025,4.500,4.510,4.500,4.510,5.600,25.256.000,0.00%,0.22%,0.00%,0.22%,0.22%,0.89%,BINA
14,03-11-2025,4.480,4.500,4.470,4.500,2.900,13.050.000,0.00%,0.45%,-0.22%,0.45%,0.45%,0.44%,BINA
15,31-10-2025,4.490,4.510,4.480,4.480,722.600,3.237.248.000,-0.22%,0.22%,-0.44%,-0.44%,0.45%,2.22%,BINA
16,30-10-2025,4.450,4.500,4.410,4.500,19.000,85.500.000,-0.89%,0.22%,-1.78%,0.22%,1.12%,4.00%,BINA
17,29-10-2025,4.330,4.490,4.320,4.490,42.700,191.723.000,0.23%,3.94%,0.00%,3.94%,3.70%,5.57%,BINA
18,28-10-2025,4.410,4.470,4.240,4.320,37.500,162.000.000,-1.78%,-0.45%,-5.57%,-3.79%,1.36%,1.34%,BINA
19,27-10-2025,4.410,4.490,4.410,4.490,2.800,12.572.000,-2.00%,-0.22%,-2.00%,-0.22%,1.81%,0.22%,BINA
20,24-10-2025,4.480,4.500,4.480,4.500,5.800,26.100.000,-0.44%,0.00%,-0.44%,0.00%,0.45%,1.56%,BINA
21,23-10-2025,4.490,4.500,4.430,4.500,10.900,49.050.000,0.00%,0.22%,-1.34%,0.22%,0.22%,2.22%,BINA
22,22-10-2025,4.500,4.500,4.400,4.490,16.600,74.534.000,0.22%,0.22%,-2.00%,0.00%,0.00%,0.67%,BINA
23,21-10-2025,4.470,4.500,4.470,4.490,3.000,13.470.000,0.00%,0.67%,0.00%,0.45%,0.67%,4.00%,BINA
24,20-10-2025,4.500,4.510,4.320,4.470,12.100,54.087.000,0.22%,0.45%,-3.79%,-0.45%,0.22%,2.44%,BINA
25,17-10-2025,4.400,4.500,4.400,4.490,10.500,47.145.000,-2.44%,-0.22%,-2.44%,-0.44%,2.27%,0.44%,BINA
26,16-10-2025,4.550,4.550,4.480,4.510,2.800,12.628.000,1.11%,1.11%,-0.44%,0.22%,0.00%,3.08%,BINA
27,15-10-2025,4.490,4.510,4.410,4.500,8.100,36.450.000,-0.22%,0.22%,-2.00%,0.00%,0.45%,0.22%,BINA
28,14-10-2025,4.500,4.500,4.500,4.500,500,2.250.000,0.00%,0.00%,0.00%,0.00%,0.00%,1.56%,BINA
29,13-10-2025,4.570,4.570,4.430,4.500,1.007.900,4.535.550.000,0.00%,0.00%,-3.06%,-1.53%,0.00%,0.00%,BINA
30,10-10-2025,4.600,4.640,4.570,4.570,11.400,52.098.000,1.77%,2.65%,1.11%,1.11%,0.87%,3.45%,BINA
31,09-10-2025,4.520,4.520,4.480,4.520,12.000,54.240.000,0.00%,0.00%,-0.88%,0.00%,0.00%,1.55%,BINA
32,08-10-2025,4.450,4.580,4.450,4.520,28.800,130.176.000,0.00%,2.92%,0.00%,1.57%,2.92%,3.28%,BINA
33,07-10-2025,4.440,4.450,4.430,4.450,21.100,93.895.000,0.00%,0.23%,-0.23%,0.23%,0.23%,0.45%,BINA
34,06-10-2025,4.430,4.440,4.430,4.440,9.900,43.956.000,-1.56%,-1.33%,-1.56%,-1.33%,0.23%,-1.35%,BINA
35,03-10-2025,4.500,4.500,4.500,4.500,6.000,27.000.000,0.00%,0.00%,0.00%,0.00%,0.00%,1.11%,BINA
36,02-10-2025,4.500,4.680,4.450,4.500,15.200,68.400.000,0.00%,4.00%,-1.11%,0.00%,4.00%,5.13%,BINA
37,01-10-2025,4.490,4.500,4.440,4.500,6.700,30.150.000,0.22%,0.45%,-0.89%,0.45%,0.22%,0.44%,BINA
38,30-09-2025,4.500,4.500,4.480,4.480,341.600,1.530.368.000,0.00%,0.00%,-0.44%,-0.44%,0.00%,1.56%,BINA
39,29-09-2025,4.500,4.500,4.430,4.500,4.300,19.350.000,0.00%,0.00%,-1.56%,0.00%,0.00%,1.56%,BINA
40,26-09-2025,4.430,4.500,4.430,4.500,54.100,243.450.000,-1.56%,0.00%,-1.56%,0.00%,1.58%,0.22%,BINA
41,25-09-2025,4.500,4.500,4.490,4.500,11.400,51.300.000,0.00%,0.00%,-0.22%,0.00%,0.00%,1.78%,BINA
42,24-09-2025,4.440,4.500,4.420,4.500,11.600,52.200.000,-1.33%,0.00%,-1.78%,0.00%,1.35%,1.78%,BINA
43,23-09-2025,4.500,4.500,4.420,4.500,5.700,25.650.000,0.00%,0.00%,-1.78%,0.00%,0.00%,0.44%,BINA
44,22-09-2025,4.480,4.500,4.480,4.500,6.100,27.450.000,-0.44%,0.00%,-0.44%,0.00%,0.45%,0.22%,BINA
45,19-09-2025,4.490,4.500,4.490,4.500,2.700,12.150.000,-0.22%,0.00%,-0.22%,0.00%,0.22%,1.56%,BINA
46,18-09-2025,4.500,4.500,4.430,4.500,15.300,68.850.000,0.00%,0.00%,-1.56%,0.00%,0.00%,1.78%,BINA
47,17-09-2025,4.420,4.500,4.420,4.500,5.100,22.950.000,-1.78%,0.00%,-1.78%,0.00%,1.81%,2.00%,BINA
48,16-09-2025,4.410,4.500,4.410,4.500,10.600,47.700.000,-2.00%,0.00%,-2.00%,0.00%,2.04%,2.22%,BINA
49,15-09-2025,4.500,4.500,4.400,4.500,14.300,64.350.000,0.00%,0.00%,-2.22%,0.00%,0.00%,0.00%,BINA
50,12-09-2025,4.500,4.500,4.500,4.500,15.400,69.300.000,1.12%,1.12%,1.12%,1.12%,0.00%,1.11%,BINA
51,11-09-2025,4.450,4.450,4.450,4.450,1.300,5.785.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BINA
52,10-09-2025,4.450,4.450,4.450,4.450,5.300,23.585.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BINA
53,09-09-2025,4.450,4.450,4.450,4.450,3.100,13.795.000,-1.11%,-1.11%,-1.11%,-1.11%,0.00%,-1.12%,BINA
54,08-09-2025,4.680,4.680,4.500,4.500,1.500,6.750.000,6.12%,6.12%,2.04%,2.04%,0.00%,5.98%,BINA
55,04-09-2025,4.400,4.410,4.400,4.410,6.800,29.988.000,-0.23%,0.00%,-0.23%,0.00%,0.23%,0.00%,BINA
56,03-09-2025,4.410,4.410,4.410,4.410,5.500,24.255.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BINA
57,02-09-2025,4.410,4.410,4.410,4.410,5.500,24.255.000,0.23%,0.23%,0.23%,0.23%,0.00%,0.68%,BINA
58,01-09-2025,4.400,4.400,4.380,4.400,3.100,13.640.000,0.00%,0.00%,-0.45%,0.00%,0.00%,3.86%,BINA
