col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BIPI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BIPI
1,21-11-2025,82,98,81,91,2.400.827.900,218.475.338.900,0.00%,19.51%,-1.22%,10.98%,19.51%,17.35%,BIPI
2,20-11-2025,81,83,81,82,205.174.000,16.824.268.000,0.00%,2.47%,0.00%,1.23%,2.47%,2.41%,BIPI
3,19-11-2025,83,83,81,81,71.662.000,5.804.622.000,0.00%,0.00%,-2.41%,-2.41%,0.00%,1.20%,BIPI
4,18-11-2025,85,86,82,83,186.766.100,15.501.586.300,0.00%,1.18%,-3.53%,-2.35%,1.18%,2.33%,BIPI
5,17-11-2025,85,86,84,85,285.654.200,24.280.607.000,1.19%,2.38%,0.00%,1.19%,1.18%,3.49%,BIPI
6,14-11-2025,84,85,83,84,185.226.900,15.559.059.600,0.00%,1.19%,-1.19%,0.00%,1.19%,100.00%,BIPI
7,12-11-2025,83,84,81,82,486.424.600,39.886.817.200,0.00%,1.20%,-2.41%,-1.20%,1.20%,5.95%,BIPI
8,11-11-2025,81,86,79,83,610.201.600,50.646.732.800,1.25%,7.50%,-1.25%,3.75%,6.17%,8.14%,BIPI
9,10-11-2025,81,81,79,80,94.005.400,7.520.432.000,1.25%,1.25%,-1.25%,0.00%,0.00%,2.47%,BIPI
10,07-11-2025,80,81,79,80,320.984.300,25.678.744.000,0.00%,1.25%,-1.25%,0.00%,1.25%,2.47%,BIPI
11,06-11-2025,80,81,79,80,231.650.300,18.532.024.000,0.00%,1.25%,-1.25%,0.00%,1.25%,2.47%,BIPI
12,05-11-2025,81,81,79,80,277.597.900,22.207.832.000,0.00%,0.00%,-2.47%,-1.23%,0.00%,1.23%,BIPI
13,04-11-2025,81,82,80,81,295.137.000,23.906.097.000,0.00%,1.23%,-1.23%,0.00%,1.23%,3.66%,BIPI
14,03-11-2025,82,88,79,81,758.535.700,61.441.391.700,1.23%,8.64%,-2.47%,0.00%,7.32%,10.23%,BIPI
15,31-10-2025,82,82,79,81,478.927.900,38.793.159.900,1.23%,1.23%,-2.47%,0.00%,0.00%,1.22%,BIPI
16,30-10-2025,82,84,81,81,226.884.200,18.377.620.200,0.00%,2.44%,-1.22%,-1.22%,2.44%,3.57%,BIPI
17,29-10-2025,84,84,81,82,427.884.200,35.086.504.400,1.20%,1.20%,-2.41%,-1.20%,0.00%,2.38%,BIPI
18,28-10-2025,84,86,82,83,929.427.800,77.142.507.400,0.00%,2.38%,-2.38%,-1.19%,2.38%,6.98%,BIPI
19,27-10-2025,87,88,80,84,1.003.522.100,84.295.856.400,0.00%,1.15%,-8.05%,-3.45%,1.15%,2.27%,BIPI
20,24-10-2025,89,89,86,87,75.462.500,6.565.237.500,0.00%,0.00%,-3.37%,-2.25%,0.00%,1.12%,BIPI
21,23-10-2025,89,91,88,89,274.536.900,24.433.784.100,1.14%,3.41%,0.00%,1.14%,2.25%,5.49%,BIPI
22,22-10-2025,89,91,86,88,342.386.800,30.130.038.400,0.00%,2.25%,-3.37%,-1.12%,2.25%,3.30%,BIPI
