col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BIRD
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BIRD
1,21-11-2025,1.760,1.765,1.750,1.755,536.300,941.206.500,0.28%,0.57%,-0.28%,0.00%,0.28%,0.57%,BIRD
2,20-11-2025,1.760,1.770,1.755,1.755,738.200,1.295.541.000,0.00%,0.57%,-0.28%,-0.28%,0.57%,0.85%,BIRD
3,19-11-2025,1.765,1.780,1.755,1.760,1.027.900,1.809.104.000,0.00%,0.85%,-0.57%,-0.28%,0.85%,0.84%,BIRD
4,18-11-2025,1.775,1.780,1.765,1.765,717.900,1.267.093.500,0.28%,0.56%,-0.28%,-0.28%,0.28%,1.12%,BIRD
5,17-11-2025,1.760,1.800,1.760,1.770,1.327.700,2.350.029.000,0.00%,2.27%,0.00%,0.57%,2.27%,2.78%,BIRD
6,14-11-2025,1.765,1.765,1.750,1.760,761.600,1.340.416.000,0.00%,0.00%,-0.85%,-0.28%,0.00%,100.00%,BIRD
7,12-11-2025,1.750,1.775,1.750,1.770,1.417.000,2.508.090.000,0.00%,1.43%,0.00%,1.14%,1.43%,1.41%,BIRD
8,11-11-2025,1.760,1.765,1.750,1.750,2.634.000,4.609.500.000,-0.28%,0.00%,-0.85%,-0.85%,0.28%,0.28%,BIRD
9,10-11-2025,1.805,1.810,1.760,1.765,3.094.600,5.461.969.000,0.00%,0.28%,-2.49%,-2.22%,0.28%,1.38%,BIRD
10,07-11-2025,1.830,1.830,1.785,1.805,1.169.300,2.110.586.500,0.55%,0.55%,-1.92%,-0.82%,0.00%,2.19%,BIRD
11,06-11-2025,1.800,1.825,1.790,1.820,2.094.200,3.811.444.000,0.00%,1.39%,-0.56%,1.11%,1.39%,5.21%,BIRD
12,05-11-2025,1.750,1.830,1.730,1.800,4.591.900,8.265.420.000,0.00%,4.57%,-1.14%,2.86%,4.57%,4.37%,BIRD
13,04-11-2025,1.790,1.790,1.750,1.750,4.129.900,7.227.325.000,0.00%,0.00%,-2.23%,-2.23%,0.00%,1.12%,BIRD
14,03-11-2025,1.770,1.790,1.770,1.790,1.024.000,1.832.960.000,0.00%,1.13%,0.00%,1.13%,1.13%,1.40%,BIRD
15,31-10-2025,1.810,1.810,1.765,1.770,3.100.100,5.487.177.000,0.00%,0.00%,-2.49%,-2.21%,0.00%,1.38%,BIRD
16,30-10-2025,1.850,1.850,1.785,1.810,4.219.200,7.636.752.000,0.00%,0.00%,-3.51%,-2.16%,0.00%,2.70%,BIRD
17,29-10-2025,1.800,1.935,1.800,1.850,12.062.100,22.314.885.000,1.12%,8.71%,1.12%,3.93%,7.50%,11.89%,BIRD
18,28-10-2025,1.785,1.830,1.705,1.780,5.402.600,9.616.628.000,0.28%,2.81%,-4.21%,0.00%,2.52%,3.01%,BIRD
19,27-10-2025,1.810,1.830,1.775,1.780,1.898.700,3.379.686.000,0.28%,1.39%,-1.66%,-1.39%,1.10%,3.28%,BIRD
20,24-10-2025,1.815,1.820,1.770,1.805,2.050.000,3.700.250.000,0.28%,0.55%,-2.21%,-0.28%,0.28%,2.20%,BIRD
21,23-10-2025,1.780,1.830,1.780,1.810,1.552.300,2.809.663.000,-0.56%,2.23%,-0.56%,1.12%,2.81%,2.46%,BIRD
22,22-10-2025,1.815,1.815,1.785,1.790,1.228.600,2.199.194.000,0.00%,0.00%,-1.65%,-1.38%,0.00%,5.23%,BIRD
