col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BISI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BISI
1,21-11-2025,900,915,895,905,710.300,642.821.500,0.00%,1.67%,-0.56%,0.56%,1.67%,2.73%,BISI
2,20-11-2025,900,900,890,900,171.200,154.080.000,0.00%,0.00%,-1.11%,0.00%,0.00%,1.67%,BISI
3,19-11-2025,895,900,885,900,282.900,254.610.000,0.00%,0.56%,-1.12%,0.56%,0.56%,1.11%,BISI
4,18-11-2025,895,905,890,895,257.800,230.731.000,0.00%,1.12%,-0.56%,0.00%,1.12%,1.66%,BISI
5,17-11-2025,900,905,890,895,302.900,271.095.500,0.00%,0.56%,-1.11%,-0.56%,0.56%,1.66%,BISI
6,14-11-2025,905,905,890,900,1.924.700,1.732.230.000,1.12%,1.12%,-0.56%,0.56%,0.00%,100.00%,BISI
7,12-11-2025,905,905,885,895,219.300,196.273.500,0.00%,0.00%,-2.21%,-1.10%,0.00%,1.66%,BISI
8,11-11-2025,910,910,890,905,149.100,134.935.500,1.68%,1.68%,-0.56%,1.12%,0.00%,2.75%,BISI
9,10-11-2025,895,900,885,895,253.000,226.435.000,0.00%,0.56%,-1.12%,0.00%,0.56%,1.11%,BISI
10,07-11-2025,900,910,890,895,334.500,299.377.500,0.00%,1.11%,-1.11%,-0.56%,1.11%,2.75%,BISI
11,06-11-2025,905,910,885,900,900.100,810.090.000,0.00%,0.55%,-2.21%,-0.55%,0.55%,1.65%,BISI
12,05-11-2025,915,915,895,905,593.400,537.027.000,0.00%,0.00%,-2.19%,-1.09%,0.00%,0.55%,BISI
13,04-11-2025,920,925,910,915,277.500,253.912.500,0.00%,0.54%,-1.09%,-0.54%,0.54%,3.78%,BISI
14,03-11-2025,915,920,890,920,1.610.800,1.481.936.000,2.81%,3.37%,0.00%,3.37%,0.55%,4.89%,BISI
15,31-10-2025,885,895,875,890,904.700,805.183.000,0.57%,1.70%,-0.57%,1.14%,1.13%,2.23%,BISI
16,30-10-2025,880,885,875,880,286.800,252.384.000,0.00%,0.57%,-0.57%,0.00%,0.57%,1.13%,BISI
17,29-10-2025,885,890,875,880,366.900,322.872.000,0.00%,0.56%,-1.13%,-0.56%,0.56%,2.81%,BISI
18,28-10-2025,880,890,865,885,499.600,442.146.000,0.00%,1.14%,-1.70%,0.57%,1.14%,2.25%,BISI
19,27-10-2025,875,885,870,880,360.500,317.240.000,0.00%,1.14%,-0.57%,0.57%,1.14%,2.82%,BISI
20,24-10-2025,880,895,860,875,1.307.700,1.144.237.500,0.57%,2.29%,-1.71%,0.00%,1.70%,2.23%,BISI
21,23-10-2025,880,890,875,875,501.900,439.162.500,0.00%,1.14%,-0.57%,-0.57%,1.14%,1.69%,BISI
22,22-10-2025,880,900,875,880,344.200,302.896.000,0.00%,2.27%,-0.57%,0.00%,2.27%,3.33%,BISI
23,21-10-2025,890,890,870,880,931.800,819.984.000,0.00%,0.00%,-2.25%,-1.12%,0.00%,1.69%,BISI
24,20-10-2025,875,890,875,890,126.100,112.229.000,0.00%,1.71%,0.00%,1.71%,1.71%,2.25%,BISI
25,17-10-2025,890,890,870,875,162.100,141.837.500,0.56%,0.56%,-1.69%,-1.13%,0.00%,2.25%,BISI
26,16-10-2025,890,890,870,885,108.200,95.757.000,2.30%,2.30%,0.00%,1.72%,0.00%,2.25%,BISI
27,15-10-2025,880,890,870,870,201.400,175.218.000,0.57%,1.71%,-0.57%,-0.57%,1.14%,1.69%,BISI
28,14-10-2025,895,895,875,875,116.100,101.587.500,0.56%,0.56%,-1.69%,-1.69%,0.00%,3.91%,BISI
29,13-10-2025,920,920,860,890,900.700,801.623.000,0.00%,0.00%,-6.52%,-3.26%,0.00%,0.00%,BISI
30,10-10-2025,930,935,920,920,267.900,246.468.000,0.00%,0.54%,-1.08%,-1.08%,0.54%,3.74%,BISI
31,09-10-2025,905,945,900,930,876.600,815.238.000,0.00%,4.42%,-0.55%,2.76%,4.42%,10.05%,BISI
32,08-10-2025,875,905,850,905,931.600,843.098.000,0.00%,3.43%,-2.86%,3.43%,3.43%,3.87%,BISI
33,07-10-2025,880,885,870,875,224.000,196.000.000,0.57%,1.14%,-0.57%,0.00%,0.57%,1.69%,BISI
34,06-10-2025,900,900,870,875,538.000,470.750.000,0.56%,0.56%,-2.79%,-2.23%,0.00%,2.78%,BISI
35,03-10-2025,875,895,875,895,202.800,181.506.000,0.00%,2.29%,0.00%,2.29%,2.29%,2.23%,BISI
36,02-10-2025,880,880,875,875,88.900,77.787.500,0.57%,0.57%,0.00%,0.00%,0.00%,0.57%,BISI
37,01-10-2025,875,885,875,875,269.800,236.075.000,0.00%,1.14%,0.00%,0.00%,1.14%,1.69%,BISI
38,30-09-2025,890,890,870,875,216.400,189.350.000,0.56%,0.56%,-1.69%,-1.13%,0.00%,1.69%,BISI
39,29-09-2025,890,890,875,885,670.500,593.392.500,1.14%,1.14%,-0.57%,0.57%,0.00%,2.25%,BISI
40,26-09-2025,890,890,870,880,266.900,234.872.000,0.00%,0.00%,-2.25%,-1.12%,0.00%,1.69%,BISI
41,25-09-2025,880,890,875,890,78.000,69.420.000,0.57%,1.71%,0.00%,1.71%,1.14%,1.69%,BISI
42,24-09-2025,880,905,875,875,329.600,288.400.000,0.00%,2.84%,-0.57%,-0.57%,2.84%,3.31%,BISI
43,23-09-2025,890,895,875,880,198.200,174.416.000,0.00%,0.56%,-1.69%,-1.12%,0.56%,2.23%,BISI
44,22-09-2025,890,895,875,890,40.800,36.312.000,0.00%,0.56%,-1.69%,0.00%,0.56%,2.79%,BISI
45,19-09-2025,900,905,870,890,675.000,600.750.000,0.00%,0.56%,-3.33%,-1.11%,0.56%,1.10%,BISI
46,18-09-2025,900,905,895,900,276.600,248.940.000,0.56%,1.12%,0.00%,0.56%,0.56%,2.21%,BISI
47,17-09-2025,890,900,885,895,154.800,138.546.000,0.00%,1.12%,-0.56%,0.56%,1.12%,3.89%,BISI
48,16-09-2025,885,895,865,890,450.500,400.945.000,0.57%,1.70%,-1.70%,1.14%,1.13%,3.91%,BISI
49,15-09-2025,890,895,860,880,554.700,488.136.000,0.56%,1.13%,-2.82%,-0.56%,0.56%,1.68%,BISI
50,12-09-2025,890,895,880,885,37.800,33.453.000,1.14%,1.70%,0.00%,0.57%,0.56%,2.79%,BISI
51,11-09-2025,875,895,870,880,608.900,535.832.000,0.57%,2.87%,0.00%,1.15%,2.29%,3.35%,BISI
52,10-09-2025,875,885,865,870,97.900,85.173.000,0.00%,1.14%,-1.14%,-0.57%,1.14%,1.13%,BISI
53,09-09-2025,880,890,875,875,132.800,116.200.000,-1.12%,0.00%,-1.69%,-1.69%,1.14%,0.00%,BISI
54,08-09-2025,900,910,890,890,75.800,67.462.000,1.12%,2.25%,0.00%,0.00%,1.11%,2.20%,BISI
55,04-09-2025,890,915,890,890,64.800,57.672.000,1.14%,3.98%,1.14%,1.14%,2.81%,3.83%,BISI
56,03-09-2025,885,905,880,880,250.600,220.528.000,0.00%,2.26%,-0.56%,-0.56%,2.26%,3.87%,BISI
