col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BKSL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BKSL
1,21-11-2025,129,130,126,126,191.812.200,24.168.337.200,0.00%,0.78%,-2.33%,-2.33%,0.78%,2.31%,BKSL
2,20-11-2025,130,134,127,129,437.807.900,56.477.219.100,0.78%,3.88%,-1.55%,0.00%,3.08%,4.48%,BKSL
3,19-11-2025,138,144,128,129,1.854.047.300,239.172.101.700,1.47%,5.88%,-5.88%,-5.15%,4.35%,16.67%,BKSL
4,18-11-2025,120,140,120,136,2.385.574.200,324.438.091.200,-0.83%,15.70%,-0.83%,12.40%,16.67%,14.29%,BKSL
5,17-11-2025,122,123,120,121,106.772.600,12.919.484.600,0.00%,0.82%,-1.64%,-0.82%,0.82%,2.44%,BKSL
6,14-11-2025,120,125,120,122,130.281.100,15.894.294.200,-0.83%,3.31%,-0.83%,0.83%,4.17%,4.80%,BKSL
7,13-11-2025,122,123,119,121,235.661.000,28.514.981.000,-0.81%,0.00%,-3.25%,-1.63%,0.82%,0.00%,BKSL
8,12-11-2025,126,127,123,123,162.766.700,20.020.304.100,0.00%,0.79%,-2.38%,-2.38%,0.79%,5.51%,BKSL
9,11-11-2025,123,127,120,126,345.690.100,43.556.952.600,2.50%,5.83%,0.00%,5.00%,3.25%,6.30%,BKSL
10,10-11-2025,122,122,119,120,134.866.000,16.183.920.000,0.83%,0.83%,-1.65%,-0.83%,0.00%,7.38%,BKSL
11,07-11-2025,114,121,113,121,275.047.400,33.280.735.400,0.88%,7.08%,0.00%,7.08%,6.14%,8.26%,BKSL
12,06-11-2025,113,116,111,113,147.991.000,16.722.983.000,0.00%,2.65%,-1.77%,0.00%,2.65%,5.17%,BKSL
13,05-11-2025,113,114,110,113,190.074.700,21.478.441.100,-0.88%,0.00%,-3.51%,-0.88%,0.88%,0.88%,BKSL
14,04-11-2025,117,117,113,114,147.699.800,16.837.777.200,0.00%,0.00%,-3.42%,-2.56%,0.00%,0.85%,BKSL
15,03-11-2025,118,119,116,117,103.139.400,12.067.309.800,0.85%,1.71%,-0.85%,0.00%,0.85%,3.36%,BKSL
16,31-10-2025,115,120,115,117,182.365.500,21.336.763.500,0.00%,4.35%,0.00%,1.74%,4.35%,4.17%,BKSL
17,30-10-2025,120,121,115,115,330.111.600,37.962.834.000,1.69%,2.54%,-2.54%,-2.54%,0.83%,3.31%,BKSL
18,29-10-2025,125,125,117,118,463.924.000,54.743.032.000,0.81%,0.81%,-5.65%,-4.84%,0.00%,0.80%,BKSL
19,28-10-2025,130,130,124,124,270.952.800,33.598.147.200,0.00%,0.00%,-4.62%,-4.62%,0.00%,10.00%,BKSL
20,27-10-2025,128,130,117,130,621.887.400,80.845.362.000,0.79%,2.36%,-7.87%,2.36%,1.56%,2.31%,BKSL
21,24-10-2025,128,129,127,127,175.341.900,22.268.421.300,0.00%,0.78%,-0.78%,-0.78%,0.78%,1.55%,BKSL
22,23-10-2025,128,130,127,128,148.052.900,18.950.771.200,0.00%,1.56%,-0.78%,0.00%,1.56%,1.54%,BKSL
23,22-10-2025,132,135,128,128,442.203.900,56.602.099.200,0.76%,3.05%,-2.29%,-2.29%,2.27%,3.70%,BKSL
24,21-10-2025,131,133,130,131,181.183.900,23.735.090.900,0.77%,2.31%,0.00%,0.77%,1.53%,4.51%,BKSL
25,20-10-2025,127,134,127,130,269.973.500,35.096.555.000,0.79%,6.35%,0.79%,3.17%,5.51%,8.21%,BKSL
26,17-10-2025,130,131,123,126,409.930.900,51.651.293.400,0.00%,0.77%,-5.38%,-3.08%,0.77%,1.53%,BKSL
27,16-10-2025,132,134,129,130,267.234.700,34.740.511.000,0.00%,1.52%,-2.27%,-1.52%,1.52%,2.24%,BKSL
28,15-10-2025,136,136,131,132,271.542.500,35.843.610.000,2.26%,2.26%,-1.50%,-0.75%,0.00%,3.68%,BKSL
29,14-10-2025,140,143,131,133,705.268.700,93.800.737.100,0.72%,2.88%,-5.76%,-4.32%,2.14%,3.50%,BKSL
30,13-10-2025,144,149,138,139,1.004.340.200,139.603.287.800,-3.36%,0.00%,-7.38%,-6.71%,3.47%,12.08%,BKSL
31,10-10-2025,133,152,131,149,1.473.523.000,219.554.927.000,1.53%,16.03%,0.00%,13.74%,14.29%,13.82%,BKSL
32,09-10-2025,135,137,131,131,263.902.300,34.571.201.300,0.75%,2.24%,-2.24%,-2.24%,1.48%,2.92%,BKSL
33,08-10-2025,139,140,133,134,310.950.500,41.667.367.000,0.00%,0.72%,-4.32%,-3.60%,0.72%,3.57%,BKSL
34,07-10-2025,139,142,135,139,410.963.600,57.123.940.400,2.96%,5.19%,0.00%,2.96%,2.16%,7.75%,BKSL
35,06-10-2025,136,137,131,135,326.901.400,44.131.689.000,0.74%,1.48%,-2.96%,0.00%,0.74%,1.46%,BKSL
36,03-10-2025,144,145,135,135,786.675.400,106.201.179.000,0.00%,0.69%,-6.25%,-6.25%,0.69%,1.38%,BKSL
37,02-10-2025,148,149,143,144,211.538.300,30.461.515.200,1.37%,2.05%,-2.05%,-1.37%,0.68%,5.37%,BKSL
38,01-10-2025,147,148,141,146,419.360.400,61.226.618.400,1.38%,2.07%,-2.76%,0.69%,0.68%,2.03%,BKSL
39,30-09-2025,152,155,145,145,795.515.700,115.349.776.500,0.66%,2.65%,-3.97%,-3.97%,1.97%,11.61%,BKSL
40,29-09-2025,139,155,137,151,1.643.214.200,248.125.344.200,0.72%,12.32%,-0.72%,9.42%,11.51%,14.84%,BKSL
41,26-09-2025,132,143,132,138,981.985.700,135.514.026.600,2.33%,10.85%,2.33%,6.98%,8.33%,10.49%,BKSL
42,25-09-2025,134,136,128,129,432.921.800,55.846.912.200,0.00%,1.49%,-4.48%,-3.73%,1.49%,1.47%,BKSL
43,24-09-2025,139,140,134,134,240.304.100,32.200.749.400,1.46%,2.19%,-2.19%,-2.19%,0.72%,4.29%,BKSL
44,23-09-2025,137,140,134,137,234.217.700,32.087.824.900,0.00%,2.19%,-2.19%,0.00%,2.19%,4.29%,BKSL
45,22-09-2025,138,140,134,137,249.007.400,34.114.013.800,1.47%,2.94%,-1.47%,0.74%,1.45%,5.71%,BKSL
46,19-09-2025,136,137,132,136,168.397.200,22.902.019.200,0.00%,0.74%,-2.94%,0.00%,0.74%,1.46%,BKSL
47,18-09-2025,140,142,135,136,169.813.600,23.094.649.600,0.72%,2.16%,-2.88%,-2.16%,1.43%,3.52%,BKSL
48,17-09-2025,141,144,137,139,287.073.500,39.903.216.500,0.71%,2.86%,-2.14%,-0.71%,2.13%,4.17%,BKSL
49,16-09-2025,141,145,138,140,434.907.900,60.887.106.000,1.44%,4.32%,-0.72%,0.72%,2.84%,8.28%,BKSL
50,15-09-2025,135,142,133,139,691.351.600,96.097.872.400,2.27%,7.58%,0.76%,5.30%,5.19%,8.45%,BKSL
51,12-09-2025,131,134,130,132,191.345.600,25.257.619.200,0.00%,2.29%,-0.76%,0.76%,2.29%,2.99%,BKSL
52,11-09-2025,131,137,130,131,331.272.800,43.396.736.800,0.77%,5.38%,0.00%,0.77%,4.58%,5.84%,BKSL
53,10-09-2025,131,133,129,130,116.154.400,15.100.072.000,0.77%,2.31%,-0.77%,0.00%,1.53%,8.27%,BKSL
54,09-09-2025,128,130,122,130,385.724.200,50.144.146.000,0.00%,1.56%,-4.69%,1.56%,1.56%,1.54%,BKSL
55,08-09-2025,132,136,128,128,263.670.500,33.749.824.000,-0.75%,2.26%,-3.76%,-3.76%,3.03%,2.94%,BKSL
56,04-09-2025,138,139,132,133,216.460.900,28.789.299.700,0.73%,1.46%,-3.65%,-2.92%,0.72%,5.04%,BKSL
57,03-09-2025,135,140,132,137,292.411.100,40.060.320.700,0.75%,4.48%,-1.49%,2.24%,3.70%,5.71%,BKSL
58,02-09-2025,132,136,132,134,178.121.700,23.868.307.800,0.00%,3.03%,0.00%,1.52%,3.03%,7.35%,BKSL
59,01-09-2025,130,135,126,132,313.115.000,41.331.180.000,-6.47%,-2.88%,-9.35%,-5.04%,3.85%,5.93%,BKSL
60,29-08-2025,139,140,127,139,967.224.900,134.444.261.100,-1.42%,-0.71%,-9.93%,-1.42%,0.72%,0.71%,BKSL
61,28-08-2025,146,147,139,141,509.190.800,71.795.902.800,0.69%,1.38%,-4.14%,-2.76%,0.68%,1.36%,BKSL
62,27-08-2025,146,149,145,145,379.696.300,55.055.963.500,0.00%,2.05%,-0.68%,-0.68%,2.05%,4.70%,BKSL
63,26-08-2025,147,149,142,146,497.489.900,72.633.525.400,0.00%,1.36%,-3.40%,-0.68%,1.36%,1.34%,BKSL
64,25-08-2025,148,151,147,147,298.126.900,43.824.654.300,0.68%,2.72%,0.00%,0.00%,2.03%,2.65%,BKSL
65,22-08-2025,150,153,147,147,307.662.700,45.226.416.900,0.00%,2.00%,-2.00%,-2.00%,2.00%,2.61%,BKSL
66,21-08-2025,158,158,149,150,480.759.300,72.113.895.000,1.28%,1.28%,-4.49%,-3.85%,0.00%,5.70%,BKSL
67,20-08-2025,150,158,149,156,833.276.800,129.991.180.800,1.35%,6.76%,0.68%,5.41%,5.33%,7.59%,BKSL
68,19-08-2025,148,155,146,148,333.132.400,49.303.595.200,0.00%,4.73%,-1.35%,0.00%,4.73%,4.52%,BKSL
69,15-08-2025,151,157,148,148,614.289.500,90.914.846.000,0.67%,4.67%,-1.33%,-1.33%,3.97%,5.73%,BKSL
70,14-08-2025,152,153,148,150,180.901.200,27.135.180.000,0.00%,0.66%,-2.63%,-1.32%,0.66%,3.27%,BKSL
71,13-08-2025,148,152,148,152,380.210.400,57.791.980.800,0.68%,3.40%,0.68%,3.40%,2.70%,3.95%,BKSL
72,12-08-2025,155,155,146,147,821.110.100,120.703.184.700,0.00%,0.00%,-5.81%,-5.16%,0.00%,0.65%,BKSL
